Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,31.4,31.424,29.0,29.6,40685.6,30.29,1598932800000,1925,
2020-09-02 04:00:00,30.1,30.4,28.1,30.0,41746.2,29.149,1599019200000,2168,
2020-09-03 04:00:00,29.9,31.5,28.9,29.1,31038.5,30.053,1599105600000,2352,
2020-09-04 04:00:00,29.2,30.12,28.3,29.2,28347.2,29.085,1599192000000,1723,
2020-09-08 04:00:00,29.1,30.1,27.732,29.3,31673.2,28.926,1599537600000,1860,
2020-09-09 04:00:00,24.0,25.7,23.2,24.9,105543.3,24.842,1599624000000,3897,
2020-09-10 04:00:00,24.6,24.9,22.2,22.4,107908.8,23.026,1599710400000,4273,
2020-09-11 04:00:00,22.5,22.502,19.3,19.8,110497.7,20.577,1599796800000,3617,
2020-09-14 04:00:00,19.0,20.1,17.8,18.7,93764.0,19.046,1600056000000,3843,
2020-09-15 04:00:00,18.9,22.4,18.9,21.6,111669.5,21.412,1600142400000,5010,
2020-09-16 04:00:00,21.5,21.821,19.7,20.7,60461.8,20.657,1600228800000,3991,
2020-09-17 04:00:00,20.6,21.2,19.8,19.9,98260.2,22.847,1600315200000,4265,
2020-09-18 04:00:00,20.8,21.5,19.823,20.3,220929.1,20.503,1600401600000,7237,
2020-09-21 04:00:00,20.0,20.0,18.2,18.6,45272.1,18.854,1600660800000,2329,
2020-09-22 04:00:00,18.4,18.689,17.0,17.1,68038.5,17.674,1600747200000,2619,
2020-09-23 04:00:00,17.2,17.2,13.5,14.8,115036.3,14.988,1600833600000,3839,
2020-09-24 04:00:00,14.6,15.5,14.011,14.3,62491.2,14.653,1600920000000,2014,
2020-09-25 04:00:00,14.8,15.6,13.525,15.5,107124.4,14.552,1601006400000,4332,
2020-09-28 04:00:00,17.9,28.8,16.8,19.4,1285350.5,22.283,1601265600000,39840,
2020-09-29 04:00:00,18.3,18.3,15.9,17.1,153937.7,16.995,1601352000000,5032,
2020-09-30 04:00:00,16.6,17.1,16.2,16.5,61286.2,16.561,1601438400000,2217,
2020-10-01 04:00:00,17.0,17.7,15.959,16.5,58822.0,16.591,1601524800000,2338,
2020-10-02 04:00:00,18.7,18.7,15.8,17.7,301616.6,18.461,1601611200000,9489,
2020-10-05 04:00:00,17.4,17.8,15.9,16.6,90270.4,16.488,1601870400000,2989,
2020-10-06 04:00:00,16.4,16.4,15.9,16.0,59457.3,16.138,1601956800000,2089,
2020-10-07 04:00:00,13.9,15.2,13.2,14.7,227209.1,14.061,1602043200000,5788,
2020-10-08 04:00:00,15.0,15.266,14.6,14.8,58963.7,14.778,1602129600000,2114,
2020-10-09 04:00:00,14.8,15.7,14.511,15.6,87255.5,15.303,1602216000000,2889,
2020-10-12 04:00:00,16.5,16.5,14.9,15.1,40443.4,15.345,1602475200000,1443,
2020-10-13 04:00:00,15.1,15.159,13.9,14.0,50815.1,14.338,1602561600000,1880,
2020-10-14 04:00:00,14.2,16.2,13.9,14.0,291063.7,14.967,1602648000000,7377,
2020-10-15 04:00:00,13.7,14.3,13.1,13.7,85658.5,13.73,1602734400000,3171,
2020-10-16 04:00:00,14.2,14.2,13.4,13.5,43166.8,13.683,1602820800000,1709,
2020-10-19 04:00:00,13.6,14.0,13.2,13.3,112835.1,13.605,1603080000000,3157,
2020-10-20 04:00:00,13.3,15.0,13.3,14.5,188385.3,14.393,1603166400000,5115,
2020-10-21 04:00:00,14.6,16.5,14.3,16.3,252688.9,15.689,1603252800000,4921,
2020-10-22 04:00:00,16.4,23.0,16.2,17.1,893261.5,19.775,1603339200000,20911,
2020-10-23 04:00:00,17.9,19.3,17.2,17.6,189978.9,18.103,1603425600000,4928,
2020-10-26 04:00:00,18.1,18.3,15.5,15.5,90023.0,16.41,1603684800000,3156,
2020-10-27 04:00:00,15.9,16.1,14.5,14.7,149786.9,14.822,1603771200000,2922,
2020-10-28 04:00:00,14.7,15.027,13.4,13.9,126852.9,14.1,1603857600000,3496,
2020-10-29 04:00:00,13.6,14.4,13.4,13.6,108428.2,13.754,1603944000000,4312,
2020-10-30 04:00:00,13.7,13.98,12.7,12.9,105394.9,13.109,1604030400000,4949,
2020-11-02 05:00:00,13.0,14.7,13.0,14.3,84732.6,13.77,1604293200000,2184,
2020-11-03 05:00:00,14.0,15.9,14.0,15.4,94819.8,15.038,1604379600000,2665,
2020-11-04 05:00:00,15.3,15.302,14.55,14.7,27344.8,14.818,1604466000000,1012,
2020-11-05 05:00:00,14.3,14.8,13.0,14.4,47527.1,14.386,1604552400000,1333,
2020-11-06 05:00:00,14.8,14.8,14.4,14.401,19907.9,14.516,1604638800000,844,
2020-11-09 05:00:00,17.95,53.5,17.7,47.3,9506279.1,38.03,1604898000000,273771,
2020-11-10 05:00:00,43.5,46.5,34.5,40.8,1212207.1,40.121,1604984400000,41138,
2020-11-11 05:00:00,38.2,38.6,30.0,30.3,365940.1,33.202,1605070800000,11234,
2020-11-12 05:00:00,28.9,31.6,25.0,25.4,312883.6,28.206,1605157200000,8665,
2020-11-13 05:00:00,26.5,36.6,26.0,33.0,1222645.5,32.428,1605243600000,29174,
2020-11-16 05:00:00,41.0,44.9,36.1,40.2,1510192.4,40.025,1605502800000,49322,
2020-11-17 05:00:00,38.1,44.9,36.7,44.5,511135.0,41.589,1605589200000,17088,
2020-11-18 05:00:00,56.4,58.2,45.606,46.3,2392037.6,54.519,1605675600000,93339,
2020-11-19 05:00:00,45.2,47.9,41.6,42.5,326694.1,44.168,1605762000000,10217,
2020-11-20 05:00:00,44.6,46.9,39.1,40.0,222802.9,42.755,1605848400000,10186,
2020-11-23 05:00:00,31.1,36.899,31.1,36.6,873812.3,33.449,1606107600000,24049,
2020-11-24 05:00:00,39.0,50.1,36.9,37.5,853321.4,42.451,1606194000000,28890,
2020-11-25 05:00:00,37.3,39.5,27.8,29.8,1182355.2,32.003,1606280400000,28016,
2020-11-27 05:00:00,29.8,30.0,28.1,28.3,475308.5,28.889,1606453200000,11621,
2020-11-30 05:00:00,30.6,30.7,26.5,26.5,742001.4,28.138,1606712400000,18221,
2020-12-01 05:00:00,27.4,28.4,21.1,21.1,1129061.7,23.155,1606798800000,27290,
2020-12-02 05:00:00,24.5,25.7,22.0,23.1,1292308.3,24.083,1606885200000,29144,
2020-12-03 05:00:00,23.1,28.4,23.1,26.2,1268307.6,25.759,1606971600000,28398,
2020-12-04 05:00:00,28.0,28.5,25.3,27.3,839757.4,27.238,1607058000000,20492,
2020-12-07 05:00:00,26.3,27.3,25.2,27.3,430885.8,26.522,1607317200000,11731,
2020-12-08 05:00:00,27.4,33.6,27.4,31.4,1323892.8,30.761,1607403600000,31389,
2020-12-09 05:00:00,35.0,38.6,34.1,35.8,1493045.0,36.123,1607490000000,37811,
2020-12-10 05:00:00,35.2,40.5,35.0,39.8,1213088.4,38.835,1607576400000,31581,
2020-12-11 05:00:00,42.976,43.0,37.0,38.8,1289034.8,39.971,1607662800000,35665,
2020-12-14 05:00:00,41.4,41.8,36.7,37.0,841660.1,38.903,1607922000000,24509,
2020-12-15 05:00:00,36.1,37.05,32.6,37.0,761698.0,34.88,1608008400000,19507,
2020-12-16 05:00:00,35.5,38.4,35.3,38.0,430656.9,37.253,1608094800000,11888,
