Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-04-26 04:00:00,9.8,9.8,9.8,9.8,1010,9.801,1619409600000,3,
2021-04-27 04:00:00,9.8451,9.85,9.8451,9.85,900,9.8473,1619496000000,7,
2021-04-28 04:00:00,9.85,9.85,9.8,9.8,1150,9.8226,1619582400000,7,
2021-04-29 04:00:00,9.84,9.84,9.84,9.84,1501,9.838,1619668800000,7,
2021-04-30 04:00:00,9.82,9.84,9.76,9.84,41831,9.786,1619755200000,70,
2021-05-03 04:00:00,9.81,9.84,9.81,9.84,5203,9.8158,1620014400000,10,
2021-05-04 04:00:00,9.8,9.98,9.8,9.8,12114,9.8542,1620100800000,30,
2021-05-05 04:00:00,9.83,9.85,9.8,9.85,28450,9.8321,1620187200000,49,
2021-05-06 04:00:00,9.83,9.83,9.83,9.83,9100,9.83,1620273600000,21,
2021-05-07 04:00:00,9.81,9.8546,9.81,9.8546,711,9.8227,1620360000000,4,
2021-05-10 04:00:00,9.81,9.81,9.8,9.8,693,9.8105,1620619200000,7,
2021-05-11 04:00:00,9.82,9.86,9.8,9.86,7200,9.8125,1620705600000,16,
2021-05-12 04:00:00,9.86,9.9,9.86,9.9,2601,9.8631,1620792000000,7,
2021-05-20 04:00:00,9.8,9.8,9.8,9.8,201,9.8003,1621483200000,3,
2021-05-26 04:00:00,9.86,9.87,9.86,9.87,558,9.8681,1622001600000,3,
2021-06-01 04:00:00,9.83,9.86,9.75,9.76,2304,9.8017,1622520000000,30,
2021-06-02 04:00:00,9.76,9.795,9.76,9.77,4913,9.7682,1622606400000,34,
2021-06-07 04:00:00,9.8,9.8,9.8,9.8,305,9.7934,1623038400000,5,
2021-06-09 04:00:00,9.85,9.85,9.85,9.85,11277,9.8504,1623211200000,22,
2021-06-10 04:00:00,9.9,9.9,9.86,9.9,25118,9.8927,1623297600000,83,
2021-06-11 04:00:00,9.93,9.93,9.92,9.92,449,9.9222,1623384000000,6,
2021-06-14 04:00:00,9.9,9.9,9.9,9.9,8218,9.9,1623643200000,7,
2021-06-15 04:00:00,9.92,9.92,9.84,9.9,27736,9.885,1623729600000,172,
2021-06-17 04:00:00,9.9,9.9,9.9,9.9,30202,9.9,1623902400000,16,
2021-06-25 04:00:00,9.81,9.81,9.81,9.81,706,9.8103,1624593600000,4,
2021-06-29 04:00:00,9.8,9.8,9.75,9.8,28206,9.7826,1624939200000,66,
2021-06-30 04:00:00,9.77,9.78,9.75,9.75,12001,9.7633,1625025600000,43,
2021-07-01 04:00:00,9.71,9.78,9.71,9.75,7181,9.7323,1625112000000,25,
2021-07-02 04:00:00,9.71,9.73,9.71,9.72,451215,9.72,1625198400000,12,
2021-07-06 04:00:00,9.71,9.75,9.71,9.75,37083,9.7138,1625544000000,21,
2021-07-07 04:00:00,9.73,9.77,9.72,9.77,6570,9.7484,1625630400000,20,
2021-07-08 04:00:00,9.71,9.77,9.7,9.77,8864,9.7284,1625716800000,16,
2021-07-14 04:00:00,9.825,9.825,9.825,9.825,262,9.8254,1626235200000,3,
2021-07-15 04:00:00,9.86,9.86,9.7,9.7,15143,9.7142,1626321600000,34,
2021-07-16 04:00:00,9.668,9.73,9.668,9.71,7050,9.7048,1626408000000,28,
2021-07-19 04:00:00,9.74,9.74,9.69,9.73,4306,9.7221,1626667200000,18,
2021-07-21 04:00:00,9.725,9.725,9.725,9.725,2022,9.725,1626840000000,5,
2021-07-23 04:00:00,9.705,9.705,9.705,9.705,250,9.705,1627012800000,1,
2021-07-26 04:00:00,9.75,9.75,9.75,9.75,496,9.75,1627272000000,1,
2021-07-27 04:00:00,9.72,9.72,9.72,9.72,2003,9.7201,1627358400000,23,
2021-08-02 04:00:00,9.67,9.7,9.67,9.7,373,9.6862,1627876800000,3,
2021-08-05 04:00:00,9.7,9.71,9.7,9.71,85477,9.7199,1628136000000,6,
2021-08-06 04:00:00,9.72,9.75,9.72,9.75,1127,9.738,1628222400000,4,
2021-08-09 04:00:00,9.78,9.78,9.72,9.75,37704,9.7545,1628481600000,120,
2021-08-10 04:00:00,9.76,9.91,9.72,9.87,83946,9.7782,1628568000000,348,
2021-08-11 04:00:00,9.87,9.918,9.76,9.86,8948,9.8566,1628654400000,77,
2021-08-12 04:00:00,9.83,9.91,9.75,9.79,6959,9.8113,1628740800000,51,
2021-08-13 04:00:00,9.75,9.755,9.75,9.755,428,9.7512,1628827200000,5,
2021-08-18 04:00:00,9.75,9.86,9.68,9.68,92786,9.7511,1629259200000,228,
2021-08-19 04:00:00,9.7,9.7,9.7,9.7,271,9.6993,1629345600000,3,
2021-08-24 04:00:00,9.66,9.66,9.66,9.66,127,9.66,1629777600000,1,
2021-08-25 04:00:00,9.66,9.66,9.66,9.66,147,9.6619,1629864000000,3,
2021-08-30 04:00:00,9.65,9.65,9.65,9.65,265,9.6536,1630296000000,2,
2021-08-31 04:00:00,9.77,9.77,9.66,9.68,10796,9.6712,1630382400000,91,
2021-09-01 04:00:00,9.8,9.8,9.65,9.65,562,9.7204,1630468800000,3,
2021-09-02 04:00:00,9.65,9.65,9.65,9.65,4270,9.65,1630555200000,2,
2021-09-03 04:00:00,9.65,9.74,9.65,9.68,37970,9.6531,1630641600000,55,
2021-09-07 04:00:00,9.75,9.75,9.65,9.7,244760,9.6787,1630987200000,79,
2021-09-08 04:00:00,9.68,9.85,9.68,9.85,503,9.7446,1631073600000,7,
2021-09-10 04:00:00,9.685,9.765,9.68,9.765,16995,9.6858,1631246400000,18,
2021-09-13 04:00:00,9.72,9.75,9.68,9.73,6903,9.705,1631505600000,52,
2021-09-14 04:00:00,9.72,9.84,9.7,9.84,98338,9.722,1631592000000,200,
2021-09-15 04:00:00,9.73,9.8,9.71,9.8,4557,9.7278,1631678400000,53,
2021-09-20 04:00:00,9.69,9.8,9.68,9.8,54600,9.7152,1632110400000,162,
2021-09-21 04:00:00,9.75,9.78,9.75,9.77,453084,9.7798,1632196800000,58,
2021-09-22 04:00:00,9.76,9.77,9.76,9.77,764,9.7613,1632283200000,9,
2021-09-27 04:00:00,9.72,9.79,9.72,9.78,503541,9.7701,1632715200000,199,
2021-09-28 04:00:00,9.77,9.83,9.77,9.8,610,9.8033,1632801600000,8,
2021-09-29 04:00:00,9.73,9.85,9.73,9.77,2776,9.7386,1632888000000,9,
2021-09-30 04:00:00,9.69,9.77,9.69,9.74,7001,9.7185,1632974400000,834,
2021-10-01 04:00:00,9.77,9.8,9.74,9.8,3304,9.7921,1633060800000,11,
2021-10-04 04:00:00,9.8,9.8,9.73,9.8,2394,9.7907,1633320000000,36,
2021-10-06 04:00:00,9.77,9.8,9.77,9.8,322692,9.7703,1633492800000,16,
2021-10-07 04:00:00,9.8,9.8,9.77,9.77,1169,9.7747,1633579200000,15,
2021-10-08 04:00:00,9.73,9.73,9.73,9.73,200,9.73,1633665600000,2,
2021-10-12 04:00:00,9.78,9.78,9.78,9.78,106,9.7798,1634011200000,2,
2021-10-14 04:00:00,9.78,9.78,9.76,9.76,520,9.7618,1634184000000,12,
2021-10-18 04:00:00,9.73,9.78,9.73,9.78,42764,9.743,1634529600000,323,
2021-10-19 04:00:00,9.78,9.78,9.78,9.78,282,9.78,1634616000000,6,
2021-10-21 04:00:00,9.74,9.78,9.74,9.78,3623,9.745,1634788800000,40,
2021-10-25 04:00:00,9.78,9.78,9.74,9.74,562,9.7472,1635134400000,6,
2021-10-26 04:00:00,9.74,9.77,9.74,9.77,1332,9.7429,1635220800000,25,
2021-10-27 04:00:00,9.74,9.77,9.74,9.77,601,9.745,1635307200000,3,
2021-10-29 04:00:00,9.74,9.74,9.74,9.74,1538,9.7454,1635480000000,45,
2021-11-01 04:00:00,9.74,9.77,9.74,9.74,1882,9.7448,1635739200000,24,
2021-11-02 04:00:00,9.76,9.79,9.74,9.79,15123,9.7765,1635825600000,65,
2021-11-03 04:00:00,9.74,9.78,9.74,9.78,626,9.7517,1635912000000,11,
2021-11-04 04:00:00,9.75,9.77,9.74,9.76,116416,9.7527,1635998400000,376,
2021-11-08 05:00:00,9.75,9.77,9.75,9.77,4729,9.7519,1636347600000,40,
2021-11-09 05:00:00,9.77,9.77,9.77,9.77,543,9.7686,1636434000000,8,
2021-11-10 05:00:00,9.75,9.75,9.75,9.75,207,9.7502,1636520400000,2,
2021-11-11 05:00:00,9.76,9.77,9.75,9.77,6289,9.7622,1636606800000,41,
2021-11-12 05:00:00,9.74,9.74,9.74,9.74,200000,9.74,1636693200000,2,
2021-11-17 05:00:00,9.75,9.78,9.75,9.78,1374,9.7617,1637125200000,18,
2021-11-18 05:00:00,9.775,9.85,9.77,9.85,135546,9.7952,1637211600000,274,
2021-11-19 05:00:00,9.85,9.85,9.81,9.81,1532,9.8407,1637298000000,11,
2021-11-23 05:00:00,9.85,9.85,9.8,9.85,9189,9.8313,1637643600000,134,
2021-11-30 05:00:00,9.77,9.82,9.77,9.82,18845,9.7796,1638248400000,79,
2021-12-01 05:00:00,9.82,9.82,9.75,9.82,35606,9.7662,1638334800000,122,
2021-12-02 05:00:00,9.75,9.8,9.75,9.8,2369,9.7613,1638421200000,17,
2021-12-03 05:00:00,9.77,9.77,9.77,9.77,131,9.7658,1638507600000,8,
2021-12-06 05:00:00,9.76,9.76,9.76,9.76,332,9.7724,1638766800000,12,
2021-12-07 05:00:00,9.85,9.85,9.76,9.79,2287,9.7803,1638853200000,30,
2021-12-08 05:00:00,9.77,9.81,9.76,9.77,2974,9.7674,1638939600000,48,
2021-12-09 05:00:00,9.78,9.78,9.78,9.78,210000,9.78,1639026000000,1,
2021-12-14 05:00:00,9.76,9.77,9.75,9.77,12632,9.7758,1639458000000,16,
2021-12-15 05:00:00,9.745,9.77,9.745,9.77,1320,9.7581,1639544400000,22,
