Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,12.61,12.7,12.435,12.61,127022.0,12.6028,1598932800000,1221,
2020-09-02 04:00:00,12.56,12.69,12.37,12.62,131730.0,12.5433,1599019200000,1669,
2020-09-03 04:00:00,12.74,13.1709,12.61,12.63,126542.0,12.7392,1599105600000,1261,
2020-09-04 04:00:00,13.07,13.21,12.535,12.85,165164.0,12.8441,1599192000000,1986,
2020-09-08 04:00:00,12.75,12.75,12.03,12.16,210841.0,12.2467,1599537600000,2014,
2020-09-09 04:00:00,12.3,12.34,12.02,12.02,199436.0,12.1193,1599624000000,2264,
2020-09-10 04:00:00,12.05,12.31,11.97,12.01,119109.0,12.055,1599710400000,1876,
2020-09-11 04:00:00,11.96,12.13,11.83,11.91,109839.0,11.9408,1599796800000,1272,
2020-09-14 04:00:00,11.93,12.29,11.86,12.16,110751.0,12.1453,1600056000000,1411,
2020-09-15 04:00:00,12.08,12.34,11.9366,12.16,159936.0,12.1901,1600142400000,2136,
2020-09-16 04:00:00,12.4,12.64,12.24,12.47,144432.0,12.4873,1600228800000,2055,
2020-09-17 04:00:00,12.3,12.65,12.22,12.59,141056.0,12.5354,1600315200000,1799,
2020-09-18 04:00:00,12.84,12.84,12.335,12.54,454058.0,12.6013,1600401600000,1937,
2020-09-21 04:00:00,12.19,12.31,11.38,11.45,225630.0,11.5738,1600660800000,2605,
2020-09-22 04:00:00,11.38,11.65,10.83,10.85,208176.0,10.9676,1600747200000,2302,
2020-09-23 04:00:00,10.97,11.35,10.54,10.57,176028.0,10.7808,1600833600000,2014,
2020-09-24 04:00:00,10.63,11.24,10.41,10.82,107282.0,10.8481,1600920000000,1982,
2020-09-25 04:00:00,10.64,11.03,10.59,10.89,131337.0,10.8811,1601006400000,1916,
2020-09-28 04:00:00,11.09,11.57,11.09,11.31,133456.0,11.3716,1601265600000,1462,
2020-09-29 04:00:00,11.3,11.3,10.91,11.25,97684.0,11.1573,1601352000000,1355,
