Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,11.43,11.825,11.31,11.74,822062.0,11.7162,1598932800000,6576,
2020-09-02 04:00:00,11.69,11.95,11.61,11.91,663524.0,11.8816,1599019200000,4357,
2020-09-03 04:00:00,11.97,12.0,11.48,11.63,714023.0,11.6212,1599105600000,6686,
2020-09-04 04:00:00,11.78,11.78,11.34,11.46,528008.0,11.4913,1599192000000,5354,
2020-09-08 04:00:00,11.34,11.88,11.23,11.61,1399689.0,11.6935,1599537600000,13519,
2020-09-09 04:00:00,11.69,12.26,11.6,11.74,1214522.0,11.8156,1599624000000,11748,
2020-09-10 04:00:00,11.69,11.74,11.02,11.02,771349.0,11.2985,1599710400000,7834,
2020-09-11 04:00:00,10.97,10.97,10.57,10.76,949632.0,10.7447,1599796800000,9806,
2020-09-14 04:00:00,10.88,11.63,10.78,11.56,1134733.0,11.3041,1600056000000,11205,
2020-09-15 04:00:00,11.71,12.105,11.68,11.85,707605.0,11.9157,1600142400000,8942,
2020-09-16 04:00:00,11.89,12.28,11.78,11.98,794487.0,11.9975,1600228800000,6644,
2020-09-17 04:00:00,12.21,12.58,12.0,12.36,1225627.0,12.3703,1600315200000,10767,
2020-09-18 04:00:00,12.33,12.45,11.46,11.54,6085874.0,11.6591,1600401600000,13396,
2020-09-21 04:00:00,11.07,11.32,10.29,10.96,1397584.0,10.7413,1600660800000,11843,
2020-09-22 04:00:00,11.04,11.13,10.4901,10.54,834832.0,10.6332,1600747200000,8405,
2020-09-23 04:00:00,10.5,10.55,10.03,10.05,1355928.0,10.2957,1600833600000,9733,
2020-09-24 04:00:00,10.09,10.41,9.83,10.16,781142.0,10.162,1600920000000,7412,
2020-09-25 04:00:00,10.03,10.38,10.03,10.19,540198.0,10.2189,1601006400000,5880,
2020-09-28 04:00:00,10.4,10.6,10.36,10.46,513266.0,10.4574,1601265600000,6601,
2020-09-29 04:00:00,10.4,10.59,10.28,10.5,487369.0,10.4578,1601352000000,6289,
2020-09-30 04:00:00,10.58,10.82,10.45,10.51,827419.0,10.5475,1601438400000,6154,
2020-10-01 04:00:00,10.49,11.02,10.43,11.01,624042.0,10.8263,1601524800000,6934,
2020-10-02 04:00:00,10.74,11.4,10.61,11.35,508063.0,11.2236,1601611200000,5850,
2020-10-05 04:00:00,11.47,11.52,11.205,11.39,429256.0,11.3496,1601870400000,4957,
2020-10-06 04:00:00,11.56,12.24,11.3401,11.64,1609057.0,11.7016,1601956800000,12301,
2020-10-07 04:00:00,11.77,12.06,11.75,11.94,840170.0,11.9189,1602043200000,6419,
2020-10-08 04:00:00,12.1,12.38,12.02,12.38,650374.0,12.2355,1602129600000,7537,
2020-10-09 04:00:00,12.54,12.58,12.21,12.22,466911.0,12.3234,1602216000000,5276,
2020-10-12 04:00:00,12.23,12.38,12.07,12.28,337453.0,12.2358,1602475200000,3747,
2020-10-13 04:00:00,12.08,12.28,11.78,11.98,327564.0,11.9796,1602561600000,3891,
2020-10-14 04:00:00,12.0,12.0929,11.71,11.88,337752.0,11.8624,1602648000000,4416,
2020-10-15 04:00:00,11.71,12.1,11.605,11.98,758803.0,11.9531,1602734400000,8190,
2020-10-16 04:00:00,11.95,11.98,11.64,11.64,396356.0,11.7386,1602820800000,4792,
2020-10-19 04:00:00,11.7,11.99,11.49,11.49,549435.0,11.6864,1603080000000,5864,
2020-10-20 04:00:00,11.66,11.93,11.59,11.72,350899.0,11.7199,1603166400000,3695,
2020-10-21 04:00:00,11.65,11.68,11.48,11.63,367971.0,11.5899,1603252800000,5288,
2020-10-22 04:00:00,11.51,11.79,11.42,11.71,521090.0,11.6802,1603339200000,4981,
2020-10-23 04:00:00,11.86,12.05,11.6652,11.84,502281.0,11.8381,1603425600000,4697,
2020-10-26 04:00:00,11.65,11.81,11.56,11.71,664389.0,11.6964,1603684800000,6505,
2020-10-27 04:00:00,11.65,11.86,11.35,11.41,645668.0,11.4749,1603771200000,5884,
2020-10-28 04:00:00,11.06,11.1,10.8,10.87,560824.0,10.9504,1603857600000,5910,
2020-10-29 04:00:00,10.9,11.93,10.78,11.86,676249.0,11.6504,1603944000000,7582,
2020-10-30 04:00:00,11.79,12.07,11.58,11.72,945598.0,11.8307,1604030400000,7760,
2020-11-02 05:00:00,11.84,12.85,11.84,12.81,914495.0,12.667,1604293200000,7372,
2020-11-03 05:00:00,13.17,13.35,12.95,13.23,1127056.0,13.1029,1604379600000,8144,
2020-11-04 05:00:00,12.95,13.27,12.7,13.06,646126.0,13.0898,1604466000000,5999,
2020-11-05 05:00:00,13.08,13.515,13.02,13.39,855570.0,13.316,1604552400000,7789,
2020-11-06 05:00:00,13.05,13.89,12.51,12.56,663951.0,12.9155,1604638800000,5681,
2020-11-09 05:00:00,14.33,15.49,14.1,14.59,1714268.0,14.8815,1604898000000,14187,
2020-11-10 05:00:00,14.86,15.06,14.31,14.43,767263.0,14.5439,1604984400000,7049,
2020-11-11 05:00:00,14.52,14.52,13.68,13.89,491984.0,13.9155,1605070800000,4807,
2020-11-12 05:00:00,13.64,13.7,13.0,13.56,679130.0,13.4654,1605157200000,6894,
2020-11-13 05:00:00,13.59,14.32,13.5875,14.18,529553.0,14.0373,1605243600000,4174,
2020-11-16 05:00:00,14.8,15.0,14.535,14.88,644419.0,14.7807,1605502800000,6496,
2020-11-17 05:00:00,14.66,15.17,14.46,14.99,459335.0,14.9707,1605589200000,4811,
2020-11-18 05:00:00,15.16,15.24,14.62,14.64,389136.0,14.8964,1605675600000,4483,
2020-11-19 05:00:00,14.55,14.84,14.15,14.84,388416.0,14.6544,1605762000000,3672,
2020-11-20 05:00:00,14.69,14.94,14.53,14.79,363150.0,14.7785,1605848400000,3660,
2020-11-23 05:00:00,15.04,15.18,14.85,14.98,452723.0,14.9948,1606107600000,4659,
2020-11-24 05:00:00,15.41,15.98,15.16,15.75,569496.0,15.7827,1606194000000,4559,
2020-11-25 05:00:00,15.67,15.83,15.37,15.66,248698.0,15.6678,1606280400000,2945,
2020-11-27 05:00:00,15.64,15.82,15.22,15.28,249884.0,15.3591,1606453200000,2275,
2020-11-30 05:00:00,15.26,15.36,14.79,14.9,624857.0,15.0045,1606712400000,6713,
2020-12-01 05:00:00,15.29,15.53,15.11,15.28,404653.0,15.3131,1606798800000,4882,
2020-12-02 05:00:00,15.19,15.73,15.03,15.55,283317.0,15.4689,1606885200000,3267,
2020-12-03 05:00:00,15.54,16.11,15.51,15.92,453128.0,15.9233,1606971600000,3985,
2020-12-04 05:00:00,16.04,16.55,16.04,16.45,513256.0,16.4,1607058000000,3452,
2020-12-07 05:00:00,16.31,16.62,16.24,16.5,390310.0,16.4937,1607317200000,4072,
2020-12-08 05:00:00,16.3,16.62,16.21,16.61,526898.0,16.4772,1607403600000,3920,
2020-12-09 05:00:00,16.86,17.14,16.64,16.78,551477.0,16.8147,1607490000000,4736,
