Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-12-30 05:00:00,10.0,12.66,10.0,12.13,6006461.0,11.6845,1640840400000,22817,
2021-12-31 05:00:00,12.0,12.06,11.1615,11.5,1599756.0,11.5784,1640926800000,8486,
2022-01-03 05:00:00,11.12,11.44,10.78,10.88,1364517.0,10.9448,1641186000000,10119,
2022-01-04 05:00:00,10.91,11.0,10.0,10.52,1946410.0,10.2847,1641272400000,15023,
2022-01-05 05:00:00,10.44,10.56,10.03,10.08,1105778.0,10.1372,1641358800000,9905,
2022-01-06 05:00:00,10.0,10.39,9.91,10.15,775291.0,10.1375,1641445200000,6501,
2022-01-07 05:00:00,9.94,10.23,9.92,10.0,784384.0,10.0594,1641531600000,5120,
2022-01-10 05:00:00,9.72,10.0,9.41,9.42,723554.0,9.5396,1641790800000,4238,
2022-01-11 05:00:00,9.42,10.04,9.33,10.02,892158.0,9.7933,1641877200000,8020,
2022-01-12 05:00:00,10.0,10.39,9.92,10.27,702745.0,10.2593,1641963600000,5802,
2022-01-13 05:00:00,10.18,10.47,9.67,10.39,758014.0,10.2483,1642050000000,4751,
2022-01-14 05:00:00,10.18,10.66,10.03,10.64,528237.0,10.5286,1642136400000,4819,
2022-01-18 05:00:00,10.42,10.6,10.15,10.21,476319.0,10.3403,1642482000000,3495,
2022-01-19 05:00:00,10.22,10.42,9.86,9.94,473037.0,9.9657,1642568400000,3840,
2022-01-20 05:00:00,9.83,10.1,9.69,9.77,424247.0,9.8733,1642654800000,3087,
2022-01-21 05:00:00,9.61,9.8,9.17,9.24,426956.0,9.3773,1642741200000,2729,
2022-01-24 05:00:00,9.05,9.1,8.1,8.53,556958.0,8.5234,1643000400000,5288,
2022-01-25 05:00:00,8.26,8.75,8.14,8.53,594224.0,8.4106,1643086800000,4978,
2022-01-26 05:00:00,8.53,8.87,8.0,8.13,439371.0,8.3449,1643173200000,3281,
2022-01-27 05:00:00,8.14,8.14,7.5,7.52,423409.0,7.7409,1643259600000,3036,
2022-01-28 05:00:00,7.46,7.55,7.18,7.39,581367.0,7.3991,1643346000000,4247,
