Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,408.44,411.72,405.65,410.15,516931.0,409.6923,1598932800000,12070,
2020-09-02 04:00:00,409.86,413.18,402.62,403.6,590279.0,404.925,1599019200000,15738,
2020-09-03 04:00:00,403.0,403.31,389.64,397.5,807434.0,394.9105,1599105600000,19329,
2020-09-04 04:00:00,397.61,401.2,376.3301,381.81,865240.0,384.0279,1599192000000,21507,
2020-09-08 04:00:00,381.57,386.645,376.11,376.32,692580.0,379.4816,1599537600000,16137,
2020-09-09 04:00:00,382.5,387.69,380.48,382.07,605373.0,384.0256,1599624000000,14818,
2020-09-10 04:00:00,383.94,395.18,383.125,388.97,733132.0,389.7449,1599710400000,17108,
2020-09-11 04:00:00,401.39,401.9811,392.94,394.68,730998.0,396.3352,1599796800000,16895,
2020-09-14 04:00:00,395.45,397.59,385.26,388.52,527455.0,389.3935,1600056000000,14380,
2020-09-15 04:00:00,389.74,394.715,387.39,389.52,447951.0,390.3322,1600142400000,11838,
2020-09-16 04:00:00,390.72,394.01,385.98,385.98,415843.0,389.2756,1600228800000,11723,
2020-09-17 04:00:00,386.72,395.44,385.83,395.07,534469.0,392.0159,1600315200000,14146,
2020-09-18 04:00:00,393.41,398.05,388.9,397.59,809808.0,394.5137,1600401600000,12964,
2020-09-21 04:00:00,395.44,405.96,392.08,404.97,659251.0,400.7219,1600660800000,17340,
2020-09-22 04:00:00,404.96,414.915,400.9,413.75,564080.0,409.0886,1600747200000,14411,
2020-09-23 04:00:00,414.57,421.15,409.77,413.54,582405.0,415.1634,1600833600000,16075,
2020-09-24 04:00:00,413.25,417.55,408.55,413.3,465253.0,414.6058,1600920000000,12145,
2020-09-25 04:00:00,414.6,418.28,410.38,418.08,349326.0,415.5812,1601006400000,10521,
2020-09-28 04:00:00,416.44,423.11,414.88,421.54,421770.0,419.7745,1601265600000,10962,
2020-09-29 04:00:00,422.2,428.541,420.645,423.46,394369.0,425.0892,1601352000000,12630,
2020-09-30 04:00:00,425.0,428.0,421.77,425.28,470000.0,425.3696,1601438400000,11622,
2020-10-01 04:00:00,427.11,430.91,424.53,426.99,534938.0,427.4832,1601524800000,14343,
2020-10-02 04:00:00,425.51,435.14,424.505,433.78,436195.0,432.0246,1601611200000,14192,
2020-10-05 04:00:00,433.66,435.58,423.99,424.94,1034362.0,427.3423,1601870400000,28145,
2020-10-06 04:00:00,426.55,433.52,425.3727,427.53,654316.0,429.0964,1601956800000,18700,
2020-10-07 04:00:00,429.8,433.45,425.77,431.05,959855.0,430.0883,1602043200000,24143,
2020-10-08 04:00:00,405.9,410.92,394.9,401.01,3815680.0,401.872,1602129600000,78723,
2020-10-09 04:00:00,403.0,404.55,386.64,390.95,2531730.0,392.5969,1602216000000,59725,
2020-10-12 04:00:00,392.0,395.94,388.02,392.58,1221250.0,392.7177,1602475200000,29938,
2020-10-13 04:00:00,393.62,407.88,392.7298,407.72,1264482.0,402.4133,1602561600000,29411,
2020-10-14 04:00:00,408.41,411.4029,402.57,403.21,882376.0,405.397,1602648000000,19769,
2020-10-15 04:00:00,402.61,405.6332,400.21,401.84,672403.0,402.6065,1602734400000,16578,
2020-10-16 04:00:00,401.72,403.67,396.4012,399.45,545336.0,399.4004,1602820800000,14479,
2020-10-19 04:00:00,400.73,400.73,393.55,394.89,384878.0,397.1459,1603080000000,12944,
2020-10-20 04:00:00,394.57,397.805,391.77,394.41,493812.0,394.8865,1603166400000,14612,
2020-10-21 04:00:00,393.67,393.71,388.81,389.95,526850.0,391.039,1603252800000,14081,
2020-10-22 04:00:00,390.0,393.46,387.18,391.74,449241.0,391.2067,1603339200000,12946,
2020-10-23 04:00:00,390.0,394.54,386.33,394.1,471408.0,390.9124,1603425600000,11916,
2020-10-26 04:00:00,393.08,396.74,389.55,394.61,505326.0,393.5389,1603684800000,14053,
2020-10-27 04:00:00,396.97,398.71,392.54,397.03,425318.0,396.2886,1603771200000,11501,
2020-10-28 04:00:00,394.85,394.85,383.64,384.0,723850.0,387.2178,1603857600000,17257,
2020-10-29 04:00:00,385.65,392.75,382.19,386.72,488691.0,387.3728,1603944000000,13405,
2020-10-30 04:00:00,385.0,386.76,373.43,378.32,692914.0,378.1838,1604030400000,16741,
2020-11-02 05:00:00,377.79,380.35,370.565,376.03,607184.0,375.3802,1604293200000,16412,
2020-11-03 05:00:00,379.62,386.35,377.12,383.24,473142.0,382.8474,1604379600000,14505,
2020-11-04 05:00:00,386.72,394.47,384.0,392.52,477584.0,391.035,1604466000000,14020,
2020-11-05 05:00:00,393.84,398.25,390.88,396.22,620366.0,394.9641,1604552400000,15371,
2020-11-06 05:00:00,394.01,402.33,390.51,399.85,482187.0,398.1681,1604638800000,13748,
2020-11-09 05:00:00,387.21,389.495,369.22,376.55,1354822.0,379.7725,1604898000000,32673,
2020-11-10 05:00:00,375.0,386.92,370.26,381.67,821336.0,379.688,1604984400000,20459,
2020-11-11 05:00:00,383.76,396.14,383.04,394.67,652100.0,392.5867,1605070800000,14361,
2020-11-12 05:00:00,394.63,401.0,386.85,390.55,613799.0,392.2203,1605157200000,14531,
2020-11-13 05:00:00,390.17,393.79,387.705,389.6,324795.0,389.821,1605243600000,10192,
2020-11-16 05:00:00,384.29,392.65,383.01,384.82,677517.0,385.3848,1605502800000,14987,
2020-11-17 05:00:00,385.46,391.31,384.41,384.47,388420.0,386.3859,1605589200000,12931,
2020-11-18 05:00:00,385.66,387.295,382.31,382.46,385162.0,384.1923,1605675600000,10266,
2020-11-19 05:00:00,384.31,387.68,383.01,385.04,396326.0,385.2149,1605762000000,11646,
2020-11-20 05:00:00,386.87,390.9,384.495,389.56,403489.0,388.3531,1605848400000,12754,
2020-11-23 05:00:00,391.0,393.99,385.18,387.21,491062.0,388.3879,1606107600000,12965,
2020-11-24 05:00:00,387.36,387.36,379.52,383.13,669807.0,382.251,1606194000000,18667,
2020-11-25 05:00:00,384.78,385.41,380.91,383.44,371683.0,383.483,1606280400000,11317,
2020-11-27 05:00:00,387.0,392.49,385.02,390.47,283129.0,389.8077,1606453200000,7678,
2020-11-30 05:00:00,388.58,393.08,386.1,392.57,954911.0,391.2031,1606712400000,15746,
2020-12-01 05:00:00,391.0,393.27,386.895,391.75,611816.0,390.691,1606798800000,12321,
2020-12-02 05:00:00,393.0,394.31,386.77,387.83,448874.0,389.3579,1606885200000,12408,
2020-12-03 05:00:00,387.95,391.48,383.08,383.38,398774.0,385.1028,1606971600000,11582,
2020-12-04 05:00:00,383.45,385.87,382.55,382.99,394833.0,383.5942,1607058000000,10826,
2020-12-07 05:00:00,383.38,392.04,382.42,384.55,601465.0,387.104,1607317200000,14398,
2020-12-08 05:00:00,386.08,389.21,383.82,386.69,369625.0,386.4138,1607403600000,9896,
