Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,20.67,21.23,20.57,21.22,143466.0,21.0587,1598932800000,1829,
2020-09-02 04:00:00,21.28,21.62,21.23,21.56,143420.0,21.4543,1599019200000,2138,
2020-09-03 04:00:00,21.51,21.56,20.64,20.77,164869.0,20.8878,1599105600000,2234,
2020-09-04 04:00:00,21.08,21.17,20.51,20.93,178540.0,20.8624,1599192000000,2605,
2020-09-08 04:00:00,20.77,21.24,20.51,20.83,306935.0,20.9358,1599537600000,4584,
2020-09-09 04:00:00,21.07,21.63,21.07,21.37,244140.0,21.3672,1599624000000,3759,
2020-09-10 04:00:00,21.39,21.39,20.94,20.96,154069.0,21.0917,1599710400000,2393,
2020-09-11 04:00:00,21.21,21.35,20.74,20.82,252279.0,20.9567,1599796800000,2918,
2020-09-14 04:00:00,20.98,21.23,20.73,21.06,232083.0,21.0055,1600056000000,3428,
2020-09-15 04:00:00,21.18,21.43,20.94,21.15,275293.0,21.1983,1600142400000,3775,
2020-09-16 04:00:00,21.19,21.79,21.02,21.47,285290.0,21.4781,1600228800000,3464,
2020-09-17 04:00:00,21.3,22.03,21.19,21.76,286949.0,21.7932,1600315200000,3792,
2020-09-18 04:00:00,22.1,22.31,21.615,21.67,1400980.0,21.7885,1600401600000,5494,
2020-09-21 04:00:00,21.1,21.31,19.6,19.72,325680.0,19.9328,1600660800000,4133,
2020-09-22 04:00:00,19.67,19.88,19.39,19.8,406299.0,19.7231,1600747200000,3712,
2020-09-23 04:00:00,19.8,20.2,19.18,19.2,263575.0,19.4862,1600833600000,3239,
2020-09-24 04:00:00,19.26,19.57,19.06,19.19,376259.0,19.2487,1600920000000,4820,
2020-09-25 04:00:00,19.04,19.36,19.02,19.2,319462.0,19.1557,1601006400000,3771,
2020-09-28 04:00:00,19.46,19.89,19.46,19.55,274756.0,19.6462,1601265600000,3647,
2020-09-29 04:00:00,19.61,20.06,19.41,19.98,364571.0,19.8279,1601352000000,4705,
2020-09-30 04:00:00,17.24,18.925,16.75,18.81,1111043.0,18.4758,1601438400000,9861,
2020-10-01 04:00:00,18.43,18.76,17.99,18.36,431981.0,18.2996,1601524800000,6083,
2020-10-02 04:00:00,17.95,18.91,17.95,18.89,477180.0,18.7361,1601611200000,4747,
2020-10-05 04:00:00,19.04,19.22,18.795,19.17,330077.0,19.0697,1601870400000,4045,
2020-10-06 04:00:00,19.21,19.95,19.1,19.36,463896.0,19.4728,1601956800000,4479,
2020-10-07 04:00:00,19.57,20.17,19.46,19.9,333189.0,19.8644,1602043200000,4268,
2020-10-08 04:00:00,20.15,20.19,19.7,19.89,542417.0,19.8947,1602129600000,3537,
2020-10-09 04:00:00,20.11,20.19,19.655,19.67,264551.0,19.7985,1602216000000,3085,
2020-10-12 04:00:00,19.58,19.98,19.58,19.85,159439.0,19.8418,1602475200000,2339,
2020-10-13 04:00:00,19.65,19.8,19.42,19.46,252909.0,19.4943,1602561600000,1954,
2020-10-14 04:00:00,19.4,19.61,19.17,19.2,192172.0,19.2873,1602648000000,2206,
2020-10-15 04:00:00,18.96,19.495,18.83,19.46,169422.0,19.2906,1602734400000,2381,
2020-10-16 04:00:00,19.49,19.95,19.48,19.69,129994.0,19.7345,1602820800000,1771,
2020-10-19 04:00:00,19.84,19.93,19.58,19.64,195523.0,19.7461,1603080000000,2484,
2020-10-20 04:00:00,19.84,19.98,19.47,19.49,172046.0,19.648,1603166400000,2007,
2020-10-21 04:00:00,19.48,19.62,19.17,19.37,142958.0,19.3485,1603252800000,1839,
2020-10-22 04:00:00,19.55,19.76,19.4,19.69,178103.0,19.6643,1603339200000,2233,
2020-10-23 04:00:00,19.88,19.95,19.6,19.74,132721.0,19.753,1603425600000,2338,
2020-10-26 04:00:00,19.42,19.42,18.91,19.24,160713.0,19.1548,1603684800000,2601,
2020-10-27 04:00:00,19.16,19.16,18.77,18.81,165427.0,18.8756,1603771200000,2150,
2020-10-28 04:00:00,18.36,18.5,17.87,17.92,187011.0,18.0305,1603857600000,3215,
2020-10-29 04:00:00,17.8,17.95,17.53,17.87,325986.0,17.7764,1603944000000,5275,
2020-10-30 04:00:00,17.8,18.04,17.58,17.83,232057.0,17.8216,1604030400000,2430,
2020-11-02 05:00:00,18.17,18.35,18.03,18.09,287515.0,18.1358,1604293200000,3343,
2020-11-03 05:00:00,18.47,19.09,18.34,19.02,207210.0,18.8741,1604379600000,3086,
2020-11-04 05:00:00,18.56,18.88,17.73,17.86,224881.0,17.9908,1604466000000,3101,
2020-11-05 05:00:00,17.95,18.89,17.95,18.63,174891.0,18.648,1604552400000,2475,
2020-11-06 05:00:00,18.75,18.82,18.39,18.55,140329.0,18.546,1604638800000,1834,
2020-11-09 05:00:00,20.2,21.06,19.69,19.85,374086.0,19.9839,1604898000000,3661,
2020-11-10 05:00:00,20.21,20.81,19.9,20.63,301333.0,20.5723,1604984400000,3745,
2020-11-11 05:00:00,20.77,21.0,20.31,20.85,259454.0,20.7141,1605070800000,3089,
2020-11-12 05:00:00,20.55,20.67,19.63,19.87,373431.0,19.9342,1605157200000,3744,
2020-11-13 05:00:00,20.18,20.47,19.94,20.23,460684.0,20.2056,1605243600000,4365,
2020-11-16 05:00:00,20.9,21.5,20.67,21.44,311059.0,21.2819,1605502800000,4448,
2020-11-17 05:00:00,21.16,21.26,20.63,21.06,321485.0,20.9836,1605589200000,4846,
2020-11-18 05:00:00,21.24,21.57,21.02,21.02,203913.0,21.226,1605675600000,2741,
2020-11-19 05:00:00,20.95,21.01,20.55,20.69,459398.0,20.7288,1605762000000,5717,
2020-11-20 05:00:00,20.41,20.73,20.2,20.63,1010411.0,20.5865,1605848400000,3704,
2020-11-23 05:00:00,20.63,21.46,20.46,21.33,253721.0,21.2166,1606107600000,3318,
2020-11-24 05:00:00,21.76,23.13,21.7,23.11,467007.0,22.7759,1606194000000,5609,
2020-11-25 05:00:00,22.86,22.975,21.81,22.39,430079.0,22.3049,1606280400000,5009,
2020-11-27 05:00:00,22.36,22.4,21.96,22.33,101449.0,22.2331,1606453200000,1291,
2020-11-30 05:00:00,22.34,22.45,21.76,22.39,398167.0,22.2713,1606712400000,4494,
2020-12-01 05:00:00,22.75,22.75,21.9,22.06,341281.0,22.2126,1606798800000,3872,
2020-12-02 05:00:00,22.03,22.2,21.81,22.06,169232.0,22.0065,1606885200000,2667,
2020-12-03 05:00:00,22.09,22.52,21.99,22.33,252313.0,22.2724,1606971600000,3243,
2020-12-04 05:00:00,22.6,23.45,22.49,23.38,183905.0,23.2569,1607058000000,2413,
2020-12-07 05:00:00,23.26,23.65,23.05,23.45,221304.0,23.3624,1607317200000,3369,
