Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,9.45,9.56,9.16,9.28,1923055.0,9.2712,1598932800000,16443,
2020-09-02 04:00:00,9.34,9.4099,9.03,9.18,1761227.0,9.1533,1599019200000,14477,
2020-09-03 04:00:00,9.27,9.37,8.54,8.57,2542117.0,8.7517,1599105600000,18633,
2020-09-04 04:00:00,8.74,9.07,8.57,9.02,2355868.0,8.8654,1599192000000,18761,
2020-09-08 04:00:00,8.87,8.92,8.095,8.33,2731462.0,8.3753,1599537600000,20881,
2020-09-09 04:00:00,8.56,9.64,8.375,9.43,4323027.0,9.204,1599624000000,26412,
2020-09-10 04:00:00,9.45,9.51,8.61,8.91,3996152.0,8.8837,1599710400000,30020,
2020-09-11 04:00:00,8.93,9.265,8.78,9.07,2310665.0,9.1106,1599796800000,17733,
2020-09-14 04:00:00,9.25,9.3,8.96,9.16,1534670.0,9.1367,1600056000000,12844,
2020-09-15 04:00:00,9.2,9.28,8.75,8.84,1720660.0,8.9187,1600142400000,15215,
2020-09-16 04:00:00,8.87,9.59,8.84,9.25,2266807.0,9.3035,1600228800000,15985,
2020-09-17 04:00:00,9.05,9.57,8.73,9.4,2172459.0,9.2725,1600315200000,14549,
2020-09-18 04:00:00,9.52,9.77,9.25,9.42,6437346.0,9.4536,1600401600000,21858,
2020-09-21 04:00:00,9.03,9.07,8.54,8.68,2193227.0,8.7142,1600660800000,16003,
2020-09-22 04:00:00,8.7,8.915,8.51,8.55,1752559.0,8.6158,1600747200000,12615,
2020-09-23 04:00:00,8.73,8.93,8.45,8.48,2857578.0,8.6485,1600833600000,18081,
2020-09-24 04:00:00,8.42,9.47,8.25,9.35,4511841.0,9.029,1600920000000,25626,
2020-09-25 04:00:00,8.86,9.67,8.32,9.59,6802888.0,9.1043,1601006400000,36009,
2020-09-28 04:00:00,9.64,9.98,9.05,9.15,3086218.0,9.2627,1601265600000,22667,
2020-09-29 04:00:00,8.96,9.41,8.8101,9.23,2697566.0,9.1422,1601352000000,24086,
2020-09-30 04:00:00,9.28,9.43,8.76,8.81,2464900.0,8.9874,1601438400000,17165,
2020-10-01 04:00:00,8.86,9.24,8.78,9.15,2042322.0,9.0874,1601524800000,16354,
2020-10-02 04:00:00,8.88,9.45,8.81,9.4,3032336.0,9.2395,1601611200000,17136,
2020-10-05 04:00:00,9.59,9.7899,9.475,9.71,3294995.0,9.6577,1601870400000,16972,
2020-10-06 04:00:00,9.84,10.135,9.45,9.48,2237619.0,9.771,1601956800000,15799,
2020-10-07 04:00:00,9.58,11.1795,9.575,10.9,4892469.0,10.6409,1602043200000,29896,
2020-10-08 04:00:00,10.98,11.08,10.64,11.03,3748136.0,10.9309,1602129600000,23224,
2020-10-09 04:00:00,11.13,11.19,10.795,10.92,2013425.0,10.9049,1602216000000,15346,
2020-10-12 04:00:00,10.99,11.22,10.82,10.98,1953615.0,10.993,1602475200000,14377,
2020-10-13 04:00:00,10.76,10.88,10.41,10.59,1433426.0,10.625,1602561600000,10414,
2020-10-14 04:00:00,10.61,10.85,10.41,10.46,1073655.0,10.5634,1602648000000,9140,
2020-10-15 04:00:00,10.19,10.78,10.18,10.77,1233693.0,10.5756,1602734400000,10446,
2020-10-16 04:00:00,10.8,11.28,10.73,10.9,2809833.0,11.0083,1602820800000,16330,
2020-10-19 04:00:00,11.03,11.615,10.9,11.39,3035487.0,11.4112,1603080000000,20338,
2020-10-20 04:00:00,11.58,11.99,11.49,11.89,3367456.0,11.8337,1603166400000,20322,
2020-10-21 04:00:00,11.82,12.04,11.54,11.68,1767104.0,11.7538,1603252800000,13592,
2020-10-22 04:00:00,11.79,12.0719,11.41,11.98,1952632.0,11.8341,1603339200000,15382,
2020-10-23 04:00:00,12.13,12.55,12.0,12.2,1486296.0,12.1972,1603425600000,10805,
2020-10-26 04:00:00,11.89,12.03,11.13,11.41,2204863.0,11.438,1603684800000,18057,
2020-10-27 04:00:00,11.36,11.59,11.225,11.28,1209394.0,11.3926,1603771200000,10177,
2020-10-28 04:00:00,10.95,11.045,10.635,10.86,1332194.0,10.884,1603857600000,13659,
2020-10-29 04:00:00,10.75,11.18,10.7,11.06,1412427.0,11.0094,1603944000000,13427,
2020-10-30 04:00:00,10.98,11.36,10.98,11.35,1683959.0,11.2218,1604030400000,13390,
2020-11-02 05:00:00,11.6,12.77,11.6,12.65,2746018.0,12.4774,1604293200000,18918,
2020-11-03 05:00:00,12.88,13.35,12.71,13.23,2372911.0,13.0658,1604379600000,18178,
2020-11-04 05:00:00,12.47,12.82,11.64,12.37,2912494.0,12.3019,1604466000000,19756,
2020-11-05 05:00:00,12.43,13.2495,12.32,13.01,1686453.0,13.0047,1604552400000,14232,
2020-11-06 05:00:00,12.96,13.02,12.42,12.65,1667848.0,12.7185,1604638800000,13535,
2020-11-09 05:00:00,13.79,14.97,13.23,13.5,3080721.0,13.8029,1604898000000,22193,
2020-11-10 05:00:00,13.71,13.98,13.45,13.76,1597211.0,13.7982,1604984400000,13465,
2020-11-11 05:00:00,13.85,13.8624,13.03,13.37,1858452.0,13.3119,1605070800000,12427,
2020-11-12 05:00:00,13.14,13.47,12.79,13.08,1335730.0,13.1137,1605157200000,9539,
2020-11-13 05:00:00,13.31,13.6799,13.12,13.39,1271672.0,13.3334,1605243600000,8632,
2020-11-16 05:00:00,13.95,14.2,13.68,14.2,1684335.0,14.033,1605502800000,12058,
2020-11-17 05:00:00,13.94,14.1805,13.65,14.0,1134480.0,13.9444,1605589200000,10219,
2020-11-18 05:00:00,14.0,15.04,14.0,14.69,2035937.0,14.7308,1605675600000,14845,
2020-11-19 05:00:00,14.57,15.96,14.35,15.84,3280932.0,15.5638,1605762000000,24958,
2020-11-20 05:00:00,15.69,15.7151,15.1022,15.56,2780215.0,15.5011,1605848400000,19565,
2020-11-23 05:00:00,15.78,16.69,15.78,16.59,1841999.0,16.3511,1606107600000,14388,
2020-11-24 05:00:00,16.87,18.12,16.62,17.8,3292461.0,17.434,1606194000000,23101,
2020-11-25 05:00:00,17.5,18.0733,17.04,17.65,1745336.0,17.6631,1606280400000,14477,
2020-11-27 05:00:00,17.77,17.82,17.38,17.53,904930.0,17.5859,1606453200000,7762,
2020-11-30 05:00:00,17.42,17.74,16.97,17.27,2921751.0,17.2743,1606712400000,22122,
2020-12-01 05:00:00,17.685,17.93,17.17,17.39,2592313.0,17.4175,1606798800000,19172,
2020-12-02 05:00:00,17.25,17.75,17.16,17.68,1825062.0,17.5536,1606885200000,15971,
2020-12-03 05:00:00,17.75,18.57,17.5,17.98,2495734.0,18.1709,1606971600000,17529,
2020-12-04 05:00:00,18.37,18.68,18.06,18.65,1352012.0,18.4705,1607058000000,10469,
2020-12-07 05:00:00,18.51,18.63,17.73,17.87,1636235.0,17.975,1607317200000,12910,
2020-12-08 05:00:00,17.73,18.79,17.7,18.64,1488410.0,18.4548,1607403600000,11868,
2020-12-09 05:00:00,18.85,18.99,18.036,18.24,1992455.0,18.4595,1607490000000,16537,
2020-12-10 05:00:00,17.9,18.37,17.3,17.98,1974561.0,17.7872,1607576400000,16549,
2020-12-11 05:00:00,17.67,17.9087,16.72,16.77,2258520.0,17.0405,1607662800000,19860,
2020-12-14 05:00:00,17.2,17.24,16.265,16.44,1558320.0,16.5611,1607922000000,14047,
2020-12-15 05:00:00,16.65,17.21,16.55,17.2,1154751.0,17.0214,1608008400000,9542,
2020-12-16 05:00:00,17.23,17.25,16.68,16.77,885952.0,16.8882,1608094800000,8373,
2020-12-17 05:00:00,16.83,16.95,16.59,16.81,714855.0,16.7853,1608181200000,8085,
2020-12-18 05:00:00,16.82,16.88,16.22,16.37,2611226.0,16.5499,1608267600000,10325,
2020-12-21 05:00:00,16.0,16.61,15.77,16.56,1268385.0,16.3395,1608526800000,10051,
