Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-12-13 05:00:00,9.86,9.86,9.86,9.86,100,9.86,1639371600000,1,
2021-12-15 05:00:00,9.905,9.905,9.87,9.9,54111,9.8723,1639544400000,71,
2021-12-16 05:00:00,9.89,9.92,9.875,9.92,46500,9.8963,1639630800000,191,
2021-12-17 05:00:00,9.885,9.94,9.885,9.94,52415,9.9097,1639717200000,9,
2021-12-20 05:00:00,9.94,9.94,9.94,9.94,43208,9.94,1639976400000,60,
2021-12-23 05:00:00,9.9,9.93,9.9,9.93,30701,9.9104,1640235600000,155,
2021-12-28 05:00:00,9.93,9.93,9.92,9.92,5100,9.9202,1640667600000,20,
2021-12-29 05:00:00,9.92,9.92,9.92,9.92,139,9.92,1640754000000,2,
2021-12-30 05:00:00,9.92,9.92,9.9,9.9,2215,9.9018,1640840400000,9,
2021-12-31 05:00:00,9.91,9.91,9.91,9.91,5908,9.91,1640926800000,2,
2022-01-03 05:00:00,10.15,10.15,10.15,10.15,267,10.1019,1641186000000,7,
2022-01-04 05:00:00,10.615,10.615,10.04,10.04,31339,10.6113,1641272400000,7,
2022-01-05 05:00:00,10.02,10.02,10.0,10.0,1542,10.0046,1641358800000,18,
2022-01-06 05:00:00,10.0,10.0,10.0,10.0,147,10.0076,1641445200000,2,
2022-01-07 05:00:00,9.89,9.89,9.89,9.89,100,9.89,1641531600000,1,
2022-01-10 05:00:00,9.88,9.88,9.88,9.88,336,9.8959,1641790800000,5,
2022-01-11 05:00:00,9.93,9.94,9.89,9.89,2422,9.9148,1641877200000,7,
2022-01-12 05:00:00,9.89,9.89,9.89,9.89,219,9.8927,1641963600000,3,
2022-01-13 05:00:00,9.9,9.91,9.9,9.9,155828,9.9001,1642050000000,70,
2022-01-14 05:00:00,9.89,9.91,9.89,9.91,221913,9.9037,1642136400000,145,
2022-01-18 05:00:00,10.27,10.27,9.96,9.96,1075,10.1746,1642482000000,17,
2022-01-19 05:00:00,9.905,9.91,9.905,9.91,1072,9.9091,1642568400000,5,
2022-01-21 05:00:00,9.92,10.0,9.9,9.9,29921,9.9026,1642741200000,85,
2022-01-24 05:00:00,10.02,10.02,9.9,9.9005,429,9.9532,1643000400000,18,
2022-01-25 05:00:00,9.91,10.04,9.91,10.04,106937,9.9128,1643086800000,126,
2022-01-26 05:00:00,9.91,9.91,9.9,9.9,25450,9.9004,1643173200000,4,
2022-01-27 05:00:00,9.96,9.96,9.89,9.9,143080,9.8953,1643259600000,35,
2022-02-01 05:00:00,10.07,10.07,9.89,9.89,33200,9.9202,1643691600000,36,
2022-02-02 05:00:00,9.96,9.98,9.8901,9.96,18914,9.9343,1643778000000,72,
2022-02-03 05:00:00,9.95,9.95,9.94,9.95,8778,9.9424,1643864400000,45,
2022-02-09 05:00:00,9.94,9.94,9.91,9.92,105200,9.9107,1644382800000,27,
2022-02-15 05:00:00,9.96,9.96,9.95,9.95,574660,9.95,1644901200000,10,
2022-02-24 05:00:00,9.925,9.94,9.92,9.94,500606,9.94,1645678800000,17,
2022-02-25 05:00:00,9.95,9.95,9.94,9.94,51123,9.94,1645765200000,22,
2022-03-01 05:00:00,9.9575,9.97,9.95,9.97,130123,9.9639,1646110800000,115,
2022-03-02 05:00:00,9.96,9.96,9.96,9.96,600,9.96,1646197200000,4,
2022-03-03 05:00:00,9.98,9.98,9.96,9.97,25813,9.9668,1646283600000,67,
2022-03-04 05:00:00,9.98,9.98,9.96,9.98,12253,9.9775,1646370000000,76,
2022-03-07 05:00:00,10.01,10.01,9.955,9.96,21791,9.9581,1646629200000,17,
2022-03-08 05:00:00,9.97,9.98,9.965,9.975,12101,9.9705,1646715600000,10,
2022-03-09 05:00:00,9.93,9.99,9.93,9.98,102793,9.9684,1646802000000,74,
2022-03-11 05:00:00,9.98,9.985,9.97,9.98,41697,9.9767,1646974800000,81,
2022-03-16 04:00:00,9.98,9.98,9.97,9.98,2633,9.9777,1647403200000,14,
2022-03-17 04:00:00,9.97,9.97,9.97,9.97,484,9.9701,1647489600000,7,
2022-03-18 04:00:00,9.98,9.98,9.97,9.98,282156,9.98,1647576000000,136,
2022-03-21 04:00:00,9.98,9.985,9.98,9.98,12162,9.9801,1647835200000,47,
2022-03-22 04:00:00,9.98,9.98,9.98,9.98,29150,9.9817,1647921600000,60,
2022-03-23 04:00:00,9.995,9.995,9.98,9.98,514,9.9834,1648008000000,6,
2022-03-24 04:00:00,9.98,9.99,9.98,9.99,456476,9.98,1648094400000,6,
2022-03-25 04:00:00,9.98,9.99,9.97,9.99,175493,9.9814,1648180800000,170,
2022-03-28 04:00:00,9.99,9.99,9.99,9.99,25026,9.99,1648440000000,17,
2022-03-29 04:00:00,9.99,9.99,9.99,9.99,150258,9.99,1648526400000,243,
2022-03-30 04:00:00,9.99,9.99,9.98,9.98,82921,9.9876,1648612800000,14,
2022-03-31 04:00:00,9.98,10.01,9.98,9.99,103939,10.0003,1648699200000,85,
2022-04-01 04:00:00,9.99,10.01,9.99,10.01,97650,10.0,1648785600000,34,
2022-04-04 04:00:00,9.99,10.01,9.99,10.0,47390,10.0076,1649044800000,42,
2022-04-05 04:00:00,10.0,10.0075,10.0,10.005,3092,10.0009,1649131200000,4,
2022-04-06 04:00:00,10.0,10.01,10.0,10.01,445,10.0052,1649217600000,14,
2022-04-08 04:00:00,10.02,10.02,10.01,10.02,114971,10.0197,1649390400000,65,
2022-04-11 04:00:00,10.06,10.06,10.01,10.01,115950,10.0199,1649649600000,23,
2022-04-13 04:00:00,10.02,10.03,10.02,10.03,116765,10.0214,1649822400000,103,
2022-04-14 04:00:00,10.06,10.06,10.04,10.05,3609,10.0454,1649908800000,13,
2022-04-18 04:00:00,10.37,10.385,10.04,10.04,13863,10.0816,1650254400000,30,
2022-04-19 04:00:00,10.365,10.375,10.02,10.08,15437,10.1237,1650340800000,103,
2022-04-20 04:00:00,10.4,10.4,10.02,10.04,2326,10.1538,1650427200000,27,
2022-04-21 04:00:00,10.0,10.055,10.0,10.04,5900,10.0424,1650513600000,30,
2022-04-22 04:00:00,10.375,10.375,10.02,10.05,1712,10.077,1650600000000,17,
2022-04-25 04:00:00,10.38,10.4,10.02,10.04,113082,10.0384,1650859200000,95,
2022-04-26 04:00:00,10.04,10.04,10.0325,10.0325,86392,10.0379,1650945600000,24,
2022-04-27 04:00:00,10.02,10.02,10.02,10.02,115,10.0235,1651032000000,7,
2022-04-28 04:00:00,10.03,10.04,10.015,10.02,543377,10.0206,1651118400000,66,
2022-05-02 04:00:00,10.03,10.04,10.03,10.03,4013,10.0393,1651464000000,20,
2022-05-03 04:00:00,10.03,10.03,10.03,10.03,102,10.0304,1651550400000,3,
