Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,29.7,30.3,29.2,29.3,664613.1,29.539,1598932800000,20391,
2020-09-02 04:00:00,29.2,29.4,27.6,28.8,785546.4,28.649,1599019200000,23637,
2020-09-03 04:00:00,28.8,29.7,28.0,28.2,853826.8,28.595,1599105600000,26576,
2020-09-04 04:00:00,28.5,28.9,27.5,28.8,737637.2,28.16,1599192000000,22965,
2020-09-08 04:00:00,28.2,29.7,27.6,28.7,621438.1,28.819,1599537600000,23232,
2020-09-09 04:00:00,28.4,28.572,27.9,28.2,421275.0,28.29,1599624000000,15177,
2020-09-10 04:00:00,28.1,28.4,27.5,27.6,612940.7,27.958,1599710400000,18898,
2020-09-11 04:00:00,27.7,27.8,26.6,27.1,587990.6,27.201,1599796800000,17308,
2020-09-14 04:00:00,27.1,28.4,27.0,28.2,519060.9,27.79,1600056000000,17305,
2020-09-15 04:00:00,28.5,29.0,28.2,28.5,337006.9,28.547,1600142400000,14035,
2020-09-16 04:00:00,28.7,29.9,28.0,29.2,602321.9,29.155,1600228800000,24088,
2020-09-17 04:00:00,28.9,29.6,28.7,29.2,339006.6,29.18,1600315200000,15836,
2020-09-18 04:00:00,29.0,29.2,28.15,28.5,1628544.4,28.571,1600401600000,24408,
2020-09-21 04:00:00,27.9,28.05,27.2,27.4,664407.8,27.5,1600660800000,16620,
2020-09-22 04:00:00,27.6,28.2,27.2,27.5,344255.3,27.586,1600747200000,11923,
2020-09-23 04:00:00,27.5,28.1,26.0,26.0,450434.3,26.801,1600833600000,16090,
2020-09-24 04:00:00,25.9,27.4,25.25,27.0,803334.1,26.514,1600920000000,23931,
2020-09-25 04:00:00,26.9,28.2,26.734,28.1,390752.4,27.678,1601006400000,13869,
2020-09-28 04:00:00,28.5,29.7,28.0,28.2,1207599.3,28.816,1601265600000,24723,
2020-09-29 04:00:00,28.6,28.7,27.0,27.5,442063.3,27.613,1601352000000,15197,
2020-09-30 04:00:00,27.4,27.7,27.0,27.1,557192.7,27.285,1601438400000,14424,
2020-10-01 04:00:00,27.8,27.9,27.05,27.7,343648.9,27.498,1601524800000,13003,
2020-10-02 04:00:00,26.7,29.0,26.5,28.9,431168.7,27.969,1601611200000,11982,
2020-10-05 04:00:00,29.0,29.3,28.2,28.8,391562.6,28.8,1601870400000,11885,
2020-10-06 04:00:00,28.5,29.2,28.0,28.0,610847.6,28.711,1601956800000,17442,
2020-10-07 04:00:00,28.1,28.459,27.6,28.0,439222.3,27.956,1602043200000,16215,
2020-10-08 04:00:00,27.9,29.0,27.6,28.5,414770.6,28.561,1602129600000,12586,
2020-10-09 04:00:00,28.6,28.777,28.0,28.4,262748.8,28.261,1602216000000,9268,
2020-10-12 04:00:00,28.3,28.4,27.7,28.2,309565.6,27.991,1602475200000,10036,
2020-10-13 04:00:00,27.8,28.3,27.702,28.0,184496.1,27.997,1602561600000,7041,
2020-10-14 04:00:00,28.0,28.6,27.9,27.9,255967.3,28.231,1602648000000,11477,
2020-10-15 04:00:00,27.5,28.0,27.5,27.9,264572.6,27.714,1602734400000,9270,
2020-10-16 04:00:00,27.7,28.1,27.6,27.7,214686.6,27.815,1602820800000,7565,
2020-10-19 04:00:00,28.0,28.0,27.4,27.5,305477.9,27.661,1603080000000,10529,
2020-10-20 04:00:00,27.8,28.1,27.3,27.9,301028.2,27.839,1603166400000,9372,
2020-10-21 04:00:00,28.0,28.0,27.0,27.3,314176.0,27.337,1603252800000,11608,
2020-10-22 04:00:00,27.2,27.583,27.0,27.4,213844.3,27.346,1603339200000,8133,
2020-10-23 04:00:00,27.3,28.5,27.3,28.0,554213.5,28.166,1603425600000,14868,
2020-10-26 04:00:00,27.8,27.9,27.2,27.6,382506.8,27.502,1603684800000,13290,
2020-10-27 04:00:00,27.6,28.3,27.3,27.4,295861.2,27.774,1603771200000,9544,
2020-10-28 04:00:00,27.1,27.4,26.6,27.0,536153.0,26.945,1603857600000,14501,
2020-10-29 04:00:00,27.0,27.6,26.15,27.6,419161.3,27.064,1603944000000,14660,
2020-10-30 04:00:00,27.3,27.4,26.8,27.0,319062.1,26.937,1604030400000,10910,
2020-11-02 05:00:00,27.4,27.6,27.0,27.4,304479.1,27.392,1604293200000,10266,
2020-11-03 05:00:00,27.5,28.1,27.4,28.0,261886.4,27.856,1604379600000,8473,
2020-11-04 05:00:00,27.9,28.4,27.066,27.7,238330.3,27.926,1604466000000,7708,
2020-11-05 05:00:00,27.8,29.3,27.4,28.5,551040.4,28.622,1604552400000,14135,
2020-11-06 05:00:00,28.5,28.8,28.1,28.7,433198.2,28.533,1604638800000,11725,
2020-11-09 05:00:00,30.9,31.9,29.4,31.0,1731937.1,30.913,1604898000000,49120,
2020-11-10 05:00:00,31.6,33.0,30.8,32.5,1383566.0,32.283,1604984400000,35550,
2020-11-11 05:00:00,33.0,33.0,30.7,31.3,751567.2,31.381,1605070800000,19265,
2020-11-12 05:00:00,30.5,31.1,29.6,30.7,784702.5,30.423,1605157200000,21597,
2020-11-13 05:00:00,30.7,32.4,30.5,32.1,597026.7,31.639,1605243600000,17314,
2020-11-16 05:00:00,33.1,33.7,32.3,33.0,1002357.1,32.967,1605502800000,25203,
2020-11-17 05:00:00,32.5,34.6,32.4,33.6,1230530.8,33.603,1605589200000,24594,
2020-11-18 05:00:00,34.0,34.6,32.3,32.3,1566516.3,33.794,1605675600000,29072,
2020-11-19 05:00:00,32.7,33.0,31.1,32.2,704849.2,31.912,1605762000000,18865,
2020-11-20 05:00:00,32.2,33.25,32.0,33.0,572888.3,32.798,1605848400000,15124,
2020-11-23 05:00:00,33.5,34.0,33.0,33.4,1547793.0,33.597,1606107600000,26807,
2020-11-24 05:00:00,34.2,35.9,33.95,34.9,2847139.5,34.536,1606194000000,41855,
2020-11-25 05:00:00,35.7,35.7,33.7,34.5,903424.5,34.642,1606280400000,22915,
2020-11-27 05:00:00,35.1,35.1,34.0,34.7,524450.9,34.528,1606453200000,13733,
2020-11-30 05:00:00,34.5,34.9,32.9,33.2,978648.2,33.532,1606712400000,25496,
2020-12-01 05:00:00,33.8,35.2,33.1,33.2,1005885.6,34.119,1606798800000,22430,
2020-12-02 05:00:00,33.4,35.2,33.1,34.9,937017.7,34.713,1606885200000,22096,
2020-12-03 05:00:00,35.3,35.6,34.3,34.6,945755.4,35.081,1606971600000,20007,
2020-12-04 05:00:00,34.9,35.4,34.5,34.9,981463.3,35.01,1607058000000,18785,
2020-12-07 05:00:00,35.0,35.1,33.5,34.0,810512.3,34.216,1607317200000,20051,
2020-12-08 05:00:00,33.8,34.6,33.7,34.2,1080513.6,34.266,1607403600000,18945,
2020-12-09 05:00:00,34.7,34.8,32.6,33.8,1004772.3,33.672,1607490000000,24226,
2020-12-10 05:00:00,33.0,33.6,32.9,33.2,517230.5,33.301,1607576400000,16219,
2020-12-11 05:00:00,33.2,33.6,32.3,32.8,650967.2,32.836,1607662800000,17450,
2020-12-14 05:00:00,33.0,33.4,32.3,32.4,619785.0,32.753,1607922000000,19212,
2020-12-15 05:00:00,32.7,33.9,32.45,33.7,495124.3,33.163,1608008400000,14459,
2020-12-16 05:00:00,33.9,34.0,32.9,32.9,437993.6,33.325,1608094800000,12590,
2020-12-17 05:00:00,33.0,33.5,32.5,33.5,450135.3,33.084,1608181200000,12930,
2020-12-18 05:00:00,33.3,33.576,32.3,32.4,1042301.0,32.728,1608267600000,19237,
2020-12-21 05:00:00,32.0,32.3,31.5,32.2,661904.7,31.971,1608526800000,18762,
2020-12-22 05:00:00,32.0,32.3,31.7,32.1,611241.9,32.009,1608613200000,16327,
2020-12-23 05:00:00,31.9,34.8,31.9,34.0,1220319.7,33.908,1608699600000,24257,
2020-12-24 05:00:00,33.9,34.0,32.6,33.4,364162.6,33.163,1608786000000,10859,
2020-12-28 05:00:00,33.6,34.4,33.2,33.5,707558.6,33.676,1609131600000,17027,
2020-12-29 05:00:00,34.3,34.3,33.0,33.6,717194.4,33.75,1609218000000,16042,
2020-12-30 05:00:00,33.6,34.05,33.0,33.6,564223.0,33.702,1609304400000,15588,
2020-12-31 05:00:00,33.5,34.1,33.3,33.8,519112.7,33.888,1609390800000,11696,
2021-01-04 05:00:00,34.2,34.2,32.2,33.0,922239.6,32.964,1609736400000,22387,
2021-01-05 05:00:00,32.9,34.1,32.8,33.3,617504.1,33.606,1609822800000,16876,
2021-01-06 05:00:00,33.7,34.7,33.5,33.8,926647.4,34.078,1609909200000,21131,
2021-01-07 05:00:00,34.3,34.7,33.8,34.5,617092.0,34.267,1609995600000,16115,
2021-01-08 05:00:00,34.6,34.6,33.5,34.6,632961.7,34.077,1610082000000,15550,
2021-01-11 05:00:00,33.4,34.1,33.1,33.5,587479.5,33.545,1610341200000,15796,
2021-01-12 05:00:00,33.5,33.6,32.8,33.3,523353.9,33.266,1610427600000,13456,
2021-01-13 05:00:00,33.3,33.3,32.2,32.7,591628.0,32.681,1610514000000,17307,
2021-01-14 05:00:00,32.9,33.7,32.7,33.6,542983.9,33.21,1610600400000,14390,
2021-01-15 05:00:00,33.3,34.0,32.9,33.0,484906.0,33.511,1610686800000,15175,
2021-01-19 05:00:00,33.4,33.5,32.7,33.0,483006.8,32.957,1611032400000,18155,
2021-01-20 05:00:00,33.0,34.4,32.7,34.4,700592.9,33.748,1611118800000,16654,
2021-01-21 05:00:00,34.3,36.699,33.9,35.6,1366970.2,35.472,1611205200000,34053,
2021-01-22 05:00:00,35.4,35.75,34.4,35.6,673817.9,35.025,1611291600000,19527,
2021-01-25 05:00:00,35.9,38.85,35.1,37.8,1725731.9,37.544,1611550800000,39460,
2021-01-26 05:00:00,38.8,43.0,37.7,41.9,3264407.3,41.351,1611637200000,73703,
2021-01-27 05:00:00,44.4,46.0,40.7,42.3,2578822.4,43.09,1611723600000,72221,
2021-01-28 05:00:00,41.8,42.2,37.902,39.4,1824824.9,39.513,1611810000000,65871,
2021-01-29 05:00:00,39.5,41.2,38.9,40.4,803613.6,40.07,1611896400000,33318,
2021-02-01 05:00:00,40.4,40.6,38.7,40.1,694982.4,39.574,1612155600000,30904,
2021-02-02 05:00:00,39.2,39.5,38.0,38.4,2177227.9,38.728,1612242000000,47264,
2021-02-03 05:00:00,38.5,39.05,37.4,37.4,1134726.4,37.882,1612328400000,30665,
2021-02-04 05:00:00,37.6,38.5,37.4,38.0,843229.3,37.975,1612414800000,22520,
2021-02-05 05:00:00,38.3,39.4,38.2,38.5,648153.0,38.698,1612501200000,19539,
2021-02-08 05:00:00,38.9,39.15,38.3,38.6,642606.6,38.686,1612760400000,20894,
2021-02-09 05:00:00,38.6,38.7,37.9,38.1,587315.9,38.145,1612846800000,20068,
2021-02-10 05:00:00,38.4,39.0,38.0,38.3,973186.9,38.433,1612933200000,25510,
2021-02-11 05:00:00,38.6,39.2,37.3,38.5,1091165.2,38.35,1613019600000,28054,
2021-02-12 05:00:00,38.3,39.2,37.9,38.3,636595.7,38.606,1613106000000,22056,
2021-02-16 05:00:00,38.8,38.9,37.5,37.6,962229.2,37.929,1613451600000,31015,
2021-02-17 05:00:00,37.8,37.9,36.2,36.2,1046517.3,36.654,1613538000000,29188,
2021-02-18 05:00:00,36.1,36.7,35.1,35.4,790882.1,35.636,1613624400000,23120,
2021-02-19 05:00:00,36.0,38.4,35.9,37.0,1328156.7,37.301,1613710800000,32330,
2021-02-22 05:00:00,37.9,39.4,37.2,38.9,1522118.4,38.455,1613970000000,44393,
2021-02-23 05:00:00,37.8,38.9,35.7,38.2,1401715.3,37.692,1614056400000,44587,
2021-02-24 05:00:00,38.5,41.6,38.0,41.5,2045489.9,40.494,1614142800000,51033,
2021-02-25 05:00:00,41.3,43.291,38.1,38.4,1607603.1,40.262,1614229200000,42843,
2021-02-26 05:00:00,38.8,40.48,37.75,38.9,1071600.5,38.856,1614315600000,28366,
2021-03-01 05:00:00,39.9,40.7,38.9,39.2,729640.3,39.593,1614574800000,24170,
2021-03-02 05:00:00,39.1,40.2,38.8,39.9,734338.8,39.609,1614661200000,19368,
2021-03-03 05:00:00,39.9,41.1,39.55,40.0,978674.9,40.271,1614747600000,24964,
2021-03-04 05:00:00,39.8,40.183,37.3,38.4,1307405.1,38.379,1614834000000,34624,
2021-03-05 05:00:00,39.0,39.0,35.5,37.6,1695559.0,37.033,1614920400000,38604,
2021-03-08 05:00:00,38.0,38.9,36.9,37.3,1310150.8,37.808,1615179600000,27450,
2021-03-09 05:00:00,38.0,38.1,37.1,37.6,1130838.0,37.543,1615266000000,23785,
2021-03-10 05:00:00,37.7,38.3,37.117,37.5,1386302.8,37.796,1615352400000,29761,
2021-03-11 05:00:00,37.7,38.45,37.4,37.6,1103638.4,37.803,1615438800000,24833,
2021-03-12 05:00:00,37.6,38.899,37.3,38.4,1943458.9,38.221,1615525200000,33717,
2021-03-15 04:00:00,39.1,39.9,38.6,39.9,1070589.5,39.376,1615780800000,29650,
2021-03-16 04:00:00,39.9,40.0,39.0,39.6,804913.6,39.563,1615867200000,23798,
2021-03-17 04:00:00,39.5,40.8,39.0,40.7,964272.2,40.067,1615953600000,25953,
2021-03-18 04:00:00,40.4,40.9,38.5,38.9,958754.7,39.729,1616040000000,27502,
2021-03-19 04:00:00,38.9,40.4,38.3,40.0,2851403.8,39.88,1616126400000,29384,
2021-03-22 04:00:00,40.0,40.4,39.3,40.2,532494.0,39.894,1616385600000,17109,
2021-03-23 04:00:00,40.0,40.3,38.55,39.2,662627.9,39.264,1616472000000,19489,
2021-03-24 04:00:00,39.4,41.0,38.7,38.8,910028.9,39.758,1616558400000,23064,
2021-03-25 04:00:00,38.4,39.9,37.3,39.6,826413.5,38.572,1616644800000,23554,
2021-03-26 04:00:00,39.9,40.1,38.7,39.6,550143.5,39.332,1616731200000,14609,
2021-03-29 04:00:00,39.6,40.8,39.2,39.9,744292.9,40.192,1616990400000,19614,
2021-03-30 04:00:00,40.1,41.3,39.75,40.5,832455.7,40.705,1617076800000,18872,
2021-03-31 04:00:00,41.1,41.5,40.1,40.1,687302.5,40.509,1617163200000,18351,
2021-04-01 04:00:00,40.6,40.9,40.1,40.9,574849.1,40.508,1617249600000,14943,
2021-04-05 04:00:00,41.2,41.499,40.4,40.6,596729.6,40.86,1617595200000,16160,
2021-04-06 04:00:00,40.6,41.1,40.6,40.8,520532.8,40.809,1617681600000,12356,
2021-04-07 04:00:00,40.8,41.0,40.4,40.6,520883.0,40.696,1617768000000,14393,
2021-04-08 04:00:00,39.7,40.1,39.2,39.6,596844.4,39.656,1617854400000,17683,
2021-04-09 04:00:00,39.4,39.7,39.2,39.3,288306.1,39.442,1617940800000,10073,
2021-04-12 04:00:00,39.2,39.3,38.6,38.8,461986.8,38.873,1618200000000,15385,
2021-04-13 04:00:00,39.0,39.2,38.0,38.8,471798.9,38.559,1618286400000,15792,
2021-04-14 04:00:00,38.6,39.5,38.5,38.7,409249.2,38.987,1618372800000,12282,
2021-04-15 04:00:00,39.0,39.1,38.0,38.0,456822.6,38.248,1618459200000,14681,
2021-04-16 04:00:00,38.2,38.5,37.8,38.5,552036.7,38.161,1618545600000,16035,
2021-04-19 04:00:00,38.5,38.7,37.6,37.9,533552.8,37.98,1618804800000,16834,
2021-04-20 04:00:00,37.8,37.9,36.3,37.1,700883.5,36.98,1618891200000,19715,
2021-04-21 04:00:00,37.0,38.0,36.65,37.3,437496.1,37.465,1618977600000,12458,
2021-04-22 04:00:00,37.7,37.8,37.1,37.2,410297.7,37.384,1619064000000,12597,
2021-04-23 04:00:00,37.2,38.4,37.2,38.1,479586.0,37.984,1619150400000,11788,
2021-04-26 04:00:00,38.0,38.8,38.0,38.2,359997.2,38.433,1619409600000,11573,
2021-04-27 04:00:00,38.8,39.1,38.3,38.5,389157.1,38.67,1619496000000,11947,
2021-04-28 04:00:00,39.1,39.3,38.617,39.1,427114.6,39.022,1619582400000,12744,
2021-04-29 04:00:00,39.2,39.499,38.439,38.8,373666.6,38.93,1619668800000,10988,
2021-04-30 04:00:00,38.7,39.3,38.3,39.0,325098.3,38.931,1619755200000,9611,
2021-05-03 04:00:00,39.2,39.7,39.0,39.0,474540.7,39.211,1620014400000,14561,
2021-05-04 04:00:00,38.8,38.899,37.7,38.3,587633.2,38.153,1620100800000,17272,
2021-05-05 04:00:00,38.5,38.5,37.7,38.0,461946.8,38.018,1620187200000,14478,
2021-05-06 04:00:00,37.1,37.38,35.7,36.3,1665081.1,36.265,1620273600000,34103,
2021-05-07 04:00:00,35.9,36.8,35.9,36.1,838984.8,36.191,1620360000000,23857,
2021-05-10 04:00:00,36.1,36.5,35.4,35.5,692782.6,35.851,1620619200000,21390,
