Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-06-08 04:00:00,14.0,14.02,13.19,13.89,228712.0,13.5011,1623124800000,1562,
2021-06-09 04:00:00,13.89,14.495,13.75,14.13,355759.0,14.103,1623211200000,3209,
2021-06-10 04:00:00,14.15,14.39,13.7761,14.34,301722.0,14.2148,1623297600000,2424,
2021-06-11 04:00:00,14.42,14.42,14.13,14.29,145635.0,14.3217,1623384000000,1281,
2021-06-14 04:00:00,14.5,14.68,13.75,14.0,193755.0,14.0319,1623643200000,1269,
2021-06-15 04:00:00,13.78,13.99,13.755,13.94,130137.0,13.873,1623729600000,1301,
2021-06-16 04:00:00,13.99,14.0,13.68,13.77,868117.0,13.7824,1623816000000,750,
2021-06-17 04:00:00,13.76,14.0,13.15,13.42,2689435.0,13.474,1623902400000,2301,
2021-06-18 04:00:00,13.41,14.26,13.26,13.9,367760.0,13.8792,1623988800000,2081,
2021-06-21 04:00:00,13.57,13.9,13.13,13.24,485589.0,13.339,1624248000000,3954,
2021-06-22 04:00:00,13.18,13.33,13.03,13.3,173562.0,13.2585,1624334400000,1538,
2021-06-23 04:00:00,13.25,13.655,13.02,13.43,199060.0,13.3082,1624420800000,1228,
2021-06-24 04:00:00,13.49,14.19,13.16,13.69,421832.0,13.693,1624507200000,2667,
2021-06-25 04:00:00,13.71,13.96,13.44,13.64,381891.0,13.6166,1624593600000,2543,
2021-06-28 04:00:00,13.75,13.75,13.4,13.57,238369.0,13.4883,1624852800000,2283,
2021-06-29 04:00:00,13.61,14.02,13.46,13.9,189396.0,13.8689,1624939200000,1941,
2021-06-30 04:00:00,13.9,14.17,13.82,14.13,235107.0,14.0039,1625025600000,2010,
2021-07-01 04:00:00,14.24,14.26,13.55,13.78,378549.0,13.9216,1625112000000,2562,
2021-07-02 04:00:00,13.79,14.06,13.59,13.95,108408.0,13.8867,1625198400000,968,
2021-07-06 04:00:00,13.95,13.99,13.72,13.72,955387.0,13.8728,1625544000000,3052,
2021-07-07 04:00:00,13.6,13.99,13.13,13.29,797456.0,13.4071,1625630400000,4555,
2021-07-08 04:00:00,13.1,13.54,12.85,13.09,560401.0,13.1534,1625716800000,4096,
2021-07-09 04:00:00,13.0,13.45,13.0,13.23,406442.0,13.2496,1625803200000,2331,
2021-07-12 04:00:00,13.2,13.28,12.98,13.13,160574.0,13.1429,1626062400000,1854,
2021-07-13 04:00:00,13.12,13.46,12.9,12.96,268683.0,13.1316,1626148800000,2607,
2021-07-14 04:00:00,12.92,13.09,12.23,12.45,718959.0,12.5354,1626235200000,5447,
2021-07-15 04:00:00,12.48,12.68,12.27,12.41,666736.0,12.4196,1626321600000,5146,
2021-07-16 04:00:00,12.4,12.4864,12.3,12.4,289596.0,12.3916,1626408000000,2015,
2021-07-19 04:00:00,12.31,12.46,12.06,12.3,525625.0,12.2558,1626667200000,3321,
2021-07-20 04:00:00,12.32,12.5599,12.08,12.12,745193.0,12.2248,1626753600000,3712,
2021-07-21 04:00:00,12.13,12.45,12.07,12.15,460836.0,12.1726,1626840000000,3233,
2021-07-22 04:00:00,13.0,13.0,12.35,12.46,584441.0,12.59,1626926400000,3802,
2021-07-23 04:00:00,12.59,13.04,12.51,12.8,188729.0,12.8087,1627012800000,2105,
2021-07-26 04:00:00,12.8,13.1124,12.58,12.65,175564.0,12.6904,1627272000000,2171,
2021-07-27 04:00:00,12.59,12.725,12.3,12.4,234727.0,12.4292,1627358400000,2057,
2021-07-28 04:00:00,12.63,12.77,12.45,12.73,522715.0,12.585,1627444800000,3675,
2021-07-29 04:00:00,12.73,13.33,12.65,13.21,391347.0,13.1545,1627531200000,3972,
2021-07-30 04:00:00,13.14,14.13,12.9834,14.0,792592.0,13.9455,1627617600000,7184,
2021-08-02 04:00:00,13.96,14.09,13.62,13.97,607711.0,13.9461,1627876800000,4515,
2021-08-03 04:00:00,13.96,14.3,13.96,14.04,775220.0,14.0904,1627963200000,7445,
2021-08-04 04:00:00,14.04,14.04,13.74,13.87,455040.0,13.8416,1628049600000,3217,
2021-08-05 04:00:00,13.87,13.94,13.61,13.73,782098.0,13.7939,1628136000000,3943,
2021-08-06 04:00:00,13.63,13.81,13.3,13.39,446959.0,13.5054,1628222400000,3555,
2021-08-09 04:00:00,13.21,14.11,12.61,13.14,7370325.0,13.6267,1628481600000,34276,
2021-08-10 04:00:00,13.56,15.33,13.19,15.08,5034699.0,14.6447,1628568000000,37253,
2021-08-11 04:00:00,15.1,15.5,14.66,15.1,1445522.0,15.0238,1628654400000,13656,
2021-08-12 04:00:00,15.14,15.38,14.28,14.89,1694396.0,14.6441,1628740800000,14952,
2021-08-13 04:00:00,14.93,15.1,14.51,14.66,1030535.0,14.747,1628827200000,9252,
2021-08-16 04:00:00,14.64,14.76,13.64,13.75,1306449.0,13.909,1629086400000,11146,
2021-08-17 04:00:00,13.6,14.11,13.05,13.78,4635449.0,13.5454,1629172800000,30714,
2021-08-18 04:00:00,13.8,14.065,13.52,13.93,976219.0,13.8543,1629259200000,7415,
2021-08-19 04:00:00,13.86,14.55,13.86,14.45,1435565.0,14.2249,1629345600000,11201,
2021-08-20 04:00:00,14.81,15.07,14.29,14.96,1673225.0,14.8064,1629432000000,16057,
2021-08-23 04:00:00,15.0,15.1,14.55,14.61,864995.0,14.7528,1629691200000,7426,
2021-08-24 04:00:00,14.59,14.855,14.49,14.82,800956.0,14.7626,1629777600000,12012,
2021-08-25 04:00:00,14.89,15.175,14.64,14.9,647210.0,14.9438,1629864000000,6185,
2021-08-26 04:00:00,14.94,15.31,14.8,14.96,551769.0,15.077,1629950400000,5235,
2021-08-27 04:00:00,14.9,15.17,14.9,15.1,414073.0,15.0445,1630036800000,4144,
2021-08-30 04:00:00,15.12,15.2,14.75,14.8,942289.0,14.8931,1630296000000,6192,
2021-08-31 04:00:00,14.79,15.115,14.665,15.01,528110.0,14.9851,1630382400000,5000,
2021-09-01 04:00:00,15.0,15.29,14.91,15.08,684460.0,15.0672,1630468800000,8367,
2021-09-02 04:00:00,15.13,15.675,15.05,15.57,806975.0,15.501,1630555200000,7903,
2021-09-03 04:00:00,15.59,15.94,15.4,15.76,636791.0,15.7892,1630641600000,7112,
2021-09-07 04:00:00,15.83,15.89,14.78,14.85,1117129.0,15.1232,1630987200000,10886,
2021-09-08 04:00:00,14.8,14.8,14.12,14.34,903820.0,14.3613,1631073600000,9470,
