Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,6.72,6.79,6.61,6.77,193504.0,6.7419,1598932800000,1411,
2020-09-02 04:00:00,6.79,6.81,6.67,6.7,360234.0,6.7093,1599019200000,2296,
2020-09-03 04:00:00,6.7,6.775,6.63,6.72,336095.0,6.7134,1599105600000,2548,
2020-09-04 04:00:00,6.92,6.93,6.58,6.7,249714.0,6.7055,1599192000000,2158,
2020-09-08 04:00:00,6.67,6.67,6.44,6.44,284537.0,6.5195,1599537600000,2175,
2020-09-09 04:00:00,6.48,6.48,6.11,6.21,328530.0,6.2039,1599624000000,2942,
2020-09-10 04:00:00,6.25,6.31,6.06,6.09,257963.0,6.1313,1599710400000,2153,
2020-09-11 04:00:00,6.08,6.2,5.94,6.15,245589.0,6.12,1599796800000,2056,
2020-09-14 04:00:00,6.23,6.315,6.14,6.26,183428.0,6.2458,1600056000000,1881,
2020-09-15 04:00:00,6.29,6.44,6.229,6.35,269222.0,6.3498,1600142400000,2011,
2020-09-16 04:00:00,6.42,6.43,6.22,6.24,239116.0,6.2991,1600228800000,1909,
2020-09-17 04:00:00,6.13,6.395,6.1,6.31,210393.0,6.3025,1600315200000,1588,
2020-09-18 04:00:00,6.39,6.41,6.175,6.32,689528.0,6.3213,1600401600000,2264,
2020-09-21 04:00:00,6.21,6.21,5.91,6.01,422639.0,6.0109,1600660800000,3349,
2020-09-22 04:00:00,6.08,6.15,5.8,6.01,308961.0,5.9627,1600747200000,2284,
2020-09-23 04:00:00,6.03,6.18,5.77,5.78,305209.0,5.9046,1600833600000,2206,
2020-09-24 04:00:00,5.75,5.9,5.66,5.82,218341.0,5.8035,1600920000000,2347,
2020-09-25 04:00:00,5.73,6.01,5.7,5.96,340000.0,5.9161,1601006400000,2857,
2020-09-28 04:00:00,6.09,6.39,6.09,6.29,353745.0,6.316,1601265600000,2745,
2020-09-29 04:00:00,6.29,6.615,6.29,6.42,441862.0,6.4447,1601352000000,2671,
2020-09-30 04:00:00,6.39,6.47,6.18,6.25,437477.0,6.3007,1601438400000,2881,
2020-10-01 04:00:00,6.35,6.515,6.28,6.36,255298.0,6.3882,1601524800000,2068,
2020-10-02 04:00:00,6.25,6.79,6.225,6.62,391712.0,6.5471,1601611200000,2941,
2020-10-05 04:00:00,6.72,7.01,6.6859,7.0,266319.0,6.8777,1601870400000,2171,
2020-10-06 04:00:00,7.13,7.345,6.9,7.16,556652.0,7.1436,1601956800000,3268,
2020-10-07 04:00:00,7.27,7.61,7.25,7.58,348399.0,7.542,1602043200000,3188,
2020-10-08 04:00:00,7.72,7.77,7.09,7.3,401745.0,7.3241,1602129600000,2469,
2020-10-09 04:00:00,7.4,7.49,7.1,7.16,160433.0,7.1982,1602216000000,1308,
2020-10-12 04:00:00,7.1,7.25,6.87,7.16,261654.0,7.1333,1602475200000,1527,
2020-10-13 04:00:00,7.12,7.19,7.0,7.08,189435.0,7.0957,1602561600000,1208,
2020-10-14 04:00:00,7.05,7.22,6.97,7.0,141707.0,7.0706,1602648000000,1692,
2020-10-15 04:00:00,6.92,7.2,6.83,7.18,174753.0,7.0859,1602734400000,1371,
2020-10-16 04:00:00,7.17,7.27,7.08,7.13,192366.0,7.156,1602820800000,1627,
2020-10-19 04:00:00,7.15,7.5,7.12,7.21,212071.0,7.3195,1603080000000,1880,
2020-10-20 04:00:00,7.29,7.44,7.12,7.18,227561.0,7.1944,1603166400000,1071,
2020-10-21 04:00:00,7.19,7.21,7.03,7.12,130983.0,7.1252,1603252800000,1728,
2020-10-22 04:00:00,7.17,7.22,7.04,7.15,270099.0,7.1479,1603339200000,1785,
2020-10-23 04:00:00,7.21,7.36,7.09,7.17,123210.0,7.1968,1603425600000,1561,
2020-10-26 04:00:00,7.11,7.11,6.76,6.83,262720.0,6.8338,1603684800000,2273,
2020-10-27 04:00:00,6.81,6.88,6.45,6.46,477913.0,6.5223,1603771200000,1888,
2020-10-28 04:00:00,6.32,6.34,6.15,6.17,389113.0,6.2047,1603857600000,2896,
2020-10-29 04:00:00,6.17,6.48,6.14,6.46,264054.0,6.366,1603944000000,2849,
2020-10-30 04:00:00,6.43,6.461,6.27,6.4,243133.0,6.3845,1604030400000,2225,
2020-11-02 05:00:00,6.53,7.0,6.5,6.94,241339.0,6.8325,1604293200000,2348,
2020-11-03 05:00:00,7.0,7.39,6.82,7.25,523193.0,7.2219,1604379600000,2777,
2020-11-04 05:00:00,7.08,7.17,6.71,6.82,383903.0,6.8683,1604466000000,2064,
2020-11-05 05:00:00,6.85,7.64,6.82,7.38,438038.0,7.2057,1604552400000,2245,
2020-11-06 05:00:00,7.62,10.97,7.62,9.62,2927990.0,9.8893,1604638800000,16178,
2020-11-09 05:00:00,10.43,10.83,9.89,10.1,906694.0,10.209,1604898000000,7471,
2020-11-10 05:00:00,10.21,10.63,10.0,10.35,704804.0,10.3558,1604984400000,4787,
2020-11-11 05:00:00,10.5,10.5,10.1,10.16,494358.0,10.2167,1605070800000,3820,
2020-11-12 05:00:00,10.01,10.21,9.8306,10.06,469672.0,10.0324,1605157200000,3222,
2020-11-13 05:00:00,10.11,10.64,10.05,10.59,363480.0,10.3813,1605243600000,3263,
2020-11-16 05:00:00,10.88,11.61,10.55,11.6,708288.0,11.1381,1605502800000,4927,
2020-11-17 05:00:00,11.4,11.82,11.1,11.76,606663.0,11.5965,1605589200000,4732,
2020-11-18 05:00:00,11.87,11.96,11.13,11.15,476751.0,11.4151,1605675600000,4434,
2020-11-19 05:00:00,11.03,11.3299,10.53,10.78,446963.0,10.7543,1605762000000,4401,
2020-11-20 05:00:00,10.62,10.85,10.25,10.84,561346.0,10.581,1605848400000,4728,
2020-11-23 05:00:00,11.0,11.61,10.92,11.5,511479.0,11.3128,1606107600000,4025,
2020-11-24 05:00:00,11.85,11.98,11.52,11.67,643287.0,11.7105,1606194000000,3065,
2020-11-25 05:00:00,11.43,11.63,11.05,11.61,456438.0,11.5042,1606280400000,3599,
2020-11-27 05:00:00,11.51,11.53,10.93,11.18,230454.0,11.1181,1606453200000,2183,
2020-11-30 05:00:00,11.1,11.34,10.9,10.92,433939.0,11.024,1606712400000,3547,
2020-12-01 05:00:00,11.2,11.47,10.96,11.19,318798.0,11.2022,1606798800000,2855,
2020-12-02 05:00:00,11.13,11.54,11.0916,11.24,568102.0,11.3042,1606885200000,4148,
2020-12-03 05:00:00,11.39,11.39,11.04,11.09,655607.0,11.1701,1606971600000,5213,
2020-12-04 05:00:00,11.27,12.34,11.27,12.12,717442.0,12.0137,1607058000000,4166,
2020-12-07 05:00:00,11.96,12.06,11.47,11.73,632100.0,11.7686,1607317200000,5011,
2020-12-08 05:00:00,11.69,12.07,11.66,11.66,682516.0,11.7557,1607403600000,4073,
2020-12-09 05:00:00,11.75,12.61,11.73,12.11,601027.0,12.2188,1607490000000,4668,
2020-12-10 05:00:00,11.78,12.05,11.51,11.99,425395.0,11.9085,1607576400000,3576,
2020-12-11 05:00:00,11.8,12.03,11.72,12.0,478275.0,11.9091,1607662800000,4464,
2020-12-14 05:00:00,12.16,12.44,12.01,12.2,487285.0,12.2229,1607922000000,5209,
2020-12-15 05:00:00,12.39,12.72,12.25,12.71,469729.0,12.5351,1608008400000,3538,
2020-12-16 05:00:00,12.85,12.93,12.39,12.47,399367.0,12.5872,1608094800000,3247,
2020-12-17 05:00:00,12.48,12.59,12.359,12.41,307564.0,12.4347,1608181200000,2627,
2020-12-18 05:00:00,12.48,12.92,12.13,12.24,1082750.0,12.4217,1608267600000,5368,
2020-12-21 05:00:00,11.83,12.19,11.73,12.11,556103.0,12.0526,1608526800000,3354,
2020-12-22 05:00:00,12.44,12.46,12.2,12.33,258426.0,12.3494,1608613200000,2304,
2020-12-23 05:00:00,12.5,12.65,12.13,12.15,254929.0,12.25,1608699600000,1817,
2020-12-24 05:00:00,12.25,12.27,12.0415,12.17,101104.0,12.1458,1608786000000,828,
2020-12-28 05:00:00,12.43,12.63,12.22,12.29,265413.0,12.3824,1609131600000,2975,
2020-12-29 05:00:00,12.35,12.3674,11.8402,12.2,268090.0,12.1346,1609218000000,2511,
2020-12-30 05:00:00,12.26,12.58,12.26,12.48,208540.0,12.4692,1609304400000,2183,
2020-12-31 05:00:00,12.49,12.7399,12.43,12.56,332288.0,12.5558,1609390800000,2007,
2021-01-04 05:00:00,12.62,12.68,11.87,12.17,766673.0,12.1774,1609736400000,6398,
2021-01-05 05:00:00,12.13,12.75,12.13,12.66,358303.0,12.5751,1609822800000,2676,
2021-01-06 05:00:00,13.0,13.66,12.97,13.47,515920.0,13.4087,1609909200000,4848,
2021-01-07 05:00:00,13.75,13.75,13.25,13.39,382313.0,13.4625,1609995600000,3746,
2021-01-08 05:00:00,13.28,13.5,13.15,13.46,517592.0,13.3595,1610082000000,4577,
2021-01-11 05:00:00,13.24,13.53,13.16,13.51,281553.0,13.4529,1610341200000,2707,
2021-01-12 05:00:00,13.61,13.98,13.52,13.92,446347.0,13.8377,1610427600000,4698,
2021-01-13 05:00:00,13.99,13.99,13.62,13.79,288782.0,13.7726,1610514000000,2744,
2021-01-14 05:00:00,13.96,14.21,13.77,13.94,354981.0,13.9528,1610600400000,2407,
2021-01-15 05:00:00,13.63,13.91,13.18,13.64,321848.0,13.6111,1610686800000,2361,
2021-01-19 05:00:00,13.88,13.88,13.3754,13.63,429191.0,13.6329,1611032400000,2500,
2021-01-20 05:00:00,13.79,13.99,13.6,13.96,236146.0,13.8557,1611118800000,2048,
2021-01-21 05:00:00,14.0,14.29,13.72,14.28,455799.0,14.1409,1611205200000,3669,
2021-01-22 05:00:00,14.1,14.19,13.75,14.06,313143.0,13.9604,1611291600000,2434,
2021-01-25 05:00:00,13.88,14.05,13.29,13.55,310879.0,13.5905,1611550800000,2718,
2021-01-26 05:00:00,13.66,13.8,13.03,13.16,339052.0,13.2545,1611637200000,3143,
2021-01-27 05:00:00,12.78,12.88,12.38,12.66,457593.0,12.6591,1611723600000,4056,
2021-01-28 05:00:00,12.79,13.065,12.56,12.71,277192.0,12.7685,1611810000000,3242,
2021-01-29 05:00:00,12.75,12.94,12.4,12.55,244380.0,12.6066,1611896400000,2915,
2021-02-01 05:00:00,12.72,12.98,12.54,12.91,201554.0,12.7997,1612155600000,1752,
2021-02-02 05:00:00,13.18,13.35,13.02,13.13,159185.0,13.1541,1612242000000,2110,
2021-02-03 05:00:00,13.19,13.55,13.11,13.48,235446.0,13.3699,1612328400000,2109,
2021-02-04 05:00:00,13.59,13.96,13.53,13.71,347517.0,13.7116,1612414800000,3292,
2021-02-05 05:00:00,13.54,14.04,12.63,13.85,710739.0,13.5407,1612501200000,5362,
2021-02-08 05:00:00,14.05,14.8,14.05,14.8,501523.0,14.5866,1612760400000,3668,
2021-02-09 05:00:00,14.8,14.8,14.08,14.48,313588.0,14.4259,1612846800000,2389,
2021-02-10 05:00:00,14.5,14.5,14.02,14.06,326333.0,14.1544,1612933200000,2864,
2021-02-11 05:00:00,14.2,14.5126,13.56,13.68,493112.0,13.7927,1613019600000,3214,
2021-02-12 05:00:00,13.65,13.93,13.45,13.66,261242.0,13.6394,1613106000000,2436,
2021-02-16 05:00:00,13.79,14.24,13.5,13.72,277229.0,13.7254,1613451600000,2138,
2021-02-17 05:00:00,13.59,13.93,13.48,13.81,208429.0,13.7424,1613538000000,2161,
2021-02-18 05:00:00,13.71,13.89,13.445,13.57,272902.0,13.5815,1613624400000,2588,
2021-02-19 05:00:00,13.66,14.76,13.66,14.62,730749.0,14.45,1613710800000,4821,
2021-02-22 05:00:00,14.69,15.08,14.45,14.52,469033.0,14.6868,1613970000000,4170,
2021-02-23 05:00:00,14.2,14.69,13.99,14.52,338374.0,14.3449,1614056400000,2979,
2021-02-24 05:00:00,14.67,14.75,14.31,14.41,308821.0,14.501,1614142800000,2958,
2021-02-25 05:00:00,14.41,14.48,13.75,13.85,333787.0,14.0241,1614229200000,3126,
2021-02-26 05:00:00,13.76,14.19,13.5,13.87,377243.0,13.9066,1614315600000,2561,
2021-03-01 05:00:00,14.26,14.49,13.92,14.46,256458.0,14.3168,1614574800000,2323,
2021-03-02 05:00:00,14.46,14.76,14.3,14.66,312592.0,14.6236,1614661200000,2472,
2021-03-03 05:00:00,14.79,15.705,14.77,15.25,608083.0,15.3263,1614747600000,4192,
2021-03-04 05:00:00,15.16,15.79,14.06,14.45,714065.0,14.926,1614834000000,5876,
2021-03-05 05:00:00,14.62,15.07,13.98,15.03,391220.0,14.654,1614920400000,4067,
2021-03-08 05:00:00,15.15,15.34,14.74,15.04,277039.0,15.0432,1615179600000,2816,
2021-03-09 05:00:00,15.22,15.22,14.61,14.72,356227.0,14.7611,1615266000000,3875,
2021-03-10 05:00:00,14.81,15.29,14.805,15.25,312017.0,15.1413,1615352400000,3379,
2021-03-11 05:00:00,15.38,15.73,15.15,15.45,296168.0,15.3893,1615438800000,3047,
2021-03-12 05:00:00,15.55,16.08,15.39,15.74,300545.0,15.7671,1615525200000,2367,
2021-03-15 04:00:00,15.7,15.9,15.519,15.79,213925.0,15.7237,1615780800000,2320,
2021-03-16 04:00:00,15.64,15.64,14.86,15.03,409856.0,15.1048,1615867200000,3464,
2021-03-17 04:00:00,14.92,15.4,14.85,15.39,197620.0,15.2348,1615953600000,1982,
2021-03-18 04:00:00,15.33,16.0,15.14,15.75,670442.0,15.6518,1616040000000,3659,
2021-03-19 04:00:00,15.87,16.33,15.62,15.98,983135.0,15.938,1616126400000,4729,
2021-03-22 04:00:00,15.95,16.04,15.34,16.0,439633.0,15.7979,1616385600000,4721,
