Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,20.68,20.92,20.53,20.85,11020,20.7516,1598932800000,208,
2020-09-02 04:00:00,21.0,21.0,20.63,20.65,8985,20.7673,1599019200000,235,
2020-09-03 04:00:00,20.51,21.47,20.51,20.56,28976,20.8757,1599105600000,373,
2020-09-04 04:00:00,20.86,21.165,20.65,21.05,12474,20.903,1599192000000,219,
2020-09-08 04:00:00,20.6,21.0,20.42,20.5,15278,20.6217,1599537600000,303,
2020-09-09 04:00:00,20.69,20.69,19.85,19.9,28232,20.0844,1599624000000,556,
2020-09-10 04:00:00,20.145,20.145,19.68,19.75,10622,19.8519,1599710400000,205,
2020-09-11 04:00:00,20.13,20.1523,19.75,19.94,17820,20.0199,1599796800000,245,
2020-09-14 04:00:00,19.97,20.34,19.97,20.34,14506,20.1481,1600056000000,247,
2020-09-15 04:00:00,20.53,20.96,20.3735,20.74,14009,20.6448,1600142400000,261,
2020-09-16 04:00:00,20.75,20.92,19.69,19.69,23643,20.3565,1600228800000,370,
2020-09-17 04:00:00,19.54,19.934,19.12,19.39,28418,19.4789,1600315200000,390,
2020-09-18 04:00:00,19.39,19.53,18.87,19.4,51456,19.3115,1600401600000,395,
2020-09-21 04:00:00,19.1,19.34,18.62,19.34,27129,19.037,1600660800000,441,
2020-09-22 04:00:00,19.33,19.33,18.17,18.5,25901,18.56,1600747200000,521,
2020-09-23 04:00:00,18.31,18.81,18.31,18.51,19948,18.5255,1600833600000,288,
2020-09-24 04:00:00,18.5,18.5,18.13,18.23,11561,18.2745,1600920000000,319,
2020-09-25 04:00:00,18.33,18.51,17.95,17.95,19939,18.2028,1601006400000,409,
2020-09-28 04:00:00,18.35,19.13,18.35,18.9,15795,18.8354,1601265600000,270,
2020-09-29 04:00:00,19.01,19.01,18.585,18.72,5256,18.7841,1601352000000,121,
2020-09-30 04:00:00,18.71,18.84,18.03,18.21,14224,18.263,1601438400000,235,
2020-10-01 04:00:00,18.335,18.34,18.07,18.31,10072,18.2133,1601524800000,163,
2020-10-02 04:00:00,18.03,18.675,18.03,18.36,12063,18.3283,1601611200000,217,
2020-10-05 04:00:00,18.36,18.63,18.25,18.55,6978,18.4993,1601870400000,112,
2020-10-06 04:00:00,18.31,18.99,18.31,18.38,12838,18.6763,1601956800000,177,
2020-10-07 04:00:00,18.67,19.37,18.35,19.12,12656,18.9693,1602043200000,188,
2020-10-08 04:00:00,19.61,20.27,19.38,20.09,11665,19.7337,1602129600000,183,
2020-10-09 04:00:00,20.3,20.95,20.07,20.07,17390,20.4433,1602216000000,148,
2020-10-12 04:00:00,20.39,20.5099,19.863,20.07,7939,20.0815,1602475200000,205,
2020-10-13 04:00:00,19.705,19.88,19.5,19.73,5404,19.6515,1602561600000,124,
2020-10-14 04:00:00,19.81,20.1737,19.64,19.79,3610,19.8246,1602648000000,118,
2020-10-15 04:00:00,19.52,21.41,19.14,21.41,21425,20.6425,1602734400000,497,
2020-10-16 04:00:00,21.59,22.6299,21.04,22.26,16502,21.9311,1602820800000,299,
2020-10-19 04:00:00,22.5,22.97,21.39,21.61,11104,22.2965,1603080000000,192,
2020-10-20 04:00:00,21.77,21.8154,20.25,20.73,18875,20.9587,1603166400000,237,
2020-10-21 04:00:00,20.75,21.16,20.6,21.16,4776,20.7806,1603252800000,127,
2020-10-22 04:00:00,20.95,21.6,20.76,21.0,9408,20.9579,1603339200000,129,
2020-10-23 04:00:00,21.31,21.76,20.93,21.28,7088,21.3663,1603425600000,118,
2020-10-26 04:00:00,21.36,21.5443,19.93,20.16,18707,20.2985,1603684800000,485,
2020-10-27 04:00:00,20.21,20.2101,19.63,19.63,7104,19.9102,1603771200000,152,
2020-10-28 04:00:00,19.68,19.68,18.95,19.15,10618,19.1788,1603857600000,219,
2020-10-29 04:00:00,18.795,19.75,18.795,19.3,12651,19.1988,1603944000000,191,
2020-10-30 04:00:00,19.3994,19.49,19.2,19.49,8336,19.3444,1604030400000,226,
2020-11-02 05:00:00,19.78,20.435,19.65,19.86,13228,20.0254,1604293200000,175,
2020-11-03 05:00:00,20.24,21.91,20.24,21.65,21353,21.5807,1604379600000,399,
2020-11-04 05:00:00,21.57,21.57,20.26,20.53,9356,20.6401,1604466000000,225,
2020-11-05 05:00:00,20.48,21.75,20.09,21.31,41410,20.776,1604552400000,369,
2020-11-06 05:00:00,21.4,22.06,21.01,21.01,14251,21.3873,1604638800000,156,
2020-11-09 05:00:00,22.09,22.5,21.31,21.56,28326,22.0915,1604898000000,672,
2020-11-10 05:00:00,21.96,22.99,21.56,22.37,21648,22.5186,1604984400000,514,
2020-11-11 05:00:00,22.87,23.2699,21.98,22.17,9538,22.5102,1605070800000,187,
2020-11-12 05:00:00,21.83,21.925,20.8627,21.5,16909,21.5011,1605157200000,273,
2020-11-13 05:00:00,21.8,21.94,21.335,21.38,13629,21.5704,1605243600000,281,
2020-11-16 05:00:00,22.97,23.8899,22.79,23.7,26429,23.401,1605502800000,455,
2020-11-17 05:00:00,23.34,24.4,23.1487,24.4,19073,23.9258,1605589200000,266,
2020-11-18 05:00:00,24.25,24.55,23.6,23.6,11471,24.0439,1605675600000,245,
2020-11-19 05:00:00,23.32,24.34,23.32,24.04,18262,23.55,1605762000000,224,
2020-11-20 05:00:00,24.45,24.5,23.64,24.4,22277,24.2442,1605848400000,309,
2020-11-23 05:00:00,24.52,26.46,24.23,25.63,35649,25.433,1606107600000,469,
2020-11-24 05:00:00,26.13,27.125,26.02,26.51,28053,26.7727,1606194000000,323,
2020-11-25 05:00:00,27.0,27.9,26.93,26.94,16588,27.1017,1606280400000,307,
2020-11-27 05:00:00,27.4,27.4,26.0617,27.29,10030,26.7547,1606453200000,203,
2020-11-30 05:00:00,27.6,27.735,26.75,26.75,16585,27.187,1606712400000,265,
2020-12-01 05:00:00,27.7,27.7,26.31,26.69,10898,27.1055,1606798800000,212,
2020-12-02 05:00:00,26.675,27.03,26.255,26.4,8980,26.5323,1606885200000,160,
2020-12-03 05:00:00,26.39,27.44,26.39,26.54,12106,26.9041,1606971600000,165,
2020-12-04 05:00:00,26.8,27.73,26.8,27.73,9421,27.2716,1607058000000,227,
2020-12-07 05:00:00,27.85,28.765,27.3278,27.56,8338,27.9938,1607317200000,391,
2020-12-08 05:00:00,28.05,29.46,28.045,29.33,10839,28.6881,1607403600000,177,
2020-12-09 05:00:00,29.78,30.4709,29.0,29.0,22306,29.6419,1607490000000,246,
2020-12-10 05:00:00,29.53,30.71,29.53,30.4,11402,30.0369,1607576400000,225,
2020-12-11 05:00:00,30.05,30.23,29.6,30.23,9561,29.9218,1607662800000,207,
2020-12-14 05:00:00,30.4,30.4,28.4225,29.13,17820,29.5872,1607922000000,359,
2020-12-15 05:00:00,29.36,29.8823,29.01,29.01,12118,29.3002,1608008400000,353,
2020-12-16 05:00:00,29.4,29.99,28.92,28.92,9322,29.1869,1608094800000,280,
2020-12-17 05:00:00,29.41,29.7,28.78,28.96,16146,29.2298,1608181200000,426,
2020-12-18 05:00:00,29.04,29.77,28.92,29.61,60081,29.3876,1608267600000,249,
2020-12-21 05:00:00,28.63,28.63,27.0001,27.83,16910,27.6792,1608526800000,267,
2020-12-22 05:00:00,27.72,27.78,26.17,26.29,25527,26.7755,1608613200000,322,
2020-12-23 05:00:00,26.24,27.2,26.0,26.77,9550,26.7765,1608699600000,239,
2020-12-24 05:00:00,26.13,27.07,26.13,27.01,2641,26.7299,1608786000000,45,
2020-12-28 05:00:00,26.83,27.06,26.0,26.0,11163,26.3459,1609131600000,189,
2020-12-29 05:00:00,26.8,26.8,25.22,26.0,18168,25.768,1609218000000,453,
2020-12-30 05:00:00,26.0,26.67,25.72,25.9,14599,26.0905,1609304400000,275,
2020-12-31 05:00:00,25.99,26.86,25.99,26.3,16471,26.3894,1609390800000,230,
2021-01-04 05:00:00,26.74,26.775,24.92,25.02,18338,25.6504,1609736400000,248,
2021-01-05 05:00:00,24.89,26.64,24.89,26.11,20149,26.2409,1609822800000,366,
2021-01-06 05:00:00,26.57,27.09,26.0,26.0,16116,26.4405,1609909200000,341,
2021-01-07 05:00:00,26.12,26.322,25.73,25.78,15980,25.9472,1609995600000,560,
2021-01-08 05:00:00,25.72,25.72,24.3001,24.67,20729,25.0907,1610082000000,404,
2021-01-11 05:00:00,23.79,25.34,23.79,25.34,17749,24.5845,1610341200000,522,
2021-01-12 05:00:00,25.35,26.48,25.34,26.06,16840,25.8492,1610427600000,411,
2021-01-13 05:00:00,25.76,25.76,24.41,24.69,12834,24.8204,1610514000000,314,
2021-01-14 05:00:00,25.18,26.03,25.18,25.86,8536,25.766,1610600400000,158,
2021-01-15 05:00:00,25.51,25.51,25.0,25.25,8990,25.2962,1610686800000,124,
2021-01-19 05:00:00,25.25,25.25,24.83,25.1,9077,25.0459,1611032400000,287,
2021-01-20 05:00:00,25.05,25.05,24.41,24.52,12909,24.6495,1611118800000,346,
2021-01-21 05:00:00,24.71,25.0,23.39,23.39,12570,23.9244,1611205200000,247,
2021-01-22 05:00:00,23.4,23.98,22.22,23.98,26102,23.3616,1611291600000,351,
2021-01-25 05:00:00,23.97,23.97,23.2,23.26,16044,23.4006,1611550800000,283,
2021-01-26 05:00:00,23.01,24.69,22.41,24.04,34746,23.6187,1611637200000,672,
2021-01-27 05:00:00,24.53,24.53,22.98,23.66,26611,23.8648,1611723600000,560,
2021-01-28 05:00:00,23.55,25.15,23.16,24.55,19877,24.1737,1611810000000,535,
2021-01-29 05:00:00,24.43,25.9801,23.75,23.97,23617,24.4214,1611896400000,440,
2021-02-01 05:00:00,23.88,25.448,23.75,24.5,14712,24.5192,1612155600000,326,
2021-02-02 05:00:00,24.8,27.0257,24.01,25.32,37482,25.3676,1612242000000,598,
2021-02-03 05:00:00,25.32,27.42,25.218,25.85,17394,26.0266,1612328400000,369,
2021-02-04 05:00:00,26.27,26.36,25.14,25.19,13180,25.7387,1612414800000,240,
2021-02-05 05:00:00,25.69,26.4092,25.3579,25.82,18928,25.7943,1612501200000,486,
2021-02-08 05:00:00,26.32,27.88,26.08,27.82,30432,26.8877,1612760400000,653,
2021-02-09 05:00:00,27.79,27.97,25.66,26.21,31435,26.5787,1612846800000,550,
2021-02-10 05:00:00,26.45,26.68,25.6476,25.69,15031,25.9902,1612933200000,292,
2021-02-11 05:00:00,25.87,26.4999,25.17,25.8,10186,25.6246,1613019600000,307,
2021-02-12 05:00:00,25.4,26.7,25.4,26.6,19079,26.1878,1613106000000,319,
2021-02-16 05:00:00,27.0,27.13,25.01,25.26,27010,25.7505,1613451600000,853,
2021-02-17 05:00:00,25.93,26.0,25.14,25.52,15147,25.7069,1613538000000,505,
2021-02-18 05:00:00,25.5,25.9,25.11,25.81,10441,25.4725,1613624400000,293,
2021-02-19 05:00:00,25.9,26.02,25.28,25.99,14211,25.7728,1613710800000,538,
2021-02-22 05:00:00,25.6,26.16,25.0,25.23,27019,25.5626,1613970000000,441,
2021-02-23 05:00:00,25.2,25.98,25.1201,25.53,23579,25.5046,1614056400000,407,
2021-02-24 05:00:00,25.3,26.15,25.25,25.25,17162,25.709,1614142800000,326,
2021-02-25 05:00:00,25.7,26.43,25.45,25.45,9160,25.8189,1614229200000,306,
2021-02-26 05:00:00,25.94,25.94,24.94,24.94,12085,25.4512,1614315600000,517,
2021-03-01 05:00:00,25.92,26.34,25.17,25.45,15033,25.7027,1614574800000,377,
2021-03-02 05:00:00,25.78,26.95,25.63,26.48,12629,26.3719,1614661200000,376,
2021-03-03 05:00:00,26.99,29.0,26.7003,27.14,47240,27.9087,1614747600000,661,
2021-03-04 05:00:00,24.0,25.55,23.13,25.17,87946,24.2615,1614834000000,1176,
2021-03-05 05:00:00,24.84,24.84,23.0,23.02,50977,23.87,1614920400000,753,
2021-03-08 05:00:00,23.5,24.1799,21.659,21.85,52990,22.1669,1615179600000,836,
2021-03-09 05:00:00,22.08,22.175,21.5,21.5,16607,21.6697,1615266000000,416,
