Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,7.88,8.12,7.06,7.34,75226,7.5532,1598932800000,672,
2020-09-02 04:00:00,7.32,7.35,6.82,7.07,132229,6.98,1599019200000,1288,
2020-09-03 04:00:00,7.04,7.42,7.04,7.26,55701,7.229,1599105600000,470,
2020-09-04 04:00:00,7.34,7.58,7.06,7.49,20172,7.4083,1599192000000,254,
2020-09-08 04:00:00,7.39,7.44,7.2,7.42,11745,7.3772,1599537600000,149,
2020-09-09 04:00:00,7.5,7.73,7.34,7.37,37961,7.5126,1599624000000,398,
2020-09-10 04:00:00,7.42,7.67,7.1498,7.26,48688,7.3886,1599710400000,326,
2020-09-11 04:00:00,7.37,7.39,7.15,7.21,22369,7.2418,1599796800000,263,
2020-09-14 04:00:00,7.2,7.35,7.2,7.31,5485,7.2973,1600056000000,93,
2020-09-15 04:00:00,7.44,7.74,7.44,7.59,19391,7.6382,1600142400000,236,
2020-09-16 04:00:00,7.57,7.88,7.32,7.34,43914,7.4168,1600228800000,426,
2020-09-17 04:00:00,7.3,7.395,6.79,6.82,71371,6.8814,1600315200000,662,
2020-09-18 04:00:00,6.81,7.03,6.26,6.52,81481,6.5165,1600401600000,793,
2020-09-21 04:00:00,6.35,6.56,5.93,6.47,37207,6.2637,1600660800000,326,
2020-09-22 04:00:00,6.44,6.56,6.35,6.52,7711,6.4365,1600747200000,79,
2020-09-23 04:00:00,6.59,6.69,5.96,6.01,19332,6.138,1600833600000,194,
2020-09-24 04:00:00,6.0,6.2599,5.66,5.9,51682,5.9782,1600920000000,357,
2020-09-25 04:00:00,5.92,5.92,5.6,5.68,19188,5.6998,1601006400000,209,
2020-09-28 04:00:00,5.81,5.96,5.31,5.4,23913,5.5507,1601265600000,269,
2020-09-29 04:00:00,5.36,5.37,5.19,5.26,39077,5.2581,1601352000000,354,
2020-09-30 04:00:00,5.18,5.34,5.13,5.29,72449,5.2724,1601438400000,394,
2020-10-01 04:00:00,5.27,5.9784,5.22,5.82,162895,5.4985,1601524800000,583,
2020-10-02 04:00:00,5.55,6.0,5.55,5.94,127977,5.8003,1601611200000,541,
2020-10-05 04:00:00,6.11,6.53,6.09,6.49,35148,6.3264,1601870400000,193,
2020-10-06 04:00:00,6.51,6.78,5.82,5.91,44789,6.2337,1601956800000,381,
2020-10-07 04:00:00,5.81,5.81,5.5,5.59,73228,5.6559,1602043200000,468,
2020-10-08 04:00:00,5.6211,5.72,5.5,5.55,91346,5.5807,1602129600000,299,
2020-10-09 04:00:00,5.52,5.96,5.51,5.94,40426,5.8116,1602216000000,220,
2020-10-12 04:00:00,5.9,6.19,5.9,6.1,58233,6.0495,1602475200000,296,
2020-10-13 04:00:00,6.0,6.09,5.9,5.99,34554,5.9977,1602561600000,296,
2020-10-14 04:00:00,6.03,6.2,5.78,5.89,24002,5.9677,1602648000000,150,
2020-10-15 04:00:00,5.79,6.23,5.67,6.19,13646,5.9485,1602734400000,100,
2020-10-16 04:00:00,6.16,6.32,5.62,5.64,26709,5.8229,1602820800000,161,
2020-10-19 04:00:00,5.69,5.99,5.45,5.48,15096,5.5964,1603080000000,114,
2020-10-20 04:00:00,5.54,5.69,5.16,5.44,52173,5.429,1603166400000,286,
2020-10-21 04:00:00,5.5,5.84,5.46,5.8,25273,5.7205,1603252800000,253,
2020-10-22 04:00:00,5.75,5.93,5.74,5.8,12355,5.8144,1603339200000,91,
2020-10-23 04:00:00,5.79,5.92,5.715,5.8,15412,5.8487,1603425600000,120,
2020-10-26 04:00:00,5.8,5.93,5.52,5.56,12564,5.6543,1603684800000,101,
2020-10-27 04:00:00,5.6,5.94,5.39,5.94,83006,5.556,1603771200000,339,
2020-10-28 04:00:00,5.8,5.83,5.39,5.83,37565,5.5346,1603857600000,234,
2020-10-29 04:00:00,5.89,6.34,5.715,6.15,101536,6.0682,1603944000000,492,
2020-10-30 04:00:00,6.33,6.66,5.705,6.05,40378,6.1256,1604030400000,196,
2020-11-02 05:00:00,5.98,6.06,5.63,6.06,21796,5.8515,1604293200000,177,
2020-11-03 05:00:00,6.19,6.84,6.025,6.67,54947,6.3917,1604379600000,293,
2020-11-04 05:00:00,6.66,6.66,6.37,6.45,17569,6.4687,1604466000000,114,
2020-11-05 05:00:00,6.79,7.18,6.64,7.03,39653,7.005,1604552400000,361,
2020-11-06 05:00:00,7.17,7.49,6.94,6.94,65723,7.1308,1604638800000,559,
2020-11-09 05:00:00,6.8,7.33,6.62,7.1,58767,7.0395,1604898000000,443,
2020-11-10 05:00:00,7.2,7.62,7.07,7.57,36638,7.4307,1604984400000,224,
2020-11-11 05:00:00,7.51,7.51,7.16,7.34,18293,7.2776,1605070800000,158,
2020-11-12 05:00:00,7.22,7.5,7.19,7.43,34657,7.3832,1605157200000,205,
2020-11-13 05:00:00,7.51,7.59,7.37,7.51,14477,7.4946,1605243600000,157,
2020-11-16 05:00:00,7.54,7.9,7.49,7.71,32196,7.674,1605502800000,206,
2020-11-17 05:00:00,7.71,7.95,7.71,7.9,11296,7.8685,1605589200000,95,
2020-11-18 05:00:00,7.81,8.04,7.51,7.85,21428,7.8584,1605675600000,162,
2020-11-19 05:00:00,7.75,7.85,7.6,7.81,5843,7.7704,1605762000000,71,
2020-11-20 05:00:00,7.81,7.9,7.6654,7.67,13636,7.7629,1605848400000,121,
