Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,3.48,3.55,3.34,3.38,32573,3.3998,1598932800000,156,
2020-09-02 04:00:00,3.37,3.49,3.37,3.47,34964,3.4354,1599019200000,265,
2020-09-03 04:00:00,3.45,3.46,3.367,3.45,29674,3.4227,1599105600000,563,
2020-09-04 04:00:00,3.5,3.605,3.4,3.54,22306,3.524,1599192000000,246,
2020-09-08 04:00:00,3.5,3.63,3.5,3.55,49995,3.6037,1599537600000,225,
2020-09-09 04:00:00,3.56,3.69,3.56,3.69,39830,3.637,1599624000000,473,
2020-09-10 04:00:00,3.71,3.79,3.68,3.7,25200,3.7511,1599710400000,397,
2020-09-11 04:00:00,3.7663,3.7663,3.69,3.69,6742,3.7046,1599796800000,103,
2020-09-14 04:00:00,3.74,3.76,3.72,3.76,18885,3.745,1600056000000,214,
2020-09-15 04:00:00,3.8,3.9,3.76,3.89,17405,3.8338,1600142400000,200,
2020-09-16 04:00:00,3.95,4.16,3.95,4.02,71123,4.048,1600228800000,315,
2020-09-17 04:00:00,4.024,4.04,3.69,3.69,35154,3.9173,1600315200000,190,
2020-09-18 04:00:00,3.91,4.76,3.84,4.6,293203,4.4637,1600401600000,639,
2020-09-21 04:00:00,4.44,4.49,4.07,4.18,67689,4.2842,1600660800000,608,
2020-09-22 04:00:00,4.28,4.3,4.15,4.19,12492,4.2032,1600747200000,184,
2020-09-23 04:00:00,4.19,4.19,3.93,3.95,20936,4.0104,1600833600000,217,
2020-09-24 04:00:00,4.0,4.09,3.97,4.05,13687,4.013,1600920000000,233,
2020-09-25 04:00:00,4.0,4.0612,4.0,4.03,12546,4.019,1601006400000,125,
2020-09-28 04:00:00,4.15,4.35,4.15,4.32,16022,4.2428,1601265600000,172,
2020-09-29 04:00:00,4.2606,4.39,4.22,4.28,14591,4.2875,1601352000000,133,
2020-09-30 04:00:00,4.22,4.29,4.16,4.25,7882,4.2499,1601438400000,141,
2020-10-01 04:00:00,4.26,4.3,4.22,4.28,9637,4.2602,1601524800000,148,
2020-10-02 04:00:00,4.29,4.29,4.2,4.25,17643,4.2407,1601611200000,104,
2020-10-05 04:00:00,4.31,4.4,4.26,4.39,14683,4.3702,1601870400000,136,
2020-10-06 04:00:00,4.49,4.855,4.4886,4.59,83132,4.7138,1601956800000,387,
2020-10-07 04:00:00,4.74,5.12,4.74,4.95,77383,4.8958,1602043200000,307,
2020-10-08 04:00:00,5.01,5.4,4.9501,5.35,47861,5.1645,1602129600000,230,
2020-10-09 04:00:00,5.35,5.35,4.83,4.88,31204,5.0093,1602216000000,211,
2020-10-12 04:00:00,4.88,5.3,4.82,5.08,26166,5.0342,1602475200000,226,
2020-10-13 04:00:00,5.08,5.08,4.895,4.95,10577,4.9924,1602561600000,127,
2020-10-14 04:00:00,4.96,5.09,4.91,5.03,11950,4.9786,1602648000000,102,
2020-10-15 04:00:00,5.03,5.04,4.75,5.0,28388,4.9284,1602734400000,176,
2020-10-16 04:00:00,4.97,5.2042,4.84,4.97,22856,5.0352,1602820800000,186,
2020-10-19 04:00:00,5.04,5.04,4.85,4.85,4995,4.9019,1603080000000,64,
2020-10-20 04:00:00,4.89,4.89,4.73,4.79,8751,4.8025,1603166400000,79,
2020-10-21 04:00:00,4.75,4.86,4.73,4.77,7677,4.7592,1603252800000,69,
2020-10-22 04:00:00,4.77,4.77,4.65,4.65,14357,4.704,1603339200000,130,
2020-10-23 04:00:00,4.73,4.87,4.63,4.63,12360,4.742,1603425600000,118,
2020-10-26 04:00:00,4.51,4.55,4.31,4.51,15294,4.4485,1603684800000,134,
2020-10-27 04:00:00,4.5307,4.5307,4.41,4.42,24429,4.451,1603771200000,63,
2020-10-28 04:00:00,4.33,4.51,4.1598,4.36,34395,4.2753,1603857600000,231,
2020-10-29 04:00:00,4.16,4.345,4.13,4.3,8533,4.2528,1603944000000,132,
2020-10-30 04:00:00,4.14,4.18,4.14,4.14,9881,4.1477,1604030400000,165,
2020-11-02 05:00:00,4.17,4.51,4.17,4.49,12113,4.4086,1604293200000,69,
2020-11-03 05:00:00,4.65,4.67,4.49,4.65,39950,4.6067,1604379600000,315,
2020-11-04 05:00:00,4.49,4.5,4.29,4.32,14703,4.407,1604466000000,106,
2020-11-05 05:00:00,4.35,4.5,4.325,4.45,9422,4.4145,1604552400000,146,
2020-11-06 05:00:00,4.34,4.4332,4.32,4.32,5849,4.3651,1604638800000,74,
2020-11-09 05:00:00,4.65,4.87,4.495,4.77,40415,4.67,1604898000000,390,
2020-11-10 05:00:00,4.83,5.24,4.6415,5.03,92222,5.0426,1604984400000,806,
2020-11-11 05:00:00,5.1,5.1,4.84,4.85,20367,4.9051,1605070800000,180,
2020-11-12 05:00:00,4.775,4.775,4.36,4.41,30891,4.5023,1605157200000,224,
2020-11-13 05:00:00,4.54,4.735,4.54,4.64,6940,4.6323,1605243600000,186,
2020-11-16 05:00:00,4.75,4.9,4.7341,4.82,40297,4.8216,1605502800000,285,
2020-11-17 05:00:00,4.775,4.85,4.7,4.7,18453,4.7523,1605589200000,116,
2020-11-18 05:00:00,4.66,4.8299,4.47,4.47,15901,4.6133,1605675600000,167,
2020-11-19 05:00:00,4.44,4.516,4.41,4.46,7725,4.4682,1605762000000,101,
2020-11-20 05:00:00,4.35,4.45,4.22,4.22,27964,4.3071,1605848400000,134,
2020-11-23 05:00:00,4.289,4.71,4.289,4.64,27800,4.5424,1606107600000,239,
2020-11-24 05:00:00,4.7,5.01,4.7,4.93,32072,4.882,1606194000000,325,
2020-11-25 05:00:00,4.945,5.06,4.87,4.89,18061,4.9636,1606280400000,285,
2020-11-27 05:00:00,4.89,4.9873,4.7,4.96,15262,4.8896,1606453200000,200,
2020-11-30 05:00:00,4.9,4.9,4.68,4.68,23568,4.7732,1606712400000,207,
2020-12-01 05:00:00,4.85,4.8865,4.6267,4.63,7086,4.6782,1606798800000,144,
2020-12-02 05:00:00,4.63,4.74,4.6273,4.72,8613,4.6949,1606885200000,100,
2020-12-03 05:00:00,4.89,5.25,4.89,5.02,70275,5.0932,1606971600000,383,
2020-12-04 05:00:00,5.02,5.4,5.02,5.18,70437,5.215,1607058000000,389,
2020-12-07 05:00:00,5.13,5.1478,4.99,5.03,29775,5.045,1607317200000,161,
2020-12-08 05:00:00,4.96,5.25,4.96,5.22,28167,5.0953,1607403600000,231,
2020-12-09 05:00:00,5.31,5.3283,5.05,5.05,25396,5.2244,1607490000000,182,
2020-12-10 05:00:00,5.04,5.15,4.9527,4.96,27999,5.0015,1607576400000,250,
2020-12-11 05:00:00,4.96,5.02,4.89,4.98,18666,4.9705,1607662800000,284,
2020-12-14 05:00:00,4.95,5.04,4.8,4.8,27884,4.9278,1607922000000,245,
2020-12-15 05:00:00,4.81,4.85,4.58,4.76,37700,4.7328,1608008400000,312,
2020-12-16 05:00:00,4.8,4.8489,4.698,4.79,26303,4.7662,1608094800000,209,
2020-12-17 05:00:00,4.8,4.85,4.78,4.8,9575,4.8042,1608181200000,166,
2020-12-18 05:00:00,4.81,4.88,4.7299,4.77,60454,4.8009,1608267600000,157,
2020-12-21 05:00:00,4.64,4.64,4.51,4.6,20732,4.5804,1608526800000,218,
2020-12-22 05:00:00,4.56,4.7,4.56,4.7,14873,4.6436,1608613200000,177,
2020-12-23 05:00:00,4.75,4.76,4.55,4.74,18571,4.6408,1608699600000,179,
2020-12-24 05:00:00,4.655,4.655,4.55,4.55,3217,4.5905,1608786000000,47,
2020-12-28 05:00:00,4.56,4.6,4.55,4.58,16860,4.5852,1609131600000,147,
2020-12-29 05:00:00,4.58,4.58,4.42,4.49,17695,4.4838,1609218000000,150,
2020-12-30 05:00:00,4.52,4.64,4.46,4.63,16156,4.5581,1609304400000,154,
2020-12-31 05:00:00,4.75,4.85,4.665,4.78,28867,4.7707,1609390800000,190,
2021-01-04 05:00:00,4.88,4.88,4.505,4.52,15931,4.6016,1609736400000,174,
2021-01-05 05:00:00,4.5,4.73,4.5,4.64,36153,4.6261,1609822800000,221,
2021-01-06 05:00:00,4.77,5.19,4.75,5.01,42408,5.0297,1609909200000,385,
2021-01-07 05:00:00,5.01,5.1,5.0,5.1,17823,5.0685,1609995600000,131,
2021-01-08 05:00:00,5.05,5.05,4.84,4.91,12078,4.9081,1610082000000,227,
2021-01-11 05:00:00,4.89,4.91,4.73,4.75,7539,4.806,1610341200000,141,
2021-01-12 05:00:00,4.75,4.96,4.75,4.93,10948,4.905,1610427600000,155,
2021-01-13 05:00:00,4.96,5.04,4.79,4.8,14709,4.8339,1610514000000,173,
2021-01-14 05:00:00,4.91,4.92,4.83,4.87,5880,4.8807,1610600400000,100,
2021-01-15 05:00:00,4.86,4.86,4.7,4.74,17357,4.8029,1610686800000,163,
2021-01-19 05:00:00,4.85,4.85,4.7,4.77,10311,4.7765,1611032400000,179,
2021-01-20 05:00:00,4.88,4.92,4.63,4.63,17290,4.7347,1611118800000,184,
2021-01-21 05:00:00,4.64,4.75,4.64,4.64,12035,4.6942,1611205200000,139,
2021-01-22 05:00:00,4.66,4.89,4.61,4.89,18644,4.7414,1611291600000,177,
2021-01-25 05:00:00,4.8,4.8,4.63,4.73,15809,4.7103,1611550800000,196,
2021-01-26 05:00:00,4.74,4.77,4.65,4.77,13289,4.7429,1611637200000,175,
2021-01-27 05:00:00,4.7,4.72,4.46,4.68,38752,4.6094,1611723600000,501,
2021-01-28 05:00:00,4.74,4.74,4.55,4.65,13953,4.6376,1611810000000,283,
2021-01-29 05:00:00,4.72,4.72,4.46,4.51,20676,4.5502,1611896400000,337,
2021-02-01 05:00:00,4.6,4.83,4.51,4.76,17644,4.6758,1612155600000,201,
2021-02-02 05:00:00,4.9,4.9,4.7,4.78,37940,4.8243,1612242000000,202,
2021-02-03 05:00:00,4.75,4.75,4.63,4.66,14735,4.6681,1612328400000,140,
2021-02-04 05:00:00,4.61,4.8,4.6,4.8,12052,4.7278,1612414800000,170,
2021-02-05 05:00:00,4.82,4.88,4.77,4.88,21488,4.8177,1612501200000,225,
2021-02-08 05:00:00,4.91,5.35,4.872,5.29,162130,5.1086,1612760400000,789,
2021-02-09 05:00:00,5.31,5.3273,5.06,5.23,28659,5.1685,1612846800000,219,
2021-02-10 05:00:00,5.2,5.2212,5.0,5.03,16402,5.1101,1612933200000,159,
2021-02-11 05:00:00,5.0,5.09,4.86,5.09,19855,4.9956,1613019600000,187,
2021-02-12 05:00:00,5.0862,5.21,5.08,5.21,12415,5.1269,1613106000000,324,
2021-02-16 05:00:00,5.26,5.35,5.07,5.09,28864,5.1891,1613451600000,303,
2021-02-17 05:00:00,5.25,5.26,5.02,5.2,34647,5.1562,1613538000000,237,
2021-02-18 05:00:00,5.21,5.22,5.03,5.03,18812,5.1097,1613624400000,190,
2021-02-19 05:00:00,5.03,5.15,5.03,5.09,23034,5.1069,1613710800000,234,
2021-02-22 05:00:00,5.0,5.1,4.96,5.08,17217,5.0316,1613970000000,247,
2021-02-23 05:00:00,5.08,5.13,5.015,5.08,12181,5.0612,1614056400000,203,
2021-02-24 05:00:00,5.16,6.57,5.16,6.32,245313,5.8458,1614142800000,1435,
2021-02-25 05:00:00,6.6,6.6,6.04,6.04,113289,6.3793,1614229200000,990,
2021-02-26 05:00:00,6.01,6.1817,5.61,5.61,36585,5.8294,1614315600000,401,
2021-03-01 05:00:00,5.7,6.18,5.68,6.05,31692,5.9083,1614574800000,473,
2021-03-02 05:00:00,6.04,6.25,5.73,6.03,34655,6.032,1614661200000,303,
2021-03-03 05:00:00,6.01,6.27,5.97,6.04,33081,6.1075,1614747600000,333,
2021-03-04 05:00:00,6.22,6.4,5.95,6.16,76748,6.1328,1614834000000,686,
2021-03-05 05:00:00,6.4,6.46,6.26,6.34,63155,6.3836,1614920400000,526,
2021-03-08 05:00:00,6.43,6.93,6.42,6.78,80419,6.7466,1615179600000,648,
2021-03-09 05:00:00,6.81,6.95,6.63,6.86,82267,6.8394,1615266000000,518,
2021-03-10 05:00:00,6.9,6.95,6.75,6.9,42613,6.8858,1615352400000,408,
2021-03-11 05:00:00,6.95,6.95,6.4781,6.75,62642,6.7199,1615438800000,424,
2021-03-12 05:00:00,6.73,6.89,6.65,6.89,20586,6.7597,1615525200000,208,
2021-03-15 04:00:00,6.89,6.92,6.55,6.92,32701,6.7243,1615780800000,327,
2021-03-16 04:00:00,6.785,6.95,6.52,6.9,38015,6.7501,1615867200000,405,
2021-03-17 04:00:00,6.9467,7.34,6.84,7.21,161070,7.0505,1615953600000,837,
2021-03-18 04:00:00,7.08,7.57,6.93,7.01,67259,7.2707,1616040000000,621,
2021-03-19 04:00:00,6.98,7.09,6.71,6.99,121499,6.9578,1616126400000,505,
2021-03-22 04:00:00,7.12,7.12,6.5,6.74,41942,6.7284,1616385600000,493,
2021-03-23 04:00:00,6.65,6.78,6.5,6.55,41463,6.5696,1616472000000,406,
2021-03-24 04:00:00,6.51,6.82,6.38,6.39,27778,6.5307,1616558400000,307,
2021-03-25 04:00:00,6.35,6.72,6.34,6.69,31389,6.4523,1616644800000,303,
2021-03-26 04:00:00,6.8,7.04,6.8,6.89,15896,6.9271,1616731200000,329,
2021-03-29 04:00:00,7.0,7.19,6.69,6.69,67784,6.9544,1616990400000,419,
2021-03-30 04:00:00,6.71,7.99,6.71,7.72,236859,7.5133,1617076800000,1550,
2021-03-31 04:00:00,7.87,7.9492,7.4,7.45,136756,7.6233,1617163200000,1186,
2021-04-01 04:00:00,7.66,7.67,7.1,7.26,35293,7.3789,1617249600000,410,
2021-04-05 04:00:00,7.35,7.52,7.1064,7.22,37294,7.3086,1617595200000,373,
2021-04-06 04:00:00,7.29,7.95,7.2633,7.87,44707,7.655,1617681600000,346,
2021-04-07 04:00:00,7.88,8.0,7.19,7.33,40398,7.6084,1617768000000,407,
2021-04-08 04:00:00,7.24,7.5179,7.08,7.19,45349,7.2533,1617854400000,338,
2021-04-09 04:00:00,7.07,7.33,7.07,7.15,20051,7.1759,1617940800000,222,
2021-04-12 04:00:00,7.14,7.23,7.04,7.15,36904,7.1094,1618200000000,266,
2021-04-13 04:00:00,7.16,7.42,7.0,7.26,41353,7.2243,1618286400000,459,
2021-04-14 04:00:00,7.17,7.5799,7.12,7.21,75581,7.386,1618372800000,490,
2021-04-15 04:00:00,7.23,7.93,7.23,7.71,79680,7.5983,1618459200000,572,
2021-04-16 04:00:00,7.87,8.5,7.62,8.29,118345,8.0216,1618545600000,728,
2021-04-19 04:00:00,8.44,8.46,8.07,8.4,71816,8.2979,1618804800000,588,
