Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-08-31 04:00:00,7.61,7.61,7.05,7.05,44821,7.1427,1630382400000,199,
2021-09-01 04:00:00,7.08,7.1,7.0,7.01,38290,7.0562,1630468800000,214,
2021-09-02 04:00:00,7.05,7.05,6.9901,7.0299,15203,7.02,1630555200000,68,
2021-09-03 04:00:00,7.05,7.13,7.03,7.08,46961,7.0531,1630641600000,151,
2021-09-07 04:00:00,7.21,7.2796,6.9301,6.98,24234,7.0614,1630987200000,116,
2021-09-08 04:00:00,6.86,7.0169,6.86,6.91,13698,6.9397,1631073600000,87,
2021-09-09 04:00:00,6.87,6.9899,6.87,6.9711,5073,6.9556,1631160000000,45,
2021-09-10 04:00:00,7.0,7.04,6.93,6.94,23178,6.9804,1631246400000,131,
2021-09-13 04:00:00,7.0,7.0,6.91,6.91,18356,6.9574,1631505600000,108,
2021-09-14 04:00:00,6.88,7.0,6.88,6.92,14312,6.9619,1631592000000,90,
2021-09-15 04:00:00,6.89,6.92,6.731,6.78,11871,6.8046,1631678400000,117,
2021-09-16 04:00:00,6.79,6.79,6.51,6.53,14537,6.6014,1631764800000,114,
2021-09-17 04:00:00,6.45,6.54,6.38,6.54,17785,6.4743,1631851200000,112,
2021-09-20 04:00:00,6.59,6.59,6.3201,6.33,5929,6.3648,1632110400000,54,
2021-09-21 04:00:00,6.3,6.545,6.3,6.45,4697,6.4484,1632196800000,48,
2021-09-22 04:00:00,6.35,6.55,6.35,6.49,9326,6.4958,1632283200000,49,
2021-09-23 04:00:00,6.4,6.5525,6.4,6.53,17781,6.484,1632369600000,85,
2021-09-24 04:00:00,6.51,6.63,6.5,6.58,15668,6.5676,1632456000000,74,
2021-09-27 04:00:00,6.48,6.58,6.4,6.4,11219,6.4534,1632715200000,98,
2021-09-28 04:00:00,6.4,6.4334,6.1101,6.16,18086,6.2262,1632801600000,86,
2021-09-29 04:00:00,6.07,6.1599,6.0,6.04,16450,6.1095,1632888000000,56,
2021-09-30 04:00:00,6.0,6.14,6.0,6.05,6956,6.074,1632974400000,41,
2021-10-01 04:00:00,6.06,6.06,5.91,5.91,12552,5.9701,1633060800000,106,
2021-10-04 04:00:00,5.75,6.05,5.75,6.04,15078,5.9681,1633320000000,83,
2021-10-05 04:00:00,6.05,6.1682,5.9245,6.14,14646,6.0584,1633406400000,111,
2021-10-06 04:00:00,6.04,6.1099,6.04,6.08,8442,6.0801,1633492800000,48,
2021-10-07 04:00:00,6.1,6.28,6.04,6.28,9110,6.0966,1633579200000,88,
2021-10-08 04:00:00,6.359,6.52,6.33,6.35,33649,6.391,1633665600000,184,
2021-10-11 04:00:00,6.42,6.4631,6.3397,6.41,4449,6.3882,1633924800000,29,
2021-10-12 04:00:00,6.58,6.58,6.0,6.0517,15132,6.147,1634011200000,137,
2021-10-13 04:00:00,6.14,6.39,6.1,6.39,11118,6.3155,1634097600000,93,
2021-10-14 04:00:00,6.63,6.8349,6.561,6.81,20335,6.7058,1634184000000,169,
2021-10-15 04:00:00,6.85,7.0,6.79,7.0,22438,6.8806,1634270400000,146,
2021-10-18 04:00:00,7.05,7.69,6.83,7.4999,36935,7.3604,1634529600000,195,
2021-10-19 04:00:00,7.62,7.62,7.18,7.21,13858,7.2841,1634616000000,124,
2021-10-20 04:00:00,7.21,7.41,7.21,7.37,9879,7.3525,1634702400000,68,
2021-10-21 04:00:00,7.37,7.37,7.19,7.2,6074,7.2508,1634788800000,62,
2021-10-22 04:00:00,7.1,7.35,7.1,7.3,12998,7.2832,1634875200000,85,
2021-10-25 04:00:00,7.42,7.44,7.32,7.44,4664,7.3943,1635134400000,40,
