Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-04-22 04:00:00,9.8,9.8,9.8,9.8,200.0,9.8,1619064000000,2,
2021-04-23 04:00:00,9.8,10.0,9.8,9.9,28629.0,9.8252,1619150400000,39,
2021-04-28 04:00:00,10.0,10.0,9.8808,9.8808,400.0,9.9404,1619582400000,3,
2021-04-29 04:00:00,9.88,9.9,9.88,9.88,3917.0,9.8818,1619668800000,27,
2021-04-30 04:00:00,9.82,9.9,9.8,9.9,30309.0,9.8097,1619755200000,58,
2021-05-03 04:00:00,9.83,9.84,9.8,9.8,7602.0,9.8084,1620014400000,50,
2021-05-04 04:00:00,9.8,9.8895,9.8,9.8,11307.0,9.8042,1620100800000,6,
2021-05-07 04:00:00,9.9506,9.9506,9.8682,9.8682,220.0,9.9131,1620360000000,2,
2021-05-10 04:00:00,9.8,9.8,9.8,9.8,219.0,9.8031,1620619200000,3,
2021-05-11 04:00:00,9.81,9.9,9.775,9.775,119320.0,9.8361,1620705600000,347,
2021-05-12 04:00:00,9.8,9.86,9.8,9.86,46098.0,9.8396,1620792000000,149,
2021-05-13 04:00:00,9.81,9.81,9.81,9.81,1800.0,9.81,1620878400000,1,
2021-05-14 04:00:00,9.83,9.83,9.79,9.8,105968.0,9.801,1620964800000,50,
2021-05-17 04:00:00,10.01,10.01,9.93,9.93,342.0,9.9665,1621224000000,5,
2021-05-20 04:00:00,9.83,9.83,9.64,9.72,15501.0,9.7247,1621483200000,77,
2021-05-21 04:00:00,9.86,9.86,9.86,9.86,587.0,9.867,1621569600000,7,
2021-05-24 04:00:00,9.77,9.77,9.77,9.77,202.0,9.7704,1621828800000,4,
2021-05-26 04:00:00,9.979,9.98,9.73,9.88,19736.0,9.803,1622001600000,171,
2021-05-27 04:00:00,9.77,9.77,9.7,9.76,12914.0,9.7495,1622088000000,57,
2021-05-28 04:00:00,9.89,9.89,9.8,9.8,410.0,9.8461,1622174400000,4,
2021-06-01 04:00:00,9.92,9.92,9.74,9.76,2207.0,9.7814,1622520000000,15,
