Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2022-01-21 05:00:00,9.8,9.8,9.79,9.8,58050,9.7992,1642741200000,67,
2022-01-24 05:00:00,10.05,10.05,10.0,10.0,901,10.0214,1643000400000,8,
2022-01-26 05:00:00,9.87,9.87,9.87,9.87,348032,9.87,1643173200000,1,
2022-01-28 05:00:00,9.8,9.8,9.8,9.8,400,9.8,1643346000000,2,
2022-02-01 05:00:00,9.92,9.92,9.92,9.92,101,9.9193,1643691600000,2,
2022-02-02 05:00:00,9.81,9.83,9.81,9.83,775,9.8126,1643778000000,2,
2022-02-04 05:00:00,9.84,9.84,9.84,9.84,100,9.84,1643950800000,1,
2022-02-08 05:00:00,9.84,9.84,9.84,9.84,100,9.84,1644296400000,1,
2022-02-09 05:00:00,9.93,9.93,9.815,9.815,5997,9.8306,1644382800000,4,
2022-02-11 05:00:00,9.81,9.81,9.81,9.81,100,9.81,1644555600000,1,
2022-02-16 05:00:00,9.85,9.85,9.84,9.84,101076,9.8499,1644987600000,68,
2022-02-17 05:00:00,9.84,9.84,9.84,9.84,55724,9.84,1645074000000,12,
2022-02-23 05:00:00,9.82,9.82,9.82,9.82,675,9.82,1645592400000,1,
2022-02-24 05:00:00,9.8,9.84,9.8,9.83,26408,9.834,1645678800000,21,
2022-02-28 05:00:00,9.84,9.85,9.84,9.84,4100,9.8449,1646024400000,8,
2022-03-01 05:00:00,9.85,9.85,9.85,9.85,10501,9.85,1646110800000,5,
2022-03-02 05:00:00,9.84,9.84,9.84,9.84,514,9.8401,1646197200000,4,
2022-03-04 05:00:00,9.86,9.88,9.86,9.88,13620,9.8649,1646370000000,41,
2022-03-07 05:00:00,9.88,9.88,9.88,9.88,15000,9.88,1646629200000,1,
2022-03-08 05:00:00,9.89,9.89,9.88,9.88,6649,9.8825,1646715600000,2,
2022-03-10 05:00:00,9.87,9.87,9.86,9.87,396202,9.8602,1646888400000,31,
2022-03-17 04:00:00,9.89,9.89,9.88,9.88,14460,9.8869,1647489600000,11,
2022-03-23 04:00:00,9.88,9.89,9.88,9.88,1290,9.8816,1648008000000,6,
2022-03-28 04:00:00,9.9,9.9,9.89,9.9,91602,9.8999,1648440000000,8,
2022-03-31 04:00:00,9.91,9.91,9.9,9.9,2600,9.9069,1648699200000,10,
2022-04-01 04:00:00,9.85,9.92,9.84,9.91,141049,9.8637,1648785600000,326,
2022-04-04 04:00:00,9.885,9.89,9.88,9.88,28840,9.8898,1649044800000,45,
2022-04-05 04:00:00,9.89,9.89,9.89,9.89,5595,9.89,1649131200000,16,
2022-04-06 04:00:00,9.91,9.91,9.91,9.91,112,9.907,1649217600000,3,
2022-04-07 04:00:00,9.9,9.92,9.9,9.92,1331,9.9178,1649304000000,5,
2022-04-08 04:00:00,9.9,9.9,9.9,9.9,2600,9.9,1649390400000,4,
2022-04-11 04:00:00,9.905,9.905,9.905,9.905,100,9.905,1649649600000,1,
2022-04-12 04:00:00,9.88,9.88,9.88,9.88,140,9.8892,1649736000000,3,
2022-04-13 04:00:00,9.94,9.95,9.93,9.95,1539,9.9396,1649822400000,11,
2022-04-14 04:00:00,9.94,9.94,9.94,9.94,2632,9.94,1649908800000,10,
2022-04-19 04:00:00,9.9,9.92,9.9,9.9,6193,9.9047,1650340800000,66,
2022-04-20 04:00:00,9.94,9.94,9.92,9.92,382,9.9252,1650427200000,5,
2022-04-25 04:00:00,9.97,9.99,9.94,9.94,1966,9.9683,1650859200000,7,
2022-04-28 04:00:00,9.92,9.92,9.92,9.92,200,9.92,1651118400000,1,
2022-05-04 04:00:00,9.98,9.98,9.98,9.98,163,9.98,1651636800000,1,
2022-05-05 04:00:00,9.93,9.93,9.93,9.93,200,9.93,1651723200000,2,
2022-05-06 04:00:00,9.95,9.95,9.92,9.92,1137,9.9447,1651809600000,8,
2022-05-11 04:00:00,9.91,9.91,9.91,9.91,25100,9.91,1652241600000,2,
2022-05-12 04:00:00,9.91,9.91,9.86,9.86,7205,9.9079,1652328000000,20,
2022-05-13 04:00:00,9.88,9.88,9.87,9.87,20241,9.8702,1652414400000,24,
2022-05-17 04:00:00,9.87,9.87,9.86,9.86,22600,9.8693,1652760000000,9,
2022-05-20 04:00:00,9.86,9.86,9.86,9.86,31531,9.86,1653019200000,21,
2022-05-23 04:00:00,9.885,9.885,9.85,9.85,40400,9.8773,1653278400000,6,
2022-05-25 04:00:00,9.87,9.87,9.87,9.87,50002,9.87,1653451200000,4,
2022-05-27 04:00:00,9.87,9.9,9.87,9.9,61335,9.8897,1653624000000,20,
2022-05-31 04:00:00,9.87,9.95,9.87,9.92,10400,9.8717,1653969600000,7,
2022-06-01 04:00:00,9.87,9.87,9.8698,9.87,609646,9.87,1654056000000,135,
2022-06-02 04:00:00,9.92,9.92,9.92,9.92,108124,9.92,1654142400000,3,
2022-06-03 04:00:00,9.89,9.9,9.88,9.89,175156,9.89,1654228800000,293,
2022-06-06 04:00:00,9.89,9.9,9.89,9.89,427507,9.89,1654488000000,220,
2022-06-07 04:00:00,9.89,9.89,9.89,9.89,906,9.89,1654574400000,4,
2022-06-23 04:00:00,9.9,9.91,9.88,9.91,14300,9.9018,1655956800000,105,
2022-06-30 04:00:00,9.88,9.89,9.88,9.89,4252,9.8913,1656561600000,14,
2022-07-05 04:00:00,9.925,9.925,9.925,9.925,68783,9.925,1656993600000,2,
2022-07-06 04:00:00,9.92,9.92,9.92,9.92,22531,9.92,1657080000000,23,
2022-07-08 04:00:00,9.92,9.92,9.92,9.92,79790,9.92,1657252800000,51,
2022-07-11 04:00:00,9.91,9.91,9.91,9.91,195,9.91,1657512000000,2,
2022-07-14 04:00:00,9.94,9.96,9.9,9.92,51175,9.9206,1657771200000,27,
2022-07-15 04:00:00,9.95,9.95,9.95,9.95,49182,9.95,1657857600000,3,
2022-07-26 04:00:00,9.95,9.95,9.95,9.95,100000,9.95,1658808000000,18,
2022-07-27 04:00:00,9.95,9.9799,9.92,9.95,61977,9.9498,1658894400000,21,
2022-07-28 04:00:00,9.94,9.965,9.94,9.965,2386,9.9547,1658980800000,9,
2022-07-29 04:00:00,9.96,9.96,9.9401,9.9401,400,9.955,1659067200000,4,
2022-08-02 04:00:00,9.96,9.96,9.95,9.95,126198,9.9596,1659412800000,50,
2022-08-03 04:00:00,9.95,9.95,9.95,9.95,858,9.9501,1659499200000,9,
