Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,4.7,4.98,4.67,4.92,737994.0,4.8771,1598932800000,4707,
2020-09-02 04:00:00,4.92,4.96,4.78,4.87,340774.0,4.8822,1599019200000,2423,
2020-09-03 04:00:00,4.84,4.9,4.65,4.65,578015.0,4.7568,1599105600000,3263,
2020-09-04 04:00:00,4.67,5.07,4.65,4.86,727919.0,4.8766,1599192000000,3805,
2020-09-08 04:00:00,4.71,4.91,4.63,4.75,866371.0,4.786,1599537600000,4306,
2020-09-09 04:00:00,4.76,4.8197,4.53,4.75,490907.0,4.7143,1599624000000,2850,
2020-09-10 04:00:00,4.75,5.04,4.75,4.95,496419.0,4.9254,1599710400000,3654,
2020-09-11 04:00:00,4.94,5.24,4.891,4.96,1079461.0,5.0414,1599796800000,3723,
2020-09-14 04:00:00,5.0,5.14,4.87,4.91,854228.0,4.9487,1600056000000,4019,
2020-09-15 04:00:00,4.91,5.2013,4.84,5.09,905237.0,5.0551,1600142400000,3758,
2020-09-16 04:00:00,5.09,5.13,4.92,4.99,689329.0,4.9911,1600228800000,3548,
2020-09-17 04:00:00,4.91,5.0473,4.701,4.96,792133.0,4.923,1600315200000,3968,
2020-09-18 04:00:00,5.04,5.19,4.92,5.17,1040050.0,5.096,1600401600000,4228,
2020-09-21 04:00:00,5.01,5.08,4.79,5.07,668380.0,4.9305,1600660800000,4714,
2020-09-22 04:00:00,5.01,5.09,4.81,4.92,607008.0,4.9222,1600747200000,2537,
2020-09-23 04:00:00,4.85,4.89,4.4035,4.41,605313.0,4.605,1600833600000,3250,
2020-09-24 04:00:00,4.33,4.47,4.25,4.27,318178.0,4.3487,1600920000000,2383,
2020-09-25 04:00:00,4.27,4.319,4.07,4.21,319640.0,4.2197,1601006400000,2158,
2020-09-28 04:00:00,4.33,4.46,4.26,4.36,251244.0,4.3725,1601265600000,1331,
2020-09-29 04:00:00,4.32,4.34,4.08,4.26,522317.0,4.1916,1601352000000,3254,
2020-09-30 04:00:00,4.33,4.6976,4.33,4.48,608310.0,4.5408,1601438400000,3627,
2020-10-01 04:00:00,4.54,4.79,4.46,4.58,465353.0,4.6243,1601524800000,3284,
2020-10-02 04:00:00,4.48,4.95,4.42,4.88,397676.0,4.7884,1601611200000,2825,
2020-10-05 04:00:00,4.95,5.11,4.9,5.0,291263.0,5.0155,1601870400000,1355,
2020-10-06 04:00:00,5.08,5.12,4.92,4.95,480810.0,4.979,1601956800000,1824,
2020-10-07 04:00:00,5.06,5.19,5.0022,5.13,178952.0,5.1275,1602043200000,1459,
2020-10-08 04:00:00,5.15,5.29,5.07,5.27,221222.0,5.1963,1602129600000,1092,
2020-10-09 04:00:00,5.33,5.39,5.13,5.19,212552.0,5.2732,1602216000000,1113,
2020-10-12 04:00:00,5.14,5.23,5.01,5.18,211015.0,5.1243,1602475200000,1214,
2020-10-13 04:00:00,5.06,5.18,5.0,5.16,148286.0,5.1056,1602561600000,773,
2020-10-14 04:00:00,5.13,5.3,5.12,5.17,198920.0,5.1942,1602648000000,1071,
