Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-12-30 05:00:00,23.01,23.69,20.2,21.51,2169606.0,22.0253,1609304400000,10827,
2020-12-31 05:00:00,21.13,22.15,20.8301,21.65,1002833.0,21.4749,1609390800000,7172,
2021-01-04 05:00:00,21.2,21.42,19.3,20.52,2254775.0,20.3284,1609736400000,13182,
2021-01-05 05:00:00,21.03,21.18,19.765,20.29,1576249.0,20.406,1609822800000,7516,
2021-01-06 05:00:00,22.0,22.3297,20.7,21.21,1846306.0,21.6229,1609909200000,9776,
2021-01-07 05:00:00,21.43,22.46,20.39,20.51,768195.0,20.9287,1609995600000,5215,
2021-01-08 05:00:00,20.45,21.65,19.64,20.95,1123377.0,20.8135,1610082000000,7191,
2021-01-11 05:00:00,20.52,21.4108,20.3147,20.64,837046.0,20.8126,1610341200000,5611,
2021-01-12 05:00:00,20.48,21.8195,20.3,21.34,753819.0,21.2927,1610427600000,5701,
2021-01-13 05:00:00,21.27,22.88,21.0,22.5,1132813.0,22.1589,1610514000000,6099,
2021-01-14 05:00:00,22.73,23.99,22.5501,23.36,1413116.0,23.4079,1610600400000,5721,
2021-01-15 05:00:00,22.99,24.41,22.17,24.24,1212530.0,23.7173,1610686800000,8496,
2021-01-19 05:00:00,24.45,24.595,22.8,23.51,2063976.0,23.4999,1611032400000,9550,
2021-01-20 05:00:00,23.64,26.55,23.195,25.17,1918819.0,25.095,1611118800000,12600,
2021-01-21 05:00:00,25.24,26.1,23.16,24.32,1524523.0,24.4354,1611205200000,11255,
2021-01-22 05:00:00,25.32,25.32,22.9,23.89,1247588.0,24.043,1611291600000,8227,
2021-01-25 05:00:00,23.97,24.05,21.425,21.85,2313516.0,22.0621,1611550800000,15111,
2021-01-26 05:00:00,21.8,21.93,20.69,21.0,2322217.0,21.1321,1611637200000,19588,
2021-01-27 05:00:00,20.08,20.78,19.0,19.82,2571016.0,19.8473,1611723600000,18411,
2021-01-28 05:00:00,19.88,20.28,18.52,19.4,1749583.0,19.3261,1611810000000,12047,
2021-01-29 05:00:00,19.92,19.98,18.02,18.17,1423914.0,18.5029,1611896400000,10368,
2021-02-01 05:00:00,18.48,20.67,18.37,19.59,2042619.0,19.6438,1612155600000,15860,
2021-02-02 05:00:00,20.24,21.31,19.93,20.97,1329635.0,20.8761,1612242000000,10890,
2021-02-03 05:00:00,20.89,21.64,20.32,20.33,797641.0,20.8634,1612328400000,6765,
2021-02-04 05:00:00,20.7,20.8324,19.58,20.61,856800.0,20.3304,1612414800000,7806,
