Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2021-02-11 05:00:00,32.0,33.5,30.55,31.56,14472835.0,31.947,1613019600000,60512,
2021-02-12 05:00:00,32.24,36.4,30.0,36.4,3486281.0,33.5205,1613106000000,19023,
2021-02-16 05:00:00,36.8,39.85,34.5858,36.16,4357921.0,36.6503,1613451600000,15703,
2021-02-17 05:00:00,39.12,39.5,34.81,38.1,2791590.0,37.3044,1613538000000,19487,
2021-02-18 05:00:00,37.5,39.25,36.44,37.01,652472.0,37.7001,1613624400000,6257,
2021-02-19 05:00:00,37.99,40.79,37.55,39.44,908561.0,39.4836,1613710800000,7651,
2021-02-22 05:00:00,38.5,40.57,37.89,38.34,617876.0,39.0673,1613970000000,7064,
2021-02-23 05:00:00,36.55,36.885,33.0,35.39,1923902.0,34.7262,1614056400000,11313,
2021-02-24 05:00:00,36.0,38.24,35.52,36.25,1229038.0,36.8158,1614142800000,6209,
2021-02-25 05:00:00,36.25,37.11,30.4975,31.42,1163475.0,32.9224,1614229200000,10014,
2021-02-26 05:00:00,32.3,34.0,32.01,33.02,593088.0,32.9314,1614315600000,7163,
2021-03-01 05:00:00,34.79,36.63,34.15,36.22,676982.0,35.6966,1614574800000,6905,
2021-03-02 05:00:00,36.19,37.03,34.32,34.48,265966.0,35.6828,1614661200000,4220,
2021-03-03 05:00:00,34.5,35.23,30.77,31.07,613324.0,32.3627,1614747600000,6112,
2021-03-04 05:00:00,30.47,30.5799,26.73,27.74,1186528.0,28.331,1614834000000,10919,
2021-03-05 05:00:00,28.16,28.939,25.005,28.31,716626.0,27.0958,1614920400000,7177,
2021-03-08 05:00:00,28.31,28.41,26.65,27.26,550592.0,27.7083,1615179600000,5025,
2021-03-09 05:00:00,27.28,29.95,27.14,28.8,397526.0,29.1065,1615266000000,4826,
2021-03-10 05:00:00,29.15,29.86,27.635,28.12,451469.0,28.291,1615352400000,4420,
2021-03-11 05:00:00,28.28,31.04,28.28,29.49,482326.0,30.0098,1615438800000,5497,
2021-03-12 05:00:00,29.3,30.52,28.31,30.17,227313.0,29.7274,1615525200000,2660,
2021-03-15 04:00:00,30.1,30.99,29.78,30.53,300400.0,30.469,1615780800000,3102,
2021-03-16 04:00:00,30.1,30.98,30.0,30.42,277520.0,30.4724,1615867200000,3468,
2021-03-17 04:00:00,29.64,30.565,29.2857,29.78,539852.0,29.9696,1615953600000,3913,
2021-03-18 04:00:00,29.32,30.32,27.5,27.53,634858.0,28.8116,1616040000000,5189,
2021-03-19 04:00:00,27.5,28.68,26.38,26.46,2866600.0,26.6504,1616126400000,7239,
2021-03-22 04:00:00,26.86,27.73,25.22,25.25,644959.0,26.0183,1616385600000,5137,
2021-03-23 04:00:00,25.4,25.78,24.24,25.41,874897.0,25.0776,1616472000000,6080,
2021-03-24 04:00:00,25.79,25.89,23.97,24.29,738185.0,24.5863,1616558400000,6228,
2021-03-25 04:00:00,22.96,27.6838,22.13,27.52,1021371.0,25.8106,1616644800000,9422,
2021-03-26 04:00:00,27.37,28.97,25.8,26.99,380144.0,26.9067,1616731200000,4850,
2021-03-29 04:00:00,26.63,27.77,26.15,26.71,413235.0,26.822,1616990400000,3652,
2021-03-30 04:00:00,26.84,28.09,26.49,27.39,491067.0,27.434,1617076800000,4688,
2021-03-31 04:00:00,27.55,29.45,27.0,29.26,640387.0,28.1099,1617163200000,4786,
2021-04-01 04:00:00,29.65,30.64,29.05,29.88,522419.0,29.7978,1617249600000,4773,
2021-04-05 04:00:00,30.0,30.0,28.21,29.12,376689.0,28.9236,1617595200000,4235,
2021-04-06 04:00:00,29.68,29.82,27.25,27.47,368207.0,28.0543,1617681600000,3173,
2021-04-07 04:00:00,27.48,28.12,25.935,26.35,468150.0,26.5705,1617768000000,3520,
2021-04-08 04:00:00,26.89,27.4899,26.34,26.89,265932.0,26.8932,1617854400000,2750,
2021-04-09 04:00:00,27.29,27.3899,26.03,26.24,181238.0,26.5513,1617940800000,2247,
2021-04-12 04:00:00,26.11,26.2026,24.52,24.81,182544.0,25.2043,1618200000000,2121,
2021-04-13 04:00:00,25.0,26.33,24.84,26.1,356947.0,25.6188,1618286400000,2584,
2021-04-14 04:00:00,26.1,27.18,26.1,26.26,195284.0,26.5972,1618372800000,1716,
2021-04-15 04:00:00,26.39,27.02,26.3,26.99,212994.0,26.7462,1618459200000,2623,
