Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,8.37,8.78,8.3,8.39,13352,8.6716,1598932800000,87,
2020-09-02 04:00:00,8.4,8.5399,8.4,8.5,3449,8.4643,1599019200000,64,
2020-09-03 04:00:00,8.4,8.72,8.4,8.69,4291,8.5454,1599105600000,43,
2020-09-04 04:00:00,8.65,8.76,8.4,8.45,5758,8.5778,1599192000000,70,
2020-09-08 04:00:00,8.5838,8.97,8.54,8.86,6252,8.8331,1599537600000,127,
2020-09-09 04:00:00,9.0,9.2043,8.85,8.85,18517,9.0348,1599624000000,208,
2020-09-10 04:00:00,8.66,8.91,8.5,8.55,13532,8.6436,1599710400000,97,
2020-09-11 04:00:00,8.6304,8.69,8.35,8.39,19015,8.4822,1599796800000,126,
2020-09-14 04:00:00,8.5546,8.7,8.45,8.58,11800,8.551,1600056000000,220,
2020-09-15 04:00:00,8.6,9.0,8.6,8.7419,12019,8.8287,1600142400000,180,
2020-09-16 04:00:00,8.62,9.14,8.55,9.0,24938,8.839,1600228800000,311,
2020-09-17 04:00:00,8.74,9.32,8.74,9.2,20057,9.1131,1600315200000,189,
2020-09-18 04:00:00,9.12,9.12,8.54,9.0,21485,8.9169,1600401600000,188,
2020-09-21 04:00:00,8.95,8.95,8.35,8.66,17537,8.5439,1600660800000,156,
2020-09-22 04:00:00,8.57,8.73,8.37,8.57,10842,8.4813,1600747200000,85,
2020-09-23 04:00:00,8.5,8.5,8.18,8.24,11329,8.3409,1600833600000,149,
2020-09-24 04:00:00,8.27,8.45,8.2403,8.3,6180,8.266,1600920000000,251,
2020-09-25 04:00:00,8.32,8.6,8.2101,8.5,18696,8.3155,1601006400000,99,
2020-09-28 04:00:00,8.6455,8.9062,8.48,8.72,5855,8.6989,1601265600000,56,
2020-09-29 04:00:00,8.53,8.6,8.26,8.49,8404,8.4081,1601352000000,106,
2020-09-30 04:00:00,8.48,8.77,8.285,8.43,8002,8.542,1601438400000,81,
2020-10-01 04:00:00,8.37,8.56,8.36,8.5,19475,8.4213,1601524800000,131,
