Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,11.0,11.24,10.71,11.15,121185.0,11.1126,1598932800000,781,
2020-09-02 04:00:00,11.11,11.25,10.78,11.0,279895.0,11.0189,1599019200000,1627,
2020-09-03 04:00:00,11.09,11.29,10.9,11.28,222012.0,11.0992,1599105600000,1527,
2020-09-04 04:00:00,11.42,11.42,10.95,11.06,271386.0,11.077,1599192000000,1730,
2020-09-08 04:00:00,10.93,10.97,10.52,10.65,464603.0,10.7168,1599537600000,2093,
2020-09-09 04:00:00,10.7,11.03,10.58,10.64,187651.0,10.7793,1599624000000,1433,
2020-09-10 04:00:00,10.75,10.75,10.5,10.51,146940.0,10.5662,1599710400000,1044,
2020-09-11 04:00:00,10.6,10.87,10.49,10.82,180409.0,10.6722,1599796800000,1119,
2020-09-14 04:00:00,10.82,11.45,10.7301,11.28,227218.0,11.1797,1600056000000,1574,
2020-09-15 04:00:00,11.25,11.4999,11.03,11.1,144997.0,11.2095,1600142400000,1211,
2020-09-16 04:00:00,11.1,11.41,11.06,11.07,140642.0,11.2359,1600228800000,1047,
2020-09-17 04:00:00,11.06,11.14,10.84,11.13,78124.0,11.0132,1600315200000,699,
2020-09-18 04:00:00,11.01,11.126,10.79,10.87,243428.0,10.9356,1600401600000,1179,
2020-09-21 04:00:00,10.69,10.79,10.48,10.79,169544.0,10.628,1600660800000,1244,
2020-09-22 04:00:00,10.62,11.01,10.62,10.71,116524.0,10.7838,1600747200000,1037,
2020-09-23 04:00:00,10.65,10.77,10.2,10.2,225634.0,10.4602,1600833600000,1554,
2020-09-24 04:00:00,10.05,10.5,9.92,10.23,232274.0,10.1651,1600920000000,1629,
2020-09-25 04:00:00,10.1,10.28,9.93,10.12,156177.0,10.0703,1601006400000,1193,
2020-09-28 04:00:00,10.37,10.5599,10.15,10.17,184365.0,10.2609,1601265600000,1508,
2020-09-29 04:00:00,10.15,10.3,9.97,10.18,149030.0,10.1296,1601352000000,1134,
2020-09-30 04:00:00,10.11,10.46,9.98,10.01,162171.0,10.115,1601438400000,1216,
2020-10-01 04:00:00,10.08,10.26,9.88,10.23,167400.0,10.0397,1601524800000,1230,
2020-10-02 04:00:00,9.96,10.47,9.95,10.44,171438.0,10.3148,1601611200000,1214,
2020-10-05 04:00:00,10.45,10.66,10.33,10.37,186810.0,10.4639,1601870400000,1326,
2020-10-06 04:00:00,10.42,10.68,10.3901,10.5,184045.0,10.5137,1601956800000,1365,
2020-10-07 04:00:00,10.59,10.64,10.44,10.5,112091.0,10.5239,1602043200000,932,
2020-10-08 04:00:00,10.66,10.98,10.55,10.98,229318.0,10.7825,1602129600000,1011,
2020-10-09 04:00:00,10.87,10.9855,10.71,10.73,139718.0,10.7997,1602216000000,1009,
2020-10-12 04:00:00,10.68,10.83,10.57,10.73,149727.0,10.6828,1602475200000,1116,
2020-10-13 04:00:00,10.66,11.25,10.6554,11.25,120765.0,10.9832,1602561600000,879,
2020-10-14 04:00:00,11.11,11.57,11.03,11.05,155888.0,11.2775,1602648000000,1224,
2020-10-15 04:00:00,11.09,11.15,10.75,11.06,124882.0,10.9575,1602734400000,861,
2020-10-16 04:00:00,11.19,11.2999,10.72,10.72,417503.0,10.9305,1602820800000,1373,
2020-10-19 04:00:00,10.95,11.4643,10.93,11.14,282761.0,11.1447,1603080000000,1714,
2020-10-20 04:00:00,11.25,11.38,11.11,11.16,240832.0,11.2283,1603166400000,1567,
2020-10-21 04:00:00,11.22,11.29,10.885,11.05,246924.0,11.0686,1603252800000,1389,
2020-10-22 04:00:00,11.16,11.57,11.12,11.57,556114.0,11.3573,1603339200000,2430,
2020-10-23 04:00:00,11.04,11.15,10.7,10.88,362923.0,10.8714,1603425600000,2004,
2020-10-26 04:00:00,10.85,10.85,10.15,10.35,338845.0,10.414,1603684800000,1973,
2020-10-27 04:00:00,10.3,10.3677,10.02,10.25,230576.0,10.1615,1603771200000,1541,
2020-10-28 04:00:00,10.05,10.115,9.78,9.89,441120.0,9.9021,1603857600000,2317,
2020-10-29 04:00:00,9.92,10.175,9.7,10.1,196588.0,9.9805,1603944000000,1397,
2020-10-30 04:00:00,10.06,10.06,9.83,10.01,201983.0,9.9383,1604030400000,1357,
2020-11-02 05:00:00,10.12,10.18,9.92,10.18,229527.0,10.0467,1604293200000,1182,
2020-11-03 05:00:00,10.5,10.53,9.89,10.29,146603.0,10.2206,1604379600000,873,
2020-11-04 05:00:00,10.39,10.47,9.97,10.19,136670.0,10.1929,1604466000000,799,
2020-11-05 05:00:00,10.13,10.35,10.02,10.17,218064.0,10.1682,1604552400000,1376,
2020-11-06 05:00:00,10.27,10.44,9.6,9.88,526622.0,9.9629,1604638800000,2338,
2020-11-09 05:00:00,10.12,10.77,10.01,10.38,481233.0,10.4366,1604898000000,2443,
2020-11-10 05:00:00,10.44,10.74,10.4,10.71,177849.0,10.623,1604984400000,1200,
2020-11-11 05:00:00,10.92,11.04,10.8,10.9,153569.0,10.9056,1605070800000,998,
2020-11-12 05:00:00,11.02,11.02,10.4001,10.51,127773.0,10.6903,1605157200000,861,
