Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,9.98,10.09,9.84,10.01,669097.0,9.976,1598932800000,5338,
2020-09-02 04:00:00,10.01,10.26,9.98,10.24,751722.0,10.1964,1599019200000,5610,
2020-09-03 04:00:00,10.33,10.46,10.16,10.22,526987.0,10.2471,1599105600000,6874,
2020-09-04 04:00:00,10.42,10.42,10.06,10.27,532882.0,10.2358,1599192000000,5472,
2020-09-08 04:00:00,10.32,10.485,10.11,10.35,791628.0,10.3162,1599537600000,6323,
2020-09-09 04:00:00,10.38,10.54,10.16,10.4,673340.0,10.3557,1599624000000,6056,
2020-09-10 04:00:00,10.46,10.51,10.31,10.31,687976.0,10.3751,1599710400000,5681,
2020-09-11 04:00:00,10.33,10.395,9.97,10.13,802549.0,10.1404,1599796800000,6650,
2020-09-14 04:00:00,10.15,10.4183,10.12,10.26,807068.0,10.2945,1600056000000,6748,
2020-09-15 04:00:00,10.47,10.765,10.45,10.5,1390347.0,10.5788,1600142400000,9879,
2020-09-16 04:00:00,10.31,10.64,10.25,10.5,975816.0,10.516,1600228800000,7358,
2020-09-17 04:00:00,10.41,10.51,10.22,10.22,735685.0,10.2994,1600315200000,5270,
2020-09-18 04:00:00,10.25,10.2791,9.835,10.11,2620923.0,10.1074,1600401600000,6949,
2020-09-21 04:00:00,9.96,10.04,9.41,9.51,923712.0,9.5767,1600660800000,6521,
2020-09-22 04:00:00,9.5,9.65,9.31,9.32,598617.0,9.408,1600747200000,5129,
2020-09-23 04:00:00,9.28,9.57,9.15,9.16,773658.0,9.2745,1600833600000,7764,
2020-09-24 04:00:00,9.29,9.85,9.23,9.59,689007.0,9.572,1600920000000,7513,
2020-09-25 04:00:00,9.47,9.81,9.47,9.72,546320.0,9.6943,1601006400000,5151,
2020-09-28 04:00:00,9.8,10.01,9.8,9.92,600568.0,9.921,1601265600000,5339,
2020-09-29 04:00:00,9.92,9.96,9.605,9.69,578420.0,9.7584,1601352000000,5555,
2020-09-30 04:00:00,9.67,9.915,9.59,9.69,812024.0,9.7453,1601438400000,5156,
2020-10-01 04:00:00,9.7,9.81,9.54,9.8,514965.0,9.7129,1601524800000,6053,
2020-10-02 04:00:00,9.68,10.05,9.62,10.01,637772.0,9.9262,1601611200000,6030,
2020-10-05 04:00:00,10.12,10.19,9.9401,10.1,616735.0,10.0937,1601870400000,5715,
2020-10-06 04:00:00,10.25,10.56,10.18,10.46,958015.0,10.4216,1601956800000,7392,
2020-10-07 04:00:00,10.53,10.775,10.45,10.7,736300.0,10.6762,1602043200000,6022,
2020-10-08 04:00:00,10.79,10.91,10.66,10.83,434330.0,10.804,1602129600000,5114,
2020-10-09 04:00:00,10.9,11.085,10.875,10.89,475737.0,10.951,1602216000000,4811,
2020-10-12 04:00:00,10.85,11.005,10.76,10.89,569221.0,10.8952,1602475200000,5905,
2020-10-13 04:00:00,10.74,10.84,10.52,10.53,623263.0,10.5999,1602561600000,5719,
2020-10-14 04:00:00,10.5,10.55,10.38,10.38,347725.0,10.4447,1602648000000,3938,
2020-10-15 04:00:00,10.33,10.56,10.24,10.54,592765.0,10.5034,1602734400000,4773,
2020-10-16 04:00:00,10.52,10.61,10.469,10.48,464661.0,10.5093,1602820800000,3325,
2020-10-19 04:00:00,10.5,10.52,10.15,10.17,493536.0,10.2916,1603080000000,4559,
2020-10-20 04:00:00,10.27,10.36,10.07,10.08,440046.0,10.1685,1603166400000,3961,
2020-10-21 04:00:00,10.05,10.12,10.01,10.03,392600.0,10.0474,1603252800000,3598,
2020-10-22 04:00:00,10.07,10.24,10.0242,10.2,385445.0,10.179,1603339200000,3233,
2020-10-23 04:00:00,10.3,10.39,10.23,10.31,283238.0,10.3139,1603425600000,3005,
2020-10-26 04:00:00,10.25,10.395,10.13,10.37,429180.0,10.2819,1603684800000,4127,
2020-10-27 04:00:00,10.36,10.47,10.15,10.15,573307.0,10.2471,1603771200000,4631,
2020-10-28 04:00:00,10.0,10.1,9.485,9.49,728797.0,9.6641,1603857600000,7430,
2020-10-29 04:00:00,9.45,9.45,9.15,9.26,1140580.0,9.2616,1603944000000,7227,
2020-10-30 04:00:00,9.22,9.36,9.11,9.19,1020615.0,9.2105,1604030400000,9496,
2020-11-02 05:00:00,9.23,9.33,9.015,9.33,811454.0,9.1863,1604293200000,8792,
2020-11-03 05:00:00,9.5,9.81,9.5,9.7,709652.0,9.6857,1604379600000,5836,
2020-11-04 05:00:00,9.55,9.61,9.34,9.38,797997.0,9.4274,1604466000000,6861,
2020-11-05 05:00:00,9.47,10.1682,9.45,9.94,813653.0,9.8764,1604552400000,6247,
2020-11-06 05:00:00,9.95,10.2,9.69,9.97,915685.0,9.9259,1604638800000,8375,
2020-11-09 05:00:00,10.33,10.98,10.33,10.58,1130142.0,10.647,1604898000000,10376,
2020-11-10 05:00:00,10.66,11.24,10.54,11.2,1080838.0,11.0928,1604984400000,8790,
2020-11-11 05:00:00,11.19,11.2601,10.9001,11.26,614866.0,11.1935,1605070800000,5215,
2020-11-12 05:00:00,11.11,11.19,10.75,10.82,652287.0,10.8737,1605157200000,5695,
2020-11-13 05:00:00,10.95,11.28,10.93,11.25,964028.0,11.2041,1605243600000,4280,
2020-11-16 05:00:00,11.39,11.71,11.29,11.71,695081.0,11.5953,1605502800000,5871,
2020-11-17 05:00:00,11.52,11.99,11.52,11.9,907105.0,11.8881,1605589200000,7377,
2020-11-18 05:00:00,11.98,12.0,11.38,11.38,852527.0,11.6175,1605675600000,6536,
2020-11-19 05:00:00,11.32,11.46,11.17,11.29,473389.0,11.3114,1605762000000,3813,
2020-11-20 05:00:00,11.21,11.35,11.05,11.05,703965.0,11.1167,1605848400000,4752,
2020-11-23 05:00:00,11.06,11.3,10.76,11.21,745857.0,11.1556,1606107600000,5935,
2020-11-24 05:00:00,11.4,11.75,11.305,11.64,880984.0,11.6443,1606194000000,6697,
2020-11-25 05:00:00,11.59,11.59,11.3,11.37,425620.0,11.4211,1606280400000,4761,
2020-11-27 05:00:00,11.31,11.3471,11.115,11.27,249994.0,11.2325,1606453200000,2886,
2020-11-30 05:00:00,11.21,11.32,11.15,11.24,665955.0,11.2438,1606712400000,4542,
2020-12-01 05:00:00,11.38,11.61,11.2,11.34,447845.0,11.3461,1606798800000,4282,
2020-12-02 05:00:00,11.33,11.39,11.13,11.27,367375.0,11.2492,1606885200000,4202,
2020-12-03 05:00:00,11.28,11.4735,11.25,11.36,470614.0,11.3726,1606971600000,3739,
2020-12-04 05:00:00,11.51,11.77,11.43,11.68,554896.0,11.645,1607058000000,5600,
2020-12-07 05:00:00,11.72,11.96,11.71,11.9,517134.0,11.8796,1607317200000,4566,
2020-12-08 05:00:00,11.78,12.22,11.78,12.17,525399.0,12.0939,1607403600000,6024,
2020-12-09 05:00:00,12.26,12.35,12.13,12.33,594750.0,12.2673,1607490000000,6195,
2020-12-10 05:00:00,12.28,12.4,12.19,12.4,483177.0,12.3366,1607576400000,5036,
2020-12-11 05:00:00,12.4,12.62,12.35,12.47,521885.0,12.482,1607662800000,5118,
2020-12-14 05:00:00,12.65,13.25,12.5742,12.77,1077550.0,12.8977,1607922000000,8497,
2020-12-15 05:00:00,12.82,12.97,12.66,12.81,720931.0,12.7935,1608008400000,6696,
2020-12-16 05:00:00,12.35,12.84,12.35,12.71,740494.0,12.6547,1608094800000,5620,
2020-12-17 05:00:00,12.74,12.865,12.66,12.84,485615.0,12.7826,1608181200000,4982,
2020-12-18 05:00:00,12.81,12.965,12.44,12.65,5065616.0,12.6792,1608267600000,7939,
2020-12-21 05:00:00,12.56,12.56,11.665,11.67,880036.0,11.8361,1608526800000,7713,
2020-12-22 05:00:00,11.67,11.84,11.44,11.78,811907.0,11.7035,1608613200000,6895,
2020-12-23 05:00:00,11.86,11.99,11.74,11.86,540866.0,11.8494,1608699600000,5055,
2020-12-24 05:00:00,11.93,11.9499,11.71,11.86,187937.0,11.8534,1608786000000,1971,
2020-12-28 05:00:00,11.98,12.08,11.88,12.03,584007.0,11.9931,1609131600000,4188,
2020-12-29 05:00:00,12.06,12.11,11.7,11.79,514693.0,11.8274,1609218000000,4234,
2020-12-30 05:00:00,11.76,11.9,11.67,11.7,538506.0,11.7505,1609304400000,4342,
2020-12-31 05:00:00,11.68,11.745,11.51,11.65,579910.0,11.6307,1609390800000,5320,
2021-01-04 05:00:00,11.67,11.85,11.3,11.63,673858.0,11.5614,1609736400000,5692,
2021-01-05 05:00:00,11.6,12.04,11.6,11.98,640143.0,11.9312,1609822800000,5533,
2021-01-06 05:00:00,12.23,13.44,12.18,13.37,1688421.0,13.1453,1609909200000,13295,
2021-01-07 05:00:00,13.37,13.45,12.77,12.97,872101.0,13.0442,1609995600000,8233,
2021-01-08 05:00:00,12.97,13.0016,12.6,12.88,497215.0,12.8397,1610082000000,5202,
2021-01-11 05:00:00,12.69,13.01,12.61,12.71,449568.0,12.7569,1610341200000,4893,
2021-01-12 05:00:00,12.76,12.98,12.68,12.8,378902.0,12.8114,1610427600000,3952,
2021-01-13 05:00:00,12.81,12.9,12.35,12.39,512812.0,12.4664,1610514000000,4743,
2021-01-14 05:00:00,12.46,12.59,12.23,12.28,799248.0,12.3477,1610600400000,6836,
2021-01-15 05:00:00,12.13,12.285,11.96,12.23,553091.0,12.1626,1610686800000,4068,
2021-01-19 05:00:00,12.26,12.28,11.94,11.99,640203.0,12.0473,1611032400000,5683,
2021-01-20 05:00:00,12.5,12.62,12.28,12.45,704189.0,12.453,1611118800000,5168,
2021-01-21 05:00:00,12.53,12.53,12.11,12.13,607836.0,12.1924,1611205200000,4402,
2021-01-22 05:00:00,12.07,12.17,11.84,12.16,484959.0,12.0626,1611291600000,4000,
2021-01-25 05:00:00,12.04,12.47,11.92,12.25,576387.0,12.2385,1611550800000,4596,
2021-01-26 05:00:00,12.28,12.31,11.99,12.06,455089.0,12.0644,1611637200000,3937,
2021-01-27 05:00:00,11.93,12.06,11.81,11.9,974961.0,11.9234,1611723600000,6990,
2021-01-28 05:00:00,12.0,12.06,11.82,11.93,639885.0,11.9347,1611810000000,5027,
2021-01-29 05:00:00,11.91,11.915,11.58,11.74,1200383.0,11.7386,1611896400000,8774,
2021-02-01 05:00:00,11.72,11.8,11.41,11.65,635806.0,11.6277,1612155600000,5745,
2021-02-02 05:00:00,11.78,12.385,11.62,12.16,1100514.0,12.1687,1612242000000,8397,
2021-02-03 05:00:00,12.03,12.31,11.81,11.93,642755.0,11.9479,1612328400000,5945,
2021-02-04 05:00:00,11.87,12.535,11.86,12.46,1524325.0,12.1954,1612414800000,6308,
2021-02-05 05:00:00,12.56,12.775,12.3061,12.49,576319.0,12.5133,1612501200000,5270,
2021-02-08 05:00:00,12.5,13.14,12.46,13.02,1214208.0,12.9661,1612760400000,9419,
2021-02-09 05:00:00,13.11,13.52,12.99,13.19,1328569.0,13.2863,1612846800000,8898,
2021-02-10 05:00:00,13.36,13.45,12.86,13.1,750657.0,13.1112,1612933200000,6630,
2021-02-11 05:00:00,13.15,13.75,13.11,13.75,1112281.0,13.5472,1613019600000,8473,
2021-02-12 05:00:00,13.7,14.43,13.43,14.32,2002916.0,14.1678,1613106000000,11535,
2021-02-16 05:00:00,14.3,14.5349,14.17,14.22,953465.0,14.2911,1613451600000,7486,
2021-02-17 05:00:00,14.0,14.11,13.77,13.94,607839.0,13.9503,1613538000000,5356,
2021-02-18 05:00:00,13.91,14.12,13.7,13.85,523075.0,13.8578,1613624400000,4920,
2021-02-19 05:00:00,13.83,14.24,13.82,14.16,899522.0,14.0821,1613710800000,7408,
2021-02-22 05:00:00,14.17,14.22,14.01,14.1,858192.0,14.1089,1613970000000,6432,
2021-02-23 05:00:00,14.05,14.19,13.69,13.97,967793.0,13.9295,1614056400000,7636,
2021-02-24 05:00:00,14.04,14.6,14.02,14.38,998588.0,14.4038,1614142800000,7458,
2021-02-25 05:00:00,14.3,14.42,13.85,13.97,973027.0,14.0488,1614229200000,7602,
2021-02-26 05:00:00,14.05,14.13,13.63,13.65,1127912.0,13.7616,1614315600000,8239,
2021-03-01 05:00:00,13.94,14.23,13.9,14.11,646197.0,14.0709,1614574800000,5414,
2021-03-02 05:00:00,14.18,14.19,13.75,13.78,606427.0,13.9339,1614661200000,5430,
2021-03-03 05:00:00,13.89,14.14,13.8,13.92,561815.0,13.9968,1614747600000,5229,
2021-03-04 05:00:00,14.01,14.05,13.33,13.41,796742.0,13.5663,1614834000000,6374,
2021-03-05 05:00:00,13.61,13.92,13.33,13.92,674523.0,13.7037,1614920400000,6948,
2021-03-08 05:00:00,13.92,14.2,13.78,14.12,904058.0,14.0774,1615179600000,5619,
2021-03-09 05:00:00,14.29,14.605,14.02,14.44,705395.0,14.4099,1615266000000,6033,
