Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2020-09-01 04:00:00,7.76,7.85,7.57,7.8,7172609.0,7.7376,1598932800000,27493,
2020-09-02 04:00:00,7.82,7.87,7.61,7.81,7028329.0,7.7533,1599019200000,27773,
2020-09-03 04:00:00,7.79,8.0,7.64,7.68,7949486.0,7.7923,1599105600000,33348,
2020-09-04 04:00:00,7.84,7.985,7.53,7.88,11147428.0,7.7628,1599192000000,44921,
2020-09-08 04:00:00,7.72,7.73,7.32,7.46,10533286.0,7.4907,1599537600000,39641,
2020-09-09 04:00:00,7.52,7.54,7.23,7.39,7817498.0,7.376,1599624000000,29628,
2020-09-10 04:00:00,7.36,7.4,7.21,7.3,8974433.0,7.322,1599710400000,42137,
2020-09-11 04:00:00,7.35,7.38,7.14,7.2,7133766.0,7.2412,1599796800000,30512,
2020-09-14 04:00:00,7.27,7.43,7.17,7.4,6481957.0,7.3265,1600056000000,27985,
2020-09-15 04:00:00,7.44,7.66,7.335,7.52,8064376.0,7.5195,1600142400000,33807,
2020-09-16 04:00:00,7.55,7.87,7.38,7.76,8820345.0,7.6963,1600228800000,37370,
2020-09-17 04:00:00,7.63,8.5,7.43,8.41,22333348.0,8.2072,1600315200000,75643,
2020-09-18 04:00:00,8.46,9.25,8.3583,8.82,30255847.0,8.919,1600401600000,100904,
2020-09-21 04:00:00,8.44,8.5619,7.92,7.96,18434956.0,8.1202,1600660800000,64623,
2020-09-22 04:00:00,8.1,8.1,7.43,7.45,15830285.0,7.5942,1600747200000,50833,
2020-09-23 04:00:00,7.45,7.6319,7.17,7.17,12673499.0,7.3257,1600833600000,43488,
2020-09-24 04:00:00,7.12,7.285,6.87,7.07,9982334.0,7.0954,1600920000000,33931,
2020-09-25 04:00:00,6.97,7.15,6.85,7.11,6955149.0,7.0578,1601006400000,24987,
2020-09-28 04:00:00,7.35,7.67,7.25,7.58,11894492.0,7.5175,1601265600000,43314,
2020-09-29 04:00:00,7.57,7.67,7.31,7.36,8085423.0,7.4527,1601352000000,29008,
2020-09-30 04:00:00,7.37,7.675,7.32,7.34,9156836.0,7.4665,1601438400000,32756,
2020-10-01 04:00:00,7.41,7.59,7.33,7.48,9614770.0,7.4689,1601524800000,32133,
2020-10-02 04:00:00,7.28,7.73,7.25,7.65,9213399.0,7.5633,1601611200000,31214,
2020-10-05 04:00:00,7.76,8.05,7.72,7.83,7480096.0,7.9053,1601870400000,28050,
2020-10-06 04:00:00,7.98,8.055,7.59,7.67,7284678.0,7.819,1601956800000,28215,
2020-10-07 04:00:00,7.85,8.51,7.83,8.47,14673173.0,8.2862,1602043200000,47617,
2020-10-08 04:00:00,8.55,8.76,8.41,8.53,9487770.0,8.5563,1602129600000,34926,
2020-10-09 04:00:00,8.66,8.7781,8.185,8.36,10375140.0,8.4065,1602216000000,33190,
2020-10-12 04:00:00,8.33,8.44,8.23,8.36,5906818.0,8.3448,1602475200000,21496,
2020-10-13 04:00:00,8.23,8.49,8.23,8.33,6363884.0,8.3639,1602561600000,23720,
2020-10-14 04:00:00,8.39,8.66,8.28,8.56,7926239.0,8.5063,1602648000000,31039,
2020-10-15 04:00:00,8.35,8.68,8.32,8.66,6444769.0,8.5562,1602734400000,24099,
2020-10-16 04:00:00,8.68,9.08,8.53,8.96,11635099.0,8.8966,1602820800000,34311,
2020-10-19 04:00:00,9.05,9.555,8.955,8.99,17053844.0,9.1996,1603080000000,57132,
2020-10-20 04:00:00,9.13,9.2681,8.82,8.83,10429055.0,8.9785,1603166400000,37000,
2020-10-21 04:00:00,8.85,9.15,8.82,8.92,5666595.0,8.9834,1603252800000,24161,
2020-10-22 04:00:00,8.96,9.485,8.9,9.36,11116098.0,9.2717,1603339200000,36719,
2020-10-23 04:00:00,9.5,10.3,9.46,9.95,21844236.0,9.9674,1603425600000,77612,
2020-10-26 04:00:00,9.72,9.975,9.54,9.61,12157910.0,9.7329,1603684800000,44804,
2020-10-27 04:00:00,9.68,10.31,9.41,10.07,16603200.0,9.9489,1603771200000,59804,
2020-10-28 04:00:00,9.85,9.945,9.3,9.35,14830726.0,9.5355,1603857600000,59741,
2020-10-29 04:00:00,9.38,9.91,9.2,9.83,10319050.0,9.6594,1603944000000,42543,
2020-10-30 04:00:00,9.76,10.15,9.51,9.66,16089006.0,9.7381,1604030400000,54446,
2020-11-02 05:00:00,9.93,9.93,9.49,9.85,9944732.0,9.7205,1604293200000,38268,
2020-11-03 05:00:00,10.0,10.095,9.82,9.96,7849530.0,9.9485,1604379600000,32191,
2020-11-04 05:00:00,9.72,9.72,8.96,9.09,23263477.0,9.264,1604466000000,74150,
2020-11-05 05:00:00,9.24,9.9175,9.235,9.67,11690231.0,9.6771,1604552400000,45165,
2020-11-06 05:00:00,9.74,10.24,9.71,9.9,12102004.0,10.0273,1604638800000,45586,
2020-11-09 05:00:00,10.5,11.0,9.96,10.53,18743500.0,10.4982,1604898000000,69058,
2020-11-10 05:00:00,10.57,10.73,10.22,10.37,10174696.0,10.4593,1604984400000,43033,
2020-11-11 05:00:00,10.4,10.5,10.095,10.23,8617834.0,10.2684,1605070800000,36015,
2020-11-12 05:00:00,10.08,10.37,9.88,9.97,9072749.0,10.0932,1605157200000,36311,
2020-11-13 05:00:00,10.1,10.64,10.05,10.58,11444497.0,10.4514,1605243600000,42858,
2020-11-16 05:00:00,10.89,11.24,10.77,11.1,15535470.0,11.0465,1605502800000,50084,
2020-11-17 05:00:00,10.9776,11.213,10.75,11.1,7460159.0,11.0554,1605589200000,28527,
2020-11-18 05:00:00,11.15,11.55,10.92,10.93,11353301.0,11.2706,1605675600000,41872,
2020-11-19 05:00:00,10.92,11.14,10.7219,11.09,9390323.0,10.9504,1605762000000,37632,
2020-11-20 05:00:00,11.15,11.245,10.94,10.96,6672421.0,11.0605,1605848400000,25143,
2020-11-23 05:00:00,11.18,11.63,11.18,11.56,11370417.0,11.4316,1606107600000,44750,
2020-11-24 05:00:00,12.0,14.325,11.96,14.25,36765507.0,13.6261,1606194000000,148687,
2020-11-25 05:00:00,14.0,14.495,13.68,14.38,17348849.0,14.1624,1606280400000,75199,
2020-11-27 05:00:00,14.6,14.88,14.25,14.55,7793072.0,14.5285,1606453200000,32712,
2020-11-30 05:00:00,14.45,14.586,14.13,14.19,8908036.0,14.3437,1606712400000,40801,
2020-12-01 05:00:00,14.68,15.85,14.64,15.06,19595087.0,15.2809,1606798800000,91792,
2020-12-02 05:00:00,14.98,15.7,14.65,15.57,12100430.0,15.3658,1606885200000,52029,
2020-12-03 05:00:00,15.82,15.85,15.1,15.22,11876398.0,15.4343,1606971600000,52915,
2020-12-04 05:00:00,15.49,16.97,15.45,16.69,17705421.0,16.44,1607058000000,73248,
2020-12-07 05:00:00,16.6,17.805,16.4199,17.19,17376121.0,17.2803,1607317200000,78631,
2020-12-08 05:00:00,17.58,19.58,17.28,19.47,33870624.0,18.8977,1607403600000,138940,
2020-12-09 05:00:00,19.75,20.0,18.02,18.25,30419883.0,18.9722,1607490000000,127743,
