date,volume,open,close,high,low,tickers
2020-08-03,10437954.0,116.17,116.35,117.12,115.35,DIS
2020-08-04,17502857.0,115.96,117.29,118.35,115.76,DIS
2020-08-05,54082991.0,123.37,127.61,130.31,123.28,DIS
2020-08-06,27644835.0,126.96,130.82,131.63,125.61,DIS
2020-08-07,16411137.0,130.22,129.93,131.94,128.66,DIS
2020-08-10,8684601.0,129.75,128.79,131.32,128.49,DIS
2020-08-11,14167697.0,130.53,130.49,132.76,130.0,DIS
2020-08-12,12346341.0,130.67,131.79,133.0,130.49,DIS
2020-08-13,6592566.0,130.64,130.96,132.35,130.45,DIS
2020-08-14,6677943.0,130.01,130.53,131.08,129.74,DIS
2020-08-17,7757538.0,130.1,129.37,130.1371,128.54,DIS
2020-08-18,6868268.0,129.44,128.92,129.59,128.36,DIS
2020-08-19,7790598.0,129.25,127.77,130.2166,127.43,DIS
2020-08-20,5027727.0,126.8,128.12,128.45,126.53,DIS
2020-08-21,6451051.0,127.72,127.44,128.31,127.23,DIS
2020-08-24,7748740.0,128.15,130.69,130.88,127.93,DIS
2020-08-25,5719451.0,130.83,129.79,131.09,129.31,DIS
2020-08-26,8584612.0,130.0,132.18,132.6,129.52,DIS
2020-08-27,13857285.0,133.0,133.73,136.36,132.82,DIS
2020-08-28,11178293.0,134.5,135.54,136.8,133.5801,DIS
2020-08-31,11784869.0,135.25,131.87,135.54,131.25,DIS
2020-09-01,8526432.0,131.92,133.55,133.61,130.89,DIS
2020-09-02,8349736.0,133.63,135.39,135.92,133.264,DIS
2020-09-03,12288351.0,135.24,133.24,137.2374,132.02,DIS
2020-09-04,11456374.0,133.75,131.99,134.88,129.42,DIS
2020-09-08,17567498.0,131.99,134.2,137.14,130.86,DIS
2020-09-09,9076719.0,134.28,133.36,135.55,132.26,DIS
2020-09-10,9761044.0,133.58,133.22,136.75,132.74,DIS
2020-09-11,7287544.0,133.74,131.75,133.74,131.09,DIS
2020-09-14,8489452.0,132.53,131.25,132.93,130.904,DIS
2020-09-15,7089202.0,131.46,131.24,132.54,131.005,DIS
2020-09-16,6721143.0,132.17,132.09,133.62,131.4,DIS
2020-09-17,6860944.0,130.55,130.22,131.77,128.6,DIS
2020-09-18,11252881.0,129.5,128.63,130.79,128.1201,DIS
2020-09-21,10557391.0,125.98,125.41,126.8858,123.59,DIS
2020-09-22,7124079.0,125.26,127.21,127.47,124.7,DIS
2020-09-23,8456603.0,127.07,123.28,127.3,122.901,DIS
2020-09-24,8681912.0,121.93,122.49,123.8,120.78,DIS
2020-09-25,7013572.0,121.36,124.0,124.19,120.98,DIS
2020-09-28,6442461.0,125.75,125.99,126.86,125.37,DIS
2020-09-29,7538677.0,125.92,125.4,126.29,123.675,DIS
2020-09-30,13862430.0,123.24,124.08,125.55,123.24,DIS
2020-10-01,9094064.0,124.94,123.31,125.47,122.42,DIS
2020-10-02,6749004.0,121.99,122.55,123.6775,121.69,DIS
2020-10-05,6006074.0,123.26,123.37,123.595,122.33,DIS
2020-10-06,9184814.0,123.13,120.93,124.19,120.61,DIS
2020-10-07,10305721.0,121.95,122.91,123.3098,120.93,DIS
2020-10-08,7529920.0,123.58,123.09,123.75,122.4201,DIS
2020-10-09,11622005.0,123.85,124.98,125.5495,123.33,DIS
2020-10-12,11101373.0,124.9,124.97,125.94,123.73,DIS
2020-10-13,22767636.0,129.8,128.96,131.36,127.9,DIS
2020-10-14,11695685.0,129.14,126.59,129.5,125.29,DIS
2020-10-15,7907576.0,125.0,127.36,127.4,124.43,DIS
2020-10-16,6792739.0,127.81,126.81,128.12,126.33,DIS
2020-10-19,6692566.0,127.37,124.23,127.4,123.71,DIS
2020-10-20,6290836.0,124.58,124.95,125.73,123.64,DIS
2020-10-21,6738615.0,124.36,126.63,127.56,123.835,DIS
2020-10-22,5314365.0,126.67,127.56,128.1,125.97,DIS
2020-10-23,5555130.0,128.1,128.35,128.5,126.35,DIS
2020-10-26,8717119.0,127.11,124.06,127.11,122.95,DIS
2020-10-27,6925283.0,124.03,123.31,124.61,123.03,DIS
2020-10-28,11833452.0,121.01,118.47,121.53,118.32,DIS
2020-10-29,9749768.0,118.16,121.54,122.63,117.23,DIS
2020-10-30,8192658.0,120.64,121.25,121.75,119.0881,DIS
2020-11-02,9338364.0,122.24,120.13,122.93,119.81,DIS
2020-11-03,8251301.0,121.605,124.02,125.07,121.37,DIS
2020-11-04,7574921.0,123.58,125.07,126.86,123.41,DIS
2020-11-05,7770937.0,126.78,126.96,128.62,125.8,DIS
2020-11-06,6392843.0,126.255,127.46,128.04,124.6147,DIS
2020-11-09,36650550.0,140.26,142.59,147.68,138.065,DIS
2020-11-10,18704762.0,139.97,142.11,142.37,137.67,DIS
