date,volume,open,close,high,low,tickers
2020-08-03,3184572.0,194.33,194.4,195.6,193.59,MCD
2020-08-04,3739183.0,194.95,199.36,199.7,194.34,MCD
2020-08-05,2354756.0,200.0,199.26,200.5,197.91,MCD
2020-08-06,3192490.0,198.78,203.18,203.6,198.37,MCD
2020-08-07,3026840.0,203.36,204.6,205.16,203.285,MCD
2020-08-10,2822326.0,204.35,204.12,205.16,202.5367,MCD
2020-08-11,2561469.0,205.0,205.0,207.42,204.25,MCD
2020-08-12,2207090.0,206.86,206.02,207.4,205.38,MCD
2020-08-13,1839629.0,205.96,206.49,207.25,205.35,MCD
2020-08-14,2092201.0,205.95,207.03,207.33,205.2,MCD
2020-08-17,2656956.0,206.94,208.67,209.5,206.85,MCD
2020-08-18,2976854.0,209.26,210.32,210.43,207.23,MCD
2020-08-19,2763198.0,210.22,209.51,211.17,208.64,MCD
2020-08-20,2136559.0,208.12,209.88,210.99,208.1,MCD
2020-08-21,3663067.0,209.96,211.57,212.185,209.26,MCD
2020-08-24,2521690.0,212.26,212.62,213.5,210.93,MCD
2020-08-25,2368484.0,213.96,212.65,214.185,212.22,MCD
2020-08-26,2367445.0,212.09,213.76,214.42,211.6,MCD
2020-08-27,3264692.0,214.34,212.19,216.1,212.1,MCD
2020-08-28,3251184.0,212.82,214.91,216.71,211.77,MCD
2020-08-31,2943776.0,213.52,213.52,214.99,212.81,MCD
2020-09-01,2999040.0,210.84,212.69,213.61,210.5816,MCD
2020-09-02,4147711.0,213.25,216.23,217.13,212.69,MCD
2020-09-03,3192321.0,218.11,213.8,218.11,211.9,MCD
2020-09-04,3884600.0,215.29,211.73,217.78,210.76,MCD
2020-09-08,4170732.0,211.18,213.58,216.3,211.06,MCD
2020-09-09,3258804.0,215.0,215.71,218.17,214.44,MCD
2020-09-10,3375510.0,215.72,217.24,219.48,215.72,MCD
2020-09-11,3620076.0,217.69,218.0,219.18,216.28,MCD
2020-09-14,2595194.0,219.72,220.56,222.59,219.34,MCD
2020-09-15,2704752.0,221.76,222.37,223.64,221.4,MCD
2020-09-16,3517510.0,222.17,224.81,226.72,221.3,MCD
2020-09-17,3449854.0,223.7,222.58,223.73,220.5,MCD
2020-09-18,4702013.0,221.62,220.27,223.57,220.13,MCD
2020-09-21,2876044.0,217.14,216.41,218.045,213.4,MCD
2020-09-22,2516887.0,216.43,216.41,216.96,214.55,MCD
2020-09-23,2820867.0,217.67,214.97,219.685,214.24,MCD
2020-09-24,1756100.0,214.75,216.12,218.41,213.59,MCD
2020-09-25,2232035.0,215.3,218.18,219.25,213.65,MCD
2020-09-28,2156223.0,220.0,220.26,221.98,219.02,MCD
2020-09-29,1768466.0,220.42,218.68,220.955,218.4783,MCD
2020-09-30,3070391.0,218.87,219.49,222.2,218.41,MCD
2020-10-01,2483533.0,221.59,219.59,223.0,217.79,MCD
2020-10-02,3884971.0,217.51,222.67,223.3499,217.1,MCD
2020-10-05,2980148.0,224.86,226.07,226.5,224.01,MCD
2020-10-06,2519907.0,226.83,224.09,228.66,223.6,MCD
2020-10-07,2026052.0,225.58,226.48,228.41,225.125,MCD
2020-10-08,3258447.0,226.09,225.8,227.08,224.29,MCD
2020-10-09,3282010.0,226.94,224.83,227.22,223.12,MCD
2020-10-12,2461575.0,224.81,226.11,226.51,223.12,MCD
2020-10-13,2160808.0,225.7,227.35,228.58,224.93,MCD
2020-10-14,1900884.0,228.41,227.62,229.4803,227.35,MCD
2020-10-15,2211944.0,226.15,229.64,230.0,225.59,MCD
2020-10-16,2363385.0,229.77,229.37,231.91,229.1501,MCD
2020-10-19,2043108.0,229.55,226.0,231.02,225.17,MCD
2020-10-20,1926155.0,226.74,227.45,230.0,226.43,MCD
2020-10-21,1561939.0,227.23,228.19,229.49,227.21,MCD
2020-10-22,2002987.0,227.76,229.15,229.4,226.875,MCD
2020-10-23,2307661.0,230.41,228.71,230.41,227.8,MCD
2020-10-26,2567629.0,226.78,224.27,227.25,220.97,MCD
2020-10-27,1833213.0,224.47,222.97,225.23,222.72,MCD
2020-10-28,3323815.0,218.39,214.69,220.5916,214.46,MCD
2020-10-29,2509720.0,214.69,214.95,217.65,213.07,MCD
2020-10-30,3508984.0,213.6,213.0,215.22,209.905,MCD
2020-11-02,3029980.0,215.88,212.56,216.32,210.79,MCD
2020-11-03,2652855.0,215.59,216.8,218.1,213.95,MCD
2020-11-04,3431456.0,215.0,214.87,219.47,213.3,MCD
2020-11-05,3683190.0,216.07,216.31,218.2,214.68,MCD
2020-11-06,3967507.0,216.0,216.56,217.885,214.25,MCD
2020-11-09,8110086.0,226.79,213.22,227.8477,207.17,MCD
2020-11-10,4317282.0,215.75,213.32,215.99,211.34,MCD
2020-11-11,4192197.0,214.81,218.02,219.25,214.3,MCD
2020-11-12,4298548.0,217.56,213.07,217.82,210.88,MCD
2020-11-13,3104515.0,213.76,213.28,214.39,212.34,MCD
2020-11-16,3758302.0,215.5,216.73,216.75,213.6301,MCD
2020-11-17,2489633.0,215.6,216.01,217.39,214.02,MCD
2020-11-18,3112438.0,216.1,215.52,217.84,215.41,MCD
2020-11-19,2881144.0,214.84,215.11,215.48,213.33,MCD
2020-11-20,4048467.0,214.39,214.09,215.215,213.625,MCD
2020-11-23,3067758.0,215.14,217.0,217.6,214.65,MCD
2020-11-24,3928496.0,219.01,219.71,221.25,218.25,MCD
2020-11-25,1917521.0,219.98,219.34,220.59,217.92,MCD
2020-11-27,1394366.0,219.02,218.33,220.4,217.66,MCD
2020-11-30,3449341.0,216.46,217.44,217.57,214.43,MCD
2020-12-01,4263019.0,218.88,216.14,218.93,215.53,MCD
2020-12-02,6288877.0,214.0,210.86,214.4,209.13,MCD
2020-12-03,3775463.0,210.94,211.51,213.23,210.5581,MCD
2020-12-04,3207755.0,211.6,210.74,213.38,210.1,MCD
2020-12-07,3911279.0,208.53,208.89,209.11,206.19,MCD
