date,volume,open,close,high,low,tickers
2020-08-03,5876190.0,490.86,498.62,503.09,490.23,NFLX
2020-08-04,5607968.0,498.65,509.64,510.4436,498.65,NFLX
2020-08-05,4313526.0,508.68,502.11,510.1021,501.2,NFLX
2020-08-06,3725861.0,504.11,509.08,510.82,498.7,NFLX
2020-08-07,5910348.0,505.45,494.73,508.29,486.68,NFLX
2020-08-10,4691185.0,493.35,483.38,497.4584,478.6269,NFLX
2020-08-11,7329226.0,479.75,466.93,480.92,466.55,NFLX
2020-08-12,5441243.0,471.34,475.47,482.49,470.18,NFLX
2020-08-13,3008933.0,478.4,481.33,484.45,476.45,NFLX
2020-08-14,2943487.0,482.82,482.68,488.325,480.21,NFLX
2020-08-17,2423545.0,484.19,482.35,486.24,479.1,NFLX
2020-08-18,3505518.0,484.35,491.87,495.3,482.8,NFLX
2020-08-19,3156218.0,493.93,484.53,494.4985,483.5,NFLX
2020-08-20,4806380.0,484.69,497.9,498.94,483.89,NFLX
2020-08-21,3921293.0,496.46,492.31,498.13,490.0,NFLX
2020-08-24,4762183.0,495.4383,488.81,501.0,483.16,NFLX
2020-08-25,4347721.0,488.19,490.58,492.47,485.09,NFLX
2020-08-26,20373681.0,492.5,547.53,549.04,492.075,NFLX
2020-08-27,9062912.0,537.775,526.27,541.0,521.2471,NFLX
2020-08-28,4417517.0,532.0,523.89,539.0,522.0,NFLX
2020-08-31,4941409.0,521.16,529.56,531.99,517.58,NFLX
2020-09-01,9581907.0,532.6,556.55,557.3895,532.45,NFLX
2020-09-02,5886930.0,553.78,552.84,556.5,537.369,NFLX
2020-09-03,9071089.0,545.0,525.75,554.0,521.32,NFLX
2020-09-04,8270118.0,520.18,516.05,527.36,485.98,NFLX
2020-09-08,5572684.0,498.4,507.02,522.0,495.0,NFLX
2020-09-09,6848127.0,519.21,500.19,520.0,492.5743,NFLX
2020-09-10,6240181.0,503.35,480.67,506.29,478.84,NFLX
2020-09-11,5035200.0,486.485,482.03,493.73,476.81,NFLX
2020-09-14,7359126.0,480.62,476.26,488.99,471.3001,NFLX
2020-09-15,5336992.0,484.0,495.99,497.47,481.63,NFLX
2020-09-16,4401412.0,499.99,483.86,504.66,483.31,NFLX
2020-09-17,5379301.0,475.16,470.2,478.4,463.27,NFLX
2020-09-18,6717711.0,472.51,469.96,479.4,458.6,NFLX
2020-09-21,5457539.0,467.6923,487.35,487.775,466.32,NFLX
2020-09-22,3482324.0,489.01,491.17,491.82,479.26,NFLX
2020-09-23,3686423.0,491.04,470.61,491.04,469.0,NFLX
2020-09-24,3727201.0,470.53,473.08,477.0,467.82,NFLX
2020-09-25,3769436.0,474.39,482.88,484.87,468.0258,NFLX
2020-09-28,4773497.0,489.1094,490.65,492.0,477.88,NFLX
2020-09-29,3543193.0,489.5,493.48,496.2868,486.53,NFLX
2020-09-30,4634111.0,492.57,500.03,504.63,489.2704,NFLX
2020-10-01,8148905.0,506.03,527.51,529.55,503.6,NFLX
2020-10-02,6071165.0,516.43,503.06,526.3714,502.7,NFLX
2020-10-05,4088069.0,506.8,520.65,520.99,501.6997,NFLX
2020-10-06,4199034.0,518.72,505.87,521.82,504.16,NFLX
2020-10-07,7988683.0,518.0,534.66,536.49,515.815,NFLX
2020-10-08,5386238.0,533.48,531.79,535.0,524.15,NFLX
2020-10-09,4761259.0,537.8339,539.44,544.28,535.0,NFLX
2020-10-12,5391074.0,548.81,539.81,551.81,538.24,NFLX
2020-10-13,5602498.0,540.56,554.09,557.65,537.2,NFLX
2020-10-14,9510081.0,562.61,541.45,572.49,541.0,NFLX
2020-10-15,5110576.0,545.52,541.94,551.22,535.1,NFLX
2020-10-16,6347363.0,549.5,530.79,554.33,530.03,NFLX
2020-10-19,7567506.0,537.07,530.72,541.8,525.38,NFLX
2020-10-20,10047175.0,528.14,525.42,533.78,522.26,NFLX
2020-10-21,17339708.0,501.03,489.05,506.85,488.25,NFLX
2020-10-22,6979682.0,494.69,485.23,495.14,482.0,NFLX
2020-10-23,4927862.0,488.11,488.28,490.06,481.35,NFLX
2020-10-26,6086087.0,487.025,488.24,496.82,478.9,NFLX
2020-10-27,3627175.0,490.01,488.93,490.49,482.93,NFLX
2020-10-28,5992731.0,486.36,486.24,494.0,483.28,NFLX
2020-10-29,10930689.0,488.5,504.21,513.8999,479.34,NFLX
2020-10-30,7813897.0,502.01,475.74,505.88,472.21,NFLX
2020-11-02,4408193.0,478.87,484.12,486.3,475.0,NFLX
2020-11-03,3689997.0,484.93,487.22,495.305,478.76,NFLX
2020-11-04,5137330.0,495.36,496.95,507.73,493.98,NFLX
