cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.47,2022-06-10,CD,2022-07-14,4,2022-08-15,2022-07-15,ABT
0.47,2022-02-18,CD,2022-04-13,4,2022-05-16,2022-04-15,ABT
0.47,2021-12-10,CD,2022-01-13,4,2022-02-15,2022-01-14,ABT
0.45,2021-09-15,CD,2021-10-14,4,2021-11-15,2021-10-15,ABT
0.45,2021-06-11,CD,2021-07-14,4,2021-08-16,2021-07-15,ABT
0.45,2021-02-19,CD,2021-04-14,4,2021-05-17,2021-04-15,ABT
0.45,2020-12-11,CD,2021-01-14,4,2021-02-16,2021-01-15,ABT
0.36,2020-09-17,CD,2020-10-14,4,2020-11-16,2020-10-15,ABT
0.36,2020-06-12,CD,2020-07-14,4,2020-08-17,2020-07-15,ABT
0.36,2020-02-21,CD,2020-04-14,4,2020-05-15,2020-04-15,ABT
0.36,2019-12-13,CD,2020-01-14,4,2020-02-14,2020-01-15,ABT
0.32,2019-09-12,CD,2019-10-11,4,2019-11-15,2019-10-15,ABT
0.32,2019-06-14,CD,2019-07-12,4,2019-08-15,2019-07-15,ABT
0.32,2019-02-22,CD,2019-04-12,4,2019-05-15,2019-04-15,ABT
0.32,2018-12-14,CD,2019-01-14,4,2019-02-15,2019-01-15,ABT
0.28,2018-09-13,CD,2018-10-12,4,2018-11-15,2018-10-15,ABT
0.28,2018-06-08,CD,2018-07-12,4,2018-08-15,2018-07-13,ABT
0.28,2018-02-16,CD,2018-04-12,4,2018-05-15,2018-04-13,ABT
0.28,2017-12-15,CD,2018-01-11,4,2018-02-15,2018-01-12,ABT
0.265,2017-09-14,CD,2017-10-12,4,2017-11-15,2017-10-13,ABT
0.265,2017-06-09,CD,2017-07-12,4,2017-08-15,2017-07-14,ABT
0.265,2017-02-17,CD,2017-04-11,4,2017-05-15,2017-04-14,ABT
0.265,2016-12-09,CD,2017-01-11,4,2017-02-15,2017-01-13,ABT
0.26,2016-09-16,CD,2016-10-12,4,2016-11-15,2016-10-14,ABT
0.26,2016-06-10,CD,2016-07-13,4,2016-08-15,2016-07-15,ABT
0.26,2016-02-19,CD,2016-04-13,4,2016-05-16,2016-04-15,ABT
0.26,2015-12-11,CD,2016-01-13,4,2016-02-16,2016-01-15,ABT
0.24,2015-09-17,CD,2015-10-13,4,2015-11-15,2015-10-15,ABT
0.24,2015-06-12,CD,2015-07-13,4,2015-08-15,2015-07-15,ABT
0.24,2015-02-20,CD,2015-04-13,4,2015-05-15,2015-04-15,ABT
0.24,2014-12-12,CD,2015-01-13,4,2015-02-13,2015-01-15,ABT
0.22,2014-09-11,CD,2014-10-10,4,2014-11-15,2014-10-15,ABT
0.22,2014-06-13,CD,2014-07-11,4,2014-08-15,2014-07-15,ABT
0.22,2014-02-21,CD,2014-04-11,4,2014-05-15,2014-04-15,ABT
0.22,2013-10-16,CD,2014-01-13,4,2014-02-15,2014-01-15,ABT
0.14,2013-09-12,CD,2013-10-10,4,2013-11-15,2013-10-15,ABT
0.14,2013-06-14,CD,2013-07-11,4,2013-08-15,2013-07-15,ABT
0.14,2013-02-15,CD,2013-04-11,4,2013-05-15,2013-04-15,ABT
0.14,2012-12-14,CD,2013-01-11,4,2013-02-15,2013-01-15,ABT
0.51,2012-09-14,CD,2012-10-11,4,2012-11-15,2012-10-15,ABT
0.51,2012-06-09,CD,2012-07-11,4,2012-08-15,2012-07-13,ABT
0.51,2012-02-18,CD,2012-04-11,4,2012-05-15,2012-04-13,ABT
0.48,2011-12-10,CD,2012-01-11,4,2012-02-15,2012-01-13,ABT
0.48,2011-09-16,CD,2011-10-12,4,2011-11-15,2011-10-14,ABT
0.48,2011-06-11,CD,2011-07-13,4,2011-08-15,2011-07-15,ABT
0.48,2011-02-19,CD,2011-04-13,4,2011-05-16,2011-04-15,ABT
0.44,2010-12-11,CD,2011-01-12,4,2011-02-15,2011-01-14,ABT
0.44,2010-09-17,CD,2010-10-13,4,2010-11-15,2010-10-15,ABT
0.44,2010-06-12,CD,2010-07-13,4,2010-08-15,2010-07-15,ABT
0.44,2010-02-20,CD,2010-04-13,4,2010-05-15,2010-04-15,ABT
0.4,2009-12-14,CD,2010-01-13,4,2010-02-15,2010-01-15,ABT
0.4,2009-09-18,CD,2009-10-13,4,2009-11-15,2009-10-15,ABT
0.4,2009-06-12,CD,2009-07-13,4,2009-08-15,2009-07-15,ABT
0.4,2009-02-20,CD,2009-04-13,4,2009-05-15,2009-04-15,ABT
0.36,2008-12-15,CD,2009-01-13,4,2009-02-15,2009-01-15,ABT
0.36,2008-09-15,CD,2008-10-10,4,2008-11-15,2008-10-15,ABT
0.36,2008-06-09,CD,2008-07-11,4,2008-08-15,2008-07-15,ABT
0.36,2008-02-15,CD,2008-04-11,4,2008-05-15,2008-04-15,ABT
0.325,2007-12-14,CD,2008-01-11,4,2008-02-15,2008-01-15,ABT
0.325,2007-09-14,CD,2007-10-11,4,2007-11-15,2007-10-15,ABT
0.325,2007-06-14,CD,2007-07-11,4,2007-08-15,2007-07-13,ABT
0.325,2007-02-16,CD,2007-04-11,4,2007-05-15,2007-04-13,ABT
0.295,2006-12-08,CD,2007-01-10,4,2007-02-15,2007-01-12,ABT
