cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.34,2021-11-22,CD,2021-11-26,1,2021-12-13,2021-11-29,AEL
0.32,2020-11-16,CD,2020-11-24,1,2020-12-10,2020-11-25,AEL
0.3,2019-11-22,CD,2019-12-02,1,2019-12-12,2019-12-03,AEL
0.28,2018-11-16,CD,2018-11-27,1,2018-12-12,2018-11-28,AEL
0.26,2017-11-17,CD,2017-11-28,1,2017-12-12,2017-11-29,AEL
0.24,2016-11-18,CD,2016-12-01,1,2016-12-20,2016-12-05,AEL
0.22,2015-11-19,CD,2015-11-25,1,2015-12-14,2015-11-30,AEL
0.2,2014-11-20,CD,2014-11-26,1,2014-12-15,2014-12-01,AEL
0.18,2013-11-23,CD,2013-11-27,1,2013-12-16,2013-12-02,AEL
0.15,2012-11-15,CD,2012-11-29,1,2012-12-17,2012-12-03,AEL
0.12,2011-11-19,CD,2011-11-30,1,2011-12-16,2011-12-02,AEL
0.1,2010-11-20,CD,2010-12-01,1,2010-12-17,2010-12-03,AEL
0.08,2009-11-26,CD,2009-12-02,1,2009-12-18,2009-12-04,AEL
0.07,2008-11-25,CD,2008-11-26,1,2008-12-19,2008-12-01,AEL
0.06,2007-11-20,CD,2007-12-03,1,2007-12-21,2007-12-05,AEL
0.05,2006-11-16,CD,2006-11-29,1,2006-12-15,2006-12-01,AEL
0.04,2005-11-22,CD,2005-11-28,1,2005-12-16,2005-11-30,AEL
0.02,2004-11-22,CD,2004-12-08,1,2004-12-20,2004-12-10,AEL
0.01,2003-11-07,CD,2003-12-17,1,2003-12-30,2003-12-19,AEL
