cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.6,2022-08-02,CD,2022-08-16,4,2022-08-31,2022-08-17,APAM
0.76,2022-04-26,CD,2022-05-16,4,2022-05-31,2022-05-17,APAM
1.03,2022-02-02,CD,2022-02-11,4,2022-02-28,2022-02-14,APAM
0.72,2022-02-02,SC,2022-02-11,0,2022-02-28,2022-02-14,APAM
1.07,2021-10-26,CD,2021-11-15,4,2021-11-30,2021-11-16,APAM
1.0,2021-08-03,CD,2021-08-16,4,2021-08-31,2021-08-17,APAM
0.88,2021-04-27,CD,2021-05-13,4,2021-05-28,2021-05-14,APAM
0.97,2021-02-02,CD,2021-02-11,4,2021-02-26,2021-02-12,APAM
0.31,2021-02-02,SC,2021-02-11,0,2021-02-26,2021-02-12,APAM
0.83,2020-07-28,CD,2020-11-13,4,2020-11-30,2020-11-16,APAM
0.67,2020-07-28,CD,2020-08-14,4,2020-08-31,2020-08-17,APAM
0.61,2020-04-28,CD,2020-05-14,4,2020-05-29,2020-05-15,APAM
0.68,2020-02-05,CD,2020-02-13,4,2020-02-28,2020-02-14,APAM
0.6,2020-02-04,SC,2020-02-13,0,2020-02-28,2020-02-14,APAM
0.65,2019-10-29,CD,2019-11-14,4,2019-11-29,2019-11-15,APAM
0.6,2019-07-30,CD,2019-08-15,4,2019-08-30,2019-08-16,APAM
0.55,2019-04-30,CD,2019-05-16,4,2019-05-31,2019-05-17,APAM
1.03,2019-02-04,SC,2019-02-13,0,2019-02-28,2019-02-14,APAM
0.56,2019-02-04,CD,2019-02-13,4,2019-02-28,2019-02-14,APAM
0.6,2018-10-25,CD,2018-11-15,4,2018-11-30,2018-11-16,APAM
0.6,2018-07-25,CD,2018-08-16,4,2018-08-31,2018-08-17,APAM
0.6,2018-04-26,CD,2018-05-16,4,2018-05-31,2018-05-17,APAM
0.79,2018-02-01,SC,2018-02-13,0,2018-02-28,2018-02-14,APAM
0.6,2018-02-01,CD,2018-02-13,4,2018-02-28,2018-02-14,APAM
0.6,2017-10-26,CD,2017-11-15,4,2017-11-30,2017-11-16,APAM
0.6,2017-07-27,CD,2017-08-15,4,2017-08-31,2017-08-17,APAM
0.6,2017-04-26,CD,2017-05-15,4,2017-05-31,2017-05-17,APAM
0.6,2017-01-31,CD,2017-02-10,4,2017-02-28,2017-02-14,APAM
0.36,2017-01-31,SC,2017-02-10,0,2017-02-28,2017-02-14,APAM
0.6,2016-10-25,CD,2016-11-14,4,2016-11-30,2016-11-16,APAM
0.6,2016-07-21,CD,2016-08-15,4,2016-08-31,2016-08-17,APAM
0.6,2016-04-20,CD,2016-05-13,4,2016-05-31,2016-05-17,APAM
0.6,2016-01-26,CD,2016-02-10,4,2016-02-29,2016-02-12,APAM
0.4,2016-01-26,SC,2016-02-10,0,2016-02-29,2016-02-12,APAM
0.6,2015-10-21,CD,2015-11-12,4,2015-11-30,2015-11-16,APAM
0.6,2015-07-23,CD,2015-08-13,4,2015-08-31,2015-08-17,APAM
0.6,2015-04-22,CD,2015-05-13,4,2015-05-29,2015-05-15,APAM
0.95,2015-02-02,SC,2015-02-11,0,2015-02-27,2015-02-13,APAM
0.6,2015-02-02,CD,2015-02-11,4,2015-02-27,2015-02-13,APAM
0.55,2014-10-15,CD,2014-11-12,4,2014-11-28,2014-11-14,APAM
0.55,2014-07-15,CD,2014-08-13,4,2014-08-29,2014-08-15,APAM
0.55,2014-04-22,CD,2014-05-14,4,2014-05-30,2014-05-16,APAM
1.63,2014-02-03,SC,2014-02-12,0,2014-02-28,2014-02-14,APAM
0.55,2014-02-03,CD,2014-02-12,4,2014-02-28,2014-02-14,APAM
0.43,2013-10-22,CD,2013-11-06,4,2013-11-26,2013-11-11,APAM
0.43,2013-07-17,CD,2013-08-08,4,2013-08-26,2013-08-12,APAM
