cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.05,2022-07-19,CD,2022-08-01,12,2022-08-15,2022-08-02,APLE
0.05,2022-06-18,CD,2022-07-01,12,2022-07-15,2022-07-05,APLE
0.05,2022-05-18,CD,2022-06-01,12,2022-06-15,2022-06-02,APLE
0.05,2022-04-21,CD,2022-05-02,12,2022-05-16,2022-05-03,APLE
0.05,2022-03-17,CD,2022-04-01,12,2022-04-18,2022-04-04,APLE
0.05,2022-02-22,CD,2022-03-03,12,2022-03-15,2022-03-04,APLE
0.01,2021-12-14,CD,2021-12-30,4,2022-01-18,2021-12-31,APLE
0.01,2021-09-15,CD,2021-09-29,4,2021-10-18,2021-09-30,APLE
0.01,2021-06-16,CD,2021-06-29,4,2021-07-15,2021-06-30,APLE
0.01,2021-03-19,CD,2021-03-30,4,2021-04-15,2021-03-31,APLE
0.1,2020-02-21,CD,2020-03-03,12,2020-03-16,2020-03-04,APLE
0.1,2020-01-21,CD,2020-02-03,12,2020-02-18,2020-02-04,APLE
0.1,2020-01-01,CD,2020-01-02,12,2020-01-15,2020-01-03,APLE
0.1,2019-11-21,CD,2019-12-02,12,2019-12-16,2019-12-03,APLE
0.1,2019-10-21,CD,2019-11-01,12,2019-11-18,2019-11-04,APLE
0.1,2019-09-19,CD,2019-10-01,12,2019-10-15,2019-10-02,APLE
0.1,2019-08-21,CD,2019-08-30,12,2019-09-16,2019-09-03,APLE
0.1,2019-07-19,CD,2019-08-01,12,2019-08-15,2019-08-02,APLE
0.1,2019-06-20,CD,2019-07-01,12,2019-07-15,2019-07-02,APLE
0.1,2019-05-21,CD,2019-05-31,12,2019-06-17,2019-06-03,APLE
0.1,2019-04-18,CD,2019-05-01,12,2019-05-15,2019-05-02,APLE
0.1,2019-03-22,CD,2019-04-02,12,2019-04-15,2019-04-03,APLE
0.1,2019-02-21,CD,2019-03-04,12,2019-03-18,2019-03-05,APLE
0.1,2019-01-18,CD,2019-02-01,12,2019-02-19,2019-02-04,APLE
0.1,2018-12-20,CD,2018-12-31,12,2019-01-15,2019-01-02,APLE
0.1,2018-11-20,CD,2018-11-30,12,2018-12-17,2018-12-03,APLE
0.1,2018-10-19,CD,2018-11-01,12,2018-11-15,2018-11-02,APLE
0.1,2018-09-20,CD,2018-10-02,12,2018-10-15,2018-10-03,APLE
0.1,2018-08-21,CD,2018-08-31,12,2018-09-17,2018-09-04,APLE
0.1,2018-07-20,CD,2018-08-01,12,2018-08-15,2018-08-02,APLE
0.1,2018-06-20,CD,2018-06-29,12,2018-07-16,2018-07-02,APLE
0.1,2018-05-21,CD,2018-06-01,12,2018-06-18,2018-06-04,APLE
0.1,2018-04-20,CD,2018-05-01,12,2018-05-15,2018-05-02,APLE
0.1,2018-03-19,CD,2018-04-02,12,2018-04-16,2018-04-03,APLE
0.1,2018-02-20,CD,2018-03-01,12,2018-03-15,2018-03-02,APLE
0.1,2018-01-19,CD,2018-02-01,12,2018-02-15,2018-02-02,APLE
0.1,2017-12-21,CD,2018-01-02,12,2018-01-16,2018-01-03,APLE
0.1,2017-11-20,CD,2017-12-01,12,2017-12-18,2017-12-04,APLE
0.1,2017-10-19,CD,2017-11-02,12,2017-11-15,2017-11-03,APLE
0.1,2017-09-22,CD,2017-10-03,12,2017-10-16,2017-10-04,APLE
0.1,2017-08-23,CD,2017-08-31,12,2017-09-18,2017-09-05,APLE
0.1,2017-07-20,CD,2017-08-01,12,2017-08-15,2017-08-03,APLE
0.1,2017-06-21,CD,2017-06-29,12,2017-07-17,2017-07-03,APLE
0.1,2017-05-19,CD,2017-05-31,12,2017-06-15,2017-06-02,APLE
0.1,2017-04-21,CD,2017-04-28,12,2017-05-15,2017-05-02,APLE
0.1,2017-03-20,CD,2017-03-31,12,2017-04-17,2017-04-04,APLE
0.1,2017-02-21,CD,2017-03-01,12,2017-03-15,2017-03-03,APLE
0.1,2017-01-20,CD,2017-02-01,12,2017-02-15,2017-02-03,APLE
0.1,2016-12-20,CD,2016-12-29,12,2017-01-17,2017-01-03,APLE
0.1,2016-11-21,CD,2016-11-30,12,2016-12-15,2016-12-02,APLE
0.1,2016-10-20,CD,2016-10-31,12,2016-11-15,2016-11-02,APLE
0.1,2016-09-20,CD,2016-09-30,12,2016-10-17,2016-10-04,APLE
0.1,2016-08-18,CD,2016-08-31,12,2016-09-15,2016-09-02,APLE
0.1,2016-07-20,CD,2016-07-29,12,2016-08-15,2016-08-02,APLE
0.1,2016-06-21,CD,2016-06-29,12,2016-07-18,2016-07-01,APLE
0.1,2016-05-19,CD,2016-05-31,12,2016-06-15,2016-06-02,APLE
0.1,2016-04-25,CD,2016-04-28,12,2016-05-16,2016-05-02,APLE
0.1,2016-03-21,CD,2016-03-30,12,2016-04-18,2016-04-01,APLE
0.1,2016-02-22,CD,2016-02-29,12,2016-03-15,2016-03-02,APLE
0.1,2015-12-28,CD,2016-01-29,12,2016-02-16,2016-02-02,APLE
0.1,2015-12-22,CD,2015-12-30,12,2016-01-19,2016-01-04,APLE
0.1,2015-11-20,CD,2015-11-25,12,2015-12-15,2015-11-30,APLE
0.1,2015-10-08,CD,2015-10-28,12,2015-11-16,2015-10-30,APLE
0.1,2015-09-18,CD,2015-09-28,12,2015-10-15,2015-09-30,APLE
0.1,2015-08-20,CD,2015-08-27,12,2015-09-15,2015-08-31,APLE
0.1,2015-07-20,CD,2015-07-29,12,2015-08-17,2015-07-31,APLE
