cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.22,2020-01-23,CD,2020-02-04,4,2020-02-19,2020-02-05,APTV
0.22,2019-10-25,CD,2019-11-05,4,2019-11-20,2019-11-06,APTV
0.22,2019-07-25,CD,2019-08-06,4,2019-08-21,2019-08-07,APTV
0.22,2019-04-25,CD,2019-05-07,4,2019-05-22,2019-05-08,APTV
0.22,2019-01-24,CD,2019-02-05,4,2019-02-20,2019-02-06,APTV
0.22,2018-10-25,CD,2018-11-06,4,2018-11-21,2018-11-07,APTV
0.22,2018-07-25,CD,2018-08-07,4,2018-08-22,2018-08-08,APTV
0.22,2018-04-27,CD,2018-05-08,4,2018-05-23,2018-05-09,APTV
0.22,2017-12-08,CD,2018-02-02,4,2018-02-14,2018-02-05,APTV
0.29,2017-10-26,CD,2017-11-07,4,2017-11-22,2017-11-08,APTV
0.29,2017-07-27,CD,2017-08-07,4,2017-08-23,2017-08-09,APTV
0.29,2017-05-01,CD,2017-05-08,4,2017-05-24,2017-05-10,APTV
0.29,2017-01-26,CD,2017-02-02,4,2017-02-15,2017-02-06,APTV
0.29,2016-10-27,CD,2016-11-07,4,2016-11-23,2016-11-09,APTV
0.29,2016-07-29,CD,2016-08-08,4,2016-08-24,2016-08-10,APTV
0.29,2016-04-28,CD,2016-05-09,4,2016-05-25,2016-05-11,APTV
0.29,2016-01-13,CD,2016-02-12,4,2016-02-29,2016-02-17,APTV
0.25,2015-10-22,CD,2015-11-09,4,2015-11-25,2015-11-12,APTV
0.25,2015-07-23,CD,2015-08-10,4,2015-08-26,2015-08-12,APTV
0.25,2015-04-23,CD,2015-05-11,4,2015-05-27,2015-05-13,APTV
0.25,2015-01-29,CD,2015-02-13,4,2015-02-27,2015-02-18,APTV
0.25,2014-10-30,CD,2014-11-07,4,2014-11-26,2014-11-12,APTV
0.25,2014-07-24,CD,2014-08-11,4,2014-08-27,2014-08-13,APTV
0.25,2014-04-03,CD,2014-05-12,4,2014-05-28,2014-05-14,APTV
0.25,2014-01-14,CD,2014-02-13,4,2014-02-27,2014-02-18,APTV
0.17,2013-10-30,CD,2013-11-13,4,2013-11-27,2013-11-15,APTV
0.17,2013-07-25,CD,2013-08-14,4,2013-08-29,2013-08-16,APTV
0.17,2013-04-29,CD,2013-05-13,4,2013-05-30,2013-05-15,APTV
0.17,2013-02-26,CD,2013-03-13,4,2013-03-27,2013-03-15,APTV
