cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.11,2022-08-03,CD,2022-08-16,4,2022-08-30,2022-08-17,ARMK
0.11,2022-05-04,CD,2022-05-17,4,2022-06-01,2022-05-18,ARMK
0.11,2022-02-02,CD,2022-02-15,4,2022-03-02,2022-02-16,ARMK
0.11,2021-11-16,CD,2021-11-29,4,2021-12-07,2021-11-30,ARMK
0.11,2021-08-10,CD,2021-08-24,4,2021-09-08,2021-08-25,ARMK
0.11,2021-05-11,CD,2021-05-25,4,2021-06-09,2021-05-26,ARMK
0.11,2021-02-03,CD,2021-02-16,4,2021-03-03,2021-02-17,ARMK
0.11,2020-11-17,CD,2020-11-30,4,2020-12-08,2020-12-01,ARMK
0.11,2020-08-04,CD,2020-08-18,4,2020-09-02,2020-08-19,ARMK
0.11,2020-05-05,CD,2020-05-18,4,2020-06-02,2020-05-19,ARMK
0.11,2020-01-29,CD,2020-02-12,4,2020-02-27,2020-02-13,ARMK
0.11,2019-11-19,CD,2019-11-29,4,2019-12-09,2019-12-02,ARMK
0.11,2019-07-31,CD,2019-08-14,4,2019-08-29,2019-08-15,ARMK
0.11,2019-05-01,CD,2019-05-15,4,2019-05-30,2019-05-16,ARMK
0.11,2019-01-30,CD,2019-02-13,4,2019-02-28,2019-02-14,ARMK
0.11,2018-11-13,CD,2018-11-23,4,2018-12-06,2018-11-26,ARMK
0.105,2018-08-01,CD,2018-08-15,4,2018-08-30,2018-08-16,ARMK
0.105,2018-05-02,CD,2018-05-16,4,2018-05-31,2018-05-17,ARMK
0.105,2017-12-31,CD,2018-02-13,4,2018-03-01,2018-02-14,ARMK
0.105,2017-11-14,CD,2017-11-24,4,2017-12-07,2017-11-27,ARMK
0.103,2017-08-02,CD,2017-08-14,4,2017-09-05,2017-08-16,ARMK
0.103,2017-05-05,CD,2017-05-15,4,2017-06-06,2017-05-17,ARMK
0.103,2017-02-01,CD,2017-02-13,4,2017-03-01,2017-02-15,ARMK
0.103,2016-11-15,CD,2016-11-23,4,2016-12-08,2016-11-28,ARMK
0.095,2016-07-28,CD,2016-08-12,4,2016-09-06,2016-08-16,ARMK
0.095,2016-05-04,CD,2016-05-16,4,2016-06-07,2016-05-18,ARMK
0.095,2016-02-02,CD,2016-02-11,4,2016-03-07,2016-02-16,ARMK
0.095,2015-11-18,CD,2015-11-25,4,2015-12-19,2015-11-30,ARMK
0.08625,2015-08-04,CD,2015-08-14,4,2015-09-08,2015-08-18,ARMK
0.08625,2015-05-06,CD,2015-05-18,4,2015-06-09,2015-05-20,ARMK
0.08625,2015-02-03,CD,2015-02-12,4,2015-03-09,2015-02-17,ARMK
0.08625,2014-11-12,CD,2014-11-21,4,2014-12-16,2014-11-25,ARMK
0.075,2014-08-06,CD,2014-08-15,4,2014-09-09,2014-08-19,ARMK
0.075,2014-05-08,CD,2014-05-15,4,2014-06-09,2014-05-19,ARMK
0.075,2014-02-04,CD,2014-02-13,4,2014-03-11,2014-02-18,ARMK
