cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.38,2022-07-13,CD,2022-07-26,4,2022-08-17,2022-07-27,ATR
0.38,2022-04-14,CD,2022-04-26,4,2022-05-18,2022-04-27,ATR
0.38,2022-01-20,CD,2022-02-02,4,2022-02-23,2022-02-03,ATR
0.38,2021-10-14,CD,2021-10-26,4,2021-11-17,2021-10-27,ATR
0.38,2021-07-22,CD,2021-08-03,4,2021-08-25,2021-08-04,ATR
0.38,2021-04-16,CD,2021-04-27,4,2021-05-19,2021-04-28,ATR
0.36,2021-01-14,CD,2021-01-26,4,2021-02-17,2021-01-27,ATR
0.36,2020-10-15,CD,2020-10-27,4,2020-11-18,2020-10-28,ATR
0.36,2020-07-17,CD,2020-07-28,4,2020-08-19,2020-07-29,ATR
0.36,2020-04-15,CD,2020-04-28,4,2020-05-20,2020-04-29,ATR
0.36,2020-01-16,CD,2020-01-28,4,2020-02-19,2020-01-29,ATR
0.36,2019-10-17,CD,2019-10-29,4,2019-11-20,2019-10-30,ATR
0.36,2019-07-17,CD,2019-07-30,4,2019-08-21,2019-07-31,ATR
0.36,2019-04-19,CD,2019-04-30,4,2019-05-22,2019-05-01,ATR
0.34,2019-01-17,CD,2019-01-29,4,2019-02-20,2019-01-30,ATR
0.34,2018-10-18,CD,2018-10-30,4,2018-11-21,2018-10-31,ATR
0.34,2018-07-18,CD,2018-07-31,4,2018-08-22,2018-08-01,ATR
0.32,2018-04-27,CD,2018-05-08,4,2018-05-30,2018-05-09,ATR
0.32,2018-01-18,CD,2018-01-30,4,2018-02-21,2018-01-31,ATR
0.32,2017-10-19,CD,2017-10-31,4,2017-11-22,2017-11-01,ATR
0.32,2017-07-13,CD,2017-07-24,4,2017-08-16,2017-07-26,ATR
0.32,2017-04-20,CD,2017-05-01,4,2017-05-24,2017-05-03,ATR
0.32,2017-01-19,CD,2017-01-30,4,2017-02-22,2017-02-01,ATR
0.32,2016-10-20,CD,2016-10-31,4,2016-11-23,2016-11-02,ATR
0.3,2016-07-13,CD,2016-07-25,4,2016-08-17,2016-07-27,ATR
0.3,2016-04-18,CD,2016-04-25,4,2016-05-18,2016-04-27,ATR
0.3,2016-01-05,CD,2016-01-25,4,2016-02-17,2016-01-27,ATR
0.3,2015-10-22,CD,2015-11-02,4,2015-11-25,2015-11-04,ATR
0.28,2015-07-16,CD,2015-07-27,4,2015-08-19,2015-07-29,ATR
0.28,2015-04-17,CD,2015-04-27,4,2015-05-20,2015-04-29,ATR
0.28,2015-01-15,CD,2015-01-26,4,2015-02-18,2015-01-28,ATR
0.28,2014-10-23,CD,2014-11-03,4,2014-11-26,2014-11-05,ATR
0.28,2014-07-17,CD,2014-07-28,4,2014-08-20,2014-07-30,ATR
0.28,2014-04-11,CD,2014-04-28,4,2014-05-21,2014-04-30,ATR
0.25,2014-01-16,CD,2014-01-27,4,2014-02-19,2014-01-29,ATR
0.25,2013-10-24,CD,2013-11-04,4,2013-11-27,2013-11-06,ATR
0.25,2013-07-18,CD,2013-07-29,4,2013-08-21,2013-07-31,ATR
0.25,2013-04-11,CD,2013-04-24,4,2013-05-17,2013-04-26,ATR
0.25,2013-01-17,CD,2013-01-28,4,2013-02-20,2013-01-30,ATR
0.22,2012-10-25,CD,2012-11-05,4,2012-11-28,2012-11-07,ATR
0.22,2012-07-27,CD,2012-08-07,4,2012-08-30,2012-08-09,ATR
0.22,2012-04-13,CD,2012-04-24,4,2012-05-17,2012-04-26,ATR
0.22,2012-01-13,CD,2012-01-30,4,2012-02-22,2012-02-01,ATR
0.22,2011-10-20,CD,2011-11-07,4,2011-11-30,2011-11-09,ATR
0.22,2011-07-20,CD,2011-07-29,4,2011-08-23,2011-08-02,ATR
0.18,2011-04-16,CD,2011-04-25,4,2011-05-18,2011-04-27,ATR
0.18,2011-01-14,CD,2011-01-31,4,2011-02-23,2011-02-02,ATR
0.18,2010-10-21,CD,2010-11-01,4,2010-11-24,2010-11-03,ATR
0.18,2010-07-21,CD,2010-07-30,4,2010-08-24,2010-08-03,ATR
0.15,2010-04-16,CD,2010-04-26,4,2010-05-19,2010-04-28,ATR
0.15,2010-01-22,CD,2010-02-01,4,2010-02-24,2010-02-03,ATR
0.15,2009-10-15,CD,2009-10-26,4,2009-11-18,2009-10-28,ATR
0.15,2009-07-17,CD,2009-07-27,4,2009-08-19,2009-07-29,ATR
0.15,2009-04-16,CD,2009-04-27,4,2009-05-20,2009-04-29,ATR
0.15,2009-01-16,CD,2009-01-27,4,2009-02-19,2009-01-29,ATR
0.15,2008-10-16,CD,2008-10-27,4,2008-11-19,2008-10-29,ATR
0.15,2008-07-18,CD,2008-07-28,4,2008-08-20,2008-07-30,ATR
0.13,2008-04-16,CD,2008-04-28,4,2008-05-21,2008-04-30,ATR
0.13,2008-01-17,CD,2008-01-29,4,2008-02-21,2008-01-31,ATR
0.13,2007-10-17,CD,2007-10-29,4,2007-11-21,2007-10-31,ATR
0.13,2007-07-18,CD,2007-07-27,4,2007-08-21,2007-07-31,ATR
0.13,2007-04-18,CD,2007-04-30,4,2007-05-23,2007-05-02,ATR
0.11,2007-01-18,CD,2007-01-29,4,2007-02-22,2007-01-31,ATR
0.11,2006-10-18,CD,2006-10-30,4,2006-11-22,2006-11-01,ATR
0.11,2006-07-19,CD,2006-07-28,4,2006-08-22,2006-08-01,ATR
0.1,2006-04-20,CD,2006-04-26,4,2006-05-19,2006-04-28,ATR
0.1,2006-01-19,CD,2006-01-30,4,2006-02-23,2006-02-01,ATR
0.1,2005-10-20,CD,2005-10-31,4,2005-11-23,2005-11-02,ATR
0.1,2005-07-21,CD,2005-07-29,4,2005-08-23,2005-08-02,ATR
0.075,2005-04-14,CD,2005-04-27,4,2005-05-20,2005-04-29,ATR
0.075,2005-01-20,CD,2005-01-31,4,2005-02-24,2005-02-02,ATR
0.075,2004-10-15,CD,2004-10-26,4,2004-11-18,2004-10-28,ATR
0.075,2004-07-15,CD,2004-07-23,4,2004-08-17,2004-07-27,ATR
0.035,2004-04-15,CD,2004-04-28,4,2004-05-21,2004-04-30,ATR
0.035,2003-12-24,CD,2004-02-02,4,2004-02-26,2004-02-04,ATR
0.035,2003-10-16,CD,2003-10-27,4,2003-11-19,2003-10-29,ATR
0.035,2003-07-17,CD,2003-07-25,4,2003-08-19,2003-07-29,ATR
0.03,2003-04-17,CD,2003-04-29,4,2003-05-22,2003-05-01,ATR
0.03,2003-01-21,CD,2003-02-03,4,2003-02-27,2003-02-05,ATR
0.03,2002-10-17,CD,2002-10-28,4,2002-11-20,2002-10-30,ATR
0.03,2002-07-18,CD,2002-07-26,4,2002-08-20,2002-07-30,ATR
0.03,2002-04-18,CD,2002-04-29,4,2002-05-22,2002-05-01,ATR
0.03,2002-01-22,CD,2002-02-04,4,2002-02-28,2002-02-06,ATR
0.03,2001-10-18,CD,2001-10-29,4,2001-11-21,2001-10-31,ATR
0.03,2001-07-19,CD,2001-07-27,4,2001-08-21,2001-07-31,ATR
0.025,2001-04-19,CD,2001-04-30,4,2001-05-23,2001-05-02,ATR
0.025,2001-01-23,CD,2001-02-05,4,2001-03-01,2001-02-07,ATR
0.025,2000-10-19,CD,2000-10-30,4,2000-11-22,2000-11-01,ATR
0.025,2000-07-20,CD,2000-07-28,4,2000-08-22,2000-08-01,ATR
0.025,2000-04-19,CD,2000-05-01,4,2000-05-24,2000-05-03,ATR
0.025,2000-01-27,CD,2000-02-07,4,2000-03-02,2000-02-09,ATR
0.025,1999-10-21,CD,1999-10-29,4,1999-11-23,1999-11-02,ATR
0.025,1999-07-22,CD,1999-07-30,4,1999-08-24,1999-08-03,ATR
0.02,1999-04-22,CD,1999-05-03,4,1999-05-26,1999-05-05,ATR
0.02,1999-01-21,CD,1999-02-01,4,1999-02-25,1999-02-03,ATR
0.02,1998-10-23,CD,1998-10-30,4,1998-11-24,1998-11-03,ATR
0.02,1998-07-23,CD,1998-07-31,4,1998-08-25,1998-08-04,ATR
0.02,1998-04-23,CD,1998-05-04,4,1998-05-27,1998-05-06,ATR
0.02,1998-01-22,CD,1998-02-02,4,1998-02-26,1998-02-04,ATR
0.02,1997-10-23,CD,1997-10-31,4,1997-11-25,1997-11-04,ATR
0.02,1997-07-24,CD,1997-08-01,4,1997-08-26,1997-08-05,ATR
0.0175,1997-04-24,CD,1997-05-05,4,1997-05-28,1997-05-07,ATR
0.0175,1997-01-23,CD,1997-02-03,4,1997-02-27,1997-02-05,ATR
0.0175,1996-10-24,CD,1996-11-01,4,1996-11-26,1996-11-05,ATR
0.0175,1996-07-24,CD,1996-08-02,4,1996-08-27,1996-08-06,ATR
0.0175,1996-05-01,CD,1996-05-06,4,1996-05-29,1996-05-08,ATR
0.0175,1996-01-24,CD,1996-02-05,4,1996-02-29,1996-02-07,ATR
0.0175,1995-10-25,CD,1995-11-03,4,1995-11-28,1995-11-07,ATR
0.0175,1995-07-31,CD,1995-08-04,4,1995-08-29,1995-08-08,ATR
0.015,1995-04-27,CD,1995-05-04,4,1995-05-31,1995-05-10,ATR
0.015,1995-01-26,CD,1995-02-02,4,1995-02-28,1995-02-08,ATR
0.015,1994-10-27,CD,1994-11-02,4,1994-11-29,1994-11-08,ATR
0.015,1994-07-27,CD,1994-08-02,4,1994-08-29,1994-08-08,ATR
0.015,1994-04-28,CD,1994-05-04,4,1994-05-31,1994-05-10,ATR
0.0125,1994-01-26,CD,1994-02-03,4,1994-03-01,1994-02-09,ATR
0.0125,1993-10-28,CD,1993-11-03,4,1993-11-30,1993-11-09,ATR
0.0125,1993-07-28,CD,1993-08-03,4,1993-08-30,1993-08-09,ATR
