cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.02,2008-11-24,CD,2008-12-04,4,2008-12-29,2008-12-08,AXL
0.02,2008-08-25,CD,2008-09-03,4,2008-09-26,2008-09-05,AXL
0.15,2008-05-22,CD,2008-06-04,4,2008-06-27,2008-06-07,AXL
0.15,2008-02-22,CD,2008-03-05,4,2008-03-28,2008-03-07,AXL
0.15,2007-11-21,CD,2007-12-05,4,2007-12-28,2007-12-07,AXL
0.15,2007-08-23,CD,2007-09-05,4,2007-09-28,2007-09-07,AXL
0.15,2007-05-23,CD,2007-06-05,4,2007-06-28,2007-06-07,AXL
0.15,2007-02-21,CD,2007-03-05,4,2007-03-28,2007-03-07,AXL
0.15,2006-11-22,CD,2006-12-05,4,2006-12-28,2006-12-07,AXL
0.15,2006-08-23,CD,2006-09-05,4,2006-09-28,2006-09-07,AXL
0.15,2006-05-23,CD,2006-06-05,4,2006-06-28,2006-06-07,AXL
0.15,2006-02-21,CD,2006-03-03,4,2006-03-28,2006-03-07,AXL
0.15,2005-11-21,CD,2005-12-05,4,2005-12-28,2005-12-07,AXL
0.15,2005-08-23,CD,2005-09-02,4,2005-09-28,2005-09-07,AXL
0.15,2005-05-23,CD,2005-06-03,4,2005-06-28,2005-06-07,AXL
0.15,2005-01-20,CD,2005-03-03,4,2005-03-28,2005-03-07,AXL
0.15,2004-11-22,CD,2004-12-03,4,2004-12-28,2004-12-07,AXL
0.15,2004-08-23,CD,2004-09-02,4,2004-09-28,2004-09-07,AXL
0.15,2004-04-29,CD,2004-06-03,4,2004-06-28,2004-06-07,AXL
