cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
1.7671206237,1996-05-03,CD,1996-06-14,2,1970-01-01,1996-06-12,BH
12.9661854709,1990-10-10,SC,1990-11-28,0,1990-11-27,1990-10-26,BH
0.2042404752,1990-08-08,CD,1990-09-17,2,1970-01-01,1990-09-13,BH
0.2042404752,1990-04-25,CD,1990-06-04,2,1970-01-01,1990-05-31,BH
0.2042404752,1990-01-17,CD,1990-02-26,2,1970-01-01,1990-02-22,BH
0.1485370495,1989-12-04,CD,1989-12-08,4,1990-01-02,1989-12-14,BH
0.1005695744,1989-07-26,CD,1989-08-28,4,1989-10-01,1989-09-01,BH
0.1005695744,1989-05-17,CD,1989-05-26,4,1989-07-01,1989-06-02,BH
0.1005695744,1989-02-14,CD,1989-02-27,4,1989-04-01,1989-03-03,BH
0.1215406584,1988-12-05,CD,1988-12-15,4,1989-01-04,1988-12-21,BH
0.0630113291,1988-07-26,CD,1988-08-29,4,1988-10-03,1988-09-02,BH
0.0630113291,1988-06-13,CD,1988-06-14,4,1988-07-05,1988-06-20,BH
0.1683739295,1988-01-20,CD,1988-02-29,2,1970-01-01,1988-02-25,BH
0.1683739295,1987-07-16,CD,1987-08-27,2,1970-01-01,1987-08-25,BH
0.0829962656,1987-02-11,CD,1987-02-25,2,1987-04-01,1987-03-03,BH
0.0829962656,1986-07-30,CD,1986-08-26,2,1986-10-01,1986-09-02,BH
0.0829962656,1986-02-13,CD,1986-02-25,2,1986-04-01,1986-03-03,BH
0.0829962656,1985-08-07,CD,1985-08-27,2,1985-10-01,1985-09-03,BH
0.0829962656,1985-02-13,CD,1985-02-26,2,1985-04-01,1985-03-04,BH
