cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.12,2022-07-29,CD,2022-08-10,4,2022-08-25,2022-08-11,BHLB
0.12,2022-04-29,CD,2022-05-11,4,2022-05-26,2022-05-12,BHLB
0.12,2022-01-28,CD,2022-02-09,4,2022-02-24,2022-02-10,BHLB
0.12,2021-11-01,CD,2021-11-09,4,2021-11-24,2021-11-11,BHLB
0.12,2021-08-13,CD,2021-08-25,4,2021-09-09,2021-08-26,BHLB
0.12,2021-06-18,CD,2021-06-28,4,2021-07-08,2021-06-29,BHLB
0.12,2021-03-15,CD,2021-03-22,4,2021-03-30,2021-03-23,BHLB
0.12,2020-12-01,CD,2020-12-16,4,2020-12-29,2020-12-17,BHLB
0.12,2020-09-08,CD,2020-09-21,4,2020-09-30,2020-09-22,BHLB
0.24,2020-06-18,CD,2020-06-26,4,2020-07-06,2020-06-29,BHLB
0.24,2020-01-27,CD,2020-02-13,4,2020-02-28,2020-02-17,BHLB
0.23,2019-10-28,CD,2019-11-13,4,2019-11-27,2019-11-14,BHLB
0.23,2019-07-23,CD,2019-08-07,4,2019-08-22,2019-08-08,BHLB
0.23,2019-04-29,CD,2019-05-08,4,2019-05-23,2019-05-09,BHLB
0.23,2019-01-23,CD,2019-02-13,4,2019-02-28,2019-02-14,BHLB
0.22,2018-10-17,CD,2018-11-07,4,2018-11-21,2018-11-08,BHLB
0.22,2018-07-18,CD,2018-08-08,4,2018-08-23,2018-08-09,BHLB
0.22,2018-04-24,CD,2018-05-09,4,2018-05-24,2018-05-10,BHLB
0.22,2018-01-27,CD,2018-02-14,4,2018-03-01,2018-02-15,BHLB
0.21,2017-10-23,CD,2017-11-08,4,2017-11-22,2017-11-09,BHLB
0.21,2017-07-19,CD,2017-08-08,4,2017-08-24,2017-08-10,BHLB
0.21,2017-04-26,CD,2017-05-09,4,2017-05-25,2017-05-11,BHLB
0.21,2017-01-30,CD,2017-02-14,4,2017-03-02,2017-02-16,BHLB
0.2,2016-10-24,CD,2016-11-08,4,2016-11-23,2016-11-10,BHLB
0.2,2016-07-25,CD,2016-08-02,4,2016-08-18,2016-08-04,BHLB
0.2,2016-04-25,CD,2016-05-10,4,2016-05-26,2016-05-12,BHLB
0.2,2016-01-25,CD,2016-02-09,4,2016-02-25,2016-02-11,BHLB
0.19,2015-10-26,CD,2015-11-09,4,2015-11-25,2015-11-12,BHLB
0.19,2015-07-22,CD,2015-08-04,4,2015-08-20,2015-08-06,BHLB
0.19,2015-04-27,CD,2015-05-12,4,2015-05-28,2015-05-14,BHLB
0.19,2015-01-26,CD,2015-02-10,4,2015-02-26,2015-02-12,BHLB
0.18,2014-10-27,CD,2014-11-10,4,2014-11-26,2014-11-13,BHLB
0.18,2014-07-23,CD,2014-08-05,4,2014-08-21,2014-08-07,BHLB
