cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.25,2022-06-27,CD,2022-07-13,4,2022-07-29,2022-07-14,BKU
0.25,2022-03-23,CD,2022-04-13,4,2022-04-29,2022-04-14,BKU
0.23,2021-12-23,CD,2022-01-13,4,2022-01-31,2022-01-14,BKU
0.23,2021-09-27,CD,2021-10-13,4,2021-10-29,2021-10-14,BKU
0.23,2021-07-01,CD,2021-07-14,4,2021-07-30,2021-07-15,BKU
0.23,2021-03-31,CD,2021-04-14,4,2021-04-30,2021-04-15,BKU
0.23,2020-12-29,CD,2021-01-13,4,2021-01-29,2021-01-14,BKU
0.23,2020-10-01,CD,2020-10-14,4,2020-10-30,2020-10-15,BKU
0.23,2020-06-26,CD,2020-07-14,4,2020-07-31,2020-07-15,BKU
0.23,2020-02-19,CD,2020-04-13,4,2020-04-30,2020-04-14,BKU
0.21,2019-12-19,CD,2020-01-13,4,2020-01-31,2020-01-14,BKU
0.21,2019-09-12,CD,2019-10-11,4,2019-10-31,2019-10-15,BKU
0.21,2019-06-26,CD,2019-07-11,4,2019-07-31,2019-07-12,BKU
0.21,2019-03-20,CD,2019-04-11,4,2019-04-30,2019-04-12,BKU
0.21,2018-12-21,CD,2019-01-11,4,2019-01-31,2019-01-14,BKU
0.21,2018-09-24,CD,2018-10-15,4,2018-10-31,2018-10-16,BKU
0.21,2018-06-25,CD,2018-07-13,4,2018-07-31,2018-07-16,BKU
0.21,2018-03-23,CD,2018-04-11,4,2018-04-30,2018-04-12,BKU
0.21,2017-12-27,CD,2018-01-11,4,2018-01-31,2018-01-12,BKU
0.21,2017-09-25,CD,2017-10-13,4,2017-10-31,2017-10-16,BKU
0.21,2017-06-29,CD,2017-07-12,4,2017-07-31,2017-07-14,BKU
0.21,2017-04-01,CD,2017-04-11,4,2017-04-28,2017-04-13,BKU
0.21,2016-12-28,CD,2017-01-11,4,2017-01-31,2017-01-13,BKU
0.21,2016-09-28,CD,2016-10-13,4,2016-10-31,2016-10-17,BKU
0.21,2016-06-27,CD,2016-07-13,4,2016-07-29,2016-07-15,BKU
0.21,2016-03-24,CD,2016-04-13,4,2016-04-29,2016-04-15,BKU
0.21,2015-12-29,CD,2016-01-13,4,2016-01-29,2016-01-15,BKU
0.21,2015-09-16,CD,2015-09-29,4,2015-10-15,2015-10-01,BKU
0.21,2015-06-15,CD,2015-06-29,4,2015-07-15,2015-07-01,BKU
0.21,2015-03-16,CD,2015-03-30,4,2015-04-15,2015-04-01,BKU
0.21,2014-12-16,CD,2014-12-29,4,2015-01-15,2014-12-31,BKU
0.21,2014-09-16,CD,2014-09-29,4,2014-10-15,2014-10-01,BKU
0.21,2014-06-09,CD,2014-06-27,4,2014-07-15,2014-07-01,BKU
0.21,2014-02-12,CD,2014-03-28,4,2014-04-15,2014-04-01,BKU
0.21,2013-12-23,CD,2014-01-07,4,2014-01-23,2014-01-09,BKU
0.21,2013-09-10,CD,2013-09-27,4,2013-10-15,2013-10-01,BKU
0.21,2013-06-21,CD,2013-07-02,4,2013-07-19,2013-07-05,BKU
0.21,2013-03-14,CD,2013-03-27,4,2013-04-15,2013-04-01,BKU
0.21,2012-11-26,CD,2012-12-11,4,2012-12-27,2012-12-13,BKU
0.17,2012-09-15,CD,2012-09-27,4,2012-10-15,2012-10-01,BKU
0.17,2012-06-20,CD,2012-06-28,4,2012-07-16,2012-07-02,BKU
0.17,2012-02-29,CD,2012-03-29,4,2012-04-16,2012-04-02,BKU
0.14,2011-12-17,CD,2011-12-29,4,2012-01-17,2012-01-03,BKU
0.14,2011-09-17,CD,2011-09-29,4,2011-10-17,2011-10-03,BKU
0.14,2011-06-18,CD,2011-06-29,4,2011-07-15,2011-07-01,BKU
0.14,2011-03-12,CD,2011-03-30,4,2011-04-15,2011-04-01,BKU
