cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.33,2022-07-22,CD,2022-08-02,4,2022-09-01,2022-08-03,CAG
0.3125,2022-04-14,CD,2022-04-28,4,2022-06-01,2022-04-29,CAG
0.3125,2021-12-08,CD,2022-01-28,4,2022-03-02,2022-01-31,CAG
0.3125,2021-09-29,CD,2021-10-29,4,2021-12-01,2021-11-01,CAG
0.3125,2021-07-13,CD,2021-08-02,4,2021-09-02,2021-08-03,CAG
0.275,2021-04-16,CD,2021-04-29,4,2021-06-02,2021-04-30,CAG
0.275,2020-12-11,CD,2021-01-28,4,2021-03-03,2021-01-29,CAG
0.275,2020-10-01,CD,2020-10-30,4,2020-12-02,2020-11-02,CAG
0.2125,2020-07-24,CD,2020-08-03,4,2020-09-03,2020-08-04,CAG
0.2125,2020-04-16,CD,2020-04-29,4,2020-06-03,2020-04-30,CAG
0.2125,2019-12-10,CD,2020-01-30,4,2020-03-03,2020-01-31,CAG
0.2125,2019-09-20,CD,2019-10-31,4,2019-12-03,2019-11-01,CAG
0.2125,2019-07-17,CD,2019-07-29,4,2019-08-29,2019-07-30,CAG
0.2125,2019-04-16,CD,2019-04-29,4,2019-05-31,2019-04-30,CAG
0.2125,2018-12-06,CD,2019-01-29,4,2019-03-01,2019-01-30,CAG
0.2125,2018-09-21,CD,2018-10-16,4,2018-11-30,2018-10-17,CAG
0.2125,2018-07-18,CD,2018-07-30,4,2018-08-30,2018-07-31,CAG
0.2125,2018-04-20,CD,2018-04-27,4,2018-05-31,2018-04-30,CAG
0.2125,2017-12-12,CD,2018-01-29,4,2018-03-01,2018-01-30,CAG
0.2125,2017-09-21,CD,2017-10-30,4,2017-11-30,2017-10-31,CAG
0.2125,2017-07-25,CD,2017-07-27,4,2017-08-31,2017-07-31,CAG
0.2,2017-04-03,CD,2017-04-26,4,2017-05-30,2017-04-28,CAG
0.2,2016-12-08,CD,2017-01-26,4,2017-03-01,2017-01-30,CAG
0.25,2016-09-23,CD,2016-10-27,4,2016-11-30,2016-10-31,CAG
0.25,2016-07-12,CD,2016-07-27,4,2016-08-31,2016-07-29,CAG
0.25,2016-04-07,CD,2016-04-27,4,2016-06-01,2016-04-29,CAG
0.25,2015-12-15,CD,2016-01-27,4,2016-03-01,2016-01-29,CAG
0.25,2015-09-25,CD,2015-10-28,4,2015-12-01,2015-10-30,CAG
0.25,2015-07-14,CD,2015-07-28,4,2015-09-01,2015-07-30,CAG
0.25,2015-04-02,CD,2015-04-28,4,2015-06-02,2015-04-30,CAG
0.25,2014-12-02,CD,2015-01-28,4,2015-03-03,2015-01-30,CAG
0.25,2014-09-19,CD,2014-10-29,4,2014-12-02,2014-10-31,CAG
0.25,2014-07-15,CD,2014-07-24,4,2014-08-28,2014-07-28,CAG
0.25,2014-04-03,CD,2014-04-28,4,2014-05-30,2014-04-30,CAG
0.25,2014-12-03,CD,2014-01-29,4,2014-03-04,2014-01-31,CAG
0.25,2013-09-26,CD,2013-10-29,4,2013-12-03,2013-10-31,CAG
0.25,2013-07-16,CD,2013-07-29,4,2013-08-30,2013-07-31,CAG
0.25,2013-04-04,CD,2013-04-26,4,2013-05-31,2013-04-30,CAG
0.25,2012-12-11,CD,2013-01-29,4,2013-03-05,2013-01-31,CAG
0.25,2012-09-21,CD,2012-10-29,4,2012-12-04,2012-10-31,CAG
0.24,2012-07-18,CD,2012-07-25,4,2012-08-29,2012-07-27,CAG
0.24,2012-04-06,CD,2012-04-26,4,2012-06-01,2012-04-30,CAG
0.24,2011-12-15,CD,2012-01-27,4,2012-03-01,2012-01-31,CAG
0.24,2011-09-24,CD,2011-10-27,4,2011-12-01,2011-10-31,CAG
0.23,2011-07-13,CD,2011-07-27,4,2011-09-01,2011-07-29,CAG
0.23,2011-04-04,CD,2011-04-27,4,2011-06-01,2011-04-29,CAG
0.23,2010-12-01,CD,2011-01-27,4,2011-03-02,2011-01-31,CAG
0.23,2010-09-22,CD,2010-10-27,4,2010-12-01,2010-10-29,CAG
0.2,2010-07-22,CD,2010-07-28,4,2010-09-01,2010-07-30,CAG
0.2,2010-04-02,CD,2010-04-28,4,2010-06-02,2010-04-30,CAG
0.2,2009-12-04,CD,2010-01-27,4,2010-03-02,2010-01-29,CAG
0.2,2009-09-28,CD,2009-10-28,4,2009-12-01,2009-10-30,CAG
0.19,2009-07-17,CD,2009-07-29,4,2009-09-01,2009-07-31,CAG
0.19,2009-04-03,CD,2009-04-29,4,2009-06-01,2009-05-01,CAG
0.19,2008-12-19,CD,2009-01-28,4,2009-03-02,2009-01-30,CAG
0.19,2008-09-26,CD,2008-10-29,4,2008-12-01,2008-10-31,CAG
0.19,2008-07-18,CD,2008-07-30,4,2008-09-04,2008-08-01,CAG
0.19,2008-04-03,CD,2008-04-29,4,2008-06-02,2008-05-01,CAG
0.19,2007-11-29,CD,2008-01-24,4,2008-02-28,2008-01-28,CAG
0.19,2007-09-27,CD,2007-10-31,4,2007-12-03,2007-11-02,CAG
0.18,2007-07-18,CD,2007-07-31,4,2007-09-04,2007-08-02,CAG
0.18,2007-04-03,CD,2007-04-27,4,2007-06-01,2007-05-01,CAG
0.18,2006-12-07,CD,2007-01-25,4,2007-03-01,2007-01-29,CAG
0.18,2006-09-28,CD,2006-10-26,4,2006-12-01,2006-10-30,CAG
0.18,2006-07-14,CD,2006-07-27,4,2006-09-01,2006-07-31,CAG
0.18,2006-03-16,CD,2006-04-27,4,2006-06-01,2006-05-01,CAG
0.2725,2005-12-01,CD,2006-01-26,4,2006-01-03,2006-01-30,CAG
0.2725,2005-09-22,CD,2005-10-28,4,2005-12-01,2005-11-01,CAG
0.2725,2005-07-08,CD,2005-07-28,4,2005-09-01,2005-08-01,CAG
0.2725,2005-04-08,CD,2005-04-28,4,2005-06-01,2005-05-02,CAG
0.2725,2004-12-02,CD,2005-01-28,4,2005-03-01,2005-02-01,CAG
0.2725,2004-09-23,CD,2004-10-28,4,2004-12-01,2004-11-01,CAG
0.26,2004-07-09,CD,2004-07-29,4,2004-09-01,2004-08-02,CAG
0.26,2004-04-09,CD,2004-04-29,4,2004-06-01,2004-05-03,CAG
0.26,2003-12-04,CD,2004-01-28,4,2004-03-01,2004-01-30,CAG
0.26,2003-09-25,CD,2003-10-29,4,2003-12-01,2003-10-31,CAG
0.2475,2003-07-11,CD,2003-07-30,4,2003-09-01,2003-08-01,CAG
0.2475,2003-04-08,CD,2003-04-30,4,2003-06-01,2003-05-02,CAG
0.2475,2002-12-05,CD,2003-01-29,4,2003-03-01,2003-01-31,CAG
0.2475,2002-09-26,CD,2002-10-30,4,2002-12-01,2002-11-01,CAG
0.235,2002-07-12,CD,2002-07-31,4,2002-09-01,2002-08-02,CAG
0.235,2002-03-22,CD,2002-05-01,4,2002-06-01,2002-05-03,CAG
0.235,2001-12-06,CD,2002-01-30,4,2002-03-01,2002-02-01,CAG
0.235,2001-09-27,CD,2001-10-31,4,2001-12-01,2001-11-02,CAG
0.225,2001-07-20,CD,2001-08-01,4,2001-09-01,2001-08-03,CAG
0.225,2001-04-09,CD,2001-05-02,4,2001-06-01,2001-05-04,CAG
0.225,2000-12-07,CD,2001-01-31,4,2001-03-01,2001-02-02,CAG
0.225,2000-09-28,CD,2000-10-25,4,2000-12-01,2000-10-27,CAG
0.2035,2000-07-17,CD,2000-07-27,4,2000-09-01,2000-07-31,CAG
0.2035,2000-04-10,CD,2000-04-26,4,2000-06-01,2000-04-28,CAG
0.2035,1999-12-02,CD,2000-01-26,4,2000-03-01,2000-01-28,CAG
0.2035,1999-09-23,CD,1999-11-03,4,1999-12-01,1999-11-05,CAG
0.1785,1999-07-09,CD,1999-07-28,4,1999-09-01,1999-07-30,CAG
0.1785,1999-04-13,CD,1999-04-28,4,1999-06-01,1999-04-30,CAG
0.1785,1998-12-03,CD,1999-01-27,4,1999-03-01,1999-01-29,CAG
0.1785,1998-09-24,CD,1998-11-04,4,1998-12-01,1998-11-06,CAG
0.1563,1998-07-10,CD,1998-07-29,4,1998-09-01,1998-07-31,CAG
0.1563,1998-04-10,CD,1998-04-29,4,1998-06-01,1998-05-01,CAG
0.1563,1997-12-04,CD,1998-01-28,4,1998-03-01,1998-01-30,CAG
