cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.7325,2022-07-26,CD,2022-09-07,4,2022-09-29,2022-09-08,CNI
0.7325,2022-04-26,CD,2022-06-08,4,2022-06-30,2022-06-09,CNI
0.7325,2022-01-25,CD,2022-03-09,4,2022-03-31,2022-03-10,CNI
0.615,2021-10-19,CD,2021-12-08,4,2021-12-30,2021-12-09,CNI
0.615,2021-07-20,CD,2021-09-07,4,2021-09-29,2021-09-08,CNI
0.615,2021-04-26,CD,2021-06-08,4,2021-06-30,2021-06-09,CNI
0.615,2021-01-26,CD,2021-03-09,4,2021-03-31,2021-03-10,CNI
0.575,2020-10-20,CD,2020-12-08,4,2020-12-30,2020-12-09,CNI
0.575,2020-07-21,CD,2020-09-08,4,2020-09-30,2020-09-09,CNI
0.575,2020-04-27,CD,2020-06-08,4,2020-06-30,2020-06-09,CNI
0.575,2020-01-28,CD,2020-03-09,4,2020-03-31,2020-03-10,CNI
0.5375,2019-10-22,CD,2019-12-06,4,2019-12-30,2019-12-09,CNI
0.5375,2019-07-23,CD,2019-09-06,4,2019-09-30,2019-09-09,CNI
0.5375,2019-04-29,CD,2019-06-06,4,2019-06-28,2019-06-07,CNI
0.5375,2019-01-29,CD,2019-03-07,4,2019-03-29,2019-03-08,CNI
0.455,2018-10-23,CD,2018-12-06,4,2018-12-28,2018-12-07,CNI
0.455,2018-07-24,CD,2018-09-06,4,2018-09-28,2018-09-07,CNI
0.455,2018-04-23,CD,2018-06-07,4,2018-06-29,2018-06-08,CNI
0.455,2018-01-23,CD,2018-03-07,4,2018-03-29,2018-03-08,CNI
0.4125,2017-10-24,CD,2017-12-07,4,2017-12-29,2017-12-08,CNI
0.4125,2017-09-01,CD,2017-09-07,4,2017-09-29,2017-09-08,CNI
0.4125,2017-04-25,CD,2017-06-07,4,2017-06-30,2017-06-09,CNI
0.4125,2017-01-24,CD,2017-03-08,4,2017-03-31,2017-03-10,CNI
0.375,2016-10-25,CD,2016-12-07,4,2016-12-30,2016-12-09,CNI
0.375,2016-07-25,CD,2016-09-07,4,2016-09-30,2016-09-09,CNI
0.375,2016-04-25,CD,2016-06-07,4,2016-06-30,2016-06-09,CNI
0.375,2016-01-26,CD,2016-03-08,4,2016-03-31,2016-03-10,CNI
0.3125,2015-10-27,CD,2015-12-08,4,2015-12-31,2015-12-10,CNI
0.3125,2015-07-21,CD,2015-09-04,4,2015-09-30,2015-09-09,CNI
0.3125,2015-04-20,CD,2015-06-05,4,2015-06-30,2015-06-09,CNI
0.3125,2015-01-27,CD,2015-03-06,4,2015-03-31,2015-03-10,CNI
0.25,2014-10-21,CD,2014-12-08,4,2014-12-31,2014-12-10,CNI
0.25,2014-07-21,CD,2014-09-05,4,2014-09-16,2014-09-09,CNI
0.25,2014-04-22,CD,2014-06-05,4,2014-06-30,2014-06-09,CNI
0.25,2014-01-30,CD,2014-03-06,4,2014-03-31,2014-03-10,CNI
0.215,2013-10-22,CD,2013-12-06,4,2013-12-31,2013-12-10,CNI
0.215,2013-07-22,CD,2013-09-05,4,2013-09-30,2013-09-09,CNI
0.215,2013-04-22,CD,2013-06-05,4,2013-06-28,2013-06-07,CNI
0.215,2013-01-22,CD,2013-03-05,4,2013-03-28,2013-03-07,CNI
0.1875,2012-10-22,CD,2012-12-06,4,2012-12-31,2012-12-10,CNI
0.1875,2012-07-25,CD,2012-09-05,4,2012-09-28,2012-09-07,CNI
0.1875,2012-04-24,CD,2012-06-06,4,2012-06-29,2012-06-08,CNI
0.1875,2012-01-25,CD,2012-03-07,4,2012-03-30,2012-03-09,CNI
0.1625,2011-10-26,CD,2011-12-07,4,2011-12-30,2011-12-09,CNI
0.1625,2011-07-26,CD,2011-09-07,4,2011-09-30,2011-09-09,CNI
0.1625,2011-04-27,CD,2011-06-07,4,2011-06-30,2011-06-09,CNI
0.1625,2011-01-26,CD,2011-03-08,4,2011-03-31,2011-03-10,CNI
0.135,2010-10-27,CD,2010-12-08,4,2010-12-31,2010-12-10,CNI
0.135,2010-07-23,CD,2010-09-07,4,2010-09-30,2010-09-09,CNI
0.1301,2010-04-27,CD,2010-06-07,4,2010-06-30,2010-06-09,CNI
0.135,2010-01-27,CD,2010-03-08,4,2010-03-31,2010-03-10,CNI
0.12625,2009-10-21,CD,2009-12-08,4,2009-12-31,2009-12-10,CNI
