cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.75,2022-08-04,CD,2022-09-15,4,2022-10-05,2022-09-16,CNQ
1.5,2022-08-04,SC,2022-08-22,0,2022-08-31,2022-08-23,CNQ
0.75,2022-05-05,CD,2022-06-16,4,2022-07-05,2022-06-17,CNQ
0.75,2022-03-03,CD,2022-03-17,4,2022-04-05,2022-03-18,CNQ
0.5875,2021-11-04,CD,2021-12-09,4,2022-01-05,2021-12-10,CNQ
0.47,2021-08-05,CD,2021-09-16,4,2021-10-05,2021-09-17,CNQ
0.47,2021-05-06,CD,2021-06-17,4,2021-07-05,2021-06-18,CNQ
0.47,2021-03-04,CD,2021-03-18,4,2021-04-05,2021-03-19,CNQ
0.425,2020-11-06,CD,2020-12-08,4,2021-01-05,2020-12-09,CNQ
0.425,2020-08-06,CD,2020-09-17,4,2020-10-05,2020-09-18,CNQ
0.425,2020-05-07,CD,2020-06-11,4,2020-07-01,2020-06-12,CNQ
0.425,2020-03-05,CD,2020-03-19,4,2020-04-01,2020-03-20,CNQ
0.375,2019-11-07,CD,2019-12-10,4,2020-01-01,2019-12-11,CNQ
0.375,2019-08-01,CD,2019-09-12,4,2019-10-01,2019-09-13,CNQ
0.375,2019-05-09,CD,2019-06-13,4,2019-07-01,2019-06-14,CNQ
0.375,2019-03-07,CD,2019-03-21,4,2019-04-01,2019-03-22,CNQ
0.335,2018-11-01,CD,2018-12-07,4,2019-01-01,2018-12-10,CNQ
0.335,2018-08-02,CD,2018-09-13,4,2018-10-01,2018-09-14,CNQ
0.335,2018-05-03,CD,2018-06-14,4,2018-07-01,2018-06-15,CNQ
0.335,2018-03-01,CD,2018-03-15,4,2018-04-01,2018-03-16,CNQ
0.275,2017-11-02,CD,2017-12-11,4,2018-01-01,2017-12-12,CNQ
0.275,2017-08-03,CD,2017-09-14,4,2017-10-01,2017-09-15,CNQ
0.275,2017-05-04,CD,2017-06-14,4,2017-07-01,2017-06-16,CNQ
0.275,2017-03-02,CD,2017-03-15,4,2017-04-01,2017-03-17,CNQ
0.25,2016-11-03,CD,2016-12-07,4,2017-01-01,2016-12-09,CNQ
0.23,2016-08-28,CD,2016-09-14,4,2016-10-01,2016-09-16,CNQ
0.23,2016-05-05,CD,2016-06-15,4,2016-07-01,2016-06-17,CNQ
0.23,2016-03-03,CD,2016-03-16,4,2016-04-01,2016-03-18,CNQ
0.23,2015-11-05,CD,2015-12-09,4,2015-12-31,2015-12-11,CNQ
0.23,2015-08-20,CD,2015-09-09,4,2015-10-01,2015-09-11,CNQ
0.23,2015-05-07,CD,2015-06-10,4,2015-07-01,2015-06-12,CNQ
0.23,2015-03-05,CD,2015-03-12,4,2015-04-01,2015-03-16,CNQ
0.225,2014-11-06,CD,2014-12-10,4,2015-01-01,2014-12-12,CNQ
0.225,2014-08-07,CD,2014-09-10,4,2014-10-01,2014-09-12,CNQ
0.255,2014-05-08,CD,2014-06-11,4,2014-07-01,2014-06-13,CNQ
0.225,2014-03-06,CD,2014-03-13,4,2014-04-01,2014-03-17,CNQ
0.2,2013-11-07,CD,2013-12-11,4,2014-01-01,2013-12-13,CNQ
0.125,2013-08-09,CD,2013-09-11,4,2013-10-01,2013-09-13,CNQ
0.125,2013-05-03,CD,2013-06-12,4,2013-07-01,2013-06-14,CNQ
0.125,2013-03-08,CD,2013-03-14,4,2013-04-01,2013-03-18,CNQ
0.105,2012-11-08,CD,2012-12-12,4,2013-01-01,2012-12-14,CNQ
0.105,2012-08-10,CD,2012-09-12,4,2012-10-01,2012-09-14,CNQ
0.105,2012-05-04,CD,2012-06-13,4,2012-07-01,2012-06-15,CNQ
0.105,2012-03-08,CD,2012-03-15,4,2012-04-01,2012-03-19,CNQ
0.09,2011-11-04,CD,2011-12-14,4,2012-01-01,2011-12-16,CNQ
0.09,2011-08-05,CD,2011-09-14,4,2011-10-01,2011-09-16,CNQ
0.09,2011-05-06,CD,2011-06-15,4,2011-07-01,2011-06-17,CNQ
0.09,2011-03-04,CD,2011-03-16,4,2011-04-01,2011-03-18,CNQ
0.075,2010-11-05,CD,2010-12-15,4,2011-01-01,2010-12-17,CNQ
0.073,2010-08-06,CD,2010-09-15,4,2010-10-01,2010-09-17,CNQ
0.071,2010-05-07,CD,2010-06-09,4,2010-07-01,2010-06-11,CNQ
0.075,2010-03-05,CD,2010-03-10,4,2010-04-01,2010-03-12,CNQ
