cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.19,2022-07-27,CD,2022-09-28,4,2022-10-31,2022-09-30,CP
0.19,2022-04-26,CD,2022-06-23,4,2022-07-25,2022-06-24,CP
0.19,2022-01-27,CD,2022-03-24,4,2022-04-25,2022-03-25,CP
0.19,2021-10-19,CD,2021-12-30,4,2022-01-31,2021-12-31,CP
0.19,2021-07-27,CD,2021-09-23,4,2021-10-25,2021-09-24,CP
0.19,2021-04-20,CD,2021-06-24,4,2021-07-26,2021-06-25,CP
0.19,2021-01-26,CD,2021-03-25,4,2021-04-26,2021-03-26,CP
0.19,2020-10-20,CD,2020-12-30,4,2021-01-25,2020-12-31,CP
0.19,2020-07-21,CD,2020-09-24,4,2020-10-26,2020-09-25,CP
0.166,2020-04-20,CD,2020-06-25,4,2020-07-27,2020-06-26,CP
0.166,2020-01-28,CD,2020-03-26,4,2020-04-27,2020-03-27,CP
0.166,2019-12-16,CD,2019-12-26,4,2020-01-27,2019-12-27,CP
0.166,2019-07-15,CD,2019-09-26,4,2019-10-28,2019-09-27,CP
0.166,2019-05-06,CD,2019-06-27,4,2019-07-29,2019-06-28,CP
0.13,2019-02-15,CD,2019-03-28,4,2019-04-29,2019-03-29,CP
0.13,2018-12-18,CD,2018-12-27,4,2019-01-28,2018-12-28,CP
0.13,2018-09-17,CD,2018-09-27,4,2018-10-29,2018-09-28,CP
0.13,2018-05-09,CD,2018-06-28,4,2018-07-30,2018-06-29,CP
0.1125,2018-02-15,CD,2018-03-22,4,2018-04-30,2018-03-23,CP
0.1125,2017-11-23,CD,2017-12-28,4,2018-01-29,2017-12-29,CP
0.1125,2017-07-17,CD,2017-09-28,4,2017-10-30,2017-09-29,CP
0.1125,2017-05-11,CD,2017-06-28,4,2017-07-31,2017-06-30,CP
0.1,2017-02-14,CD,2017-03-29,4,2017-04-24,2017-03-31,CP
0.1,2016-12-13,CD,2016-12-28,4,2017-01-30,2016-12-30,CP
0.1,2016-07-11,CD,2016-09-28,4,2016-10-24,2016-09-30,CP
0.1,2016-04-19,CD,2016-06-22,4,2016-07-25,2016-06-24,CP
0.07,2016-02-23,CD,2016-03-22,4,2016-04-25,2016-03-24,CP
0.07,2015-12-15,CD,2015-12-29,4,2016-01-25,2015-12-31,CP
0.07,2015-07-24,CD,2015-09-23,4,2015-10-26,2015-09-25,CP
0.07,2015-05-13,CD,2015-06-24,4,2015-07-27,2015-06-26,CP
0.07,2015-02-19,CD,2015-03-25,4,2015-04-27,2015-03-27,CP
0.07,2014-12-16,CD,2014-12-29,4,2015-01-26,2014-12-31,CP
0.07,2014-07-24,CD,2014-09-24,4,2014-10-27,2014-09-26,CP
0.07,2014-04-30,CD,2014-06-25,4,2014-07-28,2014-06-27,CP
0.07,2014-02-20,CD,2014-03-26,4,2014-04-28,2014-03-28,CP
0.07,2013-11-27,CD,2013-12-24,4,2014-01-27,2013-12-27,CP
0.07,2013-07-19,CD,2013-09-25,4,2013-10-28,2013-09-27,CP
0.07,2013-04-30,CD,2013-06-26,4,2013-07-29,2013-06-28,CP
0.07,2013-02-25,CD,2013-03-26,4,2013-04-29,2013-03-28,CP
0.07,2012-11-30,CD,2012-12-26,4,2013-01-28,2012-12-28,CP
0.07,2012-09-07,CD,2012-09-26,4,2012-10-29,2012-09-28,CP
0.07,2012-04-24,CD,2012-06-20,4,2012-07-30,2012-06-22,CP
0.06,2012-02-28,CD,2012-03-28,4,2012-04-30,2012-03-30,CP
0.06,2011-12-14,CD,2011-12-28,4,2012-01-30,2011-12-30,CP
0.06,2011-08-06,CD,2011-09-28,4,2011-10-31,2011-09-30,CP
0.06,2011-05-12,CD,2011-06-22,4,2011-07-25,2011-06-24,CP
0.054,2011-02-25,CD,2011-03-23,4,2011-04-25,2011-03-25,CP
0.054,2010-12-15,CD,2010-12-29,4,2011-01-31,2010-12-31,CP
0.054,2010-08-07,CD,2010-09-22,4,2010-10-25,2010-09-24,CP
0.054,2010-05-21,CD,2010-06-23,4,2010-07-26,2010-06-25,CP
0.0495,2010-02-25,CD,2010-03-24,4,2010-04-26,2010-03-26,CP
0.0495,2009-12-17,CD,2009-12-29,4,2010-01-25,2009-12-31,CP
0.0495,2009-07-30,CD,2009-09-23,4,2009-10-26,2009-09-25,CP
0.0495,2009-06-04,CD,2009-06-24,4,2009-07-27,2009-06-26,CP
0.0495,2009-02-19,CD,2009-03-25,4,2009-04-27,2009-03-27,CP
0.0495,2008-12-17,CD,2008-12-22,4,2009-01-26,2008-12-24,CP
0.0495,2008-08-11,CD,2008-09-24,4,2008-10-31,2008-09-26,CP
0.0495,2008-06-05,CD,2008-06-25,4,2008-07-28,2008-06-27,CP
0.04878,2008-02-19,CD,2008-03-26,4,2008-04-28,2008-03-28,CP
0.04466,2007-12-05,CD,2007-12-26,4,2008-01-28,2007-12-28,CP
0.04496,2007-07-31,CD,2007-09-26,4,2007-10-29,2007-09-28,CP
0.04206,2007-05-11,CD,2007-06-27,4,2007-07-30,2007-06-29,CP
0.03876,2007-03-01,CD,2007-03-28,4,2007-04-30,2007-03-30,CP
0.03242,2006-12-13,CD,2006-12-27,4,2007-01-29,2006-12-29,CP
0.0336188,2006-08-02,CD,2006-09-27,4,2006-10-30,2006-09-29,CP
0.03336,2006-05-05,CD,2006-06-28,4,2006-07-31,2006-06-30,CP
0.03208,2006-02-22,CD,2006-03-29,4,2006-04-24,2006-03-31,CP
0.0257,2005-12-13,CD,2005-12-28,4,2006-01-30,2005-12-30,CP
0.0256,2005-08-04,CD,2005-09-28,4,2005-10-31,2005-09-30,CP
0.0244,2005-05-06,CD,2005-06-22,4,2005-07-25,2005-06-24,CP
0.02204,2005-02-21,CD,2005-03-22,4,2005-04-25,2005-03-25,CP
0.02178,2004-12-09,CD,2004-12-29,4,2005-01-31,2004-12-31,CP
0.0206,2004-08-19,CD,2004-09-22,4,2004-10-25,2004-09-24,CP
0.01876,2004-04-20,CD,2004-06-23,4,2004-07-26,2004-06-25,CP
0.01914,2004-02-19,CD,2004-03-24,4,2004-04-26,2004-03-26,CP
0.0191,2003-12-10,CD,2003-12-22,4,2004-01-26,2003-12-24,CP
0.01878,2003-09-04,CD,2003-09-24,4,2003-10-27,2003-09-26,CP
0.01876,2003-06-05,CD,2003-06-25,4,2003-07-28,2003-06-27,CP
0.01728,2003-03-06,CD,2003-03-26,4,2003-04-28,2003-03-28,CP
0.01644,2002-12-04,CD,2002-12-24,4,2003-01-27,2002-12-27,CP
0.01606,2002-09-05,CD,2002-09-25,4,2002-10-28,2002-09-27,CP
0.01678,2002-06-05,CD,2002-06-25,4,2002-07-29,2002-06-27,CP
0.01618,2002-02-19,CD,2002-03-25,4,2002-04-29,2002-03-27,CP
0.0161,2001-12-04,CD,2001-12-24,4,2002-01-28,2001-12-27,CP
0.01816,2001-08-03,CD,2001-08-23,4,2001-09-28,2001-08-27,CP
0.0184,2001-06-05,CD,2001-06-25,4,2001-07-30,2001-06-27,CP
0.01784,2001-03-03,CD,2001-03-23,4,2001-04-30,2001-03-27,CP
0.01842,2000-12-02,CD,2000-12-22,4,2001-01-29,2000-12-27,CP
0.01882,2000-09-05,CD,2000-09-25,4,2000-10-30,2000-09-27,CP
0.01896,2000-06-03,CD,2000-06-23,4,1970-01-01,2000-06-25,CP
0.01906,2000-03-03,CD,2000-03-23,4,1970-01-01,2000-03-25,CP
0.01892,1999-12-01,CD,1999-12-21,4,1970-01-01,1999-12-23,CP
0.01904,1999-09-03,CD,1999-09-23,4,1970-01-01,1999-09-25,CP
0.01904,1999-06-03,CD,1999-06-23,4,1970-01-01,1999-06-25,CP
0.01858,1999-03-04,CD,1999-03-24,4,1970-01-01,1999-03-26,CP
0.01804,1998-12-02,CD,1998-12-22,4,1970-01-01,1998-12-24,CP
0.01834,1998-09-03,CD,1998-09-23,4,1970-01-01,1998-09-25,CP
0.01904,1998-06-04,CD,1998-06-24,4,1970-01-01,1998-06-26,CP
0.01698,1998-03-05,CD,1998-03-25,4,1970-01-01,1998-03-27,CP
0.01674,1997-12-02,CD,1997-12-22,4,1970-01-01,1997-12-24,CP
0.01728,1997-09-04,CD,1997-09-24,4,1970-01-01,1997-09-26,CP
0.01722,1997-06-05,CD,1997-06-25,4,1970-01-01,1997-06-27,CP
