cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.2,2022-04-20,CD,2022-05-02,4,2022-06-02,2022-05-03,CRS
0.2,2022-01-20,CD,2022-01-31,4,2022-03-03,2022-02-01,CRS
0.2,2021-10-13,CD,2021-10-25,4,2021-12-02,2021-10-26,CRS
0.2,2021-08-18,CD,2021-08-30,4,2021-09-07,2021-08-31,CRS
0.2,2021-04-21,CD,2021-05-03,4,2021-06-03,2021-05-04,CRS
0.2,2021-01-21,CD,2021-02-01,4,2021-03-04,2021-02-02,CRS
0.2,2020-10-15,CD,2020-10-26,4,2020-12-03,2020-10-27,CRS
0.2,2020-08-12,CD,2020-08-24,4,2020-09-03,2020-08-25,CRS
0.2,2020-04-23,CD,2020-05-04,4,2020-06-04,2020-05-05,CRS
0.2,2020-01-23,CD,2020-01-31,4,2020-03-05,2020-02-03,CRS
0.2,2019-10-09,CD,2019-10-21,4,2019-12-05,2019-10-22,CRS
0.2,2019-08-14,CD,2019-08-26,4,2019-09-05,2019-08-27,CRS
0.2,2019-04-17,CD,2019-04-29,4,2019-06-06,2019-04-30,CRS
0.2,2019-01-24,CD,2019-02-04,4,2019-03-07,2019-02-05,CRS
0.2,2018-10-10,CD,2018-10-22,4,2018-12-06,2018-10-23,CRS
0.2,2018-08-16,CD,2018-08-27,4,2018-09-06,2018-08-28,CRS
0.18,2018-04-18,CD,2018-04-30,4,2018-06-07,2018-05-01,CRS
0.18,2018-01-24,CD,2018-02-05,4,2018-03-01,2018-02-06,CRS
0.18,2017-10-10,CD,2017-10-23,4,2017-12-07,2017-10-24,CRS
0.18,2017-08-10,CD,2017-08-18,4,2017-09-07,2017-08-22,CRS
0.18,2017-04-21,CD,2017-04-28,4,2017-06-01,2017-05-02,CRS
0.18,2017-01-25,CD,2017-02-03,4,2017-03-02,2017-02-07,CRS
0.18,2016-10-12,CD,2016-10-21,4,2016-12-01,2016-10-25,CRS
0.18,2016-08-10,CD,2016-08-19,4,2016-09-01,2016-08-23,CRS
0.18,2016-04-20,CD,2016-04-29,4,2016-06-02,2016-05-03,CRS
0.18,2016-01-27,CD,2016-02-05,4,2016-03-03,2016-02-09,CRS
0.18,2015-10-14,CD,2015-10-23,4,2015-12-03,2015-10-27,CRS
0.18,2015-08-26,CD,2015-09-03,4,2015-09-15,2015-09-08,CRS
0.18,2015-04-29,CD,2015-05-08,4,2015-06-04,2015-05-12,CRS
0.18,2015-01-28,CD,2015-02-06,4,2015-03-05,2015-02-10,CRS
0.18,2014-10-15,CD,2014-10-24,4,2014-12-04,2014-10-28,CRS
0.18,2014-08-12,CD,2014-08-22,4,2014-09-05,2014-08-26,CRS
0.18,2014-04-30,CD,2014-05-09,4,2014-06-05,2014-05-13,CRS
0.18,2014-01-28,CD,2014-02-07,4,2014-03-06,2014-02-11,CRS
0.18,2013-10-15,CD,2013-10-25,4,2013-12-05,2013-10-29,CRS
0.18,2013-08-14,CD,2013-08-23,4,2013-09-06,2013-08-27,CRS
0.18,2013-05-01,CD,2013-05-10,4,2013-06-06,2013-05-14,CRS
0.18,2013-01-31,CD,2013-02-08,4,2013-03-07,2013-02-12,CRS
0.18,2012-10-10,CD,2012-10-19,4,2012-12-06,2012-10-23,CRS
0.18,2012-08-16,CD,2012-08-24,4,2012-09-07,2012-08-28,CRS
0.18,2012-04-19,CD,2012-04-27,4,2012-06-07,2012-05-01,CRS
0.18,2012-01-19,CD,2012-01-27,4,2012-03-01,2012-01-31,CRS
0.18,2011-10-12,CD,2011-10-21,4,2011-12-01,2011-10-25,CRS
0.18,2011-08-18,CD,2011-08-26,4,2011-09-02,2011-08-30,CRS
0.18,2011-04-21,CD,2011-04-29,4,2011-06-02,2011-05-03,CRS
0.18,2011-01-20,CD,2011-01-28,4,2011-03-03,2011-02-01,CRS
0.18,2010-10-13,CD,2010-10-22,4,2010-12-02,2010-10-26,CRS
0.18,2010-08-19,CD,2010-08-27,4,2010-09-03,2010-08-31,CRS
0.18,2010-04-22,CD,2010-04-29,4,2010-06-03,2010-05-03,CRS
0.18,2010-01-21,CD,2010-01-29,4,2010-03-04,2010-02-02,CRS
0.18,2009-10-13,CD,2009-10-23,4,2009-12-03,2009-10-27,CRS
0.18,2009-08-20,CD,2009-08-28,4,2009-09-04,2009-09-01,CRS
0.18,2009-04-23,CD,2009-05-01,4,2009-06-04,2009-05-05,CRS
0.18,2009-01-21,CD,2009-01-30,4,2009-03-05,2009-02-03,CRS
0.18,2008-10-15,CD,2008-10-24,4,2008-12-04,2008-10-28,CRS
0.18,2008-08-21,CD,2008-08-28,4,2008-09-05,2008-09-02,CRS
0.18,2008-04-23,CD,2008-05-02,4,2008-06-05,2008-05-06,CRS
0.15,2008-01-23,CD,2008-02-01,4,2008-03-06,2008-02-05,CRS
0.15,2007-10-16,CD,2007-10-26,4,2007-12-06,2007-10-30,CRS
0.15,2007-08-22,CD,2007-08-30,4,2007-09-07,2007-09-04,CRS
0.15,2007-04-27,CD,2007-05-04,4,2007-06-07,2007-05-08,CRS
0.1125,2007-01-25,CD,2007-02-02,4,2007-03-01,2007-02-06,CRS
0.1125,2006-10-16,CD,2006-10-27,4,2006-12-07,2006-10-31,CRS
0.1125,2006-08-24,CD,2006-08-31,4,2006-09-08,2006-09-05,CRS
0.075,2006-04-28,CD,2006-05-05,4,2006-06-01,2006-05-09,CRS
0.075,2006-01-27,CD,2006-02-03,4,2006-03-02,2006-02-07,CRS
0.075,2005-10-24,CD,2005-11-04,4,2005-12-01,2005-11-08,CRS
0.15,2005-08-19,CD,2005-08-26,4,2005-09-02,2005-08-30,CRS
0.0625,2005-04-29,CD,2005-05-06,4,2005-06-02,2005-05-10,CRS
0.05,2004-12-24,CD,2005-02-04,4,2005-03-03,2005-02-08,CRS
0.05,2004-10-25,CD,2004-11-05,4,2004-12-02,2004-11-09,CRS
0.04125,2004-08-20,CD,2004-08-27,4,2004-09-03,2004-08-31,CRS
0.04125,2004-04-22,CD,2004-04-30,4,2004-06-03,2004-05-04,CRS
0.04125,2003-12-19,CD,2004-01-30,4,2004-03-04,2004-02-03,CRS
0.04125,2003-10-27,CD,2003-11-05,4,2003-12-04,2003-11-07,CRS
0.04125,2003-08-21,CD,2003-08-28,4,2003-09-05,2003-09-02,CRS
0.04125,2003-04-24,CD,2003-05-02,4,2003-06-05,2003-05-06,CRS
0.04125,2003-01-24,CD,2003-01-31,4,2003-03-06,2003-02-04,CRS
0.04125,2002-10-28,CD,2002-11-05,4,2002-12-05,2002-11-07,CRS
0.165,2002-08-22,CD,2002-08-29,4,2002-09-06,2002-09-03,CRS
0.165,2002-04-25,CD,2002-05-03,4,2002-06-06,2002-05-07,CRS
0.165,2001-12-21,CD,2002-02-01,4,2002-03-07,2002-02-05,CRS
0.165,2001-10-23,CD,2001-10-30,4,2001-12-06,2001-11-01,CRS
0.165,2001-08-16,CD,2001-08-24,4,2001-09-06,2001-08-28,CRS
0.165,2001-04-26,CD,2001-05-04,4,2001-06-07,2001-05-08,CRS
0.165,2001-01-25,CD,2001-02-02,4,2001-03-01,2001-02-06,CRS
0.165,2000-10-23,CD,2000-10-31,4,2000-12-07,2000-11-02,CRS
0.165,2000-08-17,CD,2000-08-25,4,2000-09-07,2000-08-29,CRS
0.165,2000-04-20,CD,2000-04-28,4,2000-06-01,2000-05-02,CRS
0.165,2000-01-27,CD,2000-02-04,4,2000-03-02,2000-02-08,CRS
0.165,1999-10-25,CD,1999-11-02,4,1999-12-02,1999-11-04,CRS
0.165,1999-08-12,CD,1999-08-20,4,1999-09-02,1999-08-24,CRS
0.165,1999-04-22,CD,1999-04-30,4,1999-06-03,1999-05-04,CRS
0.165,1999-01-26,CD,1999-02-03,4,1999-03-04,1999-02-05,CRS
0.165,1998-10-26,CD,1998-11-03,4,1998-12-03,1998-11-05,CRS
0.165,1998-08-06,CD,1998-08-14,4,1998-09-03,1998-08-18,CRS
0.165,1998-04-23,CD,1998-05-01,4,1998-06-04,1998-05-05,CRS
0.165,1998-01-20,CD,1998-01-28,4,1998-03-05,1998-01-30,CRS
0.165,1997-09-18,CD,1997-10-28,4,1997-12-04,1997-10-30,CRS
0.165,1997-08-07,CD,1997-08-15,4,1997-09-04,1997-08-19,CRS
0.165,1997-04-24,CD,1997-05-02,4,1997-06-05,1997-05-06,CRS
0.165,1997-01-21,CD,1997-01-29,4,1997-03-06,1997-01-31,CRS
0.165,1996-10-21,CD,1996-10-29,4,1996-12-05,1996-10-31,CRS
0.165,1996-08-08,CD,1996-08-16,4,1996-09-05,1996-08-20,CRS
0.165,1996-04-23,CD,1996-05-01,4,1996-06-06,1996-05-03,CRS
0.165,1996-01-22,CD,1996-01-30,4,1996-03-07,1996-02-01,CRS
0.165,1995-10-23,CD,1995-10-31,4,1995-12-07,1995-11-02,CRS
0.165,1995-08-10,CD,1995-08-18,4,1995-09-07,1995-08-22,CRS
0.15,1995-04-25,CD,1995-05-01,4,1995-06-01,1995-05-05,CRS
0.15,1995-01-23,CD,1995-01-27,4,1995-03-02,1995-02-02,CRS
0.15,1994-10-24,CD,1994-10-28,4,1994-12-01,1994-11-03,CRS
0.15,1994-08-11,CD,1994-08-17,4,1994-09-01,1994-08-23,CRS
0.15,1994-04-26,CD,1994-05-02,4,1994-06-02,1994-05-06,CRS
0.15,1994-01-24,CD,1994-01-28,4,1994-03-03,1994-02-03,CRS
0.15,1993-10-22,CD,1993-10-29,4,1993-12-02,1993-11-04,CRS
0.15,1993-08-12,CD,1993-08-18,4,1993-09-02,1993-08-24,CRS
0.15,1993-04-27,CD,1993-05-03,4,1993-06-03,1993-05-07,CRS
0.15,1993-01-26,CD,1993-02-01,4,1993-03-04,1993-02-05,CRS
0.15,1992-10-27,CD,1992-11-02,4,1992-12-03,1992-11-06,CRS
0.15,1992-08-13,CD,1992-08-19,4,1992-09-03,1992-08-25,CRS
0.15,1992-04-28,CD,1992-05-04,4,1992-06-04,1992-05-08,CRS
0.15,1992-01-28,CD,1992-02-03,4,1992-03-05,1992-02-07,CRS
0.15,1991-10-29,CD,1991-11-04,4,1991-12-05,1991-11-08,CRS
0.15,1991-08-08,CD,1991-08-14,4,1991-09-05,1991-08-20,CRS
0.15,1991-04-30,CD,1991-05-06,4,1991-06-06,1991-05-10,CRS
0.15,1991-01-29,CD,1991-02-04,4,1991-03-07,1991-02-08,CRS
0.15,1990-10-30,CD,1990-11-05,4,1990-12-06,1990-11-09,CRS
0.15,1990-08-09,CD,1990-08-15,4,1990-09-06,1990-08-21,CRS
0.15,1990-04-24,CD,1990-04-30,4,1990-06-07,1990-05-04,CRS
0.15,1990-02-08,CD,1990-02-13,4,1990-03-01,1990-02-20,CRS
0.15,1989-11-06,CD,1989-11-14,4,1989-12-07,1989-11-20,CRS
0.1313,1989-08-11,CD,1989-08-17,4,1989-09-07,1989-08-23,CRS
0.1313,1989-05-11,CD,1989-05-18,4,1989-06-01,1989-05-24,CRS
0.1313,1989-02-09,CD,1989-02-15,4,1989-03-02,1989-02-22,CRS
0.1313,1988-11-07,CD,1988-11-15,4,1988-12-01,1988-11-21,CRS
0.1313,1988-08-11,CD,1988-08-18,4,1988-09-01,1988-08-24,CRS
0.1313,1988-05-12,CD,1988-05-19,4,1988-06-02,1988-05-25,CRS
0.1313,1988-02-11,CD,1988-02-18,4,1988-03-03,1988-02-24,CRS
0.1313,1987-11-02,CD,1987-11-06,4,1987-12-03,1987-11-13,CRS
0.1313,1987-08-14,CD,1987-08-20,4,1987-09-03,1987-08-26,CRS
0.1313,1987-05-14,CD,1987-05-20,4,1987-06-04,1987-05-27,CRS
0.1313,1987-02-12,CD,1987-02-19,4,1987-03-05,1987-02-25,CRS
0.1313,1986-11-03,CD,1986-11-12,4,1986-12-04,1986-11-18,CRS
0.1313,1986-08-14,CD,1986-08-21,4,1986-09-04,1986-08-27,CRS
0.1313,1986-05-08,CD,1986-05-15,4,1986-06-05,1986-05-21,CRS
0.1313,1986-02-13,CD,1986-02-20,4,1986-03-06,1986-02-26,CRS
0.1313,1985-11-04,CD,1985-11-13,4,1985-12-05,1985-11-19,CRS
0.1313,1985-08-08,CD,1985-08-15,4,1985-09-05,1985-08-21,CRS
