cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.44,2020-02-20,CD,2020-03-31,4,2020-04-15,2020-04-01,CXW
0.44,2019-12-12,CD,2020-01-03,4,2020-01-15,2020-01-06,CXW
0.44,2019-08-15,CD,2019-09-30,4,2019-10-15,2019-10-01,CXW
0.44,2019-05-16,CD,2019-06-28,4,2019-07-16,2019-07-01,CXW
0.44,2019-02-21,CD,2019-03-29,4,2019-04-15,2019-04-01,CXW
0.43,2018-12-13,CD,2018-12-31,4,2019-01-15,2019-01-02,CXW
0.43,2018-08-16,CD,2018-09-28,4,2018-10-15,2018-10-01,CXW
0.43,2018-05-11,CD,2018-06-29,4,2018-07-16,2018-07-02,CXW
0.43,2018-02-22,CD,2018-03-29,4,2018-04-16,2018-04-02,CXW
0.42,2017-12-07,CD,2017-12-29,4,2018-01-15,2018-01-02,CXW
0.42,2017-08-10,CD,2017-09-29,4,2017-10-16,2017-10-02,CXW
0.42,2017-05-12,CD,2017-06-29,4,2017-07-17,2017-07-03,CXW
0.42,2017-02-17,CD,2017-03-30,4,2017-04-17,2017-04-03,CXW
0.42,2016-12-08,CD,2016-12-29,4,2017-01-13,2017-01-03,CXW
0.54,2016-08-11,CD,2016-09-29,4,2016-10-17,2016-10-03,CXW
0.54,2016-05-13,CD,2016-06-29,4,2016-07-15,2016-07-01,CXW
0.54,2016-02-19,CD,2016-03-30,4,2016-04-15,2016-04-01,CXW
0.54,2015-12-10,CD,2015-12-30,4,2016-01-15,2016-01-04,CXW
0.54,2015-08-13,CD,2015-09-30,4,2015-10-15,2015-10-02,CXW
0.54,2015-05-14,CD,2015-06-30,4,2015-07-15,2015-07-02,CXW
0.54,2015-02-20,CD,2015-03-31,4,2015-04-15,2015-04-02,CXW
0.51,2014-12-11,CD,2014-12-30,4,2015-01-15,2015-01-02,CXW
0.51,2014-08-14,CD,2014-09-30,4,2014-10-15,2014-10-02,CXW
0.51,2014-05-15,CD,2014-06-30,4,2014-07-15,2014-07-02,CXW
0.51,2014-02-20,CD,2014-03-31,4,2014-04-15,2014-04-02,CXW
0.48,2013-12-10,CD,2013-12-30,4,2014-01-15,2014-01-02,CXW
0.48,2013-08-16,CD,2013-09-30,4,2013-10-15,2013-10-02,CXW
0.48,2013-05-16,CD,2013-07-01,4,2013-07-15,2013-07-03,CXW
6.63,2013-04-08,SC,2013-04-17,0,2013-05-20,2013-04-19,CXW
0.53,2013-02-21,CD,2013-04-01,4,2013-04-15,2013-04-03,CXW
0.2,2012-11-06,CD,2012-11-28,4,2012-12-14,2012-11-30,CXW
0.2,2012-08-21,CD,2012-09-12,4,2012-09-28,2012-09-14,CXW
0.2,2012-05-12,CD,2012-06-06,4,2012-06-22,2012-06-08,CXW
