cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.1,2018-02-01,CD,2018-02-23,4,2018-03-16,2018-02-26,DBD
0.1,2017-10-18,CD,2017-11-16,4,2017-12-08,2017-11-17,DBD
0.1,2017-07-13,CD,2017-08-23,4,2017-09-15,2017-08-25,DBD
0.1,2017-05-03,CD,2017-05-17,4,2017-06-09,2017-05-19,DBD
0.1,2017-02-08,CD,2017-02-23,4,2017-03-17,2017-02-27,DBD
0.1,2016-10-12,CD,2016-11-16,4,2016-12-09,2016-11-18,DBD
0.2875,2016-07-19,CD,2016-07-25,4,2016-08-03,2016-07-27,DBD
0.2875,2016-04-21,CD,2016-05-18,4,2016-06-10,2016-05-20,DBD
0.2875,2016-02-03,CD,2016-02-24,4,2016-03-18,2016-02-26,DBD
0.2875,2015-10-14,CD,2015-11-18,4,2015-12-11,2015-11-20,DBD
0.2875,2015-07-24,CD,2015-08-26,4,2015-09-18,2015-08-28,DBD
0.2875,2015-04-23,CD,2015-05-20,4,2015-06-12,2015-05-22,DBD
0.2875,2015-02-04,CD,2015-02-18,4,2015-03-06,2015-02-20,DBD
0.2875,2014-10-16,CD,2014-11-12,4,2014-12-05,2014-11-14,DBD
0.2875,2014-07-31,CD,2014-08-20,4,2014-09-12,2014-08-22,DBD
0.2875,2014-04-24,CD,2014-05-14,4,2014-06-06,2014-05-16,DBD
0.2875,2014-02-13,CD,2014-02-20,4,2014-03-07,2014-02-24,DBD
0.2875,2013-10-03,CD,2013-11-13,4,2013-12-06,2013-11-15,DBD
0.2875,2013-07-31,CD,2013-08-21,4,2013-09-13,2013-08-23,DBD
0.2875,2013-04-25,CD,2013-05-15,4,2013-06-07,2013-05-17,DBD
0.2875,2013-02-05,CD,2013-02-20,4,2013-03-08,2013-02-22,DBD
0.285,2012-10-05,CD,2012-11-14,4,2012-12-07,2012-11-16,DBD
0.285,2012-08-03,CD,2012-08-23,4,2012-09-18,2012-08-27,DBD
0.285,2012-04-27,CD,2012-05-10,4,2012-06-04,2012-05-14,DBD
0.285,2012-02-09,CD,2012-02-15,4,2012-03-05,2012-02-20,DBD
0.28,2011-10-07,CD,2011-11-16,4,2011-12-09,2011-11-18,DBD
0.28,2011-08-05,CD,2011-08-17,4,2011-09-09,2011-08-19,DBD
0.28,2011-04-29,CD,2011-05-11,4,2011-06-03,2011-05-13,DBD
0.28,2011-02-10,CD,2011-02-16,4,2011-03-07,2011-02-21,DBD
0.27,2010-10-08,CD,2010-11-17,4,2010-12-10,2010-11-19,DBD
0.27,2010-08-06,CD,2010-08-18,4,2010-09-10,2010-08-20,DBD
0.27,2010-04-30,CD,2010-05-12,4,2010-06-04,2010-05-14,DBD
0.27,2010-02-12,CD,2010-02-18,4,2010-03-08,2010-02-22,DBD
0.26,2009-10-09,CD,2009-11-18,4,2009-12-11,2009-11-20,DBD
0.26,2009-08-06,CD,2009-08-19,4,2009-09-11,2009-08-21,DBD
0.26,2009-04-24,CD,2009-05-13,4,2009-06-05,2009-05-15,DBD
0.26,2009-02-12,CD,2009-02-18,4,2009-03-06,2009-02-20,DBD
0.25,2008-10-10,CD,2008-11-13,4,2008-12-05,2008-11-17,DBD
0.25,2008-08-01,CD,2008-08-20,4,2008-09-05,2008-08-22,DBD
0.25,2008-04-24,CD,2008-05-07,4,2008-05-30,2008-05-09,DBD
