cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.985,2022-07-25,CD,2022-08-03,4,2022-08-11,2022-08-04,DKL
0.98,2022-04-25,CD,2022-05-04,4,2022-05-12,2022-05-05,DKL
0.975,2022-01-21,CD,2022-01-31,4,2022-02-08,2022-02-01,DKL
0.95,2021-10-26,CD,2021-11-04,4,2021-11-10,2021-11-05,DKL
0.94,2021-07-26,CD,2021-08-04,4,2021-08-11,2021-08-05,DKL
0.92,2021-04-30,CD,2021-05-07,4,2021-05-14,2021-05-10,DKL
0.91,2021-01-25,CD,2021-02-01,4,2021-02-09,2021-02-02,DKL
0.905,2020-10-27,CD,2020-11-05,4,2020-11-12,2020-11-06,DKL
0.9,2020-07-27,CD,2020-08-06,4,2020-08-12,2020-08-07,DKL
0.89,2020-04-21,CD,2020-05-04,4,2020-05-12,2020-05-05,DKL
0.885,2020-01-24,CD,2020-02-03,4,2020-02-12,2020-02-04,DKL
0.88,2019-10-25,CD,2019-11-01,4,2019-11-12,2019-11-04,DKL
0.85,2019-07-24,CD,2019-08-02,4,2019-08-13,2019-08-05,DKL
0.82,2019-04-26,CD,2019-05-06,4,2019-05-14,2019-05-07,DKL
0.81,2019-01-25,CD,2019-02-01,4,2019-02-12,2019-02-04,DKL
0.79,2018-10-23,CD,2018-11-01,4,2018-11-09,2018-11-02,DKL
0.77,2018-07-24,CD,2018-08-02,4,2018-08-13,2018-08-03,DKL
0.75,2018-04-26,CD,2018-05-04,4,2018-05-15,2018-05-07,DKL
0.725,2018-01-23,CD,2018-02-01,4,2018-02-12,2018-02-02,DKL
0.715,2017-10-26,CD,2017-11-06,4,2017-11-14,2017-11-07,DKL
0.705,2017-07-24,CD,2017-08-02,4,2017-08-11,2017-08-04,DKL
0.69,2017-04-26,CD,2017-05-03,4,2017-05-12,2017-05-05,DKL
0.68,2017-01-25,CD,2017-02-03,4,2017-02-14,2017-02-07,DKL
0.655,2016-10-25,CD,2016-11-03,4,2016-11-14,2016-11-07,DKL
0.63,2016-07-25,CD,2016-08-03,4,2016-08-12,2016-08-05,DKL
0.61,2016-04-22,CD,2016-05-03,4,2016-05-13,2016-05-05,DKL
0.59,2016-01-26,CD,2016-02-03,4,2016-02-12,2016-02-05,DKL
0.57,2015-10-27,CD,2015-11-04,4,2015-11-13,2015-11-06,DKL
0.55,2015-07-27,CD,2015-08-04,4,2015-08-14,2015-08-06,DKL
0.53,2015-04-21,CD,2015-04-30,4,2015-05-14,2015-05-04,DKL
0.51,2015-01-28,CD,2015-02-04,4,2015-02-13,2015-02-06,DKL
0.49,2014-10-23,CD,2014-11-04,4,2014-11-14,2014-11-06,DKL
0.475,2014-07-29,CD,2014-08-05,4,2014-08-14,2014-08-07,DKL
0.425,2014-04-24,CD,2014-05-02,4,2014-05-14,2014-05-06,DKL
0.415,2014-01-23,CD,2014-01-31,4,2014-02-13,2014-02-04,DKL
0.405,2013-10-25,CD,2013-11-05,4,2013-11-14,2013-11-07,DKL
0.395,2013-07-26,CD,2013-08-02,4,2013-08-13,2013-08-06,DKL
0.385,2013-04-25,CD,2013-05-03,4,2013-05-15,2013-05-07,DKL
0.224,2013-01-24,CD,2013-02-04,4,2013-02-14,2013-02-06,DKL
