cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.3,2022-08-04,CD,2022-08-19,4,2022-09-06,2022-08-22,DLX
0.3,2022-05-05,CD,2022-05-20,4,2022-06-06,2022-05-23,DLX
0.3,2022-02-03,CD,2022-02-18,4,2022-03-07,2022-02-22,DLX
0.3,2021-11-04,CD,2021-11-19,4,2021-12-06,2021-11-22,DLX
0.3,2021-08-05,CD,2021-08-20,4,2021-09-07,2021-08-23,DLX
0.3,2021-05-06,CD,2021-05-21,4,2021-06-07,2021-05-24,DLX
0.3,2021-02-05,CD,2021-02-12,4,2021-03-01,2021-02-16,DLX
0.3,2020-11-05,CD,2020-11-20,4,2020-12-07,2020-11-23,DLX
0.3,2020-07-30,CD,2020-08-21,4,2020-09-08,2020-08-24,DLX
0.3,2020-04-29,CD,2020-05-15,4,2020-06-01,2020-05-18,DLX
0.3,2020-01-21,CD,2020-02-14,4,2020-03-02,2020-02-18,DLX
0.3,2019-10-24,CD,2019-11-15,4,2019-12-02,2019-11-18,DLX
0.3,2019-08-05,CD,2019-08-16,4,2019-09-03,2019-08-19,DLX
0.3,2019-04-30,CD,2019-05-17,4,2019-06-03,2019-05-20,DLX
0.3,2019-01-24,CD,2019-02-15,4,2019-03-04,2019-02-19,DLX
0.3,2018-10-24,CD,2018-11-16,4,2018-12-03,2018-11-19,DLX
0.3,2018-08-08,CD,2018-08-17,4,2018-09-04,2018-08-20,DLX
0.3,2018-05-03,CD,2018-05-18,4,2018-06-04,2018-05-21,DLX
0.3,2018-01-25,CD,2018-02-16,4,2018-03-05,2018-02-20,DLX
0.3,2017-10-16,CD,2017-11-17,4,2017-12-04,2017-11-20,DLX
0.3,2017-07-27,CD,2017-08-17,4,2017-09-05,2017-08-21,DLX
0.3,2017-05-01,CD,2017-05-18,4,2017-06-05,2017-05-22,DLX
0.3,2017-01-24,CD,2017-02-16,4,2017-03-06,2017-02-21,DLX
0.3,2016-10-18,CD,2016-11-17,4,2016-12-05,2016-11-21,DLX
0.3,2016-08-04,CD,2016-08-18,4,2016-09-06,2016-08-22,DLX
0.3,2016-05-04,CD,2016-05-19,4,2016-06-06,2016-05-23,DLX
0.3,2016-01-25,CD,2016-02-18,4,2016-03-07,2016-02-22,DLX
0.3,2015-10-21,CD,2015-11-19,4,2015-12-07,2015-11-23,DLX
0.3,2015-07-30,CD,2015-08-20,4,2015-09-08,2015-08-24,DLX
0.3,2015-04-28,CD,2015-05-14,4,2015-06-01,2015-05-18,DLX
0.3,2015-01-22,CD,2015-02-12,4,2015-03-02,2015-02-17,DLX
0.3,2014-10-21,CD,2014-11-13,4,2014-12-01,2014-11-17,DLX
0.3,2014-07-31,CD,2014-08-14,4,2014-09-02,2014-08-18,DLX
0.3,2014-04-29,CD,2014-05-15,4,2014-06-02,2014-05-19,DLX
0.25,2014-01-23,CD,2014-02-12,4,2014-03-03,2014-02-14,DLX
0.25,2013-10-22,CD,2013-11-14,4,2013-12-02,2013-11-18,DLX
0.25,2013-07-17,CD,2013-08-15,4,2013-09-03,2013-08-19,DLX
0.25,2013-05-01,CD,2013-05-16,4,2013-06-03,2013-05-20,DLX
0.25,2013-01-25,CD,2013-02-13,4,2013-03-04,2013-02-15,DLX
0.25,2012-10-23,CD,2012-11-15,4,2012-12-03,2012-11-19,DLX
0.25,2012-08-02,CD,2012-08-16,4,2012-09-04,2012-08-20,DLX
0.25,2012-05-02,CD,2012-05-17,4,2012-06-04,2012-05-21,DLX
0.25,2012-01-27,CD,2012-02-15,4,2012-03-05,2012-02-20,DLX
0.25,2011-10-28,CD,2011-11-17,4,2011-12-05,2011-11-21,DLX
0.25,2011-08-04,CD,2011-08-18,4,2011-09-06,2011-08-22,DLX
0.25,2011-04-29,CD,2011-05-19,4,2011-06-06,2011-05-23,DLX
0.25,2011-01-28,CD,2011-02-16,4,2011-03-07,2011-02-21,DLX
0.25,2010-10-29,CD,2010-11-10,4,2010-12-06,2010-11-15,DLX
0.25,2010-08-03,CD,2010-08-12,4,2010-09-07,2010-08-16,DLX
0.25,2010-04-29,CD,2010-05-13,4,2010-06-07,2010-05-17,DLX
0.25,2010-01-29,CD,2010-02-10,4,2010-03-01,2010-02-15,DLX
0.25,2009-10-23,CD,2009-11-12,4,2009-12-07,2009-11-16,DLX
0.25,2009-08-07,CD,2009-08-13,4,2009-09-08,2009-08-17,DLX
0.25,2009-04-30,CD,2009-05-14,4,2009-06-01,2009-05-18,DLX
0.25,2009-01-23,CD,2009-02-11,4,2009-03-02,2009-02-16,DLX
0.25,2008-10-24,CD,2008-11-13,4,2008-12-01,2008-11-17,DLX
0.25,2008-08-07,CD,2008-08-14,4,2008-09-02,2008-08-18,DLX
0.25,2008-05-14,CD,2008-05-15,4,2008-06-02,2008-05-19,DLX
0.25,2008-02-12,CD,2008-02-13,4,2008-03-03,2008-02-18,DLX
0.25,2007-10-25,CD,2007-11-15,4,2007-12-03,2007-11-19,DLX
0.25,2007-08-08,CD,2007-08-16,4,2007-09-04,2007-08-20,DLX
0.25,2007-04-24,CD,2007-05-17,4,2007-06-04,2007-05-21,DLX
0.25,2007-01-25,CD,2007-02-15,4,2007-03-05,2007-02-20,DLX
0.25,2006-10-26,CD,2006-11-16,4,2006-12-04,2006-11-20,DLX
0.25,2006-07-27,CD,2006-08-17,4,2006-09-05,2006-08-21,DLX
0.4,2006-04-26,CD,2006-05-18,4,2006-06-05,2006-05-22,DLX
0.4,2006-01-24,CD,2006-02-16,4,2006-03-06,2006-02-21,DLX
0.4,2005-10-27,CD,2005-11-17,4,2005-12-05,2005-11-21,DLX
0.4,2005-08-12,CD,2005-08-18,4,2005-09-06,2005-08-22,DLX
0.4,2005-04-29,CD,2005-05-19,4,2005-06-06,2005-05-23,DLX
0.4,2005-01-28,CD,2005-02-17,4,2005-03-07,2005-02-22,DLX
0.37,2004-10-27,CD,2004-11-18,4,2004-12-06,2004-11-22,DLX
0.37,2004-08-10,CD,2004-08-19,4,2004-09-07,2004-08-23,DLX
0.37,2004-05-04,CD,2004-05-20,4,2004-06-07,2004-05-24,DLX
0.37,2004-01-23,CD,2004-02-12,4,2004-03-01,2004-02-17,DLX
0.37,2003-10-28,CD,2003-11-13,4,2003-12-01,2003-11-17,DLX
0.37,2003-08-06,CD,2003-08-14,4,2003-09-02,2003-08-18,DLX
0.37,2003-04-29,CD,2003-05-15,4,2003-06-02,2003-05-19,DLX
0.37,2003-01-28,CD,2003-02-13,4,2003-03-03,2003-02-18,DLX
0.37,2002-10-22,CD,2002-11-14,4,2002-12-02,2002-11-18,DLX
0.37,2002-08-05,CD,2002-08-15,4,2002-09-03,2002-08-19,DLX
0.37,2002-05-07,CD,2002-05-16,4,2002-06-03,2002-05-20,DLX
0.37,2002-01-25,CD,2002-02-14,4,2002-03-04,2002-02-19,DLX
0.37,2001-10-26,CD,2001-11-15,4,2001-12-03,2001-11-19,DLX
0.37,2001-08-03,CD,2001-08-16,4,2001-09-04,2001-08-20,DLX
0.37,2001-05-08,CD,2001-05-17,4,2001-06-04,2001-05-21,DLX
0.37,2001-01-26,CD,2001-02-15,4,2001-03-15,2001-02-20,DLX
0.37,2000-10-26,CD,2000-11-16,4,2000-12-04,2000-11-20,DLX
0.37,2000-08-04,CD,2000-08-17,4,2000-09-05,2000-08-21,DLX
0.37,2000-05-09,CD,2000-05-18,4,2000-06-05,2000-05-22,DLX
0.37,2000-01-28,CD,2000-02-17,4,2000-03-06,2000-02-22,DLX
0.37,1999-10-29,CD,1999-11-18,4,1999-12-06,1999-11-22,DLX
0.37,1999-08-06,CD,1999-08-19,4,1999-09-07,1999-08-23,DLX
0.37,1999-05-04,CD,1999-05-13,4,1999-06-07,1999-05-17,DLX
0.37,1999-01-29,CD,1999-02-11,4,1999-03-01,1999-02-16,DLX
0.37,1998-10-30,CD,1998-11-19,4,1998-12-07,1998-11-23,DLX
0.37,1998-08-07,CD,1998-08-20,4,1998-09-08,1998-08-24,DLX
0.37,1998-05-05,CD,1998-05-14,4,1998-06-01,1998-05-18,DLX
0.37,1998-01-30,CD,1998-02-12,4,1998-03-02,1998-02-17,DLX
0.37,1997-10-31,CD,1997-11-13,4,1997-12-01,1997-11-17,DLX
