cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.28,2022-04-27,CD,2022-05-13,4,2022-05-31,2022-05-16,DRE
0.28,2022-01-26,CD,2022-02-15,4,2022-02-28,2022-02-16,DRE
0.28,2021-10-27,CD,2021-11-15,4,2021-11-30,2021-11-16,DRE
0.255,2021-07-28,CD,2021-08-13,4,2021-08-31,2021-08-16,DRE
0.255,2021-04-28,CD,2021-05-13,4,2021-06-01,2021-05-14,DRE
0.255,2021-01-27,CD,2021-02-12,4,2021-02-26,2021-02-16,DRE
0.255,2020-10-28,CD,2020-11-13,4,2020-11-30,2020-11-16,DRE
0.235,2020-07-29,CD,2020-08-13,4,2020-08-31,2020-08-14,DRE
0.235,2020-04-29,CD,2020-05-13,4,2020-05-29,2020-05-14,DRE
0.235,2020-01-29,CD,2020-02-13,4,2020-02-28,2020-02-14,DRE
0.235,2019-10-30,CD,2019-11-13,4,2019-11-29,2019-11-14,DRE
0.215,2019-07-31,CD,2019-08-14,4,2019-08-30,2019-08-15,DRE
0.215,2019-04-24,CD,2019-05-15,4,2019-05-31,2019-05-16,DRE
0.215,2019-01-30,CD,2019-02-13,4,2019-02-28,2019-02-14,DRE
0.215,2018-10-25,CD,2018-11-14,4,2018-11-30,2018-11-15,DRE
0.2,2018-07-25,CD,2018-08-15,4,2018-08-31,2018-08-16,DRE
0.2,2018-04-25,CD,2018-05-15,4,2018-05-31,2018-05-16,DRE
0.2,2018-01-31,CD,2018-02-14,4,2018-02-28,2018-02-15,DRE
0.85,2017-11-22,SC,2017-11-30,0,2017-12-12,2017-12-01,DRE
0.2,2017-10-25,CD,2017-11-15,4,2017-11-30,2017-11-16,DRE
0.19,2017-07-26,CD,2017-08-14,4,2017-08-31,2017-08-16,DRE
0.19,2017-04-26,CD,2017-05-12,4,2017-05-31,2017-05-16,DRE
0.19,2017-01-25,CD,2017-02-14,4,2017-02-28,2017-02-16,DRE
0.19,2016-10-27,CD,2016-11-14,4,2016-11-30,2016-11-16,DRE
0.18,2016-07-28,CD,2016-08-12,4,2016-08-31,2016-08-16,DRE
0.18,2016-04-28,CD,2016-05-12,4,2016-05-31,2016-05-16,DRE
0.18,2016-01-27,CD,2016-02-11,4,2016-02-29,2016-02-16,DRE
0.2,2015-10-28,SC,2015-11-12,0,2015-12-15,2015-11-16,DRE
0.18,2015-10-28,CD,2015-11-12,4,2015-11-30,2015-11-16,DRE
0.17,2015-07-29,CD,2015-08-12,4,2015-08-31,2015-08-14,DRE
0.17,2015-04-29,CD,2015-05-12,4,2015-05-29,2015-05-14,DRE
0.17,2015-01-28,CD,2015-02-12,4,2015-02-27,2015-02-17,DRE
0.17,2014-10-29,CD,2014-11-12,4,2014-11-28,2014-11-14,DRE
0.17,2014-07-30,CD,2014-08-12,4,2014-08-29,2014-08-14,DRE
0.17,2014-04-30,CD,2014-05-13,4,2014-05-30,2014-05-15,DRE
0.17,2014-01-29,CD,2014-02-12,4,2014-02-28,2014-02-14,DRE
0.17,2013-10-30,CD,2013-11-12,4,2013-11-29,2013-11-14,DRE
0.17,2013-07-31,CD,2013-08-13,4,2013-08-30,2013-08-15,DRE
0.17,2013-04-24,CD,2013-05-14,4,2013-05-31,2013-05-16,DRE
0.17,2013-01-30,CD,2013-02-11,4,2013-02-28,2013-02-13,DRE
0.17,2012-10-31,CD,2012-11-09,4,2012-11-30,2012-11-14,DRE
0.17,2012-07-26,CD,2012-08-13,4,2012-08-31,2012-08-15,DRE
0.17,2012-04-26,CD,2012-05-14,4,2012-05-31,2012-05-16,DRE
0.17,2012-01-27,CD,2012-02-13,4,2012-02-29,2012-02-15,DRE
0.17,2011-10-27,CD,2011-11-14,4,2011-11-30,2011-11-16,DRE
0.17,2011-07-29,CD,2011-08-15,4,2011-08-31,2011-08-17,DRE
0.17,2011-04-28,CD,2011-05-13,4,2011-05-31,2011-05-17,DRE
0.17,2011-01-27,CD,2011-02-10,4,2011-02-28,2011-02-14,DRE
0.17,2010-10-28,CD,2010-11-12,4,2010-11-30,2010-11-16,DRE
0.17,2010-07-29,CD,2010-08-13,4,2010-08-31,2010-08-17,DRE
0.17,2010-04-29,CD,2010-05-13,4,2010-05-31,2010-05-17,DRE
0.17,2010-01-28,CD,2010-02-10,4,2010-02-26,2010-02-12,DRE
0.17,2009-10-30,CD,2009-11-10,4,2009-11-30,2009-11-13,DRE
0.17,2009-07-30,CD,2009-08-12,4,2009-08-31,2009-08-14,DRE
0.17,2009-04-30,CD,2009-05-12,4,2009-05-29,2009-05-14,DRE
0.25,2009-01-29,CD,2009-02-11,4,2009-02-27,2009-02-13,DRE
0.485,2008-10-30,CD,2008-11-12,4,2008-11-29,2008-11-14,DRE
0.485,2008-07-31,CD,2008-08-12,4,2008-08-29,2008-08-14,DRE
0.48,2008-04-30,CD,2008-05-12,4,2008-05-30,2008-05-14,DRE
0.48,2008-01-30,CD,2008-02-12,4,2008-02-29,2008-02-14,DRE
0.48,2007-10-31,CD,2007-11-09,4,2007-11-30,2007-11-14,DRE
0.48,2007-07-25,CD,2007-08-10,4,2007-08-31,2007-08-14,DRE
0.475,2007-04-25,CD,2007-05-10,4,2007-05-31,2007-05-14,DRE
0.475,2007-01-31,CD,2007-02-12,4,2007-02-28,2007-02-14,DRE
0.475,2006-10-25,CD,2006-11-10,4,2006-11-30,2006-11-14,DRE
0.475,2006-07-26,CD,2006-08-10,4,2006-08-31,2006-08-14,DRE
0.47,2006-04-26,CD,2006-05-10,4,2006-05-31,2006-05-12,DRE
0.47,2006-01-25,CD,2006-02-10,4,2006-02-28,2006-02-14,DRE
1.05,2005-10-31,SC,2005-11-09,0,2005-12-15,2005-11-14,DRE
0.47,2005-10-27,CD,2005-11-09,4,2005-11-30,2005-11-14,DRE
0.47,2005-07-28,CD,2005-08-10,4,2005-08-31,2005-08-12,DRE
0.465,2005-04-27,CD,2005-05-10,4,2005-05-31,2005-05-12,DRE
0.465,2004-12-30,CD,2005-02-10,4,2005-02-28,2005-02-14,DRE
0.465,2004-10-28,CD,2004-11-09,4,2004-11-30,2004-11-12,DRE
0.465,2004-07-28,CD,2004-08-11,4,2004-08-31,2004-08-13,DRE
0.46,2004-04-28,CD,2004-05-12,4,2004-05-28,2004-05-14,DRE
0.46,2004-01-01,CD,2004-02-10,4,2004-02-27,2004-02-12,DRE
0.46,2003-10-29,CD,2003-11-12,4,2003-11-28,2003-11-14,DRE
0.46,2003-07-30,CD,2003-08-12,4,2003-08-29,2003-08-14,DRE
0.455,2003-05-01,CD,2003-05-12,4,2003-05-30,2003-05-14,DRE
0.455,2003-02-04,CD,2003-02-12,4,2003-02-28,2003-02-14,DRE
0.455,2002-10-30,CD,2002-11-12,4,2002-11-29,2002-11-14,DRE
0.455,2002-07-31,CD,2002-08-12,4,2002-08-30,2002-08-14,DRE
0.45,2002-04-24,CD,2002-05-10,4,2002-05-31,2002-05-14,DRE
0.45,2001-12-28,CD,2002-02-08,4,2002-02-28,2002-02-12,DRE
0.45,2001-10-31,CD,2001-11-09,4,2001-11-30,2001-11-14,DRE
0.45,2001-07-25,CD,2001-08-14,4,2001-08-31,2001-08-16,DRE
0.43,2001-04-25,CD,2001-05-11,4,2001-05-31,2001-05-15,DRE
0.43,2001-01-03,CD,2001-02-12,4,2001-02-28,2001-02-14,DRE
0.43,2000-10-25,CD,2000-11-10,4,2000-11-30,2000-11-14,DRE
0.43,2000-07-26,CD,2000-08-14,4,2000-08-31,2000-08-16,DRE
0.39,2000-04-26,CD,2000-05-11,4,2000-05-31,2000-05-15,DRE
0.39,2000-01-26,CD,2000-02-09,4,2000-02-29,2000-02-11,DRE
0.39,1999-10-27,CD,1999-11-17,4,1999-11-30,1999-11-19,DRE
