cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.79,2022-07-21,CD,2022-08-16,4,2022-09-15,2022-08-17,ED
0.79,2022-04-21,CD,2022-05-17,4,2022-06-15,2022-05-18,ED
0.79,2022-01-20,CD,2022-02-15,4,2022-03-15,2022-02-16,ED
0.775,2021-10-21,CD,2021-11-16,4,2021-12-15,2021-11-17,ED
0.775,2021-07-15,CD,2021-08-17,4,2021-09-15,2021-08-18,ED
0.775,2021-04-15,CD,2021-05-18,4,2021-06-15,2021-05-19,ED
0.775,2021-01-21,CD,2021-02-16,4,2021-03-15,2021-02-17,ED
0.765,2020-10-22,CD,2020-11-17,4,2020-12-15,2020-11-18,ED
0.765,2020-07-16,CD,2020-08-18,4,2020-09-15,2020-08-19,ED
0.765,2020-04-16,CD,2020-05-12,4,2020-06-15,2020-05-13,ED
0.765,2020-01-16,CD,2020-02-18,4,2020-03-16,2020-02-19,ED
0.74,2019-10-17,CD,2019-11-12,4,2019-12-16,2019-11-13,ED
0.74,2019-07-18,CD,2019-08-13,4,2019-09-16,2019-08-14,ED
0.74,2019-04-18,CD,2019-05-14,4,2019-06-17,2019-05-15,ED
0.74,2019-01-17,CD,2019-02-12,4,2019-03-15,2019-02-13,ED
0.715,2018-10-18,CD,2018-11-13,4,2018-12-17,2018-11-14,ED
0.715,2018-07-19,CD,2018-08-14,4,2018-09-17,2018-08-15,ED
0.715,2018-04-19,CD,2018-05-15,4,2018-06-15,2018-05-16,ED
0.715,2018-01-19,CD,2018-02-13,4,2018-03-15,2018-02-14,ED
0.69,2017-10-19,CD,2017-11-14,4,2017-12-15,2017-11-15,ED
0.69,2017-07-20,CD,2017-08-14,4,2017-09-15,2017-08-16,ED
0.69,2017-04-20,CD,2017-05-15,4,2017-06-15,2017-05-17,ED
0.69,2017-01-19,CD,2017-02-13,4,2017-03-15,2017-02-15,ED
0.67,2016-10-21,CD,2016-11-14,4,2016-12-15,2016-11-16,ED
0.67,2016-07-22,CD,2016-08-15,4,2016-09-15,2016-08-17,ED
0.67,2016-04-21,CD,2016-05-16,4,2016-06-15,2016-05-18,ED
0.67,2016-01-21,CD,2016-02-12,4,2016-03-15,2016-02-17,ED
0.65,2015-10-22,CD,2015-11-16,4,2015-12-15,2015-11-18,ED
