cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.15,2022-08-03,CD,2022-08-30,12,2022-09-26,2022-08-31,EFC
0.15,2022-07-07,CD,2022-07-28,12,2022-08-25,2022-07-29,EFC
0.15,2022-06-07,CD,2022-06-29,12,2022-07-25,2022-06-30,EFC
0.15,2022-05-02,CD,2022-05-27,12,2022-06-27,2022-05-31,EFC
0.15,2022-04-07,CD,2022-04-28,12,2022-05-25,2022-04-29,EFC
0.15,2022-03-07,CD,2022-03-30,12,2022-04-25,2022-03-31,EFC
0.15,2022-02-04,CD,2022-02-25,12,2022-03-25,2022-02-28,EFC
0.15,2022-01-06,CD,2022-01-28,12,2022-02-25,2022-01-31,EFC
0.15,2021-12-07,CD,2021-12-29,12,2022-01-25,2021-12-30,EFC
0.15,2021-11-05,CD,2021-11-29,12,2021-12-27,2021-11-30,EFC
0.15,2021-10-07,CD,2021-10-28,12,2021-11-26,2021-10-29,EFC
0.15,2021-09-08,CD,2021-09-29,12,2021-10-25,2021-09-30,EFC
0.15,2021-08-04,CD,2021-08-30,12,2021-09-27,2021-08-31,EFC
0.15,2021-07-09,CD,2021-07-29,12,2021-08-25,2021-07-30,EFC
0.15,2021-06-08,CD,2021-06-29,12,2021-07-26,2021-06-30,EFC
0.15,2021-05-08,CD,2021-05-27,12,2021-06-25,2021-05-28,EFC
0.14,2021-04-05,CD,2021-04-29,12,2021-05-25,2021-04-30,EFC
0.1,2021-03-05,CD,2021-03-30,12,2021-04-26,2021-03-31,EFC
0.1,2021-02-09,CD,2021-02-25,12,2021-03-25,2021-02-26,EFC
0.1,2021-01-08,CD,2021-01-28,12,2021-02-25,2021-01-29,EFC
0.1,2020-12-07,CD,2020-12-30,12,2021-01-25,2020-12-31,EFC
0.1,2020-11-02,CD,2020-11-27,12,2020-12-28,2020-11-30,EFC
0.09,2020-10-08,CD,2020-10-29,12,2020-11-25,2020-10-30,EFC
