cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.39,2022-05-05,CD,2022-05-24,4,2022-06-15,2022-05-25,EFX
0.39,2022-02-04,CD,2022-02-18,4,2022-03-15,2022-02-22,EFX
0.39,2021-11-04,CD,2021-11-23,4,2021-12-15,2021-11-24,EFX
0.39,2021-08-26,CD,2021-09-03,4,2021-09-17,2021-09-07,EFX
0.39,2021-05-07,CD,2021-05-24,4,2021-06-15,2021-05-25,EFX
0.39,2021-02-04,CD,2021-02-19,4,2021-03-15,2021-02-22,EFX
0.39,2020-11-05,CD,2020-11-23,4,2020-12-15,2020-11-24,EFX
0.39,2020-07-20,CD,2020-08-24,4,2020-09-15,2020-08-25,EFX
0.39,2020-05-07,CD,2020-05-21,4,2020-06-12,2020-05-22,EFX
0.39,2020-02-20,CD,2020-03-03,4,2020-03-13,2020-03-04,EFX
0.39,2019-11-07,CD,2019-11-21,4,2019-12-13,2019-11-22,EFX
0.39,2019-08-09,CD,2019-08-22,4,2019-09-13,2019-08-23,EFX
0.39,2019-05-10,CD,2019-05-23,4,2019-06-14,2019-05-24,EFX
0.39,2019-02-20,CD,2019-03-11,4,2019-03-29,2019-03-12,EFX
0.39,2018-11-09,CD,2018-11-21,4,2018-12-14,2018-11-23,EFX
0.39,2018-08-07,CD,2018-08-23,4,2018-09-14,2018-08-24,EFX
0.39,2018-05-04,CD,2018-05-24,4,2018-06-15,2018-05-25,EFX
0.39,2018-03-01,CD,2018-03-09,4,2018-03-30,2018-03-12,EFX
0.39,2017-11-09,CD,2017-11-22,4,2017-12-15,2017-11-24,EFX
0.39,2017-08-04,CD,2017-08-23,4,2017-09-15,2017-08-25,EFX
0.39,2017-05-04,CD,2017-05-23,4,2017-06-15,2017-05-25,EFX
0.39,2017-02-08,CD,2017-03-01,4,2017-03-15,2017-03-03,EFX
0.33,2016-11-03,CD,2016-11-21,4,2016-12-15,2016-11-23,EFX
0.33,2016-08-05,CD,2016-08-17,4,2016-09-15,2016-08-19,EFX
0.33,2016-05-05,CD,2016-05-23,4,2016-06-15,2016-05-25,EFX
0.33,2016-02-10,CD,2016-03-01,4,2016-03-15,2016-03-03,EFX
0.29,2015-11-05,CD,2015-11-19,4,2015-12-15,2015-11-23,EFX
0.29,2015-08-11,CD,2015-08-19,4,2015-09-15,2015-08-21,EFX
0.29,2015-05-01,CD,2015-05-20,4,2015-06-15,2015-05-22,EFX
0.29,2015-02-11,CD,2015-03-02,4,2015-03-13,2015-03-04,EFX
0.25,2014-11-06,CD,2014-11-20,4,2014-12-15,2014-11-24,EFX
0.25,2014-08-08,CD,2014-08-20,4,2014-09-15,2014-08-22,EFX
0.25,2014-05-02,CD,2014-05-21,4,2014-06-13,2014-05-23,EFX
0.25,2014-02-13,CD,2014-02-21,4,2014-03-14,2014-02-25,EFX
0.22,2013-11-14,CD,2013-11-21,4,2013-12-13,2013-11-25,EFX
0.22,2013-08-01,CD,2013-08-21,4,2013-09-13,2013-08-23,EFX
0.22,2013-05-02,CD,2013-05-22,4,2013-06-14,2013-05-24,EFX
0.22,2013-02-06,CD,2013-02-20,4,2013-03-15,2013-02-22,EFX
0.18,2012-11-08,CD,2012-11-20,4,2012-12-14,2012-11-23,EFX
0.18,2012-08-20,CD,2012-08-28,4,2012-09-14,2012-08-30,EFX
0.18,2012-05-04,CD,2012-05-23,4,2012-06-15,2012-05-25,EFX
0.18,2012-02-11,CD,2012-02-21,4,2012-03-15,2012-02-23,EFX
0.16,2011-11-04,CD,2011-11-21,4,2011-12-15,2011-11-24,EFX
0.16,2011-08-16,CD,2011-08-23,4,2011-09-15,2011-08-25,EFX
0.16,2011-05-06,CD,2011-05-23,4,2011-06-15,2011-05-25,EFX
0.16,2011-02-12,CD,2011-02-17,4,2011-03-15,2011-02-22,EFX
0.16,2010-11-09,CD,2010-11-22,4,2010-12-15,2010-11-24,EFX
0.04,2010-08-18,CD,2010-08-23,4,2010-09-15,2010-08-25,EFX
0.04,2010-05-08,CD,2010-05-21,4,2010-06-15,2010-05-25,EFX
0.04,2010-02-08,CD,2010-02-18,4,2010-03-15,2010-02-22,EFX
0.04,2009-11-09,CD,2009-11-20,4,2009-12-15,2009-11-24,EFX
0.04,2009-08-17,CD,2009-08-21,4,2009-09-15,2009-08-25,EFX
0.04,2009-05-11,CD,2009-05-21,4,2009-06-15,2009-05-26,EFX
0.04,2009-02-09,CD,2009-02-18,4,2009-03-13,2009-02-20,EFX
0.04,2008-11-06,CD,2008-11-20,4,2008-12-15,2008-11-24,EFX
0.04,2008-08-12,CD,2008-08-21,4,2008-09-15,2008-08-25,EFX
0.04,2008-05-09,CD,2008-05-21,4,2008-06-13,2008-05-23,EFX
0.04,2008-02-08,CD,2008-02-20,4,2008-03-14,2008-02-22,EFX
0.04,2007-11-07,CD,2007-11-20,4,2007-12-14,2007-11-23,EFX
0.04,2007-08-08,CD,2007-08-22,4,2007-09-14,2007-08-24,EFX
0.04,2007-05-04,CD,2007-05-10,4,2007-06-15,2007-05-14,EFX
0.04,2007-02-07,CD,2007-02-20,4,2007-03-15,2007-02-22,EFX
0.04,2006-11-08,CD,2006-11-21,4,2006-12-15,2006-11-24,EFX
0.04,2006-08-16,CD,2006-08-23,4,2006-09-15,2006-08-25,EFX
0.04,2006-05-17,CD,2006-05-23,4,2006-06-15,2006-05-25,EFX
0.04,2006-02-24,CD,2006-02-27,4,2006-03-15,2006-03-01,EFX
