cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.01,2020-05-12,CD,2020-05-26,4,2020-06-17,2020-05-27,ELY
0.01,2020-01-30,CD,2020-02-12,4,2020-03-05,2020-02-13,ELY
0.01,2019-11-22,CD,2019-12-03,4,2019-12-19,2019-12-04,ELY
0.01,2019-07-31,CD,2019-08-12,4,2019-09-04,2019-08-13,ELY
0.01,2019-05-07,CD,2019-05-20,4,2019-06-11,2019-05-21,ELY
0.01,2019-02-04,CD,2019-02-13,4,2019-03-07,2019-02-14,ELY
0.01,2018-11-07,CD,2018-11-20,4,2018-12-12,2018-11-21,ELY
0.01,2018-08-01,CD,2018-08-10,4,2018-09-04,2018-08-13,ELY
0.01,2018-05-09,CD,2018-05-21,4,2018-06-12,2018-05-22,ELY
0.01,2018-01-01,CD,2018-02-13,4,2018-03-07,2018-02-14,ELY
0.01,2017-11-09,CD,2017-11-21,4,2017-12-13,2017-11-22,ELY
0.01,2017-07-31,CD,2017-08-18,4,2017-09-12,2017-08-22,ELY
0.01,2017-05-02,CD,2017-05-19,4,2017-06-13,2017-05-23,ELY
0.01,2017-02-06,CD,2017-02-23,4,2017-03-20,2017-02-27,ELY
0.01,2016-11-16,CD,2016-11-28,4,2016-12-21,2016-11-30,ELY
0.01,2016-08-11,CD,2016-08-23,4,2016-09-15,2016-08-25,ELY
0.01,2016-05-11,CD,2016-05-23,4,2016-06-15,2016-05-25,ELY
0.01,2016-02-03,CD,2016-02-19,4,2016-03-15,2016-02-23,ELY
0.01,2015-11-04,CD,2015-11-20,4,2015-12-15,2015-11-24,ELY
0.01,2015-08-04,CD,2015-08-19,4,2015-09-11,2015-08-21,ELY
0.01,2015-05-12,CD,2015-05-21,4,2015-06-16,2015-05-26,ELY
0.01,2015-02-25,CD,2015-03-06,4,2001-03-31,2015-03-10,ELY
0.01,2014-11-04,CD,2014-11-20,4,2014-12-15,2014-11-24,ELY
0.01,2014-08-05,CD,2014-08-20,4,2014-09-12,2014-08-22,ELY
0.01,2014-05-13,CD,2014-05-30,4,2014-06-24,2014-06-03,ELY
0.01,2014-01-28,CD,2014-02-13,4,2014-03-11,2014-02-18,ELY
0.01,2013-10-22,CD,2013-11-19,4,2013-12-16,2013-11-21,ELY
0.01,2013-07-24,CD,2013-08-19,4,2013-09-16,2013-08-21,ELY
0.01,2013-04-24,CD,2013-05-17,4,2013-06-17,2013-05-21,ELY
0.01,2013-01-30,CD,2013-02-20,4,2013-03-15,2013-02-22,ELY
0.01,2012-10-25,CD,2012-11-19,4,2012-12-17,2012-11-21,ELY
0.01,2012-07-26,CD,2012-08-16,4,2012-09-17,2012-08-20,ELY
0.01,2012-04-26,CD,2012-05-16,4,2012-06-15,2012-05-18,ELY
0.01,2012-01-24,CD,2012-02-15,4,2012-03-15,2012-02-17,ELY
0.01,2011-10-26,CD,2011-11-16,4,2011-12-15,2011-11-18,ELY
0.01,2011-07-22,CD,2011-08-16,4,2011-09-15,2011-08-18,ELY
0.01,2011-04-28,CD,2011-05-18,4,2011-06-15,2011-05-20,ELY
0.01,2011-01-25,CD,2011-02-16,4,2011-03-15,2011-02-18,ELY
0.01,2010-10-26,CD,2010-11-17,4,2010-12-15,2010-11-19,ELY
0.01,2010-07-24,CD,2010-08-16,4,2010-09-15,2010-08-18,ELY
0.01,2010-04-30,CD,2010-05-19,4,2010-06-15,2010-05-21,ELY
0.01,2010-01-26,CD,2010-02-17,4,2010-03-15,2010-02-19,ELY
0.01,2009-10-28,CD,2009-11-18,4,2009-12-15,2009-11-20,ELY
0.01,2009-07-28,CD,2009-08-21,4,2009-09-15,2009-08-25,ELY
0.01,2009-06-09,CD,2009-06-24,4,2009-07-15,2009-06-26,ELY
0.07,2009-04-02,CD,2009-04-13,4,2009-04-29,2009-04-15,ELY
0.07,2008-11-19,CD,2008-12-01,4,2008-12-17,2008-12-03,ELY
0.07,2008-09-04,CD,2008-09-16,4,2008-10-02,2008-09-18,ELY
0.07,2008-05-19,CD,2008-06-09,4,2008-07-03,2008-06-11,ELY
0.07,2008-02-21,CD,2008-03-11,4,2008-04-03,2008-03-13,ELY
0.07,2007-11-29,CD,2007-12-06,4,2007-12-20,2007-12-10,ELY
0.07,2007-08-23,CD,2007-09-04,4,2007-09-20,2007-09-06,ELY
0.07,2007-06-05,CD,2007-06-14,4,2007-07-05,2007-06-18,ELY
0.07,2007-03-08,CD,2007-03-20,4,2007-04-05,2007-03-22,ELY
0.07,2006-11-20,CD,2006-11-29,4,2006-12-18,2006-12-01,ELY
0.07,2006-08-24,CD,2006-09-11,4,2006-10-04,2006-09-13,ELY
0.07,2006-06-05,CD,2006-06-15,4,2006-07-06,2006-06-19,ELY
0.07,2006-03-09,CD,2006-03-21,4,2006-04-06,2006-03-23,ELY
0.07,2005-11-23,CD,2005-12-02,4,2005-12-21,2005-12-06,ELY
0.07,2005-08-24,CD,2005-09-02,4,2005-09-28,2005-09-07,ELY
0.07,2005-05-24,CD,2005-06-13,4,2005-07-06,2005-06-15,ELY
0.07,2005-03-03,CD,2005-03-15,4,2005-04-07,2005-03-17,ELY
0.07,2004-11-23,CD,2004-12-02,4,2004-12-27,2004-12-06,ELY
0.07,2004-08-25,CD,2004-09-03,4,2004-09-29,2004-09-08,ELY
0.07,2004-05-25,CD,2004-06-09,4,2004-07-02,2004-06-11,ELY
0.07,2004-02-19,CD,2004-03-10,4,2004-04-02,2004-03-12,ELY
