cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
2.2,2022-05-11,CD,2022-06-29,4,2022-07-15,2022-06-30,ESS
2.2,2022-02-24,CD,2022-03-30,4,2022-04-14,2022-03-31,ESS
2.09,2021-12-10,CD,2021-12-31,4,2022-01-14,2022-01-03,ESS
2.09,2021-09-10,CD,2021-09-29,4,2021-10-15,2021-09-30,ESS
2.09,2021-05-11,CD,2021-06-29,4,2021-07-15,2021-06-30,ESS
2.09,2021-02-22,CD,2021-03-30,4,2021-04-15,2021-03-31,ESS
2.0775,2020-12-08,CD,2020-12-31,4,2021-01-15,2021-01-04,ESS
2.0775,2020-09-02,CD,2020-09-29,4,2020-10-15,2020-09-30,ESS
2.0775,2020-05-14,CD,2020-06-29,4,2020-07-15,2020-06-30,ESS
2.0775,2020-02-21,CD,2020-03-30,4,2020-04-15,2020-03-31,ESS
1.95,2019-12-16,CD,2019-12-31,4,2020-01-15,2020-01-02,ESS
1.95,2019-09-06,CD,2019-09-27,4,2019-10-15,2019-09-30,ESS
1.95,2019-05-15,CD,2019-06-27,4,2019-07-12,2019-06-28,ESS
1.95,2019-02-21,CD,2019-03-28,4,2019-04-12,2019-03-29,ESS
1.86,2018-12-14,CD,2018-12-31,4,2019-01-15,2019-01-02,ESS
1.86,2018-09-18,CD,2018-09-27,4,2018-10-12,2018-09-28,ESS
1.86,2018-05-21,CD,2018-06-28,4,2018-07-13,2018-06-29,ESS
1.86,2018-02-21,CD,2018-03-28,4,2018-04-16,2018-03-29,ESS
1.75,2017-12-13,CD,2017-12-28,4,2018-01-16,2017-12-29,ESS
1.75,2017-09-19,CD,2017-09-28,4,2017-10-16,2017-09-29,ESS
1.75,2017-05-18,CD,2017-06-28,4,2017-07-14,2017-06-30,ESS
1.75,2017-02-22,CD,2017-03-29,4,2017-04-17,2017-03-31,ESS
1.6,2016-12-16,CD,2016-12-28,4,2017-01-17,2016-12-30,ESS
1.6,2016-09-21,CD,2016-09-28,4,2016-10-14,2016-09-30,ESS
1.6,2016-05-23,CD,2016-06-28,4,2016-07-15,2016-06-30,ESS
1.6,2016-02-18,CD,2016-03-29,4,2016-04-15,2016-03-31,ESS
1.44,2015-12-16,CD,2015-12-30,4,2016-01-15,2016-01-04,ESS
1.44,2015-09-16,CD,2015-09-28,4,2015-10-15,2015-09-30,ESS
1.44,2015-05-26,CD,2015-06-26,4,2015-07-15,2015-06-30,ESS
1.44,2015-02-25,CD,2015-03-27,4,2015-04-15,2015-03-31,ESS
1.3,2014-12-19,CD,2014-12-30,4,2015-01-15,2015-01-02,ESS
1.3,2014-09-10,CD,2014-09-26,4,2014-10-15,2014-09-30,ESS
1.3,2014-06-11,CD,2014-06-26,4,2014-07-15,2014-06-30,ESS
