cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.23,2022-07-26,CD,2022-08-05,4,2022-08-19,2022-08-08,ET
0.2,2022-04-25,CD,2022-05-06,4,2022-05-19,2022-05-09,ET
0.175,2022-01-25,CD,2022-02-07,4,2022-02-18,2022-02-08,ET
0.1525,2021-10-26,CD,2021-11-04,4,2021-11-19,2021-11-05,ET
0.1525,2021-07-22,CD,2021-08-05,4,2021-08-19,2021-08-06,ET
0.1525,2021-04-23,CD,2021-05-10,4,2021-05-19,2021-05-11,ET
0.1525,2021-01-29,CD,2021-02-05,4,2021-02-19,2021-02-08,ET
0.1525,2020-10-26,CD,2020-11-05,4,2020-11-19,2020-11-06,ET
0.305,2020-07-28,CD,2020-08-06,4,2020-08-19,2020-08-07,ET
0.305,2020-03-31,CD,2020-05-06,4,2020-05-19,2020-05-07,ET
0.305,2020-01-27,CD,2020-02-06,4,2020-02-19,2020-02-07,ET
0.305,2019-10-24,CD,2019-11-04,4,2019-11-19,2019-11-05,ET
0.305,2019-07-25,CD,2019-08-05,4,2019-08-19,2019-08-06,ET
0.305,2019-04-25,CD,2019-05-06,4,2019-05-20,2019-05-07,ET
0.305,2019-01-29,CD,2019-02-07,4,2019-02-19,2019-02-08,ET
0.305,2018-10-29,CD,2018-11-07,4,2018-11-19,2018-11-08,ET
0.305,2018-07-26,CD,2018-08-03,4,2018-08-20,2018-08-06,ET
0.305,2018-04-26,CD,2018-05-04,4,2018-05-21,2018-05-07,ET
0.305,2018-01-29,CD,2018-02-07,4,2018-02-20,2018-02-08,ET
0.295,2017-10-27,CD,2017-11-06,4,2017-11-20,2017-11-07,ET
0.285,2017-07-28,CD,2017-08-03,4,2017-08-21,2017-08-07,ET
0.285,2017-04-28,CD,2017-05-08,4,2017-05-19,2017-05-10,ET
0.285,2017-01-27,CD,2017-02-03,4,2017-02-20,2017-02-07,ET
0.285,2016-10-27,CD,2016-11-03,4,2016-11-18,2016-11-07,ET
0.285,2016-07-28,CD,2016-08-04,4,2016-08-19,2016-08-08,ET
0.285,2016-04-26,CD,2016-05-04,4,2016-05-19,2016-05-06,ET
0.285,2016-01-27,CD,2016-02-04,4,2016-02-19,2016-02-08,ET
0.285,2015-10-27,CD,2015-11-03,4,2015-11-19,2015-11-05,ET
0.265,2015-07-24,CD,2015-08-04,4,2015-08-19,2015-08-06,ET
0.245,2015-04-28,CD,2015-05-06,4,2015-05-19,2015-05-08,ET
0.225,2015-01-26,CD,2015-02-04,4,2015-02-19,2015-02-06,ET
0.2075,2014-10-21,CD,2014-10-30,4,2014-11-19,2014-11-03,ET
0.19,2014-07-24,CD,2014-07-31,4,2014-08-19,2014-08-04,ET
0.179375,2014-04-24,CD,2014-05-01,4,2014-05-19,2014-05-05,ET
0.173125,2014-01-28,CD,2014-02-05,4,2014-02-19,2014-02-07,ET
0.168125,2013-10-23,CD,2013-10-31,4,2013-11-19,2013-11-04,ET
0.16375,2013-07-25,CD,2013-08-01,4,2013-08-19,2013-08-05,ET
0.16125,2013-04-24,CD,2013-05-02,4,2013-05-17,2013-05-06,ET
0.15875,2013-01-28,CD,2013-02-05,4,2013-02-19,2013-02-07,ET
0.15625,2012-10-25,CD,2012-11-02,4,2012-11-16,2012-11-06,ET
0.15625,2012-07-27,CD,2012-08-02,4,2012-08-17,2012-08-06,ET
0.15625,2012-04-25,CD,2012-05-02,4,2012-05-18,2012-05-04,ET
0.15625,2012-01-26,CD,2012-02-03,4,2012-02-17,2012-02-07,ET
0.15625,2011-10-26,CD,2011-11-02,4,2011-11-18,2011-11-04,ET
0.15625,2011-07-01,CD,2011-08-03,4,2011-08-19,2011-08-05,ET
0.14,2011-04-27,CD,2011-05-04,4,2011-05-19,2011-05-06,ET
0.135,2011-01-28,CD,2011-02-03,4,2011-02-18,2011-02-07,ET
0.135,2010-10-29,CD,2010-11-04,4,2010-11-19,2010-11-08,ET
0.135,2010-07-29,CD,2010-08-05,4,2010-08-19,2010-08-09,ET
0.135,2010-04-28,CD,2010-05-05,4,2010-05-19,2010-05-07,ET
0.135,2010-02-03,CD,2010-02-04,4,2010-02-19,2010-02-08,ET
0.13375,2009-10-30,CD,2009-11-05,4,2009-11-19,2009-11-09,ET
0.13375,2009-07-29,CD,2009-08-05,4,2009-08-19,2009-08-07,ET
0.13125,2009-05-01,CD,2009-05-06,4,2009-05-19,2009-05-08,ET
0.1275,2009-01-27,CD,2009-02-04,4,2009-02-19,2009-02-06,ET
0.12,2008-11-03,CD,2008-11-06,4,2008-11-19,2008-11-10,ET
0.12,2008-07-28,CD,2008-08-05,4,2008-08-19,2008-08-07,ET
0.11,2008-04-24,CD,2008-05-01,4,2008-05-19,2008-05-05,ET
0.1375,2008-01-22,CD,2008-01-30,4,2008-02-19,2008-02-01,ET
0.0975,2007-09-25,CD,2007-10-03,4,2007-10-19,2007-10-05,ET
0.093125,2007-06-20,CD,2007-06-28,4,2007-07-19,2007-07-02,ET
0.089,2007-03-28,CD,2007-04-04,4,2007-04-16,2007-04-09,ET
0.085,2006-12-19,CD,2007-01-03,4,2007-01-19,2007-01-04,ET
0.078125,2006-09-25,CD,2006-10-03,4,2006-10-19,2006-10-05,ET
0.059375,2006-05-09,CD,2006-06-28,4,2006-07-19,2006-06-30,ET
0.01445,2006-03-13,CD,2006-03-29,4,2006-04-19,2006-03-31,ET
