cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.14,2022-07-27,CD,2022-08-17,4,2022-08-29,2022-08-18,FIX
0.14,2022-04-27,CD,2022-05-13,4,2022-05-27,2022-05-16,FIX
0.13,2022-02-23,CD,2022-03-10,4,2022-03-22,2022-03-11,FIX
0.13,2021-10-27,CD,2021-11-10,4,2021-11-23,2021-11-12,FIX
0.12,2021-07-28,CD,2021-08-12,4,2021-08-24,2021-08-13,FIX
0.115,2021-04-28,CD,2021-05-13,4,2021-05-25,2021-05-14,FIX
0.115,2021-02-26,CD,2021-03-11,4,2021-03-23,2021-03-12,FIX
0.11,2020-10-26,CD,2020-11-06,4,2020-11-20,2020-11-09,FIX
0.105,2020-07-27,CD,2020-08-13,4,2020-08-25,2020-08-14,FIX
0.105,2020-04-27,CD,2020-05-14,4,2020-05-26,2020-05-15,FIX
0.105,2020-02-26,CD,2020-03-06,4,2020-03-20,2020-03-09,FIX
0.1,2019-10-24,CD,2019-11-07,4,2019-11-22,2019-11-11,FIX
0.1,2019-07-25,CD,2019-08-09,4,2019-08-23,2019-08-12,FIX
0.1,2019-04-25,CD,2019-05-10,4,2019-05-24,2019-05-13,FIX
0.095,2019-02-21,CD,2019-03-08,4,2019-03-22,2019-03-11,FIX
0.09,2018-10-25,CD,2018-11-08,4,2018-11-20,2018-11-09,FIX
0.085,2018-07-26,CD,2018-08-10,4,2018-08-24,2018-08-13,FIX
0.08,2018-04-26,CD,2018-05-11,4,2018-05-25,2018-05-14,FIX
0.075,2018-02-22,CD,2018-03-09,4,2018-03-23,2018-03-12,FIX
0.075,2017-10-27,CD,2017-11-09,4,2017-11-21,2017-11-10,FIX
0.075,2017-08-01,CD,2017-08-10,4,2017-08-25,2017-08-14,FIX
0.075,2017-04-26,CD,2017-05-10,4,2017-05-23,2017-05-12,FIX
0.07,2017-02-24,CD,2017-03-08,4,2017-03-21,2017-02-10,FIX
0.07,2016-10-27,CD,2016-11-08,4,2016-11-23,2016-11-10,FIX
0.07,2016-07-28,CD,2016-08-10,4,2016-08-23,2016-08-12,FIX
0.07,2016-04-27,CD,2016-05-11,4,2016-05-24,2016-05-13,FIX
0.065,2016-02-23,CD,2016-03-09,4,2016-03-22,2016-03-11,FIX
0.065,2015-10-29,CD,2015-11-06,4,2015-11-23,2015-11-10,FIX
0.065,2015-07-30,CD,2015-08-12,4,2015-08-25,2015-08-14,FIX
0.06,2015-04-30,CD,2015-05-12,4,2015-05-25,2015-05-14,FIX
0.06,2015-02-26,CD,2015-03-10,4,2015-03-23,2015-03-12,FIX
0.06,2014-10-29,CD,2014-11-06,4,2014-11-21,2014-11-10,FIX
0.055,2014-07-30,CD,2014-08-08,4,2014-08-22,2014-08-12,FIX
0.055,2014-04-30,CD,2014-05-08,4,2014-05-23,2014-05-12,FIX
0.055,2014-02-27,CD,2014-03-06,4,2014-03-21,2014-03-10,FIX
0.055,2013-10-30,CD,2013-11-06,4,2013-11-22,2013-11-11,FIX
0.055,2013-07-31,CD,2013-08-08,4,2013-08-23,2013-08-12,FIX
0.05,2013-05-01,CD,2013-05-09,4,2013-05-24,2013-05-13,FIX
0.05,2013-02-28,CD,2013-03-07,4,2013-03-22,2013-03-11,FIX
0.05,2012-11-01,CD,2012-11-07,4,2012-11-23,2012-11-12,FIX
0.05,2012-08-02,CD,2012-08-09,4,2012-08-24,2012-08-13,FIX
0.05,2012-05-03,CD,2012-05-10,4,2012-05-25,2012-05-14,FIX
0.05,2012-03-01,CD,2012-03-08,4,2012-03-23,2012-03-12,FIX
0.05,2011-11-04,CD,2011-11-23,4,2011-12-20,2011-11-28,FIX
0.05,2011-08-03,CD,2011-08-24,4,2011-09-16,2011-08-26,FIX
0.05,2011-05-04,CD,2011-05-25,4,2011-06-17,2011-05-27,FIX
0.05,2011-03-02,CD,2011-03-09,4,2011-03-22,2011-03-11,FIX
0.05,2010-11-03,CD,2010-11-26,4,2010-12-20,2010-11-30,FIX
0.05,2010-08-03,CD,2010-08-27,4,2010-09-20,2010-08-31,FIX
0.05,2010-05-05,CD,2010-05-26,4,2010-06-18,2010-05-28,FIX
0.05,2010-03-02,CD,2010-03-08,4,2010-03-19,2010-03-10,FIX
0.05,2009-11-04,CD,2009-11-24,4,2009-12-21,2009-11-27,FIX
0.05,2009-07-31,CD,2009-08-27,4,2009-09-21,2009-08-31,FIX
0.045,2009-05-01,CD,2009-05-27,4,2009-06-19,2009-05-29,FIX
0.045,2009-02-27,CD,2009-03-06,4,2009-03-20,2009-03-10,FIX
0.045,2008-10-31,CD,2008-11-25,4,2008-12-19,2008-11-28,FIX
0.045,2008-08-01,CD,2008-08-27,4,2008-09-19,2008-08-29,FIX
0.045,2008-05-01,CD,2008-05-28,4,2008-06-20,2008-05-30,FIX
0.045,2008-02-27,CD,2008-03-06,4,2008-03-20,2008-03-10,FIX
0.045,2007-10-31,CD,2007-11-28,4,2007-12-20,2007-11-30,FIX
0.035,2007-08-01,CD,2007-08-29,4,2007-09-20,2007-08-31,FIX
0.035,2007-05-02,CD,2007-05-29,4,2007-06-20,2007-05-31,FIX
0.035,2007-02-28,CD,2007-03-07,4,2007-03-19,2007-03-09,FIX
0.035,2006-11-01,CD,2006-11-28,4,2006-12-20,2006-11-30,FIX
0.035,2006-08-02,CD,2006-08-29,4,2006-09-20,2006-08-31,FIX
0.035,2006-05-03,CD,2006-05-26,4,2006-06-20,2006-05-31,FIX
0.035,2006-02-27,CD,2006-03-08,4,2006-03-20,2006-03-10,FIX
0.025,2005-11-03,CD,2005-11-28,4,2005-12-20,2005-11-30,FIX
