cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.4,2022-05-18,CD,2022-07-14,4,2022-07-29,2022-07-15,FL
0.4,2022-02-25,CD,2022-04-13,4,2022-04-29,2022-04-14,FL
0.3,2021-11-15,CD,2022-01-13,4,2022-01-28,2022-01-14,FL
0.3,2021-08-16,CD,2021-10-14,4,2021-10-29,2021-10-15,FL
0.2,2021-05-18,CD,2021-07-15,4,2021-07-30,2021-07-16,FL
0.2,2021-02-17,CD,2021-04-15,4,2021-04-30,2021-04-16,FL
0.15,2020-11-17,CD,2021-01-14,4,2021-01-29,2021-01-15,FL
0.15,2020-08-21,CD,2020-10-15,4,2020-10-30,2020-10-16,FL
0.4,2020-02-19,CD,2020-04-16,4,2020-05-01,2020-04-17,FL
0.38,2019-11-19,CD,2020-01-16,4,2020-01-31,2020-01-17,FL
0.38,2019-08-20,CD,2019-10-17,4,2019-11-01,2019-10-18,FL
0.38,2019-05-21,CD,2019-07-18,4,2019-08-02,2019-07-19,FL
0.38,2019-02-20,CD,2019-04-17,4,2019-05-03,2019-04-18,FL
0.345,2018-11-19,CD,2019-01-17,4,2019-02-01,2019-01-18,FL
0.345,2018-08-21,CD,2018-10-18,4,2018-11-02,2018-10-19,FL
0.345,2018-05-23,CD,2018-07-19,4,2018-08-03,2018-07-20,FL
0.345,2018-02-20,CD,2018-04-19,4,2018-05-04,2018-04-20,FL
0.31,2017-11-16,CD,2018-01-18,4,2018-02-02,2018-01-19,FL
0.31,2017-08-17,CD,2017-10-12,4,2017-10-27,2017-10-13,FL
0.31,2017-05-31,CD,2017-07-12,4,2017-07-28,2017-07-14,FL
0.31,2017-02-15,CD,2017-04-11,4,2017-04-28,2017-04-13,FL
0.275,2016-11-16,CD,2017-01-11,4,2017-01-27,2017-01-13,FL
0.275,2016-08-17,CD,2016-10-12,4,2016-10-28,2016-10-14,FL
0.275,2016-05-18,CD,2016-07-13,4,2016-07-29,2016-07-15,FL
0.275,2016-02-17,CD,2016-04-13,4,2016-04-29,2016-04-15,FL
0.25,2015-11-18,CD,2016-01-13,4,2016-01-29,2016-01-15,FL
0.25,2015-08-19,CD,2015-10-14,4,2015-10-30,2015-10-16,FL
0.25,2015-05-20,CD,2015-07-15,4,2015-07-31,2015-07-17,FL
0.25,2015-02-18,CD,2015-04-15,4,2015-05-01,2015-04-17,FL
0.22,2014-11-19,CD,2015-01-14,4,2015-01-30,2015-01-16,FL
