cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.5,2020-08-27,CD,2020-09-10,4,2020-09-29,2020-09-11,FRO
0.7,2020-05-20,CD,2020-06-03,4,2020-06-22,2020-06-04,FRO
0.4,2020-02-27,CD,2020-03-12,4,2020-03-26,2020-03-13,FRO
0.1,2019-11-27,CD,2019-12-10,4,2019-12-20,2019-12-11,FRO
0.15,2017-05-30,CD,2017-06-08,4,2017-06-21,2017-06-12,FRO
0.15,2017-03-01,CD,2017-03-09,4,2017-03-23,2017-03-13,FRO
0.1,2016-11-30,CD,2016-12-13,4,2016-12-22,2016-12-15,FRO
0.2,2016-08-31,CD,2016-09-08,4,2016-09-19,2016-09-12,FRO
0.4,2016-06-01,CD,2016-06-09,4,2016-06-20,2016-06-13,FRO
0.35,2016-03-01,CD,2016-03-09,4,2016-03-18,2016-03-11,FRO
0.25,2015-12-01,CD,2015-12-16,4,2015-12-30,2015-12-18,FRO
0.1,2011-08-26,CD,2011-09-07,4,2011-09-26,2011-09-09,FRO
0.5,2011-05-25,CD,2011-06-06,4,2011-06-28,2011-06-08,FRO
0.5,2011-02-22,CD,2011-03-07,4,2011-03-23,2011-03-09,FRO
1.25,2010-11-24,CD,2010-12-03,4,2010-12-21,2010-12-07,FRO
3.75,2010-08-27,CD,2010-09-08,4,2010-09-24,2010-09-10,FRO
3.75,2010-05-21,CD,2010-06-02,4,2010-06-21,2010-06-04,FRO
1.25,2010-03-01,CD,2010-03-05,4,2010-03-30,2010-03-09,FRO
0.75,2009-11-30,CD,2009-12-04,4,2009-12-22,2009-12-08,FRO
1.25,2009-08-31,CD,2009-09-09,4,2009-09-24,2009-09-11,FRO
1.25,2009-05-29,CD,2009-06-05,4,2009-06-23,2009-06-09,FRO
1.25,2009-02-27,CD,2009-03-09,4,2009-03-27,2009-03-11,FRO
2.5,2008-12-01,CD,2008-12-05,4,2008-12-22,2008-12-09,FRO
15.0,2008-08-22,CD,2008-09-02,4,2008-09-19,2008-09-04,FRO
13.75,2008-05-22,CD,2008-06-02,4,2008-06-25,2008-06-04,FRO
10.0,2008-02-13,CD,2008-02-22,4,2008-03-10,2008-02-26,FRO
7.5,2007-11-15,CD,2007-11-26,4,2007-12-12,2007-11-28,FRO
8.75,2007-10-02,SC,2007-10-10,0,2007-10-24,2007-10-12,FRO
7.5,2007-09-28,CD,2007-10-10,4,2007-10-24,2007-10-12,FRO
7.5,2007-05-30,CD,2007-06-06,4,2007-06-22,2007-06-08,FRO
10.25,2007-02-27,CD,2007-03-06,4,2007-03-22,2007-03-08,FRO
12.5,2006-11-28,CD,2006-12-05,4,2006-12-21,2006-12-07,FRO
7.5,2006-08-22,CD,2006-08-29,4,2006-09-18,2006-08-31,FRO
7.5,2006-05-26,CD,2006-06-08,4,2006-06-26,2006-06-12,FRO
7.5,2006-02-17,CD,2006-03-02,4,2006-03-20,2006-03-06,FRO
7.5,2005-11-14,CD,2005-11-25,4,2005-12-13,2005-11-29,FRO
10.0,2005-08-24,CD,2005-09-01,4,2005-09-20,2005-09-06,FRO
15.5,2005-05-31,CD,2005-06-08,4,2005-06-24,2005-06-10,FRO
17.5,2005-02-24,CD,2005-03-03,4,2005-03-18,2005-03-07,FRO
9.0,1970-01-01,SC,2004-12-23,0,2005-01-04,2004-12-10,FRO
12.5,2004-10-14,CD,2004-11-23,4,2004-12-08,2004-11-26,FRO
8.0,2004-08-19,CD,2004-08-26,4,2004-09-13,2004-08-30,FRO
1.25,2004-05-06,CD,2004-06-17,4,2004-06-16,2004-06-07,FRO
23.75,1970-01-01,SC,2004-06-17,0,2004-06-16,2004-06-07,FRO
1.25,2004-01-30,CD,2004-03-10,4,2004-03-29,2004-03-12,FRO
22.5,1970-01-01,SC,2004-03-10,0,2004-03-29,2004-03-12,FRO
6.5,2003-11-20,SC,2003-11-28,0,2003-12-12,2003-12-02,FRO
1.25,2003-11-20,CD,2003-11-28,4,2003-12-12,2003-12-02,FRO
4.25,2003-08-12,SC,2003-08-14,0,2003-09-02,2003-08-18,FRO
1.25,2003-08-12,CD,2003-08-14,4,2003-09-02,2003-08-18,FRO
5.0,2003-05-12,SC,2003-06-19,0,2003-07-07,2003-06-23,FRO
5.0,2003-04-04,CD,2003-05-16,4,2003-06-06,2003-05-20,FRO
0.75,2003-02-26,CD,2003-03-06,4,2003-03-24,2003-03-10,FRO
0.25,2002-05-22,CD,2002-05-29,4,2002-06-12,2002-05-31,FRO
1.0,2002-02-25,CD,2002-03-11,4,2002-03-25,2002-03-13,FRO
0.5,2001-10-10,CD,2001-11-19,4,2001-12-05,2001-11-22,FRO
2.0,2001-07-12,CD,2001-08-21,4,2001-09-05,2001-08-23,FRO
4.9,2001-04-12,CD,2001-05-22,4,1970-01-01,2001-05-21,FRO
0.125,1995-11-16,CD,1995-12-26,4,1970-01-01,1995-12-22,FRO
0.125,1995-08-11,CD,1995-09-22,4,1970-01-01,1995-09-20,FRO
0.125,1995-06-09,CD,1995-07-21,4,1970-01-01,1995-07-19,FRO
0.125,1995-05-18,CD,1995-06-27,4,1970-01-01,1995-06-23,FRO
0.125,1995-02-10,CD,1995-03-24,4,1970-01-01,1995-03-22,FRO
0.125,1994-11-04,CD,1994-12-16,4,1970-01-01,1994-12-14,FRO
0.125,1994-08-12,CD,1994-09-23,4,1970-01-01,1994-09-21,FRO
0.375,1994-06-01,CD,1994-07-11,4,1970-01-01,1994-07-07,FRO
