cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.68,2022-05-09,CD,2022-06-14,4,2022-07-05,2022-06-15,FSK
0.63,2022-02-28,CD,2022-03-15,4,2022-04-04,2022-03-16,FSK
0.62,2021-11-08,CD,2021-12-14,4,2022-01-04,2021-12-15,FSK
0.65,2021-08-09,CD,2021-09-14,4,2021-10-04,2021-09-15,FSK
0.6,2021-05-10,CD,2021-06-10,4,2021-07-02,2021-06-11,FSK
0.6,2021-03-01,CD,2021-03-16,4,2021-04-02,2021-03-17,FSK
0.6,2020-11-09,CD,2020-12-15,4,2021-01-05,2020-12-16,FSK
0.6,2020-08-10,CD,2020-09-15,4,2020-10-01,2020-09-16,FSK
0.6,2020-05-06,CD,2020-06-16,4,2020-07-02,2020-06-17,FSK
0.76,2020-02-27,CD,2020-03-17,4,2020-04-02,2020-03-18,FSK
0.76,2019-11-07,CD,2019-12-17,4,2020-01-03,2019-12-18,FSK
0.76,2019-08-07,CD,2019-09-17,4,2019-10-02,2019-09-18,FSK
0.76,2019-05-08,CD,2019-06-18,4,2019-07-02,2019-06-19,FSK
0.76,2019-02-27,CD,2019-03-19,4,2019-04-02,2019-03-20,FSK
0.76,2018-11-07,CD,2018-12-11,4,2019-01-02,2018-12-12,FSK
0.36,2018-11-07,SC,2018-11-16,0,2018-12-03,2018-11-19,FSK
0.76,2018-08-09,CD,2018-09-18,4,2018-10-02,2018-09-19,FSK
0.76,2018-05-10,CD,2018-06-19,4,2018-07-03,2018-06-20,FSK
0.76,2018-03-01,CD,2018-03-20,4,2018-04-03,2018-03-21,FSK
0.76,2017-11-09,CD,2017-12-19,4,2018-01-03,2017-12-20,FSK
0.891,2017-08-10,CD,2017-09-19,4,2017-10-03,2017-09-20,FSK
0.891,2017-05-12,CD,2017-06-19,4,2017-07-05,2017-06-21,FSK
0.891,2017-03-03,CD,2017-03-20,4,2017-04-04,2017-03-22,FSK
0.891,2016-11-09,CD,2016-12-19,4,2017-01-04,2016-12-21,FSK
0.891,2016-08-09,CD,2016-09-19,4,2016-10-04,2016-09-21,FSK
0.891,2016-05-09,CD,2016-06-20,4,2016-07-05,2016-06-22,FSK
0.891,2016-02-29,CD,2016-03-21,4,2016-04-04,2016-03-23,FSK
0.891,2015-11-09,CD,2015-12-18,4,2016-01-05,2015-12-22,FSK
0.891,2015-08-10,CD,2015-09-21,4,2015-10-02,2015-09-23,FSK
0.891,2015-05-11,CD,2015-06-22,4,2015-07-02,2015-06-24,FSK
0.891,2015-01-14,CD,2015-03-23,4,2015-04-02,2015-03-25,FSK
0.296,2014-12-08,CD,2014-12-18,12,2015-01-05,2014-12-22,FSK
0.297,2014-11-06,CD,2014-11-18,12,2014-12-02,2014-11-20,FSK
0.4,2014-05-16,SC,2014-10-29,0,2014-11-14,2014-10-31,FSK
0.297,2014-10-11,CD,2014-10-23,12,2014-11-04,2014-10-27,FSK
0.297,2014-09-04,CD,2014-09-22,12,2014-10-02,2014-09-24,FSK
0.297,2014-08-06,CD,2014-08-21,12,2014-09-03,2014-08-25,FSK
0.4,2014-05-16,SC,2014-07-29,0,2014-08-15,2014-07-31,FSK
0.297,2014-07-01,CD,2014-07-23,12,2014-08-04,2014-07-25,FSK
0.297,2014-06-04,CD,2014-06-20,12,2014-07-02,2014-06-24,FSK
0.297,2014-05-05,CD,2014-05-27,12,2014-05-30,2014-05-29,FSK
0.297,2014-03-31,CD,2014-04-25,12,2014-04-30,2014-04-29,FSK
0.288,2014-03-06,CD,2014-03-26,12,2014-03-31,2014-03-28,FSK
0.288,2014-02-05,CD,2014-02-25,12,2014-02-28,2014-02-27,FSK
0.288,2014-01-08,CD,2014-01-28,12,2014-01-31,2014-01-30,FSK
