cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.08,2022-06-17,CD,2022-06-27,4,2022-07-25,2022-06-28,GE
0.08,2022-02-11,CD,2022-03-07,4,2022-04-25,2022-03-08,GE
0.08,2021-12-10,CD,2021-12-20,4,2022-01-25,2021-12-21,GE
0.08,2021-09-10,CD,2021-09-24,4,2021-10-25,2021-09-27,GE
0.08,2021-06-21,CD,2021-06-25,4,2021-07-26,2021-06-28,GE
0.08,2021-02-15,CD,2021-03-05,4,2021-04-26,2021-03-08,GE
0.08,2020-12-11,CD,2020-12-18,4,2021-01-25,2020-12-21,GE
0.08,2020-09-03,CD,2020-09-25,4,2020-10-26,2020-09-28,GE
0.08,2020-06-19,CD,2020-06-26,4,2020-07-27,2020-06-29,GE
0.08,2020-02-15,CD,2020-03-06,4,2020-04-27,2020-03-09,GE
0.08,2019-12-06,CD,2019-12-20,4,2020-01-27,2019-12-23,GE
0.08,2019-09-06,CD,2019-09-13,4,2019-10-25,2019-09-16,GE
0.08,2019-06-21,CD,2019-06-28,4,2019-07-25,2019-07-01,GE
0.08,2019-02-18,CD,2019-03-08,4,2019-04-25,2019-03-11,GE
0.08,2018-12-07,CD,2018-12-19,4,2019-01-25,2018-12-20,GE
0.96,2018-09-07,CD,2018-09-14,4,2018-10-25,2018-09-17,GE
0.96,2018-06-08,CD,2018-06-15,4,2018-07-25,2018-06-18,GE
0.96,2018-02-12,CD,2018-02-23,4,2018-04-25,2018-02-26,GE
0.96,2017-12-08,CD,2017-12-26,4,2018-01-25,2017-12-27,GE
1.92,2017-09-07,CD,2017-09-15,4,2017-10-25,2017-09-18,GE
1.92,2017-06-09,CD,2017-06-15,4,2017-07-25,2017-06-19,GE
1.92,2017-02-10,CD,2017-02-23,4,2017-04-25,2017-02-27,GE
1.92,2016-12-09,CD,2016-12-22,4,2017-01-25,2016-12-27,GE
1.84,2016-09-09,CD,2016-09-15,4,2016-10-25,2016-09-19,GE
1.84,2016-06-10,CD,2016-06-16,4,2016-07-25,2016-06-20,GE
1.84,2016-02-12,CD,2016-02-25,4,2016-04-25,2016-02-29,GE
1.84,2015-12-11,CD,2015-12-17,4,2016-01-25,2015-12-21,GE
1.84,2015-09-11,CD,2015-09-17,4,2015-10-26,2015-09-21,GE
1.84,2015-06-05,CD,2015-06-18,4,2015-07-27,2015-06-22,GE
1.84,2015-02-09,CD,2015-02-19,4,2015-04-27,2015-02-23,GE
1.84,2014-12-12,CD,2014-12-18,4,2015-01-26,2014-12-22,GE
1.76,2014-09-05,CD,2014-09-18,4,2014-10-27,2014-09-22,GE
1.76,2014-06-06,CD,2014-06-19,4,2014-07-25,2014-06-23,GE
1.76,2014-02-07,CD,2014-02-20,4,2014-04-25,2014-02-24,GE
1.76,2013-12-13,CD,2013-12-19,4,2014-01-27,2013-12-23,GE
1.52,2013-09-13,CD,2013-09-19,4,2013-10-25,2013-09-23,GE
1.52,2013-06-14,CD,2013-06-20,4,2013-07-25,2013-06-24,GE
1.52,2013-02-15,CD,2013-02-21,4,2013-04-25,2013-02-25,GE
1.52,2012-12-14,CD,2012-12-20,4,2013-01-25,2012-12-24,GE
1.36,2012-09-08,CD,2012-09-20,4,2012-10-25,2012-09-24,GE
1.36,2012-06-09,CD,2012-06-21,4,2012-07-25,2012-06-25,GE
1.36,2012-02-11,CD,2012-02-23,4,2012-04-25,2012-02-27,GE
1.36,2011-12-10,CD,2011-12-22,4,2012-01-25,2011-12-27,GE
1.2,2011-09-05,CD,2011-09-15,4,2011-10-25,2011-09-19,GE
1.2,2011-04-22,CD,2011-06-16,4,2011-07-25,2011-06-20,GE
1.12,2011-02-12,CD,2011-02-24,4,2011-04-25,2011-02-28,GE
1.12,2010-12-11,CD,2010-12-22,4,2011-01-25,2010-12-27,GE
0.96,2010-07-23,CD,2010-09-16,4,2010-10-25,2010-09-20,GE
0.8,2010-06-12,CD,2010-06-17,4,2010-07-26,2010-06-21,GE
0.8,2010-02-15,CD,2010-02-25,4,2010-04-26,2010-03-01,GE
0.8,2009-12-16,CD,2009-12-23,4,2010-01-25,2009-12-28,GE
0.8,2009-09-07,CD,2009-09-17,4,2009-10-26,2009-09-21,GE
0.8,2009-06-15,CD,2009-06-18,4,2009-07-27,2009-06-22,GE
2.48,2009-02-09,CD,2009-02-19,4,2009-04-27,2009-02-23,GE
2.48,2008-12-17,CD,2008-12-24,4,2009-01-26,2008-12-29,GE
2.48,2008-08-25,CD,2008-09-18,4,2008-10-27,2008-09-22,GE
2.48,2008-06-09,CD,2008-06-19,4,2008-07-25,2008-06-23,GE
2.48,2008-02-08,CD,2008-02-21,4,2008-04-25,2008-02-25,GE
2.48,2007-12-11,CD,2007-12-20,4,2008-01-25,2007-12-24,GE
2.24,2007-09-07,CD,2007-09-20,4,2007-10-25,2007-09-24,GE
2.24,2007-06-08,CD,2007-06-21,4,2007-07-25,2007-06-25,GE
2.24,2007-02-09,CD,2007-02-22,4,2007-04-25,2007-02-26,GE
2.24,2006-12-12,CD,2006-12-21,4,2007-01-25,2006-12-26,GE
2.0,2006-09-08,CD,2006-09-21,4,2006-10-25,2006-09-25,GE
2.0,2006-06-09,CD,2006-06-22,4,2006-07-25,2006-06-26,GE
2.0,2006-02-10,CD,2006-02-23,4,2006-04-25,2006-02-27,GE
2.0,2005-11-21,CD,2005-12-22,4,2006-01-25,2005-12-27,GE
1.76,2005-09-16,CD,2005-09-22,4,2005-10-25,2005-09-26,GE
1.76,2005-06-10,CD,2005-06-23,4,2005-07-25,2005-06-27,GE
1.76,2005-01-13,CD,2005-02-24,4,2005-04-25,2005-02-28,GE
1.76,2004-12-10,CD,2004-12-22,4,2005-01-25,2004-12-27,GE
1.6,2004-09-17,CD,2004-09-23,4,2004-10-25,2004-09-27,GE
1.6,2004-05-13,CD,2004-06-24,4,2004-07-26,2004-06-28,GE
1.6,2004-02-13,CD,2004-02-26,4,2004-04-26,2004-03-01,GE
1.6,2003-12-12,CD,2003-12-29,4,2004-01-26,2003-12-31,GE
