cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.1,2022-08-02,CD,2022-09-13,4,2022-09-28,2022-09-14,GHL
0.1,2022-04-27,CD,2022-05-31,4,2022-06-15,2022-06-01,GHL
0.1,2022-02-02,CD,2022-03-01,4,2022-03-16,2022-03-02,GHL
0.05,2021-11-03,CD,2021-11-30,4,2021-12-15,2021-12-01,GHL
0.05,2021-08-03,CD,2021-08-31,4,2021-09-15,2021-09-01,GHL
0.05,2021-04-29,CD,2021-06-01,4,2021-06-16,2021-06-02,GHL
0.05,2021-02-04,CD,2021-03-02,4,2021-03-17,2021-03-03,GHL
0.05,2020-11-02,CD,2020-12-01,4,2020-12-16,2020-12-02,GHL
0.05,2020-07-27,CD,2020-09-01,4,2020-09-16,2020-09-02,GHL
0.05,2020-04-30,CD,2020-06-02,4,2020-06-17,2020-06-03,GHL
0.05,2020-02-04,CD,2020-03-03,4,2020-03-18,2020-03-04,GHL
0.05,2019-11-05,CD,2019-12-03,4,2019-12-18,2019-12-04,GHL
0.05,2019-07-31,CD,2019-09-03,4,2019-09-18,2019-09-04,GHL
0.05,2019-04-29,CD,2019-06-04,4,2019-06-19,2019-06-05,GHL
0.05,2019-01-30,CD,2019-03-05,4,2019-03-20,2019-03-06,GHL
0.05,2018-10-25,CD,2018-12-04,4,2018-12-19,2018-12-05,GHL
0.05,2018-08-02,CD,2018-09-04,4,2018-09-19,2018-09-05,GHL
0.05,2018-05-04,CD,2018-06-05,4,2018-06-20,2018-06-06,GHL
0.05,2018-02-07,CD,2018-03-06,4,2018-03-21,2018-03-07,GHL
0.05,2017-10-18,CD,2017-12-05,4,2017-12-20,2017-12-06,GHL
0.45,2017-07-28,CD,2017-09-12,4,2017-09-27,2017-09-13,GHL
0.45,2017-04-26,CD,2017-06-05,4,2017-06-21,2017-06-07,GHL
0.45,2017-01-28,CD,2017-03-06,4,2017-03-22,2017-03-08,GHL
0.45,2016-10-24,CD,2016-12-05,4,2016-12-21,2016-12-07,GHL
0.45,2016-07-26,CD,2016-09-02,4,2016-09-21,2016-09-07,GHL
0.45,2016-04-20,CD,2016-06-06,4,2016-06-22,2016-06-08,GHL
0.45,2016-01-27,CD,2016-02-29,4,2016-03-16,2016-03-02,GHL
0.45,2015-10-22,CD,2015-11-30,4,2015-12-16,2015-12-02,GHL
0.45,2015-07-23,CD,2015-08-31,4,2015-09-16,2015-09-02,GHL
0.45,2015-04-23,CD,2015-06-01,4,2015-06-17,2015-06-03,GHL
0.45,2015-01-28,CD,2015-03-02,4,2015-03-18,2015-03-04,GHL
0.45,2014-10-23,CD,2014-12-01,4,2014-12-17,2014-12-03,GHL
0.45,2014-07-28,CD,2014-08-29,4,2014-09-17,2014-09-03,GHL
0.45,2014-04-23,CD,2014-06-02,4,2014-06-18,2014-06-04,GHL
0.45,2014-01-28,CD,2014-03-03,4,2014-03-19,2014-03-05,GHL
0.45,2013-10-17,CD,2013-12-02,4,2013-12-18,2013-12-04,GHL
0.45,2013-07-17,CD,2013-08-30,4,2013-09-18,2013-09-04,GHL
0.45,2013-04-17,CD,2013-06-03,4,2013-06-19,2013-06-05,GHL
0.45,2013-01-25,CD,2013-03-04,4,2013-03-20,2013-03-06,GHL
0.45,2012-10-17,CD,2012-12-03,4,2012-12-19,2012-12-05,GHL
0.45,2012-07-19,CD,2012-08-31,4,2012-09-19,2012-09-05,GHL
0.45,2012-04-19,CD,2012-06-04,4,2012-06-20,2012-06-06,GHL
0.45,2012-01-30,CD,2012-03-05,4,2012-03-21,2012-03-07,GHL
0.45,2011-10-20,CD,2011-12-05,4,2011-12-21,2011-12-07,GHL
0.45,2011-07-19,CD,2011-09-02,4,2011-09-21,2011-09-07,GHL
0.45,2011-04-21,CD,2011-05-27,4,2011-06-15,2011-06-01,GHL
0.45,2011-01-27,CD,2011-02-28,4,2011-03-16,2011-03-02,GHL
0.45,2010-10-29,CD,2010-11-29,4,2010-12-15,2010-12-01,GHL
0.45,2010-07-22,CD,2010-08-30,4,2010-09-15,2010-09-01,GHL
0.45,2010-04-22,CD,2010-05-28,4,2010-06-16,2010-06-02,GHL
0.45,2010-01-29,CD,2010-03-01,4,2010-03-17,2010-03-03,GHL
0.45,2009-10-23,CD,2009-11-30,4,2009-12-16,2009-12-02,GHL
0.45,2009-07-24,CD,2009-08-31,4,2009-09-16,2009-09-02,GHL
0.45,2009-04-30,CD,2009-05-22,4,2009-06-10,2009-05-27,GHL
0.45,2009-01-29,CD,2009-03-02,4,2009-03-18,2009-03-04,GHL
0.45,2008-10-27,CD,2008-12-01,4,2008-12-17,2008-12-03,GHL
0.45,2008-08-01,CD,2008-08-29,4,2008-09-17,2008-09-03,GHL
0.45,2008-05-01,CD,2008-06-02,4,2008-06-18,2008-06-04,GHL
0.45,2008-01-30,CD,2008-03-03,4,2008-03-19,2008-03-05,GHL
0.38,2007-10-19,CD,2007-11-26,4,2007-12-12,2007-11-28,GHL
0.38,2007-07-24,CD,2007-08-27,4,2007-09-12,2007-08-29,GHL
0.25,2007-04-26,CD,2007-05-25,4,2007-06-13,2007-05-30,GHL
0.25,2007-01-31,CD,2007-03-05,4,2007-03-21,2007-03-07,GHL
0.19,2006-10-19,CD,2006-11-20,4,2006-12-13,2006-11-22,GHL
0.19,2006-07-27,CD,2006-08-21,4,2006-09-13,2006-08-23,GHL
0.16,2006-04-20,CD,2006-05-22,4,2006-06-14,2006-05-24,GHL
0.16,2006-01-26,CD,2006-02-17,4,2006-03-15,2006-02-22,GHL
0.12,2005-10-24,CD,2005-11-21,4,2005-12-14,2005-11-23,GHL
0.12,2005-07-22,CD,2005-08-22,4,2005-09-14,2005-08-24,GHL
0.1,2005-04-26,CD,2005-05-17,4,2005-06-15,2005-05-19,GHL
0.1,2004-12-31,CD,2005-02-11,4,2005-03-15,2005-02-15,GHL
0.08,2004-10-21,CD,2004-11-12,4,2004-12-14,2004-11-16,GHL
0.08,2004-07-21,CD,2004-08-17,4,2004-09-14,2004-08-19,GHL
