cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.4,2022-07-01,CD,2022-07-08,4,2022-07-15,2022-07-11,GNL
0.4,2022-04-01,CD,2022-04-08,4,2022-04-18,2022-04-11,GNL
0.4,2022-01-03,CD,2022-01-12,4,2022-01-18,2022-01-13,GNL
0.4,2021-10-01,CD,2021-10-08,4,2021-10-15,2021-10-12,GNL
0.4,2021-07-01,CD,2021-07-09,4,2021-07-15,2021-07-12,GNL
0.4,2021-04-01,CD,2021-04-09,4,2021-04-15,2021-04-12,GNL
0.4,2021-01-01,CD,2021-01-08,4,2021-01-15,2021-01-11,GNL
0.4,2020-10-01,CD,2020-10-08,4,2020-10-15,2020-10-12,GNL
0.4,2020-07-01,CD,2020-07-10,4,2020-07-15,2020-07-13,GNL
0.4,2020-04-01,CD,2020-04-09,4,2020-04-15,2020-04-13,GNL
0.5325,2020-01-02,CD,2020-01-10,4,2020-01-15,2020-01-13,GNL
0.5325,2019-10-01,CD,2019-10-10,4,2019-10-15,2019-10-11,GNL
0.5325,2019-07-01,CD,2019-07-10,4,2019-07-15,2019-07-11,GNL
0.1775,2019-04-02,CD,2019-04-11,12,2019-04-15,2019-04-12,GNL
0.1775,2019-01-02,CD,2019-03-07,12,2019-03-15,2019-03-08,GNL
0.1775,2019-01-02,CD,2019-02-07,12,2019-02-15,2019-02-08,GNL
0.1775,2019-01-02,CD,2019-01-11,12,2019-01-16,2019-01-14,GNL
0.1775,2018-10-01,CD,2018-12-12,12,2018-12-17,2018-12-13,GNL
0.1775,2018-10-01,CD,2018-11-09,12,2018-11-15,2018-11-13,GNL
0.1775,2018-10-01,CD,2018-10-10,12,2018-10-15,2018-10-11,GNL
0.1775,2018-07-02,CD,2018-09-12,12,2018-09-17,2018-09-13,GNL
0.1775,2018-07-02,CD,2018-08-10,12,2018-08-15,2018-08-13,GNL
0.1775,2018-07-02,CD,2018-07-12,12,2018-07-16,2018-07-13,GNL
0.1775,2018-03-26,CD,2018-06-07,12,2018-06-15,2018-06-08,GNL
0.1775,2018-03-26,CD,2018-05-07,12,2018-05-15,2018-05-08,GNL
0.1775,2018-03-26,CD,2018-04-05,12,2018-04-16,2018-04-06,GNL
0.1775,2017-12-27,CD,2018-03-07,12,2018-03-15,2018-03-08,GNL
0.1775,2017-12-27,CD,2018-02-07,12,2018-02-15,2018-02-08,GNL
0.1775,2017-12-27,CD,2018-01-05,12,2018-01-16,2018-01-08,GNL
0.1775,2017-09-26,CD,2017-12-07,12,2017-12-15,2017-12-08,GNL
0.1775,2017-09-26,CD,2017-11-07,12,2017-11-15,2017-11-08,GNL
0.1775,2017-09-26,CD,2017-10-05,12,2017-10-16,2017-10-06,GNL
0.1775,2017-06-23,CD,2017-09-07,12,2017-09-15,2017-09-08,GNL
0.1775,2017-06-23,CD,2017-08-04,12,2017-08-15,2017-08-08,GNL
0.1775,2017-06-23,CD,2017-07-05,12,2017-07-14,2017-07-07,GNL
0.1775,2017-03-27,CD,2017-06-06,12,2017-06-15,2017-06-08,GNL
0.1775,2017-03-27,CD,2017-05-04,12,2017-05-15,2017-05-08,GNL
0.1775,2017-03-27,CD,2017-04-05,12,2017-04-13,2017-04-07,GNL
0.1775,2017-02-28,CD,2017-03-06,12,2017-03-15,2017-03-08,GNL
0.1775011775,2016-12-29,CD,2017-02-06,12,2017-02-15,2017-02-08,GNL
0.1775011775,2016-12-29,CD,2017-01-04,12,2017-01-15,2017-01-08,GNL
0.1775011775,2016-09-27,CD,2016-12-06,12,2016-12-15,2016-12-08,GNL
0.1775011775,2016-09-27,CD,2016-11-04,12,2016-11-15,2016-11-08,GNL
0.1775011775,2016-09-27,CD,2016-10-05,12,2016-10-14,2016-10-07,GNL
0.1775011775,2016-06-28,CD,2016-09-06,12,2016-08-15,2016-09-08,GNL
0.1775011775,2016-06-28,CD,2016-08-04,12,2016-08-15,2016-08-08,GNL
0.1775011775,2016-06-28,CD,2016-07-06,12,2016-07-15,2016-07-08,GNL
0.1775011775,2016-03-29,CD,2016-06-06,12,2016-06-15,2016-06-08,GNL
0.1775011775,2016-03-29,CD,2016-05-04,12,2016-05-13,2016-05-06,GNL
0.1775011775,2016-03-29,CD,2016-04-06,12,2016-04-15,2016-04-08,GNL
0.1775011775,2015-12-29,CD,2016-03-04,12,2016-03-15,2016-03-08,GNL
0.1775011775,2015-12-29,CD,2016-02-04,12,2016-02-15,2016-02-08,GNL
0.1775011775,2015-12-29,CD,2016-01-06,12,2016-01-15,2016-01-08,GNL
0.1775011775,2015-09-25,CD,2015-12-04,12,2015-12-15,2015-12-08,GNL
0.1775011775,2015-09-25,CD,2015-11-04,12,2015-11-13,2015-11-06,GNL
0.1775011775,2015-09-25,CD,2015-10-06,12,2015-10-15,2015-10-08,GNL
0.1774801775,2015-06-25,CD,2015-09-03,12,2015-09-15,2015-09-08,GNL
0.1775011775,2015-06-25,CD,2015-08-05,12,2015-07-14,2015-08-07,GNL
0.1775011775,2015-06-03,CD,2015-07-06,12,2015-07-15,2015-07-08,GNL
0.0408450408,2015-05-15,CD,2015-06-04,4,2015-06-15,2015-06-08,GNL
