cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.1,2022-05-04,SC,2022-05-26,0,2022-06-15,2022-05-27,GOLD
0.1,2022-05-04,CD,2022-05-26,4,2022-06-15,2022-05-27,GOLD
0.1,2022-02-16,CD,2022-02-25,4,2022-03-15,2022-02-28,GOLD
0.09,2021-11-04,CD,2021-11-29,4,2021-12-15,2021-11-30,GOLD
0.09,2021-08-09,CD,2021-08-30,4,2021-09-15,2021-08-31,GOLD
0.09,2021-05-05,CD,2021-05-27,4,2021-06-15,2021-05-28,GOLD
0.09,2021-02-18,CD,2021-02-26,4,2021-03-15,2021-03-01,GOLD
0.09,2020-11-05,CD,2020-11-27,4,2020-12-15,2020-11-30,GOLD
0.08,2020-08-10,CD,2020-08-28,4,2020-09-15,2020-08-31,GOLD
0.07,2020-05-06,CD,2020-05-28,4,2020-06-15,2020-05-29,GOLD
0.07,2020-02-12,CD,2020-02-27,4,2020-03-16,2020-02-28,GOLD
0.05,2019-11-06,CD,2019-11-27,4,2019-12-16,2019-11-29,GOLD
0.04,2019-08-12,CD,2019-08-29,4,2019-09-16,2019-08-30,GOLD
0.04,2019-05-08,CD,2019-05-30,4,2019-06-17,2019-05-31,GOLD
0.07,2018-12-17,CD,2018-12-27,4,2019-01-14,2018-12-28,GOLD
0.03,2018-10-24,CD,2018-11-29,4,2018-12-17,2018-11-30,GOLD
0.03,2018-07-25,CD,2018-08-30,4,2018-09-17,2018-08-31,GOLD
0.03,2018-04-24,CD,2018-05-30,4,2018-06-15,2018-05-31,GOLD
0.03,2018-02-20,CD,2018-02-27,4,2018-03-15,2018-02-28,GOLD
0.03,2017-10-25,CD,2017-11-29,4,2017-12-15,2017-11-30,GOLD
0.03,2017-07-26,CD,2017-08-29,4,2017-09-15,2017-08-31,GOLD
0.03,2017-04-25,CD,2017-05-30,4,2017-06-15,2017-05-31,GOLD
0.03,2017-02-16,CD,2017-02-24,4,2017-03-15,2017-02-28,GOLD
0.02,2016-10-26,CD,2016-11-28,4,2016-12-15,2016-11-30,GOLD
0.02,2016-07-27,CD,2016-08-29,4,2016-09-15,2016-08-31,GOLD
0.02,2016-04-27,CD,2016-05-26,4,2016-06-15,2016-05-31,GOLD
0.02,2016-02-17,CD,2016-02-25,4,2016-03-15,2016-02-29,GOLD
0.02,2015-10-29,CD,2015-11-25,4,2015-12-15,2015-11-30,GOLD
0.02,2015-08-04,CD,2015-08-27,4,2015-09-15,2015-08-31,GOLD
0.05,2015-04-28,CD,2015-05-27,4,2015-06-15,2015-05-29,GOLD
0.05,2015-02-18,CD,2015-02-25,4,2015-03-16,2015-02-27,GOLD
0.05,2014-10-29,CD,2014-11-25,4,2014-12-15,2014-11-28,GOLD
0.05,2014-07-30,CD,2014-08-27,4,2014-09-15,2014-08-29,GOLD
0.05,2014-04-30,CD,2014-05-28,4,2014-06-16,2014-05-30,GOLD
0.05,2014-02-12,CD,2014-02-26,4,2014-03-17,2014-02-28,GOLD
0.05,2013-10-31,CD,2013-11-26,4,2013-12-16,2013-11-29,GOLD
0.05,2013-08-02,CD,2013-08-28,4,2013-09-16,2013-08-30,GOLD
0.2,2013-04-24,CD,2013-05-29,4,2013-06-17,2013-05-31,GOLD
0.2,2013-02-13,CD,2013-02-26,4,2013-03-15,2013-02-28,GOLD
0.2,2012-10-31,CD,2012-11-28,4,2012-12-17,2012-11-30,GOLD
0.2,2012-07-26,CD,2012-08-29,4,2012-09-17,2012-08-31,GOLD
0.2,2012-05-03,CD,2012-05-29,4,2012-06-15,2012-05-31,GOLD
0.15,2012-02-16,CD,2012-02-27,4,2012-03-15,2012-02-29,GOLD
0.15,2011-10-27,CD,2011-11-28,4,2011-12-15,2011-11-30,GOLD
0.12,2011-07-28,CD,2011-08-29,4,2011-09-15,2011-08-31,GOLD
0.12,2011-04-28,CD,2011-05-26,4,2011-06-15,2011-05-31,GOLD
0.12,2011-02-17,CD,2011-02-24,4,2011-03-15,2011-02-28,GOLD
0.12,2010-10-28,CD,2010-11-26,4,2010-12-15,2010-11-30,GOLD
0.12,2010-07-30,CD,2010-08-27,4,2010-09-15,2010-08-31,GOLD
0.2,2010-04-29,CD,2010-05-26,4,2010-06-15,2010-05-31,GOLD
0.2,2009-10-29,CD,2009-11-25,2,2009-12-15,2009-11-30,GOLD
0.2,2009-04-30,CD,2009-05-27,2,2009-06-15,2009-05-29,GOLD
0.2,2008-10-30,CD,2008-11-25,2,2008-12-15,2008-11-28,GOLD
0.2,2008-05-06,CD,2008-05-28,2,2008-06-16,2008-05-30,GOLD
0.15,2007-10-31,CD,2007-11-28,2,2007-12-17,2007-11-30,GOLD
0.15,2007-05-02,CD,2007-05-29,2,2007-06-15,2007-05-31,GOLD
0.11,2006-11-01,CD,2006-11-28,2,2006-12-15,2006-11-30,GOLD
0.11,2006-05-04,CD,2006-05-26,2,2006-06-15,2006-05-31,GOLD
0.11,2005-10-27,CD,2005-11-28,2,2005-12-15,2005-11-30,GOLD
0.11,2005-05-02,CD,2005-05-26,2,2005-06-15,2005-05-31,GOLD
0.11,2004-10-29,CD,2004-11-26,2,2004-12-15,2004-11-30,GOLD
0.11,2004-04-22,CD,2004-05-26,2,2004-06-15,2004-05-31,GOLD
0.11,2003-10-29,CD,2003-11-26,2,2003-12-15,2003-12-01,GOLD
0.11,2003-05-06,CD,2003-05-28,2,2003-06-16,2003-05-30,GOLD
0.11,2002-11-25,CD,2002-12-04,2,2002-12-20,2002-12-06,GOLD
0.11,2002-05-09,CD,2002-05-29,2,2002-06-14,2002-05-31,GOLD
0.11,2001-11-15,CD,2001-11-28,2,2001-12-14,2001-11-30,GOLD
0.11,2001-05-08,CD,2001-05-29,2,2001-06-15,2001-05-31,GOLD
0.11,2000-11-16,CD,2000-11-28,2,2000-12-15,2000-11-30,GOLD
0.11,2000-05-16,CD,2000-05-26,2,2000-06-15,2000-05-31,GOLD
0.1,1999-11-17,CD,1999-11-26,2,1999-12-15,1999-11-30,GOLD
0.1,1999-05-06,CD,1999-05-26,2,1970-01-01,1999-05-28,GOLD
0.09,1998-11-17,CD,1998-11-25,2,1998-12-15,1998-11-30,GOLD
0.09,1998-05-12,CD,1998-05-27,2,1998-06-15,1998-05-29,GOLD
0.08,1997-11-14,CD,1997-11-25,2,1997-12-15,1997-11-28,GOLD
0.08,1997-05-01,CD,1997-05-28,2,1997-06-16,1997-05-30,GOLD
0.07,1996-11-07,CD,1996-11-27,2,1970-01-01,1996-11-29,GOLD
0.07,1996-04-30,CD,1996-05-29,2,1996-06-14,1996-05-31,GOLD
0.06,1995-11-08,CD,1995-11-28,2,1995-12-15,1995-11-30,GOLD
0.05,1995-04-18,CD,1995-05-24,2,1995-06-15,1995-05-31,GOLD
0.05,1994-09-13,CD,1994-11-23,2,1994-12-15,1994-11-30,GOLD
0.05,1994-04-22,CD,1994-05-24,2,1994-06-15,1994-05-31,GOLD
0.034,1993-09-23,CD,1993-11-23,2,1993-12-15,1993-11-30,GOLD
0.034,1993-02-08,CD,1993-05-24,2,1993-06-15,1993-05-31,GOLD
0.0255,1992-09-16,CD,1992-11-23,2,1992-12-15,1992-11-30,GOLD
0.0273,1992-04-23,CD,1992-05-22,2,1992-06-15,1992-05-29,GOLD
0.0109,1991-12-06,SC,1991-12-24,0,1992-01-15,1991-12-31,GOLD
0.0217,1991-09-23,CD,1991-11-25,2,1991-12-16,1991-12-02,GOLD
0.0221,1991-04-17,CD,1991-05-24,2,1991-06-14,1991-05-31,GOLD
0.0216,1990-09-14,CD,1990-11-26,2,1990-12-17,1990-11-30,GOLD
0.0215,1990-04-26,CD,1990-05-24,2,1990-06-15,1990-05-31,GOLD
0.0162,1989-09-06,CD,1989-11-24,2,1989-12-15,1989-11-30,GOLD
0.0157,1989-05-09,CD,1989-05-24,2,1989-06-15,1989-05-31,GOLD
0.0105,1988-09-08,CD,1988-11-23,2,1988-12-15,1988-11-30,GOLD
0.0103,1988-04-29,CD,1988-05-24,2,1988-06-15,1988-05-31,GOLD
0.0096,1987-10-26,CD,1987-11-23,2,1987-12-15,1987-11-30,GOLD
