cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.08,2022-08-05,CD,2022-09-14,4,2022-09-30,2022-09-15,GTN
0.08,2022-05-06,CD,2022-06-14,4,2022-06-30,2022-06-15,GTN
0.08,2022-02-24,CD,2022-03-14,4,2022-03-31,2022-03-15,GTN
0.08,2021-11-04,CD,2021-12-14,4,2021-12-31,2021-12-15,GTN
0.08,2021-08-05,CD,2021-09-14,4,2021-09-30,2021-09-15,GTN
0.08,2021-06-01,CD,2021-06-14,4,2021-06-30,2021-06-15,GTN
0.08,2021-02-27,CD,2021-03-12,4,2021-03-31,2021-03-15,GTN
0.03,2008-08-21,CD,2008-09-11,4,2008-10-15,2008-09-15,GTN
0.03,2008-06-05,CD,2008-06-23,4,2008-07-25,2008-06-25,GTN
0.03,2008-03-12,CD,2008-03-20,4,2008-04-25,2008-03-25,GTN
0.03,2007-11-01,CD,2007-12-12,4,2008-01-15,2007-12-14,GTN
0.03,2007-08-02,CD,2007-09-12,4,2007-09-28,2007-09-14,GTN
0.03,2007-05-02,CD,2007-06-13,4,2007-06-29,2007-06-15,GTN
0.03,2007-03-09,CD,2007-03-21,4,2007-03-30,2007-03-23,GTN
0.03,2006-12-05,CD,2006-12-13,4,2007-01-02,2006-12-15,GTN
0.03,2006-09-06,CD,2006-09-13,4,2006-10-02,2006-09-15,GTN
0.03,2006-05-12,CD,2006-06-13,4,2006-06-30,2006-06-15,GTN
0.03,2006-03-15,CD,2006-03-16,4,2006-03-31,2006-03-20,GTN
0.03,2005-11-21,CD,2005-12-12,4,2005-12-30,2005-12-14,GTN
0.03,2005-08-09,CD,2005-09-13,4,2005-09-30,2005-09-15,GTN
0.03,2005-05-05,CD,2005-06-13,4,2005-06-30,2005-06-15,GTN
0.03,2005-03-02,CD,2005-03-11,4,2005-03-31,2005-03-15,GTN
0.12,2004-11-23,SC,2004-12-10,0,2005-01-04,2004-12-14,GTN
0.03,2004-11-05,CD,2004-12-10,4,2004-12-30,2004-12-14,GTN
0.03,2004-08-30,CD,2004-09-13,4,2004-09-30,2004-09-15,GTN
0.03,2004-06-08,CD,2004-06-14,4,2004-06-30,2004-06-15,GTN
0.03,2004-03-05,CD,2004-03-11,4,2004-03-31,2004-03-15,GTN
0.02,2003-11-06,CD,2003-12-11,4,2003-12-31,2003-12-15,GTN
0.02,2003-08-22,CD,2003-09-11,4,2003-09-30,2003-09-15,GTN
0.02,2003-05-16,CD,2003-06-11,4,2003-06-30,2003-06-15,GTN
0.02,2003-02-12,CD,2003-03-12,4,2003-03-31,2003-03-15,GTN
0.02,2002-12-06,CD,2002-12-11,4,2002-12-31,2002-12-15,GTN
0.02,2002-09-05,CD,2002-09-11,4,2002-09-30,2002-09-15,GTN
0.02,2002-06-03,CD,2002-06-12,4,2002-06-28,2002-06-14,GTN
0.02,2002-03-01,CD,2002-03-13,4,2002-03-29,2002-03-15,GTN
0.02,2001-12-06,CD,2001-12-13,4,2001-12-31,2001-12-17,GTN
0.02,2001-09-07,CD,2001-09-12,4,2001-09-28,2001-09-14,GTN
0.02,2001-06-01,CD,2001-06-07,4,2001-06-30,2001-06-11,GTN
0.02,2001-03-05,CD,2001-03-12,4,2001-03-29,2001-03-14,GTN
0.02,2000-11-16,CD,2000-11-29,4,2000-12-18,2000-12-01,GTN
0.02,2000-09-01,CD,2000-09-11,4,2000-09-13,2000-09-13,GTN
0.02,2000-05-25,CD,2000-06-08,4,2000-06-28,2000-06-12,GTN
0.02,2000-02-10,CD,2000-03-07,4,2000-03-24,2000-03-09,GTN
0.02,1999-11-18,CD,1999-11-29,4,1999-12-16,1999-12-01,GTN
0.02,1999-07-15,CD,1999-09-10,4,1999-09-28,1999-09-14,GTN
0.02,1999-04-29,CD,1999-06-04,4,1999-06-24,1999-06-08,GTN
0.02,1999-02-25,CD,1999-03-11,4,1999-03-31,1999-03-15,GTN
0.02,1998-10-16,CD,1998-11-27,4,1998-12-15,1998-12-01,GTN
0.0133,1998-07-22,CD,1998-08-31,4,1998-09-15,1998-09-02,GTN
0.0133,1998-06-01,CD,1998-06-17,4,1998-06-30,1998-06-19,GTN
0.0133,1998-03-10,CD,1998-03-18,4,1998-03-31,1998-03-21,GTN
0.0133,1997-12-03,CD,1997-12-10,4,1997-12-24,1997-12-12,GTN
0.0133,1997-08-28,CD,1997-09-05,4,1997-09-23,1997-09-09,GTN
0.0133,1997-05-27,CD,1997-06-06,4,1997-06-24,1997-06-10,GTN
0.0133,1997-03-04,CD,1997-03-19,4,1997-03-31,1997-03-21,GTN
0.0133,1996-12-13,CD,1996-12-19,4,1996-12-30,1996-12-23,GTN
